Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Ov9433_rep10_Dep6_Tu5,0.747,0.668,0.678,0.089,2.794,0.060,2.132,2.359,3.185,5.114,2.676,1.944,13.162,18.725,2.942,6.251,7.688,3.661,9.337,2.486,7.854,1.619,3.829
Ov9433_rep6_Dep6_Tu20,0.100,5.015,1.003,1.776,3.134,0.550,3.292,2.995,0.971,2.383,4.511,2.970,6.767,3.864,9.315,10.274,4.984,4.556,6.593,1.388,4.713,10.965,7.880
Ov9433_rep8_Dep6_Tu5,0.315,1.120,0.878,0.191,2.198,0.101,1.875,4.151,1.395,2.896,4.586,2.643,11.169,9.073,2.972,7.945,4.912,7.056,3.988,12.379,11.657,0.855,5.644
Ov9433_rep2_Dep6_Tu5,0.688,1.889,0.682,0.165,2.927,0.047,0.306,5.434,2.180,0.815,4.071,1.635,11.038,4.389,1.394,7.479,7.902,0.343,17.380,12.220,4.070,11.657,1.292
Ov9433_rep5_Dep6_Tu0.5,0.410,0.785,0.187,0.000,1.043,0.053,2.423,2.846,0.669,4.401,3.531,2.825,14.499,18.396,1.396,15.081,11.308,0.331,12.715,0.008,0.228,5.258,1.607
Ov9433_rep5_Dep6_Tu5,0.676,0.467,0.533,0.047,2.965,0.109,2.077,2.173,7.282,0.116,1.682,2.589,11.101,0.066,1.735,5.349,5.490,11.962,3.125,11.373,11.301,9.490,8.290
Ov9433_rep8_Dep6_Tu30,2.574,4.449,2.171,3.060,5.324,0.332,0.615,5.796,1.303,1.294,2.026,1.211,2.373,0.350,17.187,8.158,1.499,0.045,12.583,4.728,1.101,12.428,9.395
Ov9433_rep6_Dep6_Tu0.3,0.267,1.464,0.206,0.004,1.366,0.045,1.463,4.046,4.132,2.058,3.139,2.663,18.024,7.569,1.116,9.778,4.851,7.101,3.827,3.281,2.532,11.654,9.417
Ov9433_rep1_Dep6_Tu0.3,0.171,0.327,0.398,0.009,2.307,0.027,0.333,4.203,3.370,3.299,5.750,2.494,10.223,0.484,0.440,14.832,14.559,4.342,2.265,1.594,6.372,4.260,17.942
Ov9433_rep2_Dep6_Tu10,1.456,1.022,0.183,0.292,4.001,0.157,2.048,1.644,4.626,1.271,4.943,2.807,9.969,5.393,7.526,3.737,13.228,1.723,7.749,4.901,5.248,12.319,3.756
Ov9433_rep4_Dep6_Tu20,0.325,2.463,1.738,2.140,4.860,0.483,2.059,3.515,0.526,3.548,4.112,2.846,9.186,1.642,9.178,6.370,0.509,3.944,5.906,3.028,11.995,11.244,8.383
Ov9433_rep3_Dep6_Tu10,0.367,2.622,0.627,0.362,1.568,0.246,1.779,1.956,3.462,4.194,5.310,2.969,12.747,1.664,6.567,6.369,5.555,3.892,0.759,7.978,20.701,2.440,5.866
Ov9433_rep4_Dep6_Tu0.3,0.327,0.927,0.629,0.003,1.412,0.113,1.620,1.089,5.147,0.682,5.350,3.223,10.183,19.719,0.879,2.783,6.954,3.321,12.291,2.148,7.893,0.428,12.877
Ov9433_rep9_Dep6_Tu0.1,0.389,0.925,0.433,0.011,0.019,0.105,2.399,2.828,3.766,3.194,5.216,1.650,13.219,9.532,0.195,4.036,3.108,2.281,1.125,19.569,4.563,18.877,2.560
Ov9433_rep10_Dep6_Tu0.5,0.295,1.835,0.416,0.007,1.565,0.031,1.619,2.608,4.137,2.127,3.929,2.217,14.000,0.487,0.387,1.824,13.902,6.378,4.590,2.869,17.788,1.578,15.410
Ov9433_rep6_Dep6_Tu30,0.597,0.975,2.435,4.954,6.571,1.152,1.822,3.416,3.187,3.059,2.203,1.876,6.482,4.608,11.914,6.339,1.121,8.139,3.868,3.586,13.984,4.193,3.519
Ov9433_rep1_Dep6_Tu2,0.487,1.650,0.246,0.006,2.039,0.035,2.199,0.745,1.777,4.897,6.365,0.753,16.140,5.593,1.587,7.021,1.043,2.243,23.698,12.929,2.751,1.950,3.845
Ov9433_rep1_Dep6_Tu5,0.566,1.648,0.901,0.080,0.009,0.166,1.213,5.715,1.830,4.972,2.486,2.035,12.124,4.327,3.140,2.061,7.622,1.107,11.268,0.588,10.900,11.659,13.583
Ov9433_rep5_Dep6_Tu1,0.375,1.368,0.449,0.006,1.469,0.023,2.594,3.035,1.306,4.929,2.599,1.843,16.395,20.644,0.563,2.866,4.996,14.757,5.785,7.470,2.146,0.902,3.481
Ov9433_rep9_Dep6_Tu5,0.712,0.805,0.846,0.271,3.481,0.044,3.426,1.702,5.297,0.610,1.649,2.350,4.771,12.034,1.082,4.812,12.766,4.353,8.879,13.167,9.965,0.761,6.218
Ov9433_rep9_Dep6_Tu0.3,0.188,0.556,0.326,0.000,0.997,0.042,2.167,5.218,1.600,3.129,3.282,1.991,6.520,1.251,0.294,14.539,9.528,0.889,14.246,2.435,11.277,9.346,10.180
Ov9433_rep4_Dep6_Tu10,1.319,3.804,1.158,0.682,1.120,0.349,1.662,1.386,1.130,4.262,6.038,2.085,9.239,11.892,2.809,6.684,12.804,6.356,1.501,0.091,1.788,7.055,14.788
Ov9433_rep1_Dep6_Tu3,0.663,0.979,0.516,0.052,0.485,0.038,2.830,0.505,2.266,6.990,1.306,3.821,11.892,16.961,2.326,7.777,10.934,2.639,4.630,8.247,7.602,2.485,4.056
Ov9433_rep4_Dep6_Tu50,4.907,5.846,5.543,6.315,0.391,1.660,1.495,0.468,3.043,0.581,4.312,3.554,2.700,2.201,30.244,2.775,1.257,0.733,2.030,8.911,3.680,3.520,3.833
Ov9433_rep9_Dep6_Tu30,1.813,4.867,2.244,3.444,4.695,0.810,2.374,2.936,0.635,1.442,3.893,2.293,5.037,6.076,16.283,4.539,14.819,1.694,3.318,1.049,3.969,4.716,7.054
Ov9433_rep4_Dep6_Tu2,0.380,0.165,0.677,0.053,2.603,0.014,0.152,5.074,1.712,4.035,5.856,2.102,12.378,11.277,1.801,16.806,4.016,4.885,1.363,9.300,1.853,9.778,3.721
Ov9433_rep7_Dep6_Tu3,0.640,0.834,0.875,0.083,1.063,0.037,1.787,4.858,2.160,2.365,5.413,1.813,12.618,2.712,0.508,5.420,1.867,16.895,1.543,7.888,7.777,8.517,12.327
Ov9433_rep8_Dep6_Tu1,0.358,1.259,0.383,0.008,0.487,0.008,1.212,3.416,2.553,3.980,2.120,2.553,18.550,4.891,1.112,13.006,1.672,9.379,25.547,4.257,0.849,0.559,1.841
Ov9433_rep2_Dep6_Tu30,2.814,2.812,2.505,2.434,3.940,0.771,2.580,1.761,2.720,2.638,3.733,1.925,5.905,6.006,18.981,4.942,7.483,3.923,6.569,0.742,0.683,6.441,7.691
Ov9433_rep7_Dep6_Tu1,0.294,0.925,0.021,0.012,1.025,0.103,2.063,3.647,3.215,2.915,4.932,1.388,12.867,8.436,1.359,5.483,15.605,4.999,5.218,4.889,6.977,1.694,11.932
Ov9433_rep6_Dep6_Tu3,0.031,1.116,0.468,0.033,2.330,0.107,2.249,3.253,3.060,2.887,4.057,1.796,12.036,6.186,1.028,7.465,2.111,0.377,11.276,3.417,14.321,8.091,12.305
Ov9433_rep8_Dep6_Tu0.3,0.192,1.110,0.224,0.002,1.756,0.007,1.876,1.030,3.561,2.844,3.723,2.759,11.559,6.102,1.290,8.936,23.331,0.273,12.952,1.988,4.801,2.451,7.234
Ov9433_rep5_Dep6_Tu3,0.674,1.323,0.463,0.061,2.008,0.026,1.813,5.447,3.308,0.773,1.502,1.759,10.399,13.379,1.299,8.813,8.707,4.791,7.744,3.665,10.345,2.744,8.958
Ov9433_rep4_Dep6_Tu0.1,0.285,0.944,0.093,0.006,1.645,0.003,2.374,2.359,1.497,3.378,6.470,2.326,3.834,17.954,1.395,3.274,9.296,0.036,8.998,3.722,13.647,8.024,8.440
Ov9433_rep2_Dep6_Tu40,3.246,5.076,5.039,4.664,2.732,1.293,2.964,2.496,0.932,1.210,4.312,0.806,6.330,1.432,20.267,3.670,0.379,11.583,3.535,5.434,1.570,2.910,8.120
