Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,0.000,0.000,18.021,5.905,1.406,29.371,0.000,1.964,0.000,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.649,0.000,19.129,0.000,8.425,0.000,0.000,0.000,0.000,0.000
Colo_rep2_Dep6_Tu50,0.000,0.000,9.830,0.490,0.000,9.167,0.000,1.723,0.000,0.980,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.202,0.152,50.376,0.000,1.274,0.000,0.000,0.000,0.000,0.000,0.000,2.808,0.000,0.000,0.000,18.211,0.000,4.784,0.000,0.000,0.000
Colo_rep6_Dep6_Tu1,0.000,0.000,29.776,15.309,1.987,6.967,0.000,1.505,0.000,0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.895,0.000,0.000,3.890,12.275,0.000,0.000,0.000,24.239,0.000
Colo_rep3_Dep6_Tu2,0.000,0.000,22.377,29.883,0.745,7.067,0.000,0.476,0.000,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.874,0.000,0.000,0.000,16.922,0.000,19.367,0.000,0.000,0.000
Colo_rep7_Dep6_Tu2,0.000,0.000,16.458,14.452,3.087,8.676,0.000,5.143,0.000,0.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.046,0.000,5.706,0.000,3.145,24.805,0.339,0.000
Colo_rep8_Dep6_Tu0.1,0.000,0.000,20.683,15.358,0.731,12.246,0.000,3.176,0.000,0.254,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.836,0.000,2.883,20.927,12.974,0.580,0.000,0.000,0.698,6.651
Colo_rep10_Dep6_Tu2,0.000,0.000,17.990,6.543,0.000,22.803,0.000,6.933,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.418,0.000,16.987,0.000,17.931,0.000,0.000,0.377,0.000,0.000
Colo_rep6_Dep6_Tu3,0.000,0.000,22.314,22.800,0.000,6.616,0.000,5.270,0.000,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.741,0.637,10.613,0.000,2.920,0.030,0.000,0.000
Colo_rep9_Dep6_Tu30,0.000,0.000,23.689,1.732,0.000,4.941,0.000,3.636,0.000,0.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.052,30.345,0.000,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.872,0.071,10.027,14.300,0.000,6.882,0.000,0.960,0.000
Colo_rep9_Dep6_Tu0.5,0.000,0.000,24.686,4.869,1.453,14.958,0.000,3.119,0.000,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.466,5.333,1.714,0.150,0.003,43.170,0.000
Colo_rep6_Dep6_Tu20,0.000,0.000,9.456,21.420,0.117,9.003,0.000,6.087,0.000,0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024,19.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.515,0.000,18.486,0.000,12.034,0.000,2.672,0.000,0.000,0.000
Colo_rep8_Dep6_Tu30,0.000,0.000,13.537,1.737,4.516,3.060,0.000,5.172,0.000,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.079,28.922,0.000,0.075,0.000,0.000,0.000,0.000,0.000,0.000,1.539,0.000,0.319,0.000,4.531,0.000,36.407,0.000,0.000,0.000
Colo_rep3_Dep6_Tu5,0.000,0.000,24.860,9.460,4.090,9.149,0.000,1.464,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.177,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.486,4.033,9.664,0.000,0.000,0.314,28.398,2.901
