Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo_rep2_Dep6_Tu0.5,0.000,0.630,0.000,0.111,2.216,0.000,0.589,0.158,0.139,2.410,32.390,1.574,59.782
Colo_rep2_Dep6_Tu50,0.000,0.635,0.096,49.498,2.271,0.042,0.721,4.033,0.719,4.631,9.394,1.486,26.474
Colo_rep6_Dep6_Tu1,0.000,0.567,0.000,0.318,5.835,0.000,0.590,0.232,0.262,4.182,25.438,0.399,62.176
Colo_rep3_Dep6_Tu2,0.000,1.058,0.018,1.007,0.381,0.000,2.124,0.132,2.710,9.353,24.146,0.498,58.573
Colo_rep7_Dep6_Tu2,0.000,2.209,0.008,1.069,0.356,0.000,1.426,0.207,1.553,4.648,24.840,0.250,63.434
Colo_rep8_Dep6_Tu0.1,0.000,0.379,0.019,0.000,14.195,0.000,3.239,0.445,1.685,8.098,10.135,1.691,60.113
Colo_rep10_Dep6_Tu2,0.000,0.411,0.006,0.901,2.805,0.000,1.069,0.585,0.133,2.909,31.429,0.758,58.992
Colo_rep6_Dep6_Tu3,0.000,1.839,0.000,1.553,0.501,0.000,2.134,0.199,3.365,4.062,24.259,0.233,61.855
Colo_rep9_Dep6_Tu30,0.000,0.182,0.000,29.492,11.948,0.000,1.508,2.040,0.336,8.562,6.468,4.256,35.209
Colo_rep9_Dep6_Tu0.5,0.000,0.228,0.047,0.298,2.648,0.000,0.273,0.491,0.166,1.851,32.284,0.194,61.519
Colo_rep6_Dep6_Tu20,0.000,2.247,0.000,20.143,0.302,0.000,1.196,0.962,6.478,2.466,17.990,0.247,47.968
Colo_rep8_Dep6_Tu30,0.000,0.488,0.000,28.989,1.547,0.000,0.861,1.849,0.000,4.893,20.437,2.289,38.648
Colo_rep3_Dep6_Tu5,0.000,0.528,0.000,3.986,6.334,0.000,0.754,0.339,0.637,3.214,23.982,0.589,59.636
Colo_rep4_Dep6_Tu3,0.000,0.181,0.038,1.569,18.485,0.000,0.361,0.442,0.273,2.927,14.514,0.998,60.212
Colo_rep2_Dep6_Tu10,0.000,0.304,0.010,9.072,2.841,0.000,1.126,0.929,0.291,3.388,27.816,1.285,52.939
Colo_rep3_Dep6_Tu40,0.000,0.189,0.000,40.122,10.306,0.000,1.356,3.049,0.004,7.448,3.582,3.990,29.954
Colo_rep3_Dep6_Tu30,0.000,0.590,0.000,31.240,2.094,0.000,0.481,2.407,0.565,5.442,17.895,0.723,38.563
Colo_rep6_Dep6_Tu30,0.000,0.180,0.000,32.378,9.561,0.000,1.071,2.827,5.108,9.146,1.892,0.452,37.386
Colo_rep4_Dep6_Tu50,0.000,0.606,0.000,49.559,6.197,0.035,3.692,3.610,1.579,7.230,0.654,2.196,24.642
Colo_rep5_Dep6_Tu50,0.000,0.907,0.000,49.786,1.789,0.000,1.122,3.022,0.589,4.686,9.660,4.095,24.343
Colo_rep6_Dep6_Tu2,0.000,0.467,0.028,1.244,14.936,0.000,1.401,0.304,1.183,9.170,8.706,0.492,62.069
Colo_rep10_Dep6_Tu50,0.000,0.573,0.000,49.573,6.191,0.000,2.177,3.310,2.628,9.246,1.037,1.803,23.460
Colo_rep7_Dep6_Tu50,0.000,1.282,0.000,52.361,0.743,0.000,2.796,3.575,0.533,6.396,5.269,1.431,25.614
Colo_rep9_Dep6_Tu40,0.000,0.379,0.000,39.365,10.351,0.010,0.883,3.263,0.935,7.500,3.514,3.445,30.355
Colo_rep8_Dep6_Tu5,0.016,0.399,0.007,4.076,13.876,0.000,1.144,0.504,4.169,7.503,7.909,0.706,59.692
Colo_rep1_Dep6_Tu20,0.000,0.528,0.000,21.450,12.327,0.000,1.180,0.953,1.998,9.392,3.087,0.997,48.086
Colo_rep9_Dep6_Tu2,0.000,0.392,0.000,0.998,3.419,0.000,0.338,0.418,0.196,2.705,30.299,0.218,61.017
Colo_rep5_Dep6_Tu30,0.000,1.166,0.000,31.679,0.606,0.000,3.427,1.972,1.049,7.255,12.860,1.438,38.548
Colo_rep4_Dep6_Tu0.1,0.018,0.940,0.025,0.000,0.314,0.000,2.306,0.474,0.421,8.793,24.697,0.475,61.537
Colo_rep5_Dep6_Tu0.1,0.000,0.336,0.000,0.000,1.860,0.000,0.483,0.318,0.199,3.357,33.366,0.672,59.409
Colo_rep9_Dep6_Tu3,0.000,0.204,0.017,0.905,18.269,0.000,0.460,0.241,0.364,5.896,14.327,1.338,57.980
Colo_rep2_Dep6_Tu0.1,0.000,0.189,0.022,0.000,18.297,0.000,0.363,0.093,1.537,3.249,15.068,0.914,60.268
Colo_rep8_Dep6_Tu10,0.000,0.495,0.000,8.466,12.997,0.000,2.676,0.489,3.860,8.068,7.243,3.184,52.524
Colo_rep4_Dep6_Tu30,0.000,0.662,0.000,30.718,1.895,0.000,1.691,1.346,0.621,3.158,18.394,3.527,37.988
Colo_rep2_Dep6_Tu2,0.000,1.404,0.000,1.221,0.554,0.000,1.706,0.127,2.462,5.547,24.221,0.406,62.352
Colo_rep1_Dep6_Tu5,0.000,2.671,0.000,3.361,0.379,0.000,1.141,0.218,3.980,3.361,23.990,0.123,60.777
Colo_rep8_Dep6_Tu50,0.000,0.456,0.063,49.765,6.577,0.026,1.293,3.315,3.490,9.072,0.376,0.814,24.753
Colo_rep5_Dep6_Tu5,0.000,0.355,0.000,3.831,14.215,0.000,1.047,0.427,7.046,8.036,6.654,0.265,58.125
Colo_rep6_Dep6_Tu50,0.000,0.499,0.000,50.586,5.751,0.000,1.713,3.701,1.310,9.468,0.612,1.019,25.340
Colo_rep5_Dep6_Tu0.5,0.000,0.293,0.000,0.282,2.521,0.000,0.412,0.219,0.215,2.325,32.169,0.405,61.160
Colo_rep4_Dep6_Tu20,0.000,0.522,0.000,21.524,8.495,0.000,1.445,0.596,5.113,5.610,9.120,3.137,44.438
Colo_rep8_Dep6_Tu40,0.000,0.681,0.000,40.460,1.832,0.000,0.476,4.224,0.077,4.043,14.549,1.113,32.543
Colo_rep7_Dep6_Tu0.3,0.000,0.609,0.000,0.196,3.089,0.000,0.314,0.000,0.435,2.683,31.304,0.176,61.194
Colo_rep7_Dep6_Tu30,0.000,0.491,0.000,31.248,2.030,0.000,0.909,2.319,0.201,3.204,18.987,0.960,39.653
Colo_rep10_Dep6_Tu20,0.000,0.436,0.000,19.743,11.447,0.000,2.776,1.095,3.931,7.538,4.477,3.853,44.704
Colo_rep9_Dep6_Tu10,0.000,0.100,0.014,7.794,16.225,0.000,1.048,0.492,0.076,7.715,11.506,3.839,51.191
Colo_rep9_Dep6_Tu0.1,0.000,0.609,0.016,0.022,14.443,0.000,1.576,0.113,4.538,9.942,8.718,0.664,59.357
Colo_rep10_Dep6_Tu0.3,0.000,0.334,0.027,0.366,15.067,0.000,1.318,0.239,1.251,9.119,8.987,0.430,62.861
Colo_rep8_Dep6_Tu20,0.000,0.365,0.000,19.174,14.042,0.000,0.645,0.907,1.203,5.796,10.373,2.694,44.800
Colo_rep3_Dep6_Tu3,0.000,0.642,0.000,1.991,6.180,0.000,1.010,0.365,1.013,3.629,24.274,2.097,58.799
Colo_rep4_Dep6_Tu2,0.000,0.132,0.000,0.819,17.157,0.000,0.503,0.075,1.916,4.651,15.379,0.923,58.446
Colo_rep10_Dep6_Tu0.1,0.000,0.613,0.011,0.000,14.193,0.000,1.968,0.095,5.545,10.279,8.320,1.339,57.638
Colo_rep4_Dep6_Tu0.3,0.000,0.417,0.006,0.182,6.465,0.000,0.578,0.000,0.863,4.733,24.897,0.553,61.306
Colo_rep9_Dep6_Tu0.3,0.000,0.406,0.003,0.000,2.065,0.000,0.691,0.335,0.080,2.658,33.122,1.729,58.911
Colo_rep1_Dep6_Tu10,0.000,0.411,0.000,8.759,13.977,0.000,0.749,0.284,8.492,8.594,4.825,0.212,53.696
Colo_rep6_Dep6_Tu0.3,0.000,0.172,0.024,0.000,18.163,0.000,0.679,0.246,0.482,6.429,14.775,0.871,58.160
Colo_rep6_Dep6_Tu0.5,0.013,0.600,0.022,0.000,14.147,0.000,1.955,0.052,8.081,9.091,7.951,0.928,57.159
Colo_rep10_Dep6_Tu10,0.000,0.216,0.027,9.272,13.003,0.000,3.683,1.133,1.247,7.824,7.358,2.289,53.950
Colo_rep10_Dep6_Tu1,0.000,0.512,0.029,0.581,14.290,0.000,1.950,0.060,3.909,9.993,8.930,0.782,58.963
Colo_rep10_Dep6_Tu5,0.000,0.207,0.000,3.437,17.116,0.000,0.527,0.169,2.115,3.434,14.651,1.012,57.333
Colo_rep10_Dep6_Tu40,0.000,1.109,0.000,39.483,1.349,0.006,0.619,2.070,1.606,5.403,15.508,3.073,29.773
Colo_rep10_Dep6_Tu0.5,0.000,0.468,0.014,0.480,14.708,0.000,0.835,0.034,8.180,8.393,7.170,0.183,59.535
Colo_rep1_Dep6_Tu1,0.000,0.466,0.000,0.296,13.820,0.000,2.115,0.088,8.151,9.390,8.226,1.109,56.338
Colo_rep7_Dep6_Tu20,0.000,0.399,0.000,20.548,2.278,0.000,0.473,2.066,0.184,2.602,23.622,0.337,47.491
Colo_rep6_Dep6_Tu10,0.000,0.238,0.000,8.345,16.490,0.000,0.643,0.090,0.736,4.402,12.461,2.508,54.087
Colo_rep10_Dep6_Tu3,0.000,0.568,0.000,1.221,2.472,0.000,0.628,0.307,0.156,2.387,31.590,1.645,59.026
Colo_rep1_Dep6_Tu30,0.000,0.746,0.000,31.364,1.638,0.000,1.121,1.477,1.011,4.256,18.237,2.608,37.542
Colo_rep1_Dep6_Tu0.1,0.000,0.516,0.000,0.000,1.654,0.000,0.649,0.184,0.186,2.525,33.386,0.836,60.064
Colo_rep7_Dep6_Tu5,0.000,0.881,0.015,3.484,0.466,0.000,1.989,0.652,0.252,10.085,23.703,0.520,57.953
Colo_rep7_Dep6_Tu0.1,0.000,0.264,0.022,0.000,2.977,0.000,0.260,0.525,0.148,1.703,32.090,0.175,61.835
Colo_rep6_Dep6_Tu40,0.000,0.446,0.045,40.657,2.395,0.000,0.810,3.601,1.453,5.702,13.416,0.391,31.085
Colo_rep8_Dep6_Tu2,0.000,0.068,0.019,0.892,17.037,0.000,0.741,0.044,0.259,8.134,13.871,3.067,55.867
Colo_rep7_Dep6_Tu0.5,0.000,2.716,0.000,0.000,0.439,0.000,1.167,0.197,4.347,2.419,25.389,0.165,63.162
Colo_rep5_Dep6_Tu20,0.000,0.761,0.000,19.311,11.471,0.000,2.434,0.781,4.619,11.355,3.644,2.434,43.188
Colo_rep8_Dep6_Tu0.3,0.000,0.390,0.000,0.000,2.071,0.000,0.695,0.364,0.097,2.668,33.114,1.699,58.900
Colo_rep4_Dep6_Tu5,0.000,0.314,0.012,3.826,14.110,0.000,1.115,0.596,4.130,10.260,7.287,0.278,58.073
Colo_rep9_Dep6_Tu1,0.000,0.280,0.013,0.301,2.129,0.000,0.518,0.000,0.569,3.526,33.062,0.656,58.945
Colo_rep1_Dep6_Tu0.5,0.000,2.375,0.022,0.000,0.473,0.000,1.269,0.269,1.607,6.412,25.201,0.360,62.011
Colo_rep8_Dep6_Tu3,0.000,0.207,0.000,1.062,19.852,0.000,0.368,0.198,0.458,1.824,13.749,0.738,61.543
Colo_rep5_Dep6_Tu0.3,0.000,0.238,0.022,0.564,14.356,0.000,0.922,0.327,4.680,9.785,8.421,0.186,60.499
Colo_rep2_Dep6_Tu30,0.000,0.609,0.000,29.752,1.423,0.000,1.177,2.326,0.000,3.686,19.583,3.982,37.461
Colo_rep7_Dep6_Tu10,0.000,0.195,0.012,9.389,2.685,0.000,0.215,0.763,0.279,1.790,28.591,0.173,55.908
Colo_rep2_Dep6_Tu40,0.000,0.732,0.000,39.988,7.107,0.000,2.254,2.228,2.811,10.893,1.409,2.865,29.713
Colo_rep3_Dep6_Tu0.1,0.000,0.112,0.031,0.000,17.566,0.000,0.637,0.334,0.246,6.676,14.717,1.893,57.786
