Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.189,0.000,0.000,0.000,0.000,51.048,0.000,0.000,0.000,9.964,4.803,13.264,20.043,0.052,0.635,0.000
Colo_rep2_Dep6_Tu50,0.000,0.000,0.000,0.019,0.000,49.199,0.000,2.302,0.000,0.000,0.000,0.000,23.461,4.830,2.505,0.000,4.345,10.449,1.279,0.000,1.015,0.082,0.514
Colo_rep6_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,54.629,0.000,0.000,0.572,3.303,11.786,21.374,0.000,0.000,8.135,0.000
Colo_rep3_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.282,0.000,0.000,0.000,0.000,52.236,30.846,0.255,2.039,0.320,0.258,12.623,1.085,0.000,0.055,0.000
Colo_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.219,0.000,0.000,0.000,0.000,49.059,5.143,0.000,0.000,27.571,2.431,14.554,0.000,0.000,1.022,0.000
Colo_rep8_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.389,0.000,0.000,0.000,0.000,46.438,1.435,0.431,19.042,12.474,0.235,11.096,0.000,0.000,8.460,0.000
Colo_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.000,0.000,0.000,0.000,50.480,0.000,0.000,0.263,5.330,25.704,18.038,0.000,0.000,0.128,0.000
Colo_rep6_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.000,0.000,50.817,13.162,0.835,0.258,12.611,0.941,20.708,0.435,0.000,0.168,0.000
Colo_rep9_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,31.013,0.000,1.009,0.000,0.000,0.000,0.000,36.196,0.914,2.306,14.032,0.589,10.932,3.007,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.107,0.000,0.000,0.000,0.000,50.239,5.349,0.121,0.060,14.921,24.154,5.048,0.000,0.000,0.000,0.000
