Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,0.680,2.468,8.450,7.747,9.419,4.817,2.004,0.279,12.659,7.539,6.109,1.759,1.102,0.783,0.910,0.134,0.944,0.654,0.519,1.230,0.363,0.044,0.920,0.005,0.312,0.061,0.066,0.002,0.019,0.000,0.318,0.895,8.903,0.846,4.929,0.243,0.282,9.182,2.402,0.001
Colo_rep2_Dep6_Tu50,1.072,5.195,3.888,3.324,1.768,4.050,0.949,1.499,2.542,2.523,2.930,3.629,0.004,2.213,0.362,1.879,1.217,1.700,1.805,0.298,2.179,2.408,0.669,0.143,0.577,1.447,0.981,0.122,0.854,0.167,3.257,26.355,6.047,3.137,1.370,0.191,1.809,3.260,1.740,0.440
Colo_rep6_Dep6_Tu1,3.983,0.673,11.301,7.428,12.269,7.677,1.077,0.658,5.701,2.781,7.715,0.417,0.170,1.013,0.604,0.970,1.043,0.563,0.540,0.842,2.482,0.296,0.199,0.001,0.059,0.167,0.124,0.002,0.076,0.001,0.660,0.615,5.711,8.846,7.523,0.083,0.522,3.157,0.028,2.023
Colo_rep3_Dep6_Tu2,2.122,1.622,8.272,6.272,7.399,7.406,7.526,1.340,4.682,4.136,7.049,2.859,0.152,1.926,0.769,0.228,0.261,1.198,0.705,1.482,1.503,0.890,1.813,0.001,0.089,0.044,0.021,0.000,0.005,0.002,1.030,1.175,0.333,16.197,6.494,0.042,0.445,0.462,1.563,0.484
Colo_rep7_Dep6_Tu2,2.807,3.195,10.697,7.089,8.492,9.717,5.118,1.339,3.416,0.729,5.618,2.470,0.882,0.970,1.112,0.474,0.626,0.305,0.648,0.445,1.804,0.569,1.148,0.003,0.474,0.070,0.042,0.003,0.034,0.000,1.925,1.689,8.986,3.023,9.055,0.046,0.056,0.754,3.742,0.428
Colo_rep8_Dep6_Tu0.1,1.142,1.214,10.353,7.558,6.345,0.774,13.088,0.518,6.751,1.332,5.091,5.049,0.668,1.467,1.741,0.301,0.555,2.519,1.407,0.649,2.546,0.456,1.299,0.001,0.021,0.012,0.029,0.001,0.008,0.000,0.111,1.969,3.745,3.810,10.233,0.006,0.362,3.115,3.078,0.673
Colo_rep10_Dep6_Tu2,2.592,1.977,2.015,7.181,9.744,5.238,9.051,4.664,5.613,0.951,0.524,10.148,1.013,1.343,0.645,1.242,1.086,1.735,0.568,1.425,0.968,0.875,0.833,0.005,0.123,0.111,0.133,0.003,0.030,0.009,1.215,0.012,6.306,16.986,0.982,0.400,0.649,1.396,0.061,0.148
Colo_rep6_Dep6_Tu3,1.619,1.535,1.952,1.098,6.685,1.759,11.031,8.525,9.252,6.131,2.213,4.712,0.170,0.099,0.901,1.104,0.886,0.383,1.350,1.706,1.095,2.338,0.960,0.002,0.045,0.049,0.138,0.002,0.019,0.001,1.219,1.349,2.682,10.886,4.742,0.065,0.463,7.085,3.505,0.242
Colo_rep9_Dep6_Tu30,1.250,2.127,5.060,3.395,1.438,8.094,0.833,5.257,5.619,5.254,4.632,3.960,1.498,1.245,0.729,0.747,0.194,1.529,1.903,1.369,2.843,1.261,1.485,0.085,0.505,0.569,0.294,0.073,0.096,0.011,2.350,13.458,7.431,2.627,3.086,0.432,1.956,1.214,2.100,1.991
Colo_rep9_Dep6_Tu0.5,1.753,0.130,3.222,4.490,1.178,7.412,8.143,8.124,7.043,4.091,3.638,5.607,1.514,0.639,1.530,1.464,0.471,1.306,1.563,0.045,0.559,0.078,0.737,0.008,0.090,0.121,0.065,0.003,0.009,0.001,0.328,1.150,3.910,16.692,3.154,0.160,0.923,5.277,2.816,0.557
Colo_rep6_Dep6_Tu20,1.943,1.825,2.093,1.200,1.621,4.780,2.481,11.628,7.996,6.811,2.896,0.711,0.527,2.100,0.767,0.853,1.353,1.918,0.356,2.871,0.735,2.251,0.469,0.005,1.704,0.205,0.038,0.004,0.546,0.002,0.541,12.570,2.814,11.302,3.366,0.025,1.969,2.183,1.147,1.396
Colo_rep8_Dep6_Tu30,4.059,2.911,7.795,3.694,3.562,3.361,0.968,1.593,7.434,0.114,1.575,8.522,0.085,3.498,1.020,0.876,1.227,1.063,1.157,0.603,0.405,2.236,0.920,0.331,1.201,3.051,1.007,0.292,0.598,0.333,3.583,4.616,1.248,5.769,5.187,0.166,0.534,8.170,3.092,2.144
Colo_rep3_Dep6_Tu5,0.595,3.897,5.864,12.125,8.846,1.225,3.961,3.584,12.130,4.116,1.187,6.159,0.267,1.811,0.619,0.467,1.217,0.959,0.873,0.966,1.915,0.609,1.037,0.014,0.368,0.267,0.387,0.006,0.176,0.001,0.573,1.840,5.548,0.750,10.273,0.083,0.726,1.778,2.703,0.080
Colo_rep4_Dep6_Tu3,1.751,1.749,8.968,7.812,1.289,8.922,4.309,3.262,10.400,6.572,1.051,0.500,1.685,0.589,1.363,0.651,0.376,0.995,1.083,0.381,1.172,1.260,0.971,0.004,1.209,0.025,0.001,0.007,0.145,0.001,1.301,1.262,8.459,0.783,10.221,0.055,0.286,4.734,3.715,0.684
Colo_rep2_Dep6_Tu10,1.994,1.325,3.574,6.748,7.157,1.578,2.839,7.400,5.619,7.345,0.891,4.522,0.057,3.118,0.978,0.553,0.216,1.623,0.859,0.480,1.154,0.734,1.081,0.002,0.171,0.092,0.099,0.001,0.100,0.017,0.902,6.838,5.905,8.548,8.179,0.064,0.224,2.793,2.820,1.402
Colo_rep3_Dep6_Tu40,2.141,1.171,9.903,0.304,5.891,0.969,3.740,2.369,0.903,3.099,1.900,3.048,0.711,1.317,0.983,0.871,1.529,1.776,1.292,1.502,1.884,2.676,1.271,0.071,0.688,0.674,0.279,0.099,0.007,0.430,3.789,24.646,2.127,0.878,9.147,0.140,0.463,2.999,2.029,0.281
Colo_rep3_Dep6_Tu30,3.766,1.223,1.904,4.085,7.432,3.422,3.842,2.447,1.458,5.531,3.364,1.698,2.050,0.612,1.513,1.048,1.078,0.486,0.529,1.385,0.721,0.480,1.609,0.390,0.429,0.088,1.290,0.710,0.047,0.043,1.712,17.158,3.828,7.785,7.256,0.081,1.050,0.921,4.119,1.410
Colo_rep6_Dep6_Tu30,2.857,4.170,2.292,3.984,5.017,6.752,5.017,2.776,3.485,2.333,4.485,4.068,0.765,2.429,0.288,2.764,1.693,0.935,2.515,0.902,0.915,0.817,0.740,0.017,2.189,0.445,0.526,0.005,0.314,0.032,2.546,15.126,2.239,3.676,5.221,0.155,0.690,1.514,1.858,1.446
Colo_rep4_Dep6_Tu50,2.925,4.824,0.169,0.220,4.858,0.155,4.121,2.448,7.589,4.401,1.774,3.272,0.800,0.539,3.012,3.384,1.011,0.058,1.964,0.819,1.640,2.525,0.646,0.042,2.004,1.544,0.405,0.052,0.233,0.009,2.959,26.521,2.897,0.802,6.014,0.101,0.418,0.739,0.953,1.157
Colo_rep5_Dep6_Tu50,1.537,1.674,2.622,2.733,1.988,0.731,2.457,2.795,2.617,1.963,2.275,4.919,0.290,3.372,1.649,1.470,0.117,1.081,1.728,1.867,0.051,0.895,3.493,0.195,1.316,1.014,0.193,0.056,0.683,0.115,1.808,31.789,1.889,6.810,6.061,0.078,2.266,0.844,0.272,0.287
Colo_rep6_Dep6_Tu2,2.788,0.646,4.145,12.411,3.996,0.612,14.080,4.097,2.103,4.868,3.310,2.581,1.515,1.073,0.928,0.144,0.194,2.123,1.486,1.214,0.708,0.195,1.474,0.003,0.007,0.041,0.028,0.001,0.078,0.002,0.367,2.341,4.267,6.754,11.008,0.256,0.876,3.076,2.418,1.788
Colo_rep10_Dep6_Tu50,5.265,0.345,0.264,0.323,0.319,0.803,1.951,3.758,4.277,2.636,4.310,5.181,3.150,0.933,0.963,0.816,1.565,0.813,1.650,1.728,2.425,1.319,1.423,0.330,1.324,1.174,1.158,0.100,0.138,1.272,1.721,32.140,4.481,1.657,4.189,0.368,1.029,0.288,0.859,1.555
Colo_rep7_Dep6_Tu50,4.843,4.269,4.304,3.439,3.219,1.396,1.996,3.825,1.202,4.556,3.962,1.429,0.519,1.830,0.442,0.583,1.418,3.843,2.282,0.007,2.462,3.066,0.199,0.090,1.754,1.511,0.014,1.116,0.810,0.094,0.782,26.247,0.052,4.839,4.234,0.084,0.795,1.808,0.436,0.244
Colo_rep9_Dep6_Tu40,0.540,3.651,5.857,4.604,4.378,2.639,2.850,2.236,1.035,7.050,1.718,1.125,1.658,0.504,1.304,1.257,2.673,2.732,0.807,0.381,2.928,2.572,0.377,0.329,0.762,0.315,2.151,0.023,0.540,0.012,2.836,20.221,6.793,0.347,2.812,0.528,0.947,1.857,1.135,3.515
Colo_rep8_Dep6_Tu5,3.236,0.314,7.397,3.963,6.756,1.966,2.081,7.092,8.276,3.214,2.538,6.141,2.898,0.336,1.440,0.772,2.126,1.906,0.192,1.219,0.849,2.193,0.218,0.005,0.507,0.311,0.206,0.001,0.182,0.017,0.653,3.551,6.104,6.815,9.352,0.012,0.417,3.131,0.194,1.418
Colo_rep1_Dep6_Tu20,3.233,0.952,7.711,5.202,3.262,2.541,0.285,6.573,3.237,1.126,5.148,4.011,0.360,3.028,2.198,0.730,0.837,0.792,0.782,1.967,1.815,1.153,1.332,0.080,0.794,0.837,0.469,0.048,0.200,0.001,0.859,14.129,1.577,9.691,6.828,0.039,0.773,2.642,1.013,1.742
Colo_rep9_Dep6_Tu2,3.101,4.127,3.872,3.906,9.237,8.025,1.148,7.973,4.869,2.560,5.941,3.271,1.206,0.654,0.750,0.559,0.626,1.183,0.516,0.503,0.743,0.871,0.763,0.003,0.040,0.409,0.169,0.007,0.031,0.001,0.776,0.782,13.532,6.420,1.187,0.064,0.744,5.112,3.702,0.620
Colo_rep5_Dep6_Tu30,5.807,5.555,2.209,1.220,4.031,1.259,6.709,8.500,2.097,0.483,4.615,1.526,0.998,0.159,0.005,1.273,2.141,0.217,1.024,0.648,1.720,3.259,2.026,0.097,1.061,0.205,2.068,0.011,0.112,0.002,3.035,13.023,4.087,8.052,4.538,0.040,0.462,2.272,2.956,0.502
Colo_rep4_Dep6_Tu0.1,1.297,2.385,4.524,2.044,7.968,8.585,8.264,11.106,5.323,1.843,7.234,1.477,0.916,0.293,0.946,0.844,0.427,1.218,0.866,1.091,1.094,0.040,0.851,0.004,0.054,0.133,0.020,0.001,0.062,0.001,0.550,0.524,8.786,8.454,6.356,0.091,0.435,1.833,1.037,1.021
Colo_rep5_Dep6_Tu0.1,2.055,3.258,8.094,8.442,9.900,6.643,1.454,1.170,9.829,6.258,0.894,2.578,0.291,1.049,0.748,0.518,0.756,0.889,0.243,0.340,1.825,0.845,0.893,0.020,0.254,0.154,0.027,0.011,0.031,0.001,0.102,0.690,2.667,8.453,11.290,0.006,1.106,2.718,0.853,2.647
Colo_rep9_Dep6_Tu3,3.328,1.149,4.726,9.525,3.913,0.523,5.024,6.487,13.590,5.315,2.507,4.822,1.633,1.555,0.336,1.455,1.143,0.164,1.228,1.060,0.624,1.322,0.903,0.007,0.249,0.062,0.114,0.009,0.021,0.002,0.285,2.030,5.040,6.568,9.712,0.090,0.388,1.397,1.324,0.372
Colo_rep2_Dep6_Tu0.1,1.783,1.427,8.225,9.485,0.784,4.185,9.137,1.950,7.039,0.868,6.839,4.964,1.781,1.277,1.090,0.786,0.116,0.558,1.865,1.576,0.914,0.481,1.042,0.004,0.385,0.119,0.019,0.003,0.008,0.000,0.300,1.415,7.383,5.127,7.963,0.003,0.397,3.766,3.740,1.197
Colo_rep8_Dep6_Tu10,0.819,1.728,3.476,9.048,11.359,5.798,0.432,11.220,3.034,0.702,6.507,3.509,0.945,1.485,3.222,0.003,1.485,0.003,2.167,1.003,1.783,2.592,1.159,0.022,0.857,0.024,0.533,0.002,0.047,0.001,0.872,3.378,7.561,5.710,1.005,0.020,0.637,3.436,0.413,2.002
Colo_rep4_Dep6_Tu30,1.217,0.765,6.255,5.387,6.754,1.506,2.323,4.831,4.088,0.063,2.892,5.802,1.004,1.330,1.001,1.334,1.305,1.475,1.078,1.705,1.025,1.926,0.806,0.005,1.064,0.190,0.300,0.097,0.383,0.378,2.115,15.470,2.218,1.529,3.927,0.095,0.924,10.993,2.184,2.258
Colo_rep2_Dep6_Tu2,1.743,2.771,7.855,7.684,7.053,4.479,4.918,8.160,2.699,0.679,7.031,3.164,0.997,0.853,0.622,1.389,0.762,0.536,0.511,0.757,1.603,0.830,1.035,0.019,0.254,0.031,0.149,0.001,0.002,0.001,0.724,0.549,8.062,4.936,9.546,0.024,1.349,3.431,1.088,1.705
