Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Colo_rep2_Dep6_Tu0.5,1.403,2.210,4.303,11.829,1.607,10.218,6.731,7.433,2.382,3.443,2.763,7.334,1.034,0.883,0.111,0.853,1.183,0.693,0.119,0.559,1.315,0.265,0.064,0.001,0.164,0.023,0.046,0.006,0.012,0.000,0.496,1.013,1.333,16.673,1.435,0.168,0.169,4.727,4.908,0.091,0.002
Colo_rep2_Dep6_Tu50,2.841,2.961,1.525,2.581,2.408,3.644,0.770,3.353,2.907,3.291,0.940,4.805,1.434,1.680,1.101,1.377,0.407,1.905,0.305,1.522,0.774,0.700,2.372,0.129,0.251,0.443,2.502,0.167,1.251,0.466,1.176,25.843,5.114,3.491,4.689,1.717,0.052,0.799,3.046,3.158,0.105
Colo_rep6_Dep6_Tu1,0.378,2.123,8.793,4.111,5.653,7.346,3.337,13.551,2.516,3.873,3.072,5.060,0.118,2.122,0.131,0.573,0.412,1.022,0.256,0.751,1.439,0.216,1.644,0.000,0.220,0.010,0.089,0.010,0.021,0.001,0.658,0.756,6.183,7.619,6.173,0.353,0.098,3.200,2.300,3.790,0.022
Colo_rep3_Dep6_Tu2,1.529,1.183,12.490,1.904,2.620,4.673,4.386,14.187,3.631,3.925,7.389,4.484,1.085,1.004,0.166,0.462,0.403,0.570,1.641,1.589,0.876,0.524,2.237,0.001,0.063,0.084,0.005,0.001,0.041,0.000,0.537,1.228,5.272,10.400,4.134,0.220,0.226,0.553,3.899,0.300,0.080
Colo_rep7_Dep6_Tu2,2.982,2.788,4.939,12.422,3.190,5.795,12.980,3.548,0.125,2.380,2.547,4.854,0.409,1.319,0.080,0.837,0.955,0.893,0.633,1.041,0.402,1.019,1.079,0.006,1.068,0.046,0.025,0.002,0.056,0.000,0.731,0.880,3.860,19.459,1.863,0.316,0.018,2.172,0.940,0.744,0.598
Colo_rep8_Dep6_Tu0.1,2.228,0.927,2.293,6.022,8.439,4.810,9.251,4.780,10.652,4.163,1.066,5.403,0.441,1.134,0.466,2.127,1.088,0.939,1.049,1.138,0.452,2.593,1.193,0.000,0.108,0.033,0.026,0.000,0.012,0.000,0.142,1.088,7.300,2.354,10.278,0.324,0.039,0.072,2.988,2.577,0.004
Colo_rep10_Dep6_Tu2,1.682,1.682,7.303,9.269,2.445,8.873,7.819,4.219,2.964,5.033,6.743,1.486,0.910,1.245,0.378,0.651,1.629,0.667,0.517,1.161,1.074,0.661,0.585,0.003,0.101,0.070,0.094,0.001,0.007,0.012,1.061,1.583,8.145,9.505,0.910,0.475,0.075,4.129,1.232,3.597,0.003
Colo_rep6_Dep6_Tu3,1.268,2.078,0.305,9.479,2.437,7.829,8.518,3.741,7.714,5.772,3.374,3.793,0.162,1.057,0.046,1.293,0.177,1.383,0.937,0.976,2.252,1.400,0.988,0.003,0.067,0.056,0.070,0.004,0.031,0.002,0.900,1.245,1.272,12.765,11.574,0.532,0.033,1.017,2.929,0.510,0.015
Colo_rep9_Dep6_Tu30,5.682,1.325,5.125,3.330,1.720,4.475,6.434,8.606,4.023,3.106,1.579,6.679,1.369,1.671,0.355,0.618,0.488,0.054,1.405,1.281,1.845,2.615,1.071,0.283,0.681,0.346,0.495,0.006,0.274,0.060,1.159,14.208,6.805,1.107,0.761,1.247,0.029,4.752,0.401,2.338,0.189
Colo_rep9_Dep6_Tu0.5,2.436,0.036,1.198,3.866,15.389,1.250,1.006,12.280,4.844,9.257,0.943,2.571,0.150,1.340,0.215,1.559,2.283,1.314,1.360,0.626,0.625,0.075,0.249,0.009,0.064,0.051,0.119,0.007,0.023,0.000,0.132,0.276,6.822,16.919,2.150,0.811,0.361,4.737,0.415,2.157,0.076
Colo_rep6_Dep6_Tu20,1.536,1.302,6.729,6.222,7.204,2.706,6.828,0.915,3.051,5.079,0.440,5.091,0.601,2.342,1.443,0.225,0.417,1.976,0.246,4.216,2.567,0.183,0.870,0.004,2.213,0.093,0.312,0.012,1.052,0.014,1.528,8.092,5.008,3.471,8.104,0.038,0.109,4.285,1.345,2.120,0.011
Colo_rep8_Dep6_Tu30,1.112,2.786,5.107,0.571,1.855,2.175,1.871,5.770,7.322,1.795,3.822,5.673,0.428,3.064,1.172,0.498,1.379,1.009,1.042,1.226,1.657,0.430,1.186,1.205,1.250,0.326,1.304,0.213,0.498,0.070,2.344,10.130,0.985,9.917,9.116,0.613,0.344,0.918,3.546,3.936,0.334
Colo_rep3_Dep6_Tu5,1.151,3.153,15.840,2.542,0.399,7.716,3.150,9.094,5.508,3.580,4.169,4.608,1.003,1.263,0.650,0.453,1.109,1.480,0.352,0.868,1.181,0.338,1.451,0.002,0.166,0.085,0.420,0.013,0.013,0.000,0.363,1.113,6.435,0.447,9.047,0.695,0.005,3.115,3.997,2.759,0.269
Colo_rep4_Dep6_Tu3,2.006,1.789,8.024,2.559,6.388,14.081,2.587,3.898,3.887,3.473,3.563,4.808,1.734,0.414,0.724,0.084,0.068,0.631,1.618,1.502,0.830,1.160,0.695,0.017,0.619,0.020,0.036,0.028,0.210,0.007,0.056,3.053,4.386,2.697,14.202,0.323,0.084,2.943,0.916,3.552,0.327
Colo_rep2_Dep6_Tu10,2.687,0.403,6.041,8.560,0.711,5.515,5.829,4.587,7.135,1.373,3.766,4.980,1.505,1.955,0.997,0.061,1.058,0.600,0.602,1.691,2.397,0.266,0.148,0.000,0.314,0.102,0.143,0.001,0.058,0.054,0.778,6.064,0.533,5.810,11.143,0.090,0.016,6.003,1.543,4.392,0.087
Colo_rep3_Dep6_Tu40,0.925,1.258,3.221,1.268,7.540,1.129,7.096,4.341,2.093,3.270,3.877,0.910,1.715,2.513,1.473,2.143,0.368,0.514,0.858,0.251,2.219,2.579,0.564,0.125,0.560,0.051,0.337,0.287,0.607,0.271,2.946,24.626,2.127,0.639,5.259,0.319,0.160,5.874,3.518,0.122,0.045
Colo_rep3_Dep6_Tu30,2.160,4.037,6.684,9.291,4.165,2.121,1.272,3.798,2.669,6.192,0.884,1.880,0.264,1.994,1.465,0.763,0.616,1.058,0.296,0.403,0.920,1.463,1.396,0.602,1.455,0.335,1.191,0.249,0.046,0.150,0.251,16.572,3.714,2.211,4.984,0.397,0.026,4.080,5.219,2.171,0.555
Colo_rep6_Dep6_Tu30,2.436,3.195,3.285,4.378,4.923,3.703,5.576,6.052,2.006,2.121,1.093,4.479,2.639,0.678,2.367,1.472,1.555,0.459,1.186,2.633,1.496,0.850,0.604,0.023,2.138,0.483,0.400,0.001,0.239,0.054,2.468,13.071,2.163,3.451,7.731,0.423,0.379,2.276,3.093,2.393,0.029
Colo_rep4_Dep6_Tu50,6.092,0.218,5.922,0.740,1.459,3.407,3.787,4.269,1.526,2.429,5.776,1.380,0.573,1.512,2.322,1.800,0.128,2.702,2.438,0.202,0.547,2.187,1.893,0.104,1.158,1.041,1.118,0.028,0.293,0.015,1.742,26.434,1.643,0.554,4.742,1.418,0.055,0.883,4.845,0.475,0.145
Colo_rep5_Dep6_Tu50,3.188,3.697,1.189,0.351,4.144,1.531,3.814,0.089,3.460,5.155,1.486,2.403,3.169,0.898,1.664,1.024,0.758,0.869,0.706,0.547,1.235,1.982,1.275,0.129,1.846,0.567,0.404,0.007,0.148,0.290,3.315,27.060,3.078,7.820,2.138,0.194,0.161,2.872,1.937,3.181,0.217
Colo_rep6_Dep6_Tu2,1.677,2.280,9.485,0.689,5.556,11.424,9.984,5.812,0.688,2.660,3.882,3.902,1.515,0.482,1.490,1.405,0.157,0.881,1.477,0.750,0.077,1.429,0.809,0.004,0.077,0.107,0.025,0.002,0.101,0.025,0.026,1.269,1.552,2.900,13.920,0.192,0.100,3.792,3.620,3.715,0.061
Colo_rep10_Dep6_Tu50,2.884,4.277,0.354,0.607,0.713,2.727,1.564,1.703,2.763,0.253,5.449,5.921,0.666,3.120,0.783,1.190,0.906,1.803,1.421,1.415,1.163,1.717,2.463,0.229,0.047,0.733,1.622,0.139,1.015,0.583,3.000,28.473,0.394,4.463,4.534,0.226,0.647,1.442,1.868,3.536,1.188
Colo_rep7_Dep6_Tu50,3.399,6.925,4.694,3.999,3.134,3.131,2.562,4.039,1.211,3.988,0.859,3.379,1.398,1.627,3.330,1.456,0.464,0.944,0.673,0.630,1.299,1.788,2.846,0.059,2.171,1.677,0.826,0.963,0.566,0.021,3.927,18.145,1.578,7.031,0.780,0.892,0.005,0.037,2.056,1.459,0.033
Colo_rep9_Dep6_Tu40,0.425,3.841,0.308,3.973,0.391,1.918,5.614,4.011,6.470,3.964,3.262,3.669,0.499,1.492,0.455,2.652,1.477,2.988,0.067,0.826,1.398,1.355,2.498,0.465,0.443,0.889,1.047,0.473,1.087,0.077,1.023,21.284,4.987,4.657,0.574,1.031,0.466,0.629,4.086,3.110,0.120
Colo_rep8_Dep6_Tu5,2.644,1.801,3.631,2.661,6.306,3.923,5.757,5.206,10.176,5.687,2.223,4.334,1.412,1.900,1.408,0.729,0.448,0.804,1.284,1.384,2.201,0.964,0.288,0.003,0.470,0.185,0.050,0.001,0.017,0.012,0.449,3.508,4.637,8.681,6.149,0.964,0.085,2.704,4.045,0.828,0.040
Colo_rep1_Dep6_Tu20,1.582,2.352,5.805,5.920,3.243,7.664,2.883,0.720,2.794,2.878,3.976,3.143,1.844,1.074,1.103,0.207,2.971,1.193,0.097,3.139,0.692,1.660,1.192,0.123,0.915,0.969,0.042,0.066,0.222,0.006,0.789,12.832,5.828,6.315,7.267,0.179,0.024,3.408,2.337,0.236,0.309
Colo_rep9_Dep6_Tu2,3.493,2.717,3.933,8.829,2.554,10.603,1.727,3.211,4.082,3.422,7.263,2.055,1.508,0.326,0.389,0.864,0.846,0.152,0.436,1.213,1.596,0.779,0.059,0.012,0.157,0.130,0.215,0.005,0.040,0.000,0.068,1.617,2.232,18.731,5.002,0.492,0.015,2.478,4.547,1.976,0.224
Colo_rep5_Dep6_Tu30,0.579,5.921,0.779,8.282,2.621,4.278,5.524,2.365,0.937,0.168,4.194,4.287,0.867,0.583,0.252,1.042,1.810,1.473,1.464,1.478,3.055,1.808,1.615,0.006,0.648,0.858,2.309,0.008,0.007,0.023,3.131,10.987,1.192,9.765,10.060,0.141,0.110,1.923,2.327,0.981,0.143
Colo_rep4_Dep6_Tu0.1,3.864,1.572,10.899,8.226,5.353,4.106,8.087,6.987,7.198,1.844,2.923,5.384,0.713,0.820,0.597,0.170,1.029,0.545,0.150,1.179,0.759,0.553,1.065,0.000,0.109,0.083,0.020,0.002,0.049,0.000,0.455,1.129,6.648,3.121,9.901,0.045,0.061,0.655,0.837,2.713,0.149
Colo_rep5_Dep6_Tu0.1,0.171,2.825,11.334,5.924,8.559,6.646,3.391,1.238,6.819,1.284,0.874,7.837,0.951,0.456,0.780,0.016,0.277,0.892,0.463,1.501,1.973,1.040,0.314,0.020,0.048,0.046,0.072,0.001,0.008,0.000,0.218,0.616,1.425,10.831,8.882,0.937,0.039,0.833,5.005,5.450,0.005
Colo_rep9_Dep6_Tu3,2.312,1.263,6.950,8.157,5.801,9.172,9.243,2.722,4.068,4.396,4.418,3.392,1.413,0.718,1.986,0.467,0.109,0.115,1.265,1.654,0.148,0.875,1.394,0.002,0.143,0.131,0.015,0.005,0.031,0.000,0.214,2.055,12.684,1.691,0.960,0.280,0.112,5.178,2.678,1.779,0.003
Colo_rep2_Dep6_Tu0.1,0.609,1.883,9.597,2.709,0.411,3.204,7.909,8.825,9.259,2.998,5.110,4.318,1.351,1.589,0.901,0.922,1.596,1.119,0.521,1.021,0.988,0.852,0.662,0.005,0.280,0.045,0.148,0.002,0.029,0.000,0.228,1.198,0.094,3.206,13.460,0.288,0.049,6.193,5.150,1.260,0.008
Colo_rep8_Dep6_Tu10,0.420,2.276,5.019,4.296,3.207,6.401,12.181,11.415,1.276,2.033,4.583,4.506,1.451,1.096,1.634,1.972,1.400,0.160,0.100,1.410,2.041,2.143,1.370,0.028,0.225,0.217,0.671,0.001,0.104,0.005,0.075,2.959,5.633,4.278,4.562,0.467,0.051,0.568,4.269,3.466,0.032
Colo_rep4_Dep6_Tu30,1.577,3.168,8.045,8.247,2.451,0.159,0.464,3.569,6.866,3.265,5.326,1.435,0.663,1.281,0.915,0.589,2.829,2.077,0.905,0.162,1.777,0.352,0.408,0.032,0.987,0.619,0.227,0.066,0.619,0.161,2.907,12.133,2.054,12.872,3.506,1.413,0.222,0.224,3.908,1.498,0.023
Colo_rep2_Dep6_Tu2,3.612,1.519,8.579,3.524,7.816,8.515,6.315,0.693,5.579,4.445,5.731,0.671,0.842,1.354,0.502,1.128,1.045,0.723,0.232,0.460,0.651,1.818,0.219,0.004,0.346,0.034,0.046,0.003,0.010,0.000,0.520,0.009,0.774,14.113,9.942,0.746,0.297,2.479,1.057,3.455,0.190
Colo_rep1_Dep6_Tu5,0.760,1.227,15.067,0.248,3.475,1.015,1.305,16.013,2.701,1.686,6.199,3.888,0.712,0.275,1.614,0.900,0.032,1.262,1.789,1.182,0.716,0.948,1.523,0.010,0.212,0.124,0.011,0.003,0.019,0.001,0.783,3.445,9.647,3.464,9.868,0.944,0.150,1.212,1.195,4.315,0.059
Colo_rep8_Dep6_Tu50,3.291,2.276,5.148,0.054,1.109,3.184,2.218,3.089,3.064,5.019,1.902,4.287,2.592,1.954,0.932,0.349,3.140,1.047,2.591,1.581,2.099,1.083,2.454,0.037,1.356,0.705,0.520,0.092,1.919,0.314,6.932,18.950,0.298,2.023,5.202,1.821,0.071,2.308,2.400,0.344,0.244
Colo_rep5_Dep6_Tu5,0.618,2.426,2.415,5.956,2.033,1.721,6.332,11.118,11.126,5.280,5.634,0.914,1.650,0.010,0.768,1.259,1.095,0.329,1.955,0.640,2.522,0.701,0.716,0.000,0.122,0.057,0.049,0.000,0.028,0.000,0.171,2.233,12.849,3.128,1.556,0.390,0.089,5.737,5.992,0.363,0.017
Colo_rep6_Dep6_Tu50,5.702,1.295,3.299,3.265,0.740,1.584,2.578,0.573,3.415,3.529,1.291,4.916,2.982,1.739,1.802,1.094,2.994,0.562,0.629,0.601,2.561,0.074,2.199,0.089,2.145,0.252,0.577,0.057,0.213,0.003,4.041,24.036,6.787,0.416,5.978,1.859,0.202,1.708,1.192,0.974,0.046
Colo_rep5_Dep6_Tu0.5,1.940,0.934,1.154,8.564,2.849,0.597,3.991,13.785,15.577,0.752,7.709,2.842,1.147,0.571,0.317,0.406,0.649,0.027,0.502,0.756,0.410,1.393,0.495,0.002,0.119,0.091,0.221,0.008,0.006,0.001,0.246,0.173,8.282,5.440,9.021,0.856,0.051,2.228,2.556,3.326,0.006
Colo_rep4_Dep6_Tu20,0.762,2.144,0.760,4.915,7.477,5.040,4.026,4.469,4.214,0.888,5.766,3.839,2.957,1.280,1.525,0.515,0.754,1.677,1.478,0.290,0.537,0.749,2.823,0.024,1.076,0.158,0.391,0.105,0.130,0.019,0.496,14.333,3.467,7.787,7.678,0.992,0.394,1.519,0.909,1.449,0.187
Colo_rep8_Dep6_Tu40,2.988,3.695,4.246,2.368,6.471,2.628,0.901,4.529,5.115,3.649,0.312,3.122,2.958,0.357,2.450,2.109,0.612,0.997,0.156,1.516,2.762,1.041,1.462,0.205,0.218,1.809,2.595,0.296,2.073,0.421,4.057,9.956,6.143,3.187,4.445,0.522,0.157,2.963,0.322,3.518,0.670
Colo_rep7_Dep6_Tu0.3,0.620,4.906,16.777,0.146,5.427,5.575,6.148,4.460,2.952,5.602,3.625,2.981,1.036,1.355,0.108,0.194,1.032,0.771,0.660,0.665,1.145,0.555,0.445,0.001,0.052,0.103,0.084,0.003,0.051,0.003,0.036,0.812,8.280,4.504,12.154,0.265,0.110,0.922,2.114,3.229,0.092
Colo_rep7_Dep6_Tu30,2.662,2.594,5.050,7.839,4.912,0.756,0.472,7.848,5.591,3.646,2.999,2.601,2.711,0.992,1.533,0.252,2.181,1.400,1.698,1.440,1.049,0.747,1.386,0.055,0.771,0.741,2.911,0.156,0.167,0.050,7.425,1.177,4.483,7.335,3.707,0.920,0.713,2.559,2.589,1.772,0.109
Colo_rep10_Dep6_Tu20,0.651,3.945,4.895,7.741,4.224,1.468,6.977,5.091,6.884,2.865,5.315,3.647,0.806,1.538,1.494,1.059,1.111,2.185,1.245,0.377,0.375,1.904,1.952,0.211,0.594,0.381,0.348,0.111,0.758,0.022,0.159,12.509,6.175,4.952,2.329,1.205,0.169,0.571,0.228,1.032,0.497
Colo_rep9_Dep6_Tu10,1.718,1.365,4.249,0.675,6.447,9.203,0.405,7.372,6.557,5.699,4.673,4.710,0.907,1.121,0.116,0.448,0.005,0.303,0.704,1.186,1.570,1.738,1.588,0.012,0.397,0.087,0.087,0.001,0.247,0.026,0.277,5.247,7.769,4.339,5.845,0.338,0.131,5.353,3.145,3.928,0.014
Colo_rep9_Dep6_Tu0.1,0.580,2.338,3.681,3.610,9.727,6.557,6.058,10.260,5.970,0.650,5.016,5.117,1.447,1.316,0.011,0.036,2.523,0.651,0.991,2.788,1.984,0.568,1.456,0.000,0.366,0.116,0.005,0.000,0.006,0.000,0.279,0.832,11.462,0.585,5.775,0.471,0.128,1.060,0.678,4.899,0.001
Colo_rep10_Dep6_Tu0.3,1.832,2.291,1.517,1.919,4.498,9.495,9.462,8.277,10.000,0.223,5.344,4.109,1.857,1.038,0.500,0.413,1.365,1.368,0.468,2.143,0.533,1.504,0.297,0.001,0.075,0.022,0.021,0.001,0.078,0.001,0.242,1.143,2.105,10.943,6.483,0.267,0.047,5.266,0.359,2.469,0.022
Colo_rep8_Dep6_Tu20,0.336,4.937,4.326,7.037,4.363,7.445,5.146,2.321,6.917,3.327,0.486,3.974,2.123,1.681,1.441,1.705,1.488,1.705,2.139,0.151,1.975,2.190,0.875,0.079,0.355,0.143,1.426,0.024,0.082,0.001,3.319,3.732,8.948,1.937,5.571,0.277,0.172,2.509,0.696,2.629,0.011
Colo_rep3_Dep6_Tu3,1.536,3.228,1.521,8.097,4.848,2.178,4.903,10.450,6.404,4.511,0.663,6.232,1.601,0.821,0.924,1.011,1.852,0.374,0.637,1.109,0.844,0.440,1.184,0.004,0.102,0.047,0.123,0.002,0.424,0.004,0.335,3.875,8.202,5.975,7.099,0.214,0.127,3.482,2.160,2.095,0.358
Colo_rep4_Dep6_Tu2,0.877,1.015,0.663,3.806,2.429,2.816,7.521,8.704,15.080,0.120,4.256,12.488,0.248,1.277,0.645,0.744,1.591,0.375,0.368,1.064,0.475,1.492,1.138,0.003,0.092,0.019,0.035,0.002,0.015,0.002,0.069,0.642,14.548,3.450,2.247,0.140,0.037,2.899,3.412,3.196,0.001
