Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.800,0.000,0.000,0.000,0.610,0.000,0.000,37.912,0.000,0.000,0.000,0.000,0.000,0.000,0.195,9.452,0.000,0.480,0.000,9.443,0.000,0.240,0.000,0.000,0.000,0.000,0.000,3.455,0.000,0.000
Colo_rep2_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.430,0.000,0.000,6.990,0.000,0.000,0.000,44.279,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.496,0.000,1.726,0.112,0.000,0.000,0.000,0.119,0.000,0.000,2.681,0.000,0.000,0.000,8.868,0.000,0.296,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu1,0.000,0.000,0.000,0.000,0.863,0.000,0.000,0.000,19.696,0.000,0.000,14.193,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.469,0.000,0.000,0.000,0.000,0.000,20.566,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.759,0.000,1.420,0.000,7.669,0.000,4.718,1.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.545,9.663,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,5.831,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.809,0.000,8.325,0.000,39.634,0.000,0.000,0.132,0.000,0.000,29.486,0.000,0.406,0.000,0.000
Colo_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,12.763,0.000,1.592,3.912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.765,2.234,0.000,0.000,0.000,0.000,0.000,3.464,0.000,0.000,0.000,0.000,0.000,0.000,0.083,2.177,0.000,0.059,0.000,35.793,0.000,0.907,0.000,0.000,0.000,0.000,0.000,2.249,0.000,0.000
Colo_rep8_Dep6_Tu0.1,1.176,19.266,0.000,0.000,0.000,0.000,4.307,9.431,0.000,3.930,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.993,0.000,0.000,11.019,0.000,0.000,1.632,0.000,0.000,0.000,0.000,0.000,0.000,0.292,0.450,0.679,0.677,0.000,41.668,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.477,0.000,0.000
Colo_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,1.693,0.000,0.000,7.424,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.646,0.000,0.008,0.040,0.000,0.000,0.000,0.384,15.475,34.541,0.000,0.000,25.484,0.000,3.144,0.157,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,7.032,0.000,0.000,11.826,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.562,0.000,0.000,0.000,0.000,0.000,16.994,0.000,0.000,0.000,0.000,0.000,0.000,1.562,0.899,0.000,0.084,0.000,29.790,0.000,0.000,0.206,0.000,0.000,27.266,0.000,1.774,0.000,0.000
Colo_rep9_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.479,0.000,0.000,15.722,0.000,0.000,0.000,28.139,0.000,0.000,0.000,0.000,0.000,4.253,0.000,0.000,0.000,0.000,0.000,18.297,0.000,0.000,0.191,0.000,0.000,0.387,0.992,13.213,0.000,7.907,0.000,1.839,0.000,0.424,0.000,0.000,0.000,0.000,0.000,5.154,0.000,0.000
Colo_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.495,0.453,19.953,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.918,0.000,0.000,0.000,0.000,0.000,0.000,4.376,6.522,0.000,0.000,0.000,12.581,0.000,4.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.895,5.522,0.000,0.000,0.000,0.000,19.724,0.000,0.000,0.000,0.000,10.964,0.000,0.000,0.000,0.000,1.799,0.000,6.767,0.000,0.002,0.067,0.000,0.000,0.000,0.000,18.296,0.000,1.190,0.000,17.476,0.000,0.000,0.000,0.000,0.000,8.808,0.000,4.487,0.000,0.000
Colo_rep8_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.807,6.517,0.000,0.000,0.000,0.000,0.000,26.183,0.000,0.000,0.000,0.000,0.000,5.539,0.000,0.265,0.000,0.000,0.000,26.656,0.000,0.000,0.799,0.000,0.000,0.000,0.699,12.028,0.000,5.037,0.000,0.000,0.000,7.219,0.000,3.249,0.000,0.000,0.000,0.000,0.000,0.000
