Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,14.665,0.000,13.511,0.000,0.000,27.414,0.000,21.013,0.000,13.949,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.376,0.000,0.000,0.000,0.000,0.000
Colo_rep2_Dep6_Tu50,0.000,15.795,9.498,0.000,0.000,19.292,3.088,0.000,0.000,0.000,0.000,7.301,0.000,3.704,0.000,0.000,0.000,1.226,0.000,0.000,0.000,1.811,0.000,0.000,0.000,0.000,5.374,0.000,0.000,0.000,7.053,16.020,0.000,0.000,7.730,2.108,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu1,11.256,0.000,3.297,0.000,0.000,20.294,2.320,35.520,0.000,3.570,0.000,6.001,0.000,0.138,0.000,0.000,0.000,0.000,0.000,0.000,6.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.682,5.583,5.247,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu2,10.911,0.000,13.619,0.000,0.000,31.752,3.508,12.970,0.000,11.259,0.000,1.757,0.000,1.989,0.000,0.000,0.000,0.000,0.632,0.000,6.421,0.000,0.000,0.708,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.473,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep7_Dep6_Tu2,17.619,0.000,0.000,0.000,0.000,35.637,0.000,27.815,0.000,8.896,0.000,0.000,0.831,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.692,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.510,0.000,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu0.1,10.667,0.000,8.046,7.684,0.000,29.208,0.000,14.085,0.000,10.804,0.000,0.000,0.000,2.454,0.000,0.000,0.000,0.000,1.215,0.000,6.200,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.604,0.000,0.000,0.000,0.000,0.000
Colo_rep10_Dep6_Tu2,5.555,6.692,5.441,0.000,0.000,28.484,0.000,23.863,0.000,15.435,0.000,0.000,0.423,1.028,0.000,0.000,0.000,0.000,0.000,0.447,1.695,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.000,0.000,0.000,0.000,10.913,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu3,9.148,0.000,0.000,0.000,0.000,49.220,0.000,10.066,0.000,11.784,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,6.783,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.998,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu30,15.477,0.000,15.565,0.000,0.000,4.308,0.000,24.105,0.000,0.000,0.000,12.338,0.000,2.524,0.000,0.000,0.000,0.000,0.000,0.000,2.783,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.789,5.311,6.632,0.000,3.168,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu0.5,7.007,4.388,24.814,0.000,0.000,16.982,0.000,17.121,0.000,9.573,0.000,3.426,0.000,2.959,0.000,0.000,0.000,0.000,0.000,0.091,1.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.613,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu20,10.046,0.000,4.915,0.000,0.000,23.331,1.706,21.557,0.000,0.157,12.185,0.000,0.015,1.348,0.000,0.000,0.000,0.000,0.000,3.257,3.311,0.000,0.000,0.000,4.053,0.000,0.000,0.000,0.000,0.000,6.729,4.116,0.000,0.000,3.273,0.000,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu30,4.461,8.656,29.594,0.000,0.000,0.000,5.996,10.607,0.000,1.784,4.971,1.453,0.000,3.257,0.000,0.000,0.000,0.000,0.000,0.000,1.069,0.000,0.000,0.000,0.000,2.473,0.000,0.000,0.000,0.000,13.269,0.000,3.952,0.000,8.459,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu5,12.767,0.000,19.821,0.000,6.150,34.695,0.000,0.000,0.000,0.565,0.000,6.264,0.000,1.289,0.000,0.000,0.000,0.000,0.000,0.000,6.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.106,0.252,0.000,0.000,0.000,9.860,0.000,0.000,0.000,0.000,0.000
Colo_rep4_Dep6_Tu3,10.400,0.000,7.057,0.000,3.605,47.673,0.000,0.157,0.000,3.005,0.000,8.805,6.389,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.288,0.000,0.000,0.000,0.000,0.000
Colo_rep2_Dep6_Tu10,10.461,0.000,4.973,0.000,0.000,22.549,0.000,26.323,0.000,12.554,0.000,1.060,0.000,2.512,0.000,0.000,0.000,0.000,0.000,0.182,2.989,0.000,0.000,0.000,0.063,0.000,0.000,0.000,0.000,0.000,3.183,0.000,0.000,0.000,13.153,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu40,8.827,0.000,11.912,4.220,0.000,0.000,2.194,18.770,0.000,0.000,0.000,9.048,0.000,2.206,0.000,0.000,0.000,2.424,0.000,0.000,2.919,0.612,0.000,0.000,0.000,0.000,0.310,0.000,0.000,0.000,6.744,16.401,5.243,0.000,8.171,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu30,4.794,9.147,5.122,0.000,0.000,28.641,0.000,13.122,0.000,8.478,0.000,0.000,0.000,4.055,0.770,0.000,0.000,0.000,0.000,0.000,0.856,0.000,2.413,0.000,5.372,0.000,0.000,0.000,0.000,0.698,7.266,4.351,2.983,0.000,1.932,0.000,0.000,0.000,0.000,0.000
