Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,13.651,0.000,15.587,0.000,0.000,27.935,0.000,18.257,0.000,14.053,0.000,0.000,0.000,0.172,0.000,0.000,0.000,0.000,0.000,0.000,1.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.687,0.000,0.000,0.000,0.000,0.000
Colo_rep2_Dep6_Tu50,0.000,14.528,13.803,0.000,0.000,17.948,0.000,0.000,0.000,0.000,0.000,7.635,0.000,4.096,0.000,0.000,0.000,1.244,0.000,0.000,1.019,1.079,0.000,0.000,0.000,0.000,5.156,0.000,0.000,0.000,8.092,15.928,0.000,0.000,8.419,1.053,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu1,7.265,2.898,4.812,0.000,0.000,21.386,0.000,34.412,0.000,2.990,0.000,6.822,0.000,0.569,0.000,0.000,0.000,0.000,0.000,0.000,6.395,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.809,7.497,4.145,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu2,9.599,0.000,16.068,0.000,0.000,32.411,0.000,12.524,0.000,10.808,0.000,2.412,0.000,2.120,0.000,0.000,0.000,0.000,1.175,0.000,6.729,0.000,0.000,0.000,0.000,0.350,0.000,0.000,0.000,0.000,0.133,0.000,0.000,5.672,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep7_Dep6_Tu2,13.193,2.598,1.750,0.000,0.000,37.114,0.000,24.129,0.000,9.180,0.000,0.000,1.398,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.322,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.141,0.000,0.000,0.710,4.466,0.000,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu0.1,10.013,0.000,9.326,7.691,0.000,29.485,0.000,12.440,0.000,10.893,0.000,0.000,0.000,2.528,0.000,0.000,0.000,0.000,1.454,0.000,6.427,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.740,0.000,0.000,0.000,0.000,0.000
Colo_rep10_Dep6_Tu2,0.565,10.668,6.225,0.000,0.000,29.608,0.000,21.568,0.000,15.495,0.000,0.000,0.000,1.656,0.000,0.000,0.000,0.000,0.000,0.754,1.939,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,1.546,9.975,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu3,7.897,0.000,1.345,0.000,0.000,50.191,0.000,7.591,0.000,11.976,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.559,0.000,7.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.216,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu30,15.161,0.000,16.090,0.000,0.000,4.405,0.000,23.461,0.000,0.000,0.000,12.364,0.000,2.582,0.000,0.000,0.000,0.000,0.000,0.000,2.879,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.924,5.305,6.649,0.000,3.181,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu0.5,0.000,9.866,26.447,0.000,0.000,18.468,0.000,13.819,0.000,9.434,0.000,3.799,0.000,3.240,0.000,0.000,0.000,0.000,0.000,0.555,1.536,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.837,0.000,0.000,0.000,0.000,0.000
