Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo_rep2_Dep6_Tu0.5,0.000,0.000,0.000,0.000,7.788,0.000,0.426,0.000,0.000,16.263,14.336,0.055,61.132
Colo_rep2_Dep6_Tu50,3.484,0.000,1.052,0.000,8.629,24.784,1.593,0.163,0.000,16.950,6.436,4.435,32.474
Colo_rep6_Dep6_Tu1,0.000,0.000,0.000,0.000,11.577,0.000,4.925,0.000,0.000,12.448,9.161,0.304,61.585
Colo_rep3_Dep6_Tu2,0.000,0.000,0.000,0.000,3.966,0.000,6.206,0.000,0.531,11.444,13.382,2.283,62.188
Colo_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,3.750,0.000,4.251,0.000,0.000,19.246,8.068,1.289,63.396
Colo_rep8_Dep6_Tu0.1,0.000,0.000,0.000,0.000,9.603,0.000,6.284,0.000,0.070,11.343,10.346,3.472,58.881
Colo_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,11.250,0.000,1.025,0.000,0.000,14.168,15.609,1.765,56.183
Colo_rep6_Dep6_Tu3,0.000,0.000,0.000,0.000,14.410,0.000,5.453,0.000,0.000,9.776,11.359,0.362,58.641
Colo_rep9_Dep6_Tu30,0.000,0.000,0.000,0.000,8.064,13.907,3.735,0.000,0.000,15.914,11.935,2.633,43.812
Colo_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,13.192,0.000,0.214,0.000,0.000,12.696,13.144,2.658,58.097
Colo_rep6_Dep6_Tu20,0.000,0.000,1.494,0.000,1.866,13.081,2.981,0.000,3.732,10.863,13.444,1.809,50.730
Colo_rep8_Dep6_Tu30,0.839,0.000,1.224,0.000,13.227,13.714,0.850,0.000,0.000,14.321,8.662,3.270,43.893
Colo_rep3_Dep6_Tu5,0.000,0.000,0.000,0.446,11.779,2.237,4.672,0.000,0.000,12.040,6.609,1.666,60.549
Colo_rep4_Dep6_Tu3,0.000,0.000,0.000,0.000,9.306,0.000,3.348,0.000,0.000,10.140,10.957,6.782,59.467
Colo_rep2_Dep6_Tu10,0.000,0.000,0.000,0.000,12.263,3.524,2.142,0.000,0.000,12.348,14.144,3.089,52.490
Colo_rep3_Dep6_Tu40,0.000,0.297,0.000,0.000,12.177,23.284,3.969,1.767,0.000,9.790,7.770,3.133,37.812
Colo_rep3_Dep6_Tu30,2.448,0.000,0.000,0.000,5.239,13.881,3.747,0.945,0.000,15.213,8.519,4.064,45.943
Colo_rep6_Dep6_Tu30,0.000,0.000,0.000,0.000,15.576,16.860,1.564,0.000,4.513,8.090,8.859,4.769,39.770
Colo_rep4_Dep6_Tu50,4.362,0.000,0.000,0.000,4.275,28.919,2.436,0.000,3.580,13.604,12.585,0.289,29.950
Colo_rep5_Dep6_Tu50,2.414,0.000,2.089,0.000,4.866,27.161,1.682,0.000,0.000,13.975,11.020,5.670,31.123
Colo_rep6_Dep6_Tu2,2.258,0.000,0.000,0.000,3.337,0.000,0.678,0.000,5.747,11.293,12.100,2.010,62.577
Colo_rep10_Dep6_Tu50,0.000,0.000,0.000,0.000,13.402,29.908,2.650,0.000,0.000,15.388,13.190,2.148,23.315
Colo_rep7_Dep6_Tu50,6.581,3.998,0.000,0.000,0.131,22.093,2.425,2.426,0.000,14.613,9.010,4.105,34.619
