Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo_rep2_Dep6_Tu0.5,0.000,0.000,0.000,0.000,8.573,0.000,0.564,0.000,0.000,15.148,14.455,0.436,60.824
Colo_rep2_Dep6_Tu50,2.638,0.000,0.009,0.000,10.315,25.969,1.752,0.236,0.000,15.135,6.825,4.896,32.224
Colo_rep6_Dep6_Tu1,0.000,0.000,0.000,0.000,12.297,0.000,5.005,0.000,0.000,11.408,9.340,0.671,61.279
Colo_rep3_Dep6_Tu2,0.000,0.000,0.000,0.000,4.721,0.965,6.099,0.000,0.984,9.710,13.588,2.384,61.549
Colo_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,4.991,0.000,4.386,0.000,0.000,17.541,8.359,1.831,62.892
Colo_rep8_Dep6_Tu0.1,0.000,0.000,0.000,0.000,10.075,0.000,6.283,0.000,0.317,10.587,10.468,3.570,58.699
Colo_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,11.872,0.000,1.127,0.000,0.049,13.236,15.698,2.044,55.975
Colo_rep6_Dep6_Tu3,0.000,0.000,0.000,0.000,15.175,0.000,5.496,0.000,0.240,8.556,11.545,0.659,58.328
Colo_rep9_Dep6_Tu30,0.000,0.000,0.000,0.000,8.174,14.032,3.736,0.000,0.000,15.647,11.970,2.682,43.759
Colo_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,14.220,0.000,0.415,0.000,0.000,11.164,13.334,3.156,57.710
Colo_rep6_Dep6_Tu20,0.000,0.000,0.256,0.000,3.220,14.166,2.970,0.000,4.280,9.288,13.673,1.922,50.226
Colo_rep8_Dep6_Tu30,0.358,0.000,0.579,0.000,14.216,14.594,0.956,0.000,0.000,13.251,8.877,3.587,43.583
Colo_rep3_Dep6_Tu5,0.000,0.000,0.000,0.000,12.249,3.072,4.705,0.000,0.000,11.115,6.819,1.892,60.148
Colo_rep4_Dep6_Tu3,0.000,0.000,0.000,0.000,10.314,0.000,3.482,0.000,0.000,8.776,11.168,7.171,59.089
Colo_rep2_Dep6_Tu10,0.000,0.000,0.000,0.000,12.857,4.453,2.181,0.000,0.000,10.794,14.308,3.376,52.031
Colo_rep3_Dep6_Tu40,0.000,0.000,0.000,0.000,12.967,23.988,4.014,1.645,0.000,8.245,8.076,3.511,37.554
Colo_rep3_Dep6_Tu30,2.207,0.000,0.000,0.000,5.502,14.113,3.758,0.954,0.000,14.889,8.578,4.146,45.853
Colo_rep6_Dep6_Tu30,0.000,0.000,0.000,0.000,15.483,16.732,1.566,0.000,4.444,8.397,8.808,4.758,39.814
Colo_rep4_Dep6_Tu50,4.054,0.000,0.000,0.000,4.577,29.123,2.430,0.000,3.712,13.210,12.641,0.337,29.917
Colo_rep5_Dep6_Tu50,2.129,0.000,1.716,0.000,5.491,27.561,1.736,0.000,0.000,13.368,11.126,5.832,31.041
Colo_rep6_Dep6_Tu2,0.944,0.000,0.000,0.000,4.796,1.307,0.710,0.000,6.331,9.548,12.380,2.181,61.802
Colo_rep10_Dep6_Tu50,0.000,0.000,0.000,0.000,13.267,29.797,2.643,0.000,0.000,15.761,13.149,2.076,23.307
Colo_rep7_Dep6_Tu50,6.215,3.323,0.000,0.000,0.999,22.636,2.510,2.474,0.000,13.861,9.188,4.335,34.458
Colo_rep9_Dep6_Tu40,0.559,3.165,1.160,0.000,9.862,19.468,3.203,0.000,0.000,12.736,12.233,1.604,36.010
Colo_rep8_Dep6_Tu5,0.000,0.000,0.000,0.000,8.940,0.295,4.692,0.000,1.616,9.748,10.439,6.025,58.246
Colo_rep1_Dep6_Tu20,1.193,0.000,0.000,0.000,10.378,11.121,0.796,0.000,4.265,8.312,11.613,5.260,47.062
Colo_rep9_Dep6_Tu2,0.000,0.000,0.000,0.000,10.233,0.000,3.585,0.000,0.000,16.776,11.929,0.000,57.476
Colo_rep5_Dep6_Tu30,0.000,0.000,0.000,0.000,4.833,16.899,6.730,0.000,0.000,21.794,8.117,0.000,41.628
Colo_rep4_Dep6_Tu0.1,0.000,0.000,0.000,0.000,4.716,0.000,2.410,0.000,0.419,16.618,12.242,0.028,63.567
Colo_rep5_Dep6_Tu0.1,0.000,0.000,0.000,0.000,11.061,0.000,3.026,0.000,0.000,12.712,11.483,0.000,61.717
Colo_rep9_Dep6_Tu3,0.000,0.000,0.000,0.000,13.601,0.000,2.832,0.000,2.022,7.836,12.521,3.263,57.926
Colo_rep2_Dep6_Tu0.1,0.000,0.000,0.000,0.000,10.297,0.000,3.518,0.000,0.226,10.788,12.518,5.301,57.352
Colo_rep8_Dep6_Tu10,1.311,0.000,0.000,0.000,1.007,4.191,7.260,0.000,4.713,13.503,8.122,0.585,59.308
Colo_rep4_Dep6_Tu30,5.067,0.000,1.548,0.000,6.908,10.526,0.000,0.000,3.246,11.443,10.704,2.686,47.872
Colo_rep2_Dep6_Tu2,0.000,0.000,0.000,0.000,7.080,0.388,3.591,0.000,1.109,13.093,13.084,1.511,60.145
Colo_rep1_Dep6_Tu5,0.000,0.000,0.000,0.000,8.730,2.440,4.732,0.000,2.439,11.939,10.471,1.218,58.031
Colo_rep8_Dep6_Tu50,4.535,2.429,1.660,0.000,7.833,26.379,3.069,0.000,2.023,7.285,9.262,5.466,30.058
Colo_rep5_Dep6_Tu5,0.000,0.000,0.000,0.000,6.676,2.012,6.710,0.000,0.648,8.996,13.062,5.026,56.870
Colo_rep6_Dep6_Tu50,0.579,0.000,0.437,0.000,15.920,25.900,0.791,0.000,0.000,12.580,11.241,5.083,27.470
Colo_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,3.413,0.000,3.581,0.000,1.088,11.285,9.533,3.265,67.835
Colo_rep4_Dep6_Tu20,1.958,0.000,0.000,0.000,9.994,12.362,3.071,0.000,0.000,6.499,9.865,7.040,49.211
Colo_rep8_Dep6_Tu40,2.123,0.000,1.952,0.000,13.788,16.019,3.093,0.000,0.000,10.190,8.114,7.049,37.672
Colo_rep7_Dep6_Tu0.3,0.000,0.000,0.000,0.000,7.132,0.000,0.287,0.000,0.656,13.897,12.900,3.041,62.086
Colo_rep7_Dep6_Tu30,0.621,0.000,0.000,0.000,9.102,19.507,0.744,0.000,0.000,12.600,7.548,4.627,45.251
Colo_rep10_Dep6_Tu20,3.916,0.000,0.000,0.000,3.039,11.113,7.180,0.000,4.471,10.166,9.924,0.659,49.534
Colo_rep9_Dep6_Tu10,0.000,0.000,0.000,0.000,13.032,2.741,5.086,0.000,0.000,9.629,14.137,2.796,52.580
Colo_rep9_Dep6_Tu0.1,0.000,0.000,0.000,0.000,13.763,0.000,3.113,0.000,0.000,12.666,11.256,4.617,54.586
Colo_rep10_Dep6_Tu0.3,0.776,0.000,0.000,0.000,4.351,1.096,0.471,0.000,6.913,9.208,12.570,2.284,62.331
Colo_rep8_Dep6_Tu20,0.000,0.000,0.000,0.000,13.696,10.179,4.318,0.000,4.030,6.230,8.605,1.982,50.960
Colo_rep3_Dep6_Tu3,0.000,0.000,0.000,0.000,7.623,0.425,1.295,0.000,0.904,12.693,13.212,7.549,56.300
