Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,0.987,0.874,3.724,5.472,11.114,2.146,13.108,0.368,8.913,3.094,4.458,2.940,1.345,1.318,0.887,0.197,2.047,0.482,1.523,1.489,0.199,1.701,0.194,0.093,0.606,0.617,0.120,0.044,0.006,0.000,0.131,0.312,3.512,8.221,5.143,0.645,0.572,0.321,4.769,6.306
Colo_rep2_Dep6_Tu50,1.191,1.147,0.640,3.974,1.944,2.820,2.661,1.786,1.855,2.801,2.883,1.784,1.517,1.856,1.761,1.249,1.484,0.965,1.176,0.804,2.053,1.437,0.259,0.255,1.023,0.823,0.685,0.553,1.216,0.052,6.828,29.434,5.617,4.022,1.756,2.463,1.512,0.900,2.677,0.138
Colo_rep6_Dep6_Tu1,0.576,1.857,2.425,3.436,5.890,6.393,0.606,10.890,14.636,3.906,3.634,2.260,1.345,1.057,0.120,0.164,2.677,2.282,1.261,0.595,0.169,0.975,1.185,0.130,0.549,0.328,0.336,0.095,0.034,0.001,0.123,0.284,5.267,13.504,3.371,2.051,0.477,0.241,0.533,4.338
Colo_rep3_Dep6_Tu2,2.358,0.673,11.845,8.416,2.857,2.012,8.453,5.122,2.850,3.134,2.784,3.955,0.857,1.014,0.724,1.839,0.830,1.348,0.825,1.772,0.480,1.260,1.060,0.014,0.533,0.595,0.667,0.025,0.037,0.001,0.369,0.162,0.436,8.262,9.448,2.620,0.558,0.452,5.771,3.582
Colo_rep7_Dep6_Tu2,0.398,1.435,0.443,11.112,7.438,7.658,10.581,3.264,5.125,3.778,2.743,2.730,0.242,0.391,0.139,0.116,2.875,2.539,2.162,0.594,1.379,0.623,1.193,0.065,0.014,0.763,0.305,0.083,0.184,0.010,0.033,1.405,0.328,8.509,5.147,4.679,0.097,0.106,4.295,5.020
Colo_rep8_Dep6_Tu0.1,0.321,3.352,9.022,7.251,3.509,12.529,11.844,2.095,1.099,0.923,3.350,3.645,1.209,1.066,0.464,2.094,3.302,0.185,0.040,2.412,1.667,1.881,0.212,0.119,0.177,0.649,0.194,0.041,0.061,0.001,0.110,0.151,6.064,10.938,3.505,1.228,0.668,0.363,0.192,2.068
Colo_rep10_Dep6_Tu2,1.435,1.539,9.664,9.558,6.066,6.599,6.991,2.857,1.070,3.803,2.705,2.176,0.243,0.532,1.615,1.621,1.618,2.058,0.906,0.661,1.243,0.532,1.047,0.036,0.371,0.692,0.577,0.092,0.059,0.003,0.264,0.411,6.802,10.053,1.315,1.818,0.872,0.059,8.496,1.547
Colo_rep6_Dep6_Tu3,0.884,0.368,2.299,1.249,0.272,9.386,9.330,1.721,17.187,3.937,1.531,5.361,0.291,1.624,0.941,1.804,0.726,1.487,1.665,0.944,0.817,1.288,1.435,0.077,0.525,0.087,0.122,0.152,0.098,0.003,0.848,0.760,0.365,10.825,6.018,0.275,0.737,0.494,8.104,3.964
Colo_rep9_Dep6_Tu30,2.272,1.570,4.922,5.494,4.431,0.491,7.287,1.284,3.458,3.626,0.746,3.837,0.650,1.831,0.250,2.384,0.090,2.251,1.803,0.914,0.398,1.895,1.201,0.569,0.449,1.755,0.486,0.240,0.373,0.010,6.290,14.922,1.244,8.278,1.559,2.097,1.499,0.105,3.264,3.775
Colo_rep9_Dep6_Tu0.5,0.414,3.261,3.234,0.848,8.851,6.313,10.587,7.750,8.942,1.420,4.866,1.471,0.919,1.499,0.548,1.381,1.811,0.584,0.217,2.650,0.805,0.132,1.032,0.068,0.473,0.448,0.081,0.070,0.005,0.003,0.217,0.227,4.083,12.727,2.994,3.446,0.605,0.397,2.355,2.264
