Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,13.785,0.000,23.920,2.559,8.675,21.549,0.000,7.014,0.000,1.729,3.691,2.529,0.000,3.836,0.766,0.000,0.000,0.000,0.000,0.904,0.000,1.911,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.051,1.400,0.107,4.293,0.000,0.000,0.000,1.102,0.000
Colo_rep2_Dep6_Tu50,3.099,5.673,15.830,2.308,0.000,9.665,0.778,2.893,0.000,0.000,3.635,3.764,0.000,2.513,4.112,0.000,0.000,0.000,0.000,0.000,0.000,0.825,2.243,0.000,0.000,0.495,0.000,0.000,0.000,2.639,4.526,25.281,0.000,0.949,5.405,0.000,0.000,0.000,3.367,0.000
Colo_rep6_Dep6_Tu1,13.726,0.000,33.066,6.567,2.188,10.088,0.000,10.902,0.829,4.312,0.000,4.573,0.000,3.127,0.000,0.000,0.000,0.000,2.121,0.000,0.898,0.000,1.754,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.105,0.000,3.243,0.453,0.000,0.000,1.048,0.000
Colo_rep3_Dep6_Tu2,9.276,3.279,34.771,4.336,1.946,3.563,0.000,17.848,0.000,8.228,0.000,0.000,2.065,1.039,0.000,0.000,0.000,0.000,2.136,0.068,3.313,0.000,0.000,0.183,0.000,0.000,1.347,0.000,0.000,0.000,0.678,0.822,1.961,0.000,3.142,0.000,0.000,0.000,0.000,0.000
Colo_rep7_Dep6_Tu2,16.031,0.000,31.740,6.231,7.079,0.000,0.000,18.895,0.000,7.616,0.938,0.000,0.111,2.698,0.000,0.000,0.000,0.000,1.846,0.000,1.164,0.000,0.899,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.737,0.000,1.244,0.000,2.154,0.578,0.000,0.000,0.000,0.040
Colo_rep8_Dep6_Tu0.1,14.367,0.000,27.522,12.282,8.596,4.589,0.147,10.385,0.000,7.027,0.000,1.516,2.480,0.312,0.000,0.000,0.000,0.000,1.205,0.000,0.000,0.000,4.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.311,0.000,1.417,0.000,2.826,0.905,0.000,0.000,0.000,0.000
Colo_rep10_Dep6_Tu2,13.301,0.726,23.931,9.697,4.096,11.810,0.000,13.334,0.000,0.000,6.851,0.000,1.201,1.572,0.000,0.000,3.701,0.000,0.000,0.000,2.798,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.371,0.000,0.000,0.000,4.960,0.000,1.027,0.000,0.000,0.624
Colo_rep6_Dep6_Tu3,12.719,0.000,33.124,9.063,2.370,0.000,0.000,18.052,0.000,5.921,0.000,2.064,2.743,0.000,0.092,0.000,0.000,0.000,1.437,0.000,0.000,0.000,5.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.186,1.039,0.520,0.000,5.652,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu30,11.637,0.000,20.540,9.820,0.000,1.589,0.000,11.345,0.000,0.000,7.284,0.280,0.000,1.409,0.000,0.000,0.000,0.000,4.128,0.000,0.000,0.000,3.243,0.000,0.000,0.383,0.000,0.000,0.000,0.000,4.819,14.965,0.000,0.085,6.166,0.000,0.429,0.000,0.000,1.878
Colo_rep9_Dep6_Tu0.5,16.295,0.000,32.418,0.000,1.715,14.234,1.756,14.047,0.000,3.922,2.093,1.990,0.000,2.470,0.230,0.000,0.000,0.000,0.000,2.252,1.737,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.316,0.000,2.525,0.000,0.000,0.000,0.000,0.000
