Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,10.325,0.000,25.607,2.867,9.137,20.448,0.000,5.593,0.000,2.909,3.646,1.963,0.000,4.891,0.000,0.000,0.000,0.000,0.000,0.000,1.449,1.129,0.000,0.000,0.000,0.000,0.000,0.000,0.430,0.000,1.029,1.496,1.683,1.403,3.916,0.081,0.000,0.000,0.000,0.000
Colo_rep2_Dep6_Tu50,0.289,6.224,17.839,2.714,0.000,9.151,0.246,2.043,0.000,0.000,4.578,3.568,0.000,3.912,0.000,0.000,0.000,0.000,0.000,0.000,0.631,2.432,0.523,0.000,0.000,2.223,0.000,0.000,0.000,1.821,6.263,25.763,0.071,2.283,5.159,0.000,0.000,0.000,2.266,0.000
Colo_rep6_Dep6_Tu1,10.396,0.000,34.709,7.067,3.119,9.269,0.000,9.711,0.000,5.286,0.000,4.095,0.000,4.533,0.000,0.000,0.000,0.000,0.000,0.000,3.234,0.000,0.000,0.000,0.000,0.000,0.502,0.000,0.000,0.000,2.292,0.000,1.604,0.181,3.390,0.613,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu2,6.699,3.655,35.747,4.560,2.415,3.098,0.000,16.804,0.000,8.625,0.000,0.000,1.913,2.374,0.000,0.000,0.000,0.000,0.000,0.000,3.821,0.000,0.000,0.000,0.000,0.000,1.927,0.000,0.000,0.000,1.729,1.354,2.063,0.000,3.213,0.000,0.000,0.000,0.000,0.000
Colo_rep7_Dep6_Tu2,11.997,0.000,33.194,6.665,7.512,0.000,0.000,16.869,0.000,8.658,0.515,0.000,0.000,4.156,0.000,0.000,0.000,0.000,0.000,0.000,2.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.299,0.000,1.489,0.000,2.405,0.581,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu0.1,11.469,0.000,28.738,12.527,9.112,4.052,0.000,9.304,0.000,7.852,0.000,1.124,1.645,2.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.221,0.000,0.000,0.000,0.424,0.000,0.000,0.000,2.103,0.000,1.637,0.000,2.914,0.840,0.000,0.000,0.000,0.000
Colo_rep10_Dep6_Tu2,10.003,1.440,25.445,9.866,4.838,11.018,0.000,11.797,0.000,0.000,7.572,0.000,0.124,3.776,0.000,0.000,0.000,0.000,0.000,0.000,3.573,0.000,0.000,0.000,0.000,1.155,0.000,0.000,0.000,0.000,2.198,0.638,0.000,0.480,5.168,0.000,0.910,0.000,0.000,0.000
Colo_rep6_Dep6_Tu3,9.206,0.000,34.435,9.345,2.882,0.000,0.000,16.241,0.000,7.010,0.000,1.517,1.945,1.926,0.000,0.000,0.000,0.000,0.000,0.000,0.955,0.000,4.245,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.799,1.851,0.810,0.000,5.834,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu30,9.667,0.000,21.813,9.983,0.000,1.240,0.000,10.493,0.000,0.694,7.267,0.052,0.000,2.958,0.000,0.000,0.000,0.000,1.214,0.000,0.000,0.000,3.510,0.000,0.000,1.458,0.000,0.000,0.000,0.000,5.847,15.372,0.163,0.960,5.910,0.000,0.429,0.000,0.000,0.969
Colo_rep9_Dep6_Tu0.5,13.419,0.000,34.149,0.000,2.672,13.530,1.092,12.799,0.000,4.881,2.025,1.592,0.000,3.646,0.000,0.000,0.000,0.000,0.000,0.000,2.445,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.855,1.347,2.693,0.000,2.856,0.000,0.000,0.000,0.000,0.000
