Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Colo_rep2_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.461,0.000,0.000,0.000,0.000,66.094,0.444
Colo_rep2_Dep6_Tu50,0.000,0.000,0.000,56.739,3.257,0.017,0.000,14.478,0.000,0.000,0.000,0.000,23.307,2.201
Colo_rep6_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.998,0.000,0.000,0.000,0.000,63.957,4.044
Colo_rep3_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,39.309,0.000,0.000,0.000,0.000,57.834,2.856
Colo_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.409,0.000,0.000,0.000,0.000,60.034,1.556
Colo_rep8_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.389,0.000,0.000,0.000,0.000,58.103,16.507
Colo_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.432,0.000,0.000,0.000,0.000,65.148,0.419
Colo_rep6_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.227,0.000,0.000,0.000,0.000,59.608,2.164
Colo_rep9_Dep6_Tu30,0.000,0.000,0.000,39.540,0.000,0.000,0.000,13.528,0.000,0.000,0.000,0.000,34.949,11.982
Colo_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.744,0.000,0.000,0.000,0.000,66.926,0.330
Colo_rep6_Dep6_Tu20,0.000,0.000,0.000,25.848,0.000,0.000,0.000,29.271,0.000,0.000,0.000,0.000,43.188,1.692
Colo_rep8_Dep6_Tu30,0.000,0.000,0.000,39.830,0.194,0.000,0.000,22.139,0.000,0.000,0.000,0.000,37.156,0.681
Colo_rep3_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.954,0.000,0.000,0.000,0.000,64.219,1.826
Colo_rep4_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.029,0.000,0.000,0.000,0.000,63.221,16.750
Colo_rep2_Dep6_Tu10,0.000,0.000,0.000,16.005,0.000,0.000,0.000,29.535,0.000,0.000,0.000,0.000,53.870,0.590
Colo_rep3_Dep6_Tu40,0.000,0.000,0.000,49.097,0.741,0.000,0.000,11.480,0.000,0.000,0.000,0.000,28.807,9.874
Colo_rep3_Dep6_Tu30,0.000,0.000,0.000,40.531,0.107,0.000,0.000,20.848,0.000,0.000,0.000,0.000,36.524,1.990
