Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,0.000,0.000,27.798,11.678,17.869,0.000,0.000,2.154,0.453,0.000,4.569,0.000,0.000,1.482,0.192,0.000,0.158,0.244,0.000,0.824,0.000,4.784,2.300,0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.098,0.000,23.634,0.763,0.143,0.155,0.010,0.000,0.613,0.039
Colo_rep2_Dep6_Tu50,0.000,0.000,4.634,7.627,4.461,0.000,0.999,0.000,0.000,0.000,1.336,0.000,0.000,3.007,0.000,0.000,3.441,0.000,0.358,0.542,0.000,4.850,6.478,0.000,0.000,0.000,0.557,0.000,0.000,0.199,0.170,48.658,8.646,0.886,1.454,0.000,0.000,0.000,1.696,0.000
Colo_rep6_Dep6_Tu1,0.000,0.000,33.400,19.844,3.333,0.000,0.754,3.277,1.008,0.000,4.086,0.000,0.000,1.249,0.274,0.000,0.275,0.304,0.000,1.787,0.000,4.622,3.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.279,0.000,14.242,4.534,1.596,0.688,0.000,0.000,0.410,0.042
Colo_rep3_Dep6_Tu2,0.000,0.000,7.637,43.536,4.145,0.043,0.418,3.833,0.000,0.000,3.945,0.000,2.648,0.000,0.000,0.000,0.882,0.000,2.077,1.355,0.000,6.443,1.383,0.014,0.000,0.000,0.024,0.000,0.000,0.000,0.187,1.040,17.896,1.600,0.000,0.000,0.055,0.000,0.000,0.837
Colo_rep7_Dep6_Tu2,0.000,0.000,14.403,12.252,9.063,0.000,0.000,29.005,0.000,0.000,1.549,0.000,0.000,0.235,0.000,0.000,0.367,0.000,1.047,0.767,0.000,5.151,2.847,0.005,0.000,0.000,0.232,0.000,0.000,0.000,0.357,0.281,12.167,9.339,0.053,0.000,0.245,0.000,0.000,0.634
Colo_rep8_Dep6_Tu0.1,0.000,0.000,28.413,20.888,8.136,0.000,0.000,0.691,0.000,0.000,4.070,0.000,1.285,0.317,0.000,0.000,1.339,0.000,0.890,1.080,0.000,5.236,4.540,0.000,0.000,0.000,0.078,0.000,0.000,0.000,0.036,0.000,2.706,17.726,2.230,0.000,0.049,0.000,0.000,0.289
Colo_rep10_Dep6_Tu2,0.000,0.000,32.408,8.555,15.726,0.000,0.094,0.000,1.123,0.000,2.528,0.000,0.000,0.726,0.000,0.000,0.735,0.225,0.000,0.714,0.374,4.602,5.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.675,24.772,0.126,0.000,0.000,0.092,0.000,0.302,0.089
Colo_rep6_Dep6_Tu3,0.000,0.000,24.353,28.162,4.343,0.000,0.000,3.206,0.380,0.000,4.003,0.000,0.501,0.111,0.000,0.000,0.839,0.787,0.158,0.774,0.004,5.061,2.628,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.029,1.421,15.585,2.896,0.031,0.000,0.000,0.000,0.037,4.679
Colo_rep9_Dep6_Tu30,0.000,0.000,14.222,10.252,5.471,0.000,2.011,0.000,0.000,0.000,0.619,0.250,5.299,0.000,0.412,0.000,1.740,0.000,0.000,1.938,0.000,5.589,5.356,0.000,0.000,0.000,1.229,0.000,0.000,0.014,0.050,29.672,4.905,1.161,8.769,0.000,0.000,0.726,0.076,0.236
Colo_rep9_Dep6_Tu0.5,0.000,0.000,15.366,20.474,11.077,0.000,0.139,2.207,0.112,0.000,4.813,0.000,0.000,0.693,0.000,0.000,0.580,0.478,0.000,0.657,0.000,3.844,13.446,0.000,0.000,0.000,0.086,0.000,0.000,0.000,0.272,0.000,24.572,0.574,0.338,0.000,0.217,0.000,0.000,0.051
Colo_rep6_Dep6_Tu20,0.000,0.000,14.986,16.268,6.018,0.000,0.147,4.040,0.000,0.000,0.909,0.000,0.000,0.611,0.098,0.000,1.370,2.815,4.514,0.700,0.000,5.382,5.224,0.000,0.000,0.000,0.096,0.000,0.000,0.000,0.058,18.940,10.498,4.558,0.146,0.000,0.000,0.000,2.619,0.000
Colo_rep8_Dep6_Tu30,0.000,0.000,24.959,4.684,0.820,0.000,1.005,6.255,0.000,0.000,0.491,0.000,0.000,2.039,0.578,0.000,0.879,0.366,0.000,0.756,0.000,3.807,4.771,0.000,0.000,0.000,0.241,0.000,0.000,0.007,0.065,28.205,16.586,0.402,1.692,0.000,0.000,0.000,1.391,0.000
Colo_rep3_Dep6_Tu5,0.000,0.000,26.998,20.442,6.726,0.645,0.553,2.566,0.832,0.000,5.734,0.000,0.000,1.860,0.200,0.000,0.218,0.737,0.000,1.323,0.000,1.696,4.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.067,4.299,13.108,3.899,3.038,0.000,0.000,0.000,0.375,0.081
Colo_rep4_Dep6_Tu3,0.000,0.000,40.065,3.853,7.443,0.000,0.000,0.000,0.000,0.000,0.633,0.000,0.000,0.467,0.000,0.000,0.312,0.000,1.799,0.845,0.000,5.107,10.852,0.000,0.000,0.000,0.162,0.000,0.000,0.000,0.000,1.909,8.215,10.528,7.131,0.292,0.056,0.000,0.171,0.157
Colo_rep2_Dep6_Tu10,0.000,0.000,29.592,5.303,12.140,0.000,0.304,4.003,0.423,0.000,2.299,0.000,0.000,1.270,0.891,0.000,0.000,0.191,0.000,0.156,1.437,4.478,5.178,0.000,0.000,0.000,0.129,0.000,0.000,0.000,0.006,10.005,20.988,0.000,0.571,0.000,0.123,0.000,0.513,0.000
Colo_rep3_Dep6_Tu40,0.000,0.000,13.916,0.000,3.122,0.000,1.683,0.000,0.000,0.000,0.294,0.000,5.592,0.248,0.327,0.000,3.249,0.000,0.000,1.406,0.000,6.287,8.392,0.000,0.000,0.000,0.310,0.000,0.000,0.032,0.152,42.054,3.200,2.046,6.785,0.000,0.344,0.000,0.523,0.035
Colo_rep3_Dep6_Tu30,0.142,0.000,12.686,8.772,6.040,0.000,0.000,3.631,0.000,0.000,0.427,0.000,0.000,0.850,0.000,0.000,1.051,0.889,0.000,0.380,0.000,8.631,7.572,0.000,0.000,0.000,0.314,0.000,0.000,0.047,0.057,31.240,14.041,0.536,1.541,0.000,0.000,0.263,0.891,0.000
Colo_rep6_Dep6_Tu30,0.000,0.000,7.257,12.330,1.824,14.632,0.398,0.778,0.000,0.000,0.191,0.000,0.000,0.616,0.000,0.266,2.578,1.008,0.000,0.500,0.000,6.377,3.384,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.066,31.648,1.504,9.056,4.227,0.000,0.000,0.063,0.047,1.234
Colo_rep4_Dep6_Tu50,0.000,0.000,8.272,5.492,2.032,0.000,0.127,1.412,0.000,0.000,1.799,0.000,0.000,0.858,0.000,5.744,1.701,0.000,1.263,0.498,0.000,5.880,3.364,0.000,0.000,0.000,0.232,0.000,0.000,0.145,0.126,49.585,0.000,8.474,1.592,0.000,0.000,0.579,0.447,0.376
Colo_rep5_Dep6_Tu50,0.000,0.000,8.243,0.626,2.099,0.000,0.000,6.082,0.000,0.000,1.169,0.000,0.469,3.044,1.024,0.000,1.613,3.704,0.000,0.000,0.000,5.591,4.086,0.000,0.000,0.000,0.008,0.000,0.000,0.026,0.197,49.487,6.650,1.063,2.301,0.000,0.000,0.000,2.469,0.046
Colo_rep6_Dep6_Tu2,0.000,0.000,15.890,32.653,6.643,0.000,0.857,0.000,0.601,0.000,1.980,0.000,1.134,0.037,0.000,0.315,0.409,0.000,0.624,1.146,0.000,4.439,6.938,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.034,1.100,2.525,16.274,5.332,0.129,0.073,0.000,0.000,0.868
Colo_rep10_Dep6_Tu50,0.000,0.000,10.495,2.991,3.234,0.000,0.111,4.122,0.000,0.000,1.199,0.000,0.000,0.867,0.107,0.000,3.936,1.757,0.000,0.855,0.000,7.019,1.697,0.000,0.000,0.000,0.215,0.000,0.000,0.184,0.213,49.518,0.458,7.616,2.510,0.000,0.000,0.350,0.545,0.000
Colo_rep7_Dep6_Tu50,0.000,0.000,4.616,4.252,4.872,0.000,0.146,8.795,0.000,0.000,1.114,0.474,0.000,2.669,0.000,0.000,4.856,0.000,0.000,1.359,0.000,6.610,0.409,0.000,0.355,0.000,0.000,0.000,0.000,0.117,0.200,52.497,0.000,4.819,0.168,0.000,0.000,0.000,1.243,0.429
Colo_rep9_Dep6_Tu40,0.000,0.000,9.744,11.311,3.202,0.000,0.325,0.000,1.878,0.000,0.250,0.000,5.998,0.000,0.000,0.000,2.957,0.972,0.000,0.789,0.000,4.098,4.869,0.000,0.000,0.000,0.203,0.000,0.000,0.063,0.093,38.439,3.784,1.668,8.212,0.000,0.000,0.000,0.969,0.174
Colo_rep8_Dep6_Tu5,0.000,0.000,16.838,30.427,5.644,0.000,0.000,0.000,0.000,0.000,2.066,0.000,1.741,0.000,0.000,0.000,0.907,0.000,2.837,0.355,0.000,4.173,8.912,0.000,0.000,0.000,0.321,0.000,0.000,0.000,0.098,3.242,1.971,14.983,4.356,0.000,0.034,0.060,0.000,1.034
Colo_rep1_Dep6_Tu20,0.000,0.000,11.085,21.110,8.522,0.000,0.072,0.000,0.000,0.000,3.332,0.000,0.433,0.668,0.000,0.000,2.053,0.134,1.038,0.332,0.000,5.376,7.712,0.000,0.000,0.000,0.290,0.000,0.000,0.018,0.051,20.873,0.494,15.625,0.000,0.000,0.000,0.009,0.221,0.550
Colo_rep9_Dep6_Tu2,0.000,0.000,23.596,17.454,13.242,0.507,0.000,1.502,0.516,0.000,2.803,0.000,0.000,0.479,0.000,0.000,0.797,0.000,0.000,0.681,0.000,5.060,6.810,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.101,1.162,21.558,0.559,2.802,0.000,0.075,0.000,0.133,0.161
