Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Colo_rep2_Dep6_Tu0.5,0.000,0.348,0.006,0.000,20.423,0.001,0.201,2.958,3.377,0.803,8.958,0.572,9.884,52.470
Colo_rep2_Dep6_Tu50,0.072,2.838,1.633,0.101,11.716,36.011,0.707,5.462,4.002,0.153,8.865,1.470,0.137,26.832
Colo_rep6_Dep6_Tu1,0.000,23.224,0.001,0.000,16.997,0.049,0.182,4.074,0.229,1.194,6.789,0.669,11.239,35.352
Colo_rep3_Dep6_Tu2,0.001,39.990,0.016,0.000,0.010,1.324,0.213,3.039,0.936,2.296,7.203,1.065,2.083,41.823
Colo_rep7_Dep6_Tu2,0.013,35.919,0.021,0.000,0.115,1.488,0.399,1.889,2.710,2.403,4.655,0.440,7.160,42.787
Colo_rep8_Dep6_Tu0.1,0.000,56.746,0.000,0.000,12.794,0.000,0.084,1.340,2.314,0.422,6.991,0.240,9.106,9.963
Colo_rep10_Dep6_Tu2,0.000,4.762,0.011,0.000,19.515,0.991,0.299,2.526,4.916,1.277,7.149,0.017,10.424,48.113
Colo_rep6_Dep6_Tu3,0.001,37.517,0.115,0.001,0.111,2.498,0.469,1.900,3.188,1.445,5.447,0.578,7.170,39.561
Colo_rep9_Dep6_Tu30,0.014,16.767,0.575,0.001,30.548,20.313,0.307,4.641,1.266,0.641,8.233,0.940,10.193,5.561
Colo_rep9_Dep6_Tu0.5,0.000,0.405,0.020,0.000,19.806,0.003,0.170,3.123,3.825,0.743,7.851,0.238,9.932,53.884
Colo_rep6_Dep6_Tu20,0.037,27.077,0.616,0.000,0.367,15.030,0.561,2.113,5.437,0.970,5.386,0.681,6.808,34.915
Colo_rep8_Dep6_Tu30,0.082,0.922,0.693,0.000,16.470,21.494,0.743,5.500,3.422,0.351,6.695,1.079,5.035,37.514
Colo_rep3_Dep6_Tu5,0.000,20.524,0.015,0.000,16.620,3.325,0.307,1.723,3.802,1.247,5.271,0.381,11.975,34.810
Colo_rep4_Dep6_Tu3,0.000,18.463,0.001,0.000,40.426,0.409,0.039,1.341,2.302,0.251,7.335,0.139,18.383,10.910
Colo_rep2_Dep6_Tu10,0.001,4.159,0.140,0.000,17.554,7.384,0.470,2.905,5.383,1.095,4.779,0.450,11.428,44.251
Colo_rep3_Dep6_Tu40,0.004,15.175,0.869,0.005,26.547,28.191,0.605,7.180,1.229,0.405,3.519,1.057,10.901,4.313
Colo_rep3_Dep6_Tu30,0.044,7.578,1.297,0.006,12.260,21.748,0.745,6.882,1.401,1.537,4.046,0.825,8.789,32.844
Colo_rep6_Dep6_Tu30,0.004,50.343,0.419,0.001,7.560,21.607,0.280,2.944,2.041,0.429,5.898,0.537,6.076,1.862
Colo_rep4_Dep6_Tu50,0.027,31.032,2.203,0.013,7.688,35.955,0.408,6.401,2.604,0.324,6.921,0.810,1.694,3.919
Colo_rep5_Dep6_Tu50,0.025,1.604,2.011,0.014,11.836,36.211,0.254,9.081,0.989,0.108,7.263,2.229,4.215,24.158
Colo_rep6_Dep6_Tu2,0.000,61.772,0.003,0.000,12.570,0.613,0.112,1.137,1.340,0.470,6.234,0.368,8.677,6.704
Colo_rep10_Dep6_Tu50,0.138,30.579,1.411,0.082,9.020,35.979,0.998,6.572,1.230,0.939,4.323,1.380,5.353,1.996
Colo_rep7_Dep6_Tu50,0.075,14.644,2.074,0.006,1.139,36.477,1.275,3.847,5.258,0.622,7.565,0.858,4.416,21.745
Colo_rep9_Dep6_Tu40,0.013,13.601,0.844,0.000,26.085,27.702,0.226,4.434,3.966,0.053,7.786,0.866,7.704,6.719
Colo_rep8_Dep6_Tu5,0.000,62.837,0.008,0.001,9.651,2.875,0.073,0.881,2.170,0.465,6.443,0.530,7.606,6.461
Colo_rep1_Dep6_Tu20,0.003,55.140,0.528,0.002,9.106,14.095,0.088,1.795,2.588,0.316,6.073,0.632,7.089,2.542
Colo_rep9_Dep6_Tu2,0.000,9.456,0.032,0.000,18.251,1.107,0.226,4.333,2.184,0.657,7.526,0.592,8.614,47.021
Colo_rep5_Dep6_Tu30,0.203,24.724,0.787,0.005,0.654,21.881,1.538,1.614,4.914,2.009,7.017,1.020,5.116,28.518
Colo_rep4_Dep6_Tu0.1,0.001,38.807,0.004,0.000,0.024,0.002,0.316,1.985,2.326,1.943,4.916,0.750,6.420,42.507
Colo_rep5_Dep6_Tu0.1,0.000,2.051,0.000,0.000,20.173,0.000,0.243,3.155,5.732,1.191,4.270,0.008,11.647,51.530
Colo_rep9_Dep6_Tu3,0.000,21.860,0.000,0.000,40.154,0.217,0.039,2.977,1.578,0.204,7.668,0.290,15.174,9.838
Colo_rep2_Dep6_Tu0.1,0.000,20.909,0.000,0.000,37.474,0.000,0.011,3.867,0.667,0.039,7.953,0.086,17.715,11.278
Colo_rep8_Dep6_Tu10,0.007,53.560,0.020,0.000,11.941,6.466,0.511,1.662,3.119,0.768,4.063,0.348,11.606,5.927
Colo_rep4_Dep6_Tu30,0.099,0.765,0.713,0.007,14.836,21.403,0.706,6.472,3.833,0.594,7.015,1.156,5.083,37.317
Colo_rep2_Dep6_Tu2,0.002,38.279,0.014,0.000,0.042,1.248,0.448,1.201,2.980,2.864,5.381,0.490,5.756,41.295
Colo_rep1_Dep6_Tu5,0.003,34.094,0.057,0.000,0.525,3.594,0.606,0.891,4.480,2.223,5.276,0.405,6.968,40.879
Colo_rep8_Dep6_Tu50,0.030,34.987,1.937,0.006,7.093,35.812,0.513,3.399,4.094,0.033,6.186,0.822,3.185,1.903
Colo_rep5_Dep6_Tu5,0.000,70.970,0.000,0.000,8.381,2.919,0.089,1.735,0.472,0.562,6.351,0.514,3.822,4.184
Colo_rep6_Dep6_Tu50,0.019,37.541,2.243,0.003,0.230,36.510,0.769,6.370,0.545,0.817,5.969,1.243,5.289,2.451
