Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Colo_rep2_Dep6_Tu0.5,3.197,0.000,0.000,0.000,0.000,0.000,10.824,0.000,0.000,0.000,0.000,0.033,0.000,4.455,0.000,7.637,0.000,43.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.026,0.000,0.000,7.327,0.000,23.451,0.000,0.000,0.000,0.000
Colo_rep2_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,0.000,11.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.988,44.661,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.142,0.011,0.000,1.247,0.169,0.000,6.679,0.000,0.000,0.000,22.491,0.000,0.000,2.513,0.000
Colo_rep6_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,14.088,0.000,0.000,0.000,0.000,0.000,0.000,12.352,0.000,11.862,0.000,13.220,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.448,0.000,0.000,5.790,28.509,12.729,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,6.618,0.000,0.000,0.000,0.000,0.000,0.000,2.491,0.000,17.802,0.000,0.359,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.767,0.000,0.000,12.399,5.321,31.239,0.000,0.000,0.000,0.000
Colo_rep7_Dep6_Tu2,2.321,0.000,0.000,0.000,0.000,0.000,7.193,0.000,0.000,0.000,0.000,0.000,0.000,8.902,0.000,17.284,0.000,7.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,8.206,2.799,45.901,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu0.1,2.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,14.329,0.000,13.926,0.000,9.385,20.876,0.000,21.734,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.865,1.903,11.637,0.000,0.000,0.021,0.000
Colo_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,11.639,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.004,0.000,53.292,0.000,0.000,7.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.000,0.797,0.000,0.000,6.328,3.066,3.471,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu3,2.486,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.502,0.000,28.118,0.000,11.320,0.000,0.000,7.640,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.201,0.000,0.000,9.932,3.073,36.725,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu30,5.894,0.000,0.000,0.000,0.000,0.000,0.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.096,32.057,10.844,0.000,0.000,0.000,0.000,1.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.097,11.781,6.111,0.000,6.917,10.596,4.689,0.862,0.000,0.000,0.000
Colo_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,6.637,0.000,0.000,0.000,0.000,13.418,0.000,4.641,0.000,13.311,0.000,19.975,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.655,1.150,35.211,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu20,0.000,0.000,0.000,0.039,0.000,0.000,7.498,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.535,20.217,0.000,0.000,0.000,0.900,0.000,0.000,0.000,1.749,0.000,0.000,0.000,0.000,0.004,0.105,0.216,2.515,0.000,5.012,11.306,33.904,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,0.000,5.882,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.901,31.905,0.000,0.000,0.000,0.000,0.000,0.000,0.273,0.000,0.000,0.000,4.246,0.000,0.000,0.228,5.908,0.000,0.000,13.766,0.000,31.772,0.000,0.000,0.116,0.000
Colo_rep3_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,17.312,0.000,0.000,0.000,0.000,0.000,0.000,14.005,0.000,11.307,0.000,23.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080,0.000,0.000,0.023,0.008,1.339,0.000,0.000,2.701,3.296,26.866,0.000,0.000,0.000,0.000
Colo_rep4_Dep6_Tu3,17.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.410,0.000,9.770,0.000,3.392,0.000,0.000,38.824,0.000,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.035,0.000,0.000,0.000,0.000,4.546,0.040,5.693,0.000,0.000,0.133,0.000
Colo_rep2_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,0.000,11.259,0.000,0.000,0.000,0.000,0.000,0.000,1.361,0.000,11.055,10.741,41.545,0.000,0.000,2.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.024,1.677,0.000,0.000,7.746,6.846,5.664,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu40,5.747,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.523,39.694,4.627,0.000,0.000,0.000,0.000,0.000,0.000,0.431,0.000,0.000,0.000,0.000,0.006,0.483,8.163,10.946,0.000,0.000,0.000,16.638,0.000,0.000,0.739,0.000
Colo_rep3_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,0.000,8.279,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.217,25.268,27.491,0.000,0.000,1.605,0.000,0.000,0.727,0.000,0.000,0.000,0.000,0.000,0.045,0.113,0.379,0.000,0.000,8.860,0.000,13.015,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,0.000,4.049,0.000,0.000,0.000,0.000,0.000,0.000,21.155,0.000,27.279,27.586,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.336,2.410,8.377,0.000,0.000,0.000,7.207,0.901,0.000,0.697,0.000
Colo_rep4_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,0.000,5.025,0.000,0.000,0.000,0.000,0.000,0.000,10.876,0.000,22.238,42.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.260,0.000,0.000,1.550,0.000,0.000,0.063,0.000,0.000,0.000,5.081,0.000,6.650,0.218,0.000,0.000,0.000
