Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Colo_rep2_Dep6_Tu0.5,0.055,15.262,9.656,0.010,25.910,0.683,1.852,1.989,3.145,6.820,14.449,2.506,15.049,2.613
Colo_rep2_Dep6_Tu50,1.814,3.064,4.708,0.423,12.074,33.347,4.262,4.004,3.948,8.609,11.041,3.511,2.419,6.775
Colo_rep6_Dep6_Tu1,0.075,2.770,10.343,0.008,28.917,1.116,2.890,2.867,3.604,4.020,5.358,4.269,27.733,6.029
Colo_rep3_Dep6_Tu2,0.018,15.420,5.858,0.021,26.603,2.018,3.123,2.144,2.716,5.507,13.563,2.950,18.567,1.493
Colo_rep7_Dep6_Tu2,0.151,6.269,9.391,0.003,33.146,4.909,1.188,0.752,8.434,6.298,7.556,0.582,18.054,3.268
Colo_rep8_Dep6_Tu0.1,0.010,20.662,8.291,0.000,21.149,3.390,4.603,3.977,0.129,3.180,6.757,6.051,19.543,2.257
Colo_rep10_Dep6_Tu2,0.057,4.754,2.773,0.028,26.796,3.884,1.709,3.865,4.131,6.380,15.139,1.299,25.402,3.783
Colo_rep6_Dep6_Tu3,0.051,11.039,6.044,0.020,27.795,1.649,4.616,1.546,7.891,3.526,11.597,0.270,19.662,4.294
Colo_rep9_Dep6_Tu30,1.208,3.549,3.866,0.025,14.114,16.733,6.218,4.394,1.124,9.992,7.887,3.758,22.804,4.327
Colo_rep9_Dep6_Tu0.5,0.024,21.599,10.426,0.001,11.377,3.377,0.928,2.614,3.916,4.069,13.236,2.914,19.666,5.852
Colo_rep6_Dep6_Tu20,0.117,12.560,12.108,0.004,5.217,14.415,3.447,2.096,5.931,8.109,14.224,4.557,8.205,9.009
Colo_rep8_Dep6_Tu30,2.995,0.154,10.457,0.387,21.227,14.925,4.525,5.225,4.023,8.805,4.769,2.387,15.304,4.817
