Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,3.394,14.561,34.896,0.000,8.499,0.000,0.000,0.000,15.369,7.207,1.060,2.068,0.000,2.355,4.850,0.000,0.000,0.091,0.000,1.145,0.000,0.000,0.370,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.153,0.015,3.912,0.000,0.016,0.000,0.039,0.000
Colo_rep2_Dep6_Tu50,1.695,7.500,17.505,0.000,0.563,0.000,0.126,0.000,7.518,0.000,2.736,0.503,0.042,0.000,0.619,0.000,0.000,0.837,2.658,0.000,0.000,0.000,0.826,0.000,0.000,0.000,0.000,0.000,0.000,0.330,0.000,48.160,6.584,0.000,1.796,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu1,4.256,7.110,31.995,0.000,19.862,0.000,1.106,0.377,4.100,6.897,0.000,7.994,0.000,1.699,10.447,0.000,0.000,0.234,0.000,1.840,0.000,0.000,1.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.940,0.000,0.000,0.000,0.015,0.000,0.107,0.000
Colo_rep3_Dep6_Tu2,0.000,2.863,49.214,0.000,5.568,0.000,0.356,5.927,0.958,7.248,0.000,1.913,0.000,5.313,5.963,0.000,0.000,4.444,0.000,0.000,0.000,0.000,1.228,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.054,1.218,0.814,0.000,6.849,0.000,0.051,0.000,0.000,0.000
Colo_rep7_Dep6_Tu2,0.050,0.000,43.451,0.909,9.265,0.000,0.000,0.000,4.999,6.371,0.000,4.479,0.000,0.000,18.780,0.000,0.000,5.946,0.000,0.075,0.000,0.000,0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.118,0.846,0.000,0.000,4.563,0.000,0.025,0.000,0.000,0.000
Colo_rep8_Dep6_Tu0.1,1.844,0.000,15.981,0.568,45.965,0.000,0.000,0.000,3.510,5.988,0.000,1.698,0.000,0.981,10.744,0.000,0.000,5.389,0.000,0.000,0.000,0.000,2.148,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.009,0.000,0.000,0.195,4.951,0.000,0.017,0.000,0.000,0.000
Colo_rep10_Dep6_Tu2,3.737,9.762,29.639,0.000,6.821,0.000,0.000,0.000,13.715,3.773,1.683,9.304,0.000,0.152,3.745,0.000,0.000,0.090,0.000,1.076,13.546,0.000,0.000,0.000,0.000,0.000,0.000,0.092,0.000,0.003,0.016,0.000,0.000,0.000,2.770,0.000,0.042,0.000,0.000,0.031
Colo_rep6_Dep6_Tu3,0.502,0.000,44.245,0.000,11.434,0.000,0.000,0.000,3.353,7.696,0.000,4.097,0.000,0.000,13.715,0.000,0.000,2.969,0.000,0.000,0.000,0.000,2.257,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.000,1.249,0.579,0.000,7.870,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu30,7.351,0.189,8.314,0.000,18.492,0.000,4.038,0.000,5.729,4.175,0.000,6.229,0.000,0.000,6.043,0.000,0.000,1.427,0.310,0.000,0.000,0.000,2.886,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.007,33.144,0.729,0.000,0.891,0.000,0.031,0.000,0.007,0.000
Colo_rep9_Dep6_Tu0.5,1.354,27.237,35.149,0.000,11.203,0.000,0.000,0.762,7.746,1.926,3.527,6.420,0.179,0.000,1.658,0.000,0.000,0.000,0.329,1.651,0.000,0.000,0.141,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.075,0.034,0.546,0.000,0.055,0.000,0.000,0.000
