Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,0.000,11.574,0.000,0.000,0.000,0.000,0.000,2.445,0.000,0.000,3.130,0.000,54.206,0.206,0.912,26.845,0.477,0.144,0.000,0.000,0.058,0.000,0.000
Colo_rep2_Dep6_Tu50,0.000,4.167,0.000,0.000,0.000,50.247,0.000,0.000,0.000,0.000,1.876,0.000,21.057,0.000,20.440,0.000,0.000,1.462,0.000,0.749,0.000,0.000,0.000
Colo_rep6_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.841,0.000,0.000,2.450,0.000,53.649,0.000,0.237,10.813,3.932,0.000,0.793,0.000,0.000,0.000,4.284
Colo_rep3_Dep6_Tu2,0.000,10.891,0.000,0.000,0.000,0.000,0.000,2.008,0.000,0.000,1.844,0.000,51.487,18.469,2.021,1.287,0.262,0.132,0.776,0.000,1.101,0.000,9.721
Colo_rep7_Dep6_Tu2,0.000,4.896,0.000,0.000,0.000,0.000,0.000,4.384,0.000,0.000,1.830,0.000,52.387,2.087,1.804,3.055,2.502,0.764,0.000,0.000,25.836,0.000,0.453
Colo_rep8_Dep6_Tu0.1,0.000,1.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.487,0.000,51.375,18.242,0.000,5.466,8.116,1.241,12.514,0.000,0.492,0.000,0.000
Colo_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.212,0.000,0.000,1.280,0.000,51.628,6.378,6.222,10.681,0.542,1.222,0.844,0.000,0.000,0.000,17.990
Colo_rep6_Dep6_Tu3,0.000,25.145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.293,0.000,53.652,11.623,0.000,2.880,0.000,0.000,0.689,0.000,0.267,0.000,3.449
Colo_rep9_Dep6_Tu30,0.000,1.090,0.000,0.000,0.000,33.690,0.000,0.000,0.000,0.000,4.910,0.000,30.599,0.000,8.381,1.628,6.860,12.841,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu0.5,0.000,3.430,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.117,0.000,53.240,0.110,18.319,14.993,0.883,1.048,0.000,0.000,2.780,0.000,4.078
