Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Colo_rep2_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.456,0.000,0.000,66.114,0.000,33.429,0.000
Colo_rep2_Dep6_Tu50,0.000,0.000,0.000,51.463,0.268,0.037,0.000,1.541,0.000,0.000,26.060,0.000,20.629,0.000
Colo_rep6_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.525,0.000,0.000,62.838,0.000,36.637,0.000
Colo_rep3_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.733,0.000,0.000,61.043,0.000,38.223,0.000
Colo_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.477,0.000,0.000,63.249,0.000,36.273,0.000
Colo_rep8_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.108,0.000,0.000,57.188,0.000,41.704,0.000
Colo_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.220,0.000,0.000,64.302,0.000,35.477,0.000
Colo_rep6_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.258,0.000,0.000,63.365,0.000,36.376,0.000
Colo_rep9_Dep6_Tu30,0.000,0.000,0.000,32.278,0.000,0.000,0.000,1.913,0.000,0.000,34.906,0.000,30.903,0.000
Colo_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.309,0.000,0.000,65.399,0.000,34.292,0.000
Colo_rep6_Dep6_Tu20,0.000,0.000,0.000,21.952,0.000,0.000,0.000,0.598,0.000,0.000,47.741,0.000,29.709,0.000
Colo_rep8_Dep6_Tu30,0.000,0.000,0.000,33.386,0.000,0.000,0.000,0.777,0.000,0.000,40.720,0.000,25.117,0.000
Colo_rep3_Dep6_Tu5,0.000,0.000,0.000,3.670,0.000,0.000,0.000,0.208,0.000,0.000,59.241,0.000,36.880,0.000
Colo_rep4_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.356,0.000,0.000,59.583,0.000,40.061,0.000
Colo_rep2_Dep6_Tu10,0.000,0.000,0.000,11.057,0.000,0.000,0.000,0.296,0.000,0.000,56.251,0.000,32.395,0.000
Colo_rep3_Dep6_Tu40,0.000,0.000,0.000,42.446,0.071,0.000,0.000,2.862,0.000,0.000,28.179,0.000,26.442,0.000
Colo_rep3_Dep6_Tu30,0.000,0.000,0.000,34.201,0.000,0.000,0.000,1.167,0.000,0.000,38.634,0.000,25.997,0.000
Colo_rep6_Dep6_Tu30,0.000,0.000,0.000,32.290,0.000,0.000,0.000,1.834,0.000,0.000,32.012,0.000,33.863,0.000
Colo_rep4_Dep6_Tu50,0.000,0.000,0.000,49.948,0.486,0.022,0.000,4.759,0.000,0.000,21.890,0.000,22.894,0.000
Colo_rep5_Dep6_Tu50,0.000,0.000,0.000,52.307,0.923,0.000,0.000,3.253,0.000,0.000,25.149,0.000,18.368,0.000
Colo_rep6_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.698,0.000,0.000,55.178,0.000,44.124,0.000
Colo_rep10_Dep6_Tu50,0.000,0.000,0.000,50.849,0.195,0.000,0.000,6.082,0.000,0.000,20.690,0.000,22.183,0.000
Colo_rep7_Dep6_Tu50,0.000,0.000,0.000,52.100,0.178,0.000,0.000,4.002,0.000,0.000,24.029,0.000,19.651,0.039
Colo_rep9_Dep6_Tu40,0.000,0.000,0.000,41.971,0.067,0.000,0.000,2.098,0.000,0.000,29.277,0.000,26.586,0.000
Colo_rep8_Dep6_Tu5,0.000,0.000,0.000,2.539,0.000,0.000,0.000,0.616,0.000,0.000,53.684,0.000,43.160,0.000
Colo_rep1_Dep6_Tu20,0.000,0.000,0.000,20.838,0.000,0.000,0.000,1.762,0.000,0.000,40.167,0.000,37.233,0.000
Colo_rep9_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.233,0.000,0.000,63.793,0.000,35.973,0.000
Colo_rep5_Dep6_Tu30,0.000,0.000,0.000,32.967,0.000,0.000,0.000,2.011,0.000,0.000,37.187,0.000,27.835,0.000
Colo_rep4_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.744,0.000,0.000,61.309,0.000,37.947,0.000
Colo_rep5_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.412,0.000,0.000,65.472,0.000,34.115,0.000
Colo_rep9_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.654,0.000,0.000,57.478,0.000,41.867,0.000
Colo_rep2_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.519,0.000,0.000,60.330,0.000,39.151,0.000
Colo_rep8_Dep6_Tu10,0.000,0.000,0.000,8.527,0.000,0.000,0.000,1.154,0.000,0.000,50.512,0.000,39.806,0.000
Colo_rep4_Dep6_Tu30,0.000,0.000,0.000,34.491,0.000,0.000,0.000,0.976,0.000,0.000,40.289,0.000,24.243,0.000
Colo_rep2_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.560,0.000,0.000,62.891,0.000,36.548,0.000
Colo_rep1_Dep6_Tu5,0.000,0.000,0.000,2.331,0.000,0.000,0.000,0.307,0.000,0.000,61.188,0.000,36.174,0.000
Colo_rep8_Dep6_Tu50,0.000,0.000,0.000,50.307,0.249,0.021,0.000,4.967,0.000,0.000,20.279,0.000,24.177,0.000
Colo_rep5_Dep6_Tu5,0.000,0.000,0.000,2.204,0.000,0.000,0.000,0.381,0.000,0.000,51.645,0.000,45.769,0.000
Colo_rep6_Dep6_Tu50,0.000,0.000,0.000,50.714,0.143,0.000,0.000,6.102,0.000,0.000,20.458,0.000,22.551,0.032
Colo_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.297,0.000,0.000,65.491,0.000,34.211,0.000
Colo_rep4_Dep6_Tu20,0.000,0.000,0.000,21.736,0.000,0.000,0.000,0.381,0.000,0.000,42.494,0.000,35.389,0.000
Colo_rep8_Dep6_Tu40,0.000,0.000,0.000,43.769,0.153,0.000,0.000,1.223,0.000,0.000,32.365,0.000,22.490,0.000
Colo_rep7_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.277,0.000,0.000,63.400,0.000,36.322,0.000
Colo_rep7_Dep6_Tu30,0.000,0.000,0.000,34.477,0.000,0.000,0.000,0.485,0.000,0.000,39.949,0.000,25.088,0.000
Colo_rep10_Dep6_Tu20,0.000,0.000,0.000,20.385,0.000,0.000,0.000,1.599,0.000,0.000,42.791,0.000,35.223,0.000
Colo_rep9_Dep6_Tu10,0.000,0.000,0.000,8.999,0.000,0.000,0.000,0.939,0.000,0.000,50.352,0.000,39.710,0.000
Colo_rep9_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.946,0.000,0.000,55.112,0.000,43.941,0.000
Colo_rep10_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.766,0.000,0.000,55.407,0.000,43.827,0.000
Colo_rep8_Dep6_Tu20,0.000,0.000,0.000,22.379,0.000,0.000,0.000,0.584,0.000,0.000,42.409,0.000,34.628,0.000
Colo_rep3_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.264,0.000,0.000,60.678,0.000,39.057,0.000
Colo_rep4_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.592,0.000,0.000,59.717,0.000,39.690,0.000
Colo_rep10_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.935,0.000,0.000,55.266,0.000,43.798,0.000
Colo_rep4_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.278,0.000,0.000,62.053,0.000,37.668,0.000
Colo_rep9_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.473,0.000,0.000,66.488,0.000,33.038,0.000
Colo_rep1_Dep6_Tu10,0.000,0.000,0.000,7.889,0.000,0.000,0.000,0.866,0.000,0.000,47.697,0.000,43.547,0.000
Colo_rep6_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.921,0.000,0.000,58.503,0.000,40.575,0.000
Colo_rep6_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.840,0.000,0.000,55.238,0.000,43.921,0.000
Colo_rep10_Dep6_Tu10,0.000,0.000,0.000,8.670,0.000,0.000,0.000,1.179,0.000,0.000,50.553,0.000,39.598,0.000
Colo_rep10_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.369,0.000,0.000,54.824,0.000,43.807,0.000
Colo_rep10_Dep6_Tu5,0.000,0.000,0.000,3.997,0.000,0.000,0.000,0.357,0.000,0.000,56.867,0.000,38.778,0.000
Colo_rep10_Dep6_Tu40,0.000,0.000,0.000,43.869,0.042,0.000,0.000,1.366,0.000,0.000,32.281,0.000,22.412,0.030
Colo_rep10_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.779,0.000,0.000,53.699,0.000,45.521,0.000
Colo_rep1_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.230,0.000,0.000,55.119,0.000,43.650,0.000
Colo_rep7_Dep6_Tu20,0.000,0.000,0.000,23.814,0.000,0.000,0.000,0.452,0.000,0.000,48.018,0.000,27.715,0.000
Colo_rep6_Dep6_Tu10,0.000,0.000,0.000,9.381,0.000,0.000,0.000,0.573,0.000,0.000,52.368,0.000,37.677,0.000
Colo_rep10_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.381,0.000,0.000,65.768,0.000,33.850,0.000
Colo_rep1_Dep6_Tu30,0.000,0.000,0.000,34.959,0.000,0.000,0.000,0.723,0.000,0.000,38.817,0.000,25.500,0.000
Colo_rep1_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.497,0.000,0.000,67.258,0.000,32.245,0.000
Colo_rep7_Dep6_Tu5,0.000,0.000,0.000,2.822,0.000,0.000,0.000,0.759,0.000,0.000,58.499,0.000,37.920,0.000
Colo_rep7_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.264,0.000,0.000,65.302,0.000,34.433,0.000
Colo_rep6_Dep6_Tu40,0.000,0.000,0.000,43.319,0.000,0.000,0.000,2.094,0.000,0.000,31.158,0.000,23.429,0.000
Colo_rep8_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.041,0.000,0.000,56.682,0.000,42.276,0.000
Colo_rep7_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.174,0.000,0.000,64.047,0.000,35.779,0.000
Colo_rep5_Dep6_Tu20,0.000,0.000,0.000,19.991,0.000,0.000,0.000,2.904,0.000,0.000,40.597,0.000,36.507,0.000
Colo_rep8_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.482,0.000,0.000,66.482,0.000,33.036,0.000
Colo_rep4_Dep6_Tu5,0.000,0.000,0.000,2.227,0.000,0.000,0.000,0.592,0.000,0.000,51.625,0.000,45.555,0.000
Colo_rep9_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.444,0.000,0.000,65.256,0.000,34.300,0.000
Colo_rep1_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.477,0.000,0.000,61.359,0.000,38.163,0.000
Colo_rep8_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.229,0.000,0.000,59.737,0.000,40.034,0.000
Colo_rep5_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.770,0.000,0.000,53.568,0.000,45.662,0.000
Colo_rep2_Dep6_Tu30,0.000,0.000,0.000,34.136,0.000,0.000,0.000,1.005,0.000,0.000,40.728,0.000,24.130,0.000
Colo_rep7_Dep6_Tu10,0.000,0.000,0.000,11.086,0.000,0.000,0.000,0.184,0.000,0.000,57.588,0.000,31.142,0.000
Colo_rep2_Dep6_Tu40,0.000,0.000,0.000,40.624,0.102,0.000,0.000,6.508,0.000,0.000,26.749,0.000,26.017,0.000
Colo_rep3_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.713,0.000,0.000,57.809,0.000,41.478,0.000
Colo_rep3_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.751,0.000,0.000,57.743,0.000,41.505,0.000
Colo_rep8_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.961,0.000,0.000,59.737,0.000,39.301,0.000
Colo_rep4_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.007,0.000,0.000,53.698,0.000,45.293,0.000
Colo_rep5_Dep6_Tu40,0.000,0.000,0.000,42.337,0.011,0.000,0.000,3.132,0.000,0.000,28.593,0.000,25.927,0.000
Colo_rep5_Dep6_Tu10,0.000,0.000,0.000,9.177,0.000,0.000,0.000,0.940,0.000,0.000,50.544,0.000,39.339,0.000
Colo_rep2_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.228,0.000,0.000,60.238,0.000,39.533,0.000
Colo_rep10_Dep6_Tu30,0.000,0.000,0.000,34.829,0.000,0.000,0.000,0.607,0.000,0.000,39.579,0.000,24.984,0.000
Colo_rep1_Dep6_Tu40,0.000,0.000,0.000,42.481,0.096,0.000,0.000,1.370,0.000,0.000,30.332,0.000,25.721,0.000
Colo_rep6_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.405,0.000,0.000,64.076,0.000,35.518,0.000
Colo_rep7_Dep6_Tu40,0.000,0.000,0.000,43.007,0.364,0.000,0.000,2.407,0.000,0.000,27.692,0.000,26.529,0.000
Colo_rep1_Dep6_Tu50,0.000,0.000,0.000,51.287,0.296,0.025,0.000,3.588,0.000,0.000,22.087,0.000,22.716,0.000
Colo_rep1_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.229,0.000,0.000,61.174,0.000,37.597,0.000
Colo_rep9_Dep6_Tu20,0.000,0.000,0.000,21.044,0.000,0.000,0.000,0.421,0.000,0.000,46.239,0.000,32.296,0.000
