Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo_rep2_Dep6_Tu0.5,0.000,2.800,0.034,0.000,1.409,0.181,2.057,2.722,0.000,13.321,8.288,3.042,66.146
Colo_rep2_Dep6_Tu50,0.000,5.389,0.281,3.703,2.556,28.879,1.359,9.036,0.217,5.123,8.060,2.237,33.160
Colo_rep6_Dep6_Tu1,0.000,2.423,0.246,0.000,1.649,0.583,2.162,2.751,0.000,13.533,8.813,3.253,64.588
Colo_rep3_Dep6_Tu2,0.158,2.338,0.524,0.000,1.885,1.724,3.298,2.417,2.401,10.044,9.364,2.126,63.722
Colo_rep7_Dep6_Tu2,0.350,1.939,0.349,0.000,1.225,1.372,2.638,3.210,0.000,12.337,9.240,2.701,64.639
Colo_rep8_Dep6_Tu0.1,0.268,3.291,0.304,0.000,1.387,0.186,2.769,3.332,0.000,12.365,9.982,2.728,63.388
Colo_rep10_Dep6_Tu2,0.200,3.269,0.282,0.000,1.485,1.305,2.486,4.224,0.000,11.831,8.262,2.690,63.965
Colo_rep6_Dep6_Tu3,0.463,2.016,0.181,0.000,1.781,2.618,3.047,4.133,1.040,10.731,8.444,1.893,63.654
Colo_rep9_Dep6_Tu30,0.000,4.760,0.213,0.548,3.151,18.258,2.142,5.395,0.942,8.174,8.396,2.688,45.335
Colo_rep9_Dep6_Tu0.5,0.000,1.137,0.458,0.000,2.051,0.877,2.348,4.333,0.000,12.125,8.825,2.662,65.183
Colo_rep6_Dep6_Tu20,0.861,3.486,0.446,0.000,1.694,12.826,1.844,7.140,2.721,6.545,7.694,1.999,52.743
Colo_rep8_Dep6_Tu30,0.000,4.518,0.066,0.815,3.509,17.774,1.853,6.791,0.000,7.067,10.160,2.329,45.117
Colo_rep3_Dep6_Tu5,0.287,3.318,0.000,0.000,2.094,3.535,2.343,2.674,1.833,10.893,8.018,3.133,61.870
Colo_rep4_Dep6_Tu3,0.400,2.797,0.313,0.312,1.546,2.115,1.789,3.313,0.670,11.397,8.729,3.015,63.603
Colo_rep2_Dep6_Tu10,0.717,3.017,0.487,0.090,2.387,6.190,2.300,5.301,0.000,10.199,8.695,2.265,58.351
Colo_rep3_Dep6_Tu40,0.000,4.455,0.131,1.220,2.890,24.211,1.823,8.885,0.132,6.007,9.144,2.070,39.032
Colo_rep3_Dep6_Tu30,0.000,4.620,0.000,0.871,2.732,17.949,2.424,6.654,0.326,7.903,9.023,1.883,45.615
Colo_rep6_Dep6_Tu30,0.000,4.309,0.000,0.648,2.822,19.119,2.897,7.539,3.281,5.124,7.350,1.537,45.374
Colo_rep4_Dep6_Tu50,0.000,5.033,0.108,2.936,3.233,29.155,2.127,8.037,3.328,3.481,7.225,1.276,34.060
Colo_rep5_Dep6_Tu50,0.000,4.335,0.212,1.337,3.773,29.611,1.262,8.464,1.408,5.894,9.143,2.094,32.468
Colo_rep6_Dep6_Tu2,0.193,2.051,0.552,0.000,1.397,1.692,2.611,3.885,0.738,11.109,9.753,2.261,63.759
Colo_rep10_Dep6_Tu50,0.464,4.526,0.639,1.817,3.139,29.767,2.159,7.122,1.529,5.719,8.656,1.923,32.538
Colo_rep7_Dep6_Tu50,0.000,4.718,0.494,2.130,3.635,29.581,1.570,11.061,0.000,2.918,8.195,1.973,33.727
Colo_rep9_Dep6_Tu40,0.311,5.895,0.000,2.301,2.833,23.252,1.522,6.185,2.893,5.247,7.836,1.397,40.330
