Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,0.000,16.862,1.847,0.000,0.000,0.000,0.000,0.000,0.786,6.743,0.000,7.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.609,0.000,0.050,0.000,0.000,0.000,0.000,29.806,0.000,0.004,0.985,0.000,0.000,0.000,0.000,0.314,21.623,12.050,0.000,0.000
Colo_rep2_Dep6_Tu50,0.000,15.469,0.000,0.000,0.000,0.000,0.014,0.000,4.743,0.000,0.000,0.000,2.417,1.006,41.796,0.000,0.652,0.000,0.000,0.000,0.000,0.000,0.448,0.000,0.000,0.000,0.000,19.532,0.000,1.765,0.084,0.672,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.399
Colo_rep6_Dep6_Tu1,2.953,5.406,4.082,0.000,0.000,0.000,0.000,0.000,0.000,5.665,0.000,0.000,21.362,0.730,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.548,0.000,0.000,0.000,0.000,15.833,0.000,0.000,0.074,0.000,0.000,0.000,0.000,0.000,21.232,7.644,0.000,7.468
Colo_rep3_Dep6_Tu2,1.581,0.000,8.052,0.000,0.000,0.000,0.000,0.000,0.027,9.041,0.000,0.000,10.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.655,0.000,14.326,0.000,0.000,0.000,0.000,11.770,0.000,0.000,0.471,0.000,0.000,0.000,0.000,0.000,3.109,39.086,0.000,1.877
Colo_rep7_Dep6_Tu2,0.000,0.000,7.419,0.000,0.000,0.000,0.000,0.000,0.221,5.526,52.580,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.502,0.000,8.155,0.000,0.000,0.000,0.000,2.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.658,18.811,0.000,0.000
Colo_rep8_Dep6_Tu0.1,0.000,0.000,3.491,0.000,0.000,0.000,0.000,0.000,8.191,9.195,7.972,0.000,3.419,0.000,0.000,0.000,0.000,0.000,6.239,0.000,3.222,0.000,3.639,0.000,0.000,0.000,0.000,1.751,0.000,0.000,0.040,0.000,0.000,0.000,0.000,19.321,0.000,33.518,0.000,0.000
Colo_rep10_Dep6_Tu2,0.824,9.436,0.000,0.000,0.000,0.000,0.000,0.000,6.154,12.475,8.171,4.702,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.462,2.972,0.000,0.211,0.000,0.000,0.000,0.000,8.665,0.000,0.000,1.128,0.000,0.000,0.000,0.000,0.000,28.973,13.826,0.000,0.000
Colo_rep6_Dep6_Tu3,0.080,0.000,5.899,0.000,0.000,0.000,0.000,0.000,7.395,11.759,28.991,0.000,1.468,0.000,0.000,0.000,0.000,0.000,0.711,0.000,0.000,0.000,11.800,0.000,0.000,0.000,0.000,6.547,0.000,0.000,0.162,0.000,0.000,0.000,0.000,0.000,0.323,24.862,0.000,0.000
Colo_rep9_Dep6_Tu30,0.000,0.000,6.095,0.000,0.000,0.000,1.384,0.000,1.644,0.000,0.000,0.000,0.000,7.157,26.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.635,0.000,0.000,0.000,0.000,24.437,0.000,0.000,0.201,0.000,0.000,0.000,0.000,0.000,11.052,1.113,0.000,17.001
Colo_rep9_Dep6_Tu0.5,0.000,8.710,0.000,0.000,0.000,0.000,0.000,0.000,5.325,0.314,0.000,19.589,0.000,10.560,0.000,0.000,0.000,0.000,0.000,1.064,0.000,0.000,0.881,0.000,0.000,0.000,0.000,33.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.373,13.084,0.000,0.000
Colo_rep6_Dep6_Tu20,0.000,0.000,10.933,0.000,0.000,0.000,0.000,0.000,0.356,0.834,0.000,16.104,6.650,0.251,20.358,0.000,0.000,0.000,0.000,4.327,0.000,0.000,2.016,0.000,0.209,0.000,0.000,10.198,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,8.847,18.885,0.000,0.000
Colo_rep8_Dep6_Tu30,0.000,4.790,0.000,0.000,0.000,0.000,0.000,0.000,5.612,8.324,0.000,0.922,0.059,2.802,25.818,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.137,0.608,0.000,0.000,0.829,13.966,0.000,0.000,0.180,0.000,0.000,0.000,0.000,0.000,31.950,0.000,0.000,0.000
Colo_rep3_Dep6_Tu5,0.000,0.219,10.077,0.000,0.000,0.000,0.000,0.000,4.542,1.423,0.000,5.879,14.191,3.363,0.000,0.000,0.000,0.000,0.157,0.000,0.000,0.000,6.493,0.000,0.000,0.000,0.000,28.468,0.000,0.000,0.263,0.000,0.000,0.000,0.000,6.057,14.064,3.876,0.000,0.928
Colo_rep4_Dep6_Tu3,0.000,0.000,5.722,0.000,0.000,0.000,0.000,0.000,8.084,4.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.995,0.000,5.903,0.000,0.564,0.000,0.000,0.000,0.000,8.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.410,20.201,20.259,0.000,5.783
Colo_rep2_Dep6_Tu10,0.000,4.249,6.011,0.000,0.000,0.000,0.000,0.000,8.821,13.138,0.000,0.000,0.000,0.000,8.893,0.000,0.000,0.000,0.000,2.018,2.854,0.000,0.805,0.000,0.000,0.000,0.000,13.684,0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.000,27.508,11.941,0.000,0.000
Colo_rep3_Dep6_Tu40,0.000,0.000,3.750,0.000,0.000,0.000,2.238,0.000,2.397,0.000,0.272,0.000,3.531,5.227,37.462,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.378,0.000,0.000,1.821,0.000,17.310,0.000,0.000,0.335,0.000,0.000,0.000,0.000,0.000,8.963,1.903,0.000,12.413
Colo_rep3_Dep6_Tu30,0.000,4.865,3.643,0.000,0.000,0.000,0.000,0.000,2.983,9.775,0.000,0.000,0.000,1.542,27.212,0.000,0.000,0.465,0.000,0.000,0.000,0.000,3.001,0.350,0.254,0.000,0.000,22.029,0.000,0.003,0.033,0.000,0.000,0.000,0.000,0.000,20.399,3.444,0.000,0.000
Colo_rep6_Dep6_Tu30,0.000,1.221,2.723,0.000,0.000,0.000,0.028,0.000,7.807,0.000,0.000,0.000,0.000,0.000,29.348,0.000,2.570,0.000,6.246,0.000,3.065,0.000,0.118,0.000,0.000,0.000,0.000,5.361,0.000,0.000,0.103,0.000,0.000,0.000,0.000,0.000,0.000,26.695,0.000,14.714
Colo_rep4_Dep6_Tu50,0.000,0.000,5.719,0.000,0.000,0.000,0.055,0.000,0.000,5.608,0.000,0.337,3.314,0.026,42.586,0.000,9.326,0.000,5.463,0.000,0.000,2.646,0.000,0.000,0.039,0.000,1.296,5.298,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,16.190,0.000,2.070
Colo_rep5_Dep6_Tu50,0.000,9.929,0.151,0.000,0.000,0.000,0.000,0.000,8.049,8.010,1.886,0.000,0.000,0.000,46.767,0.000,0.000,0.000,0.000,0.000,1.287,0.000,1.024,0.000,0.292,0.000,0.157,20.858,0.000,0.000,1.589,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu2,0.000,0.000,7.441,0.000,0.000,0.000,0.338,0.000,2.489,0.000,0.000,0.000,7.437,0.000,0.000,0.000,0.000,0.000,12.780,0.000,0.855,0.022,0.000,0.000,0.000,0.000,0.000,7.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.707,0.000,43.855,0.000,16.287
Colo_rep10_Dep6_Tu50,0.000,4.176,0.000,0.000,0.000,0.000,0.877,0.000,9.769,8.574,0.000,7.779,0.000,2.511,43.544,0.000,0.000,0.000,0.000,0.149,0.000,0.000,5.985,0.000,0.000,0.000,0.000,6.717,0.000,0.000,2.116,0.007,0.000,0.000,0.000,0.000,7.793,0.000,0.000,0.000
Colo_rep7_Dep6_Tu50,0.000,1.872,9.238,0.000,0.000,0.000,0.637,0.000,0.000,6.321,0.000,0.000,10.261,0.571,43.793,0.000,0.564,8.228,0.000,0.000,0.000,0.000,0.000,0.000,1.719,0.000,0.767,14.938,0.000,0.000,0.060,0.000,0.000,1.030,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu40,0.000,0.000,6.645,0.000,0.000,0.000,0.842,0.000,7.078,0.000,0.000,4.146,8.489,0.896,31.645,0.000,0.000,0.000,0.000,0.016,0.000,0.000,5.596,0.000,0.000,0.602,0.000,19.641,0.000,0.000,0.123,0.496,3.387,0.000,0.000,0.000,0.000,0.000,0.000,10.397
Colo_rep8_Dep6_Tu5,0.000,0.000,9.071,0.000,0.000,0.000,0.750,0.000,5.819,3.181,0.000,0.000,3.863,0.000,0.000,0.000,0.000,0.000,4.729,0.000,5.360,0.000,6.693,0.000,0.000,0.000,0.000,7.115,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.000,0.038,45.290,0.000,8.013
Colo_rep1_Dep6_Tu20,0.000,0.000,5.350,0.000,0.000,0.000,0.036,0.000,5.542,0.000,0.000,0.000,0.000,0.000,19.766,0.000,1.478,0.020,7.999,0.073,2.067,0.000,1.094,0.000,0.000,0.000,0.141,11.784,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.885,0.000,13.764
Colo_rep9_Dep6_Tu2,0.000,0.000,18.461,0.000,0.000,0.000,0.101,0.000,4.373,5.610,5.745,11.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.576,0.000,0.000,0.000,0.012,10.898,0.000,0.051,0.000,0.000,0.000,0.000,0.000,1.815,17.620,23.053,0.000,0.503
Colo_rep5_Dep6_Tu30,0.000,0.835,10.318,0.000,2.671,0.000,0.000,0.000,7.994,4.772,11.396,0.000,0.000,0.000,25.787,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.625,0.045,0.000,0.000,0.000,0.000,0.000,27.492,0.000,0.000
Colo_rep4_Dep6_Tu0.1,0.000,17.280,0.000,0.000,0.000,0.000,0.000,0.000,0.148,8.491,6.646,0.000,3.242,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.150,0.000,8.843,0.000,0.000,0.000,0.000,6.959,0.000,0.000,0.131,0.000,0.000,0.000,0.000,0.000,0.569,46.537,0.000,0.000
Colo_rep5_Dep6_Tu0.1,0.000,6.448,2.457,0.000,0.000,0.000,0.000,0.000,4.549,11.544,0.000,0.000,1.509,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.084,0.000,0.000,0.000,0.000,14.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.210,3.149,0.000,0.000
Colo_rep9_Dep6_Tu3,17.350,0.000,5.824,0.000,7.533,0.000,0.000,0.000,0.000,3.780,0.000,0.000,2.799,0.000,0.000,0.000,0.000,0.000,0.969,0.000,4.708,0.000,1.796,0.000,0.000,0.000,0.000,24.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.704,5.635,17.942,0.000,6.874
Colo_rep2_Dep6_Tu0.1,0.000,0.000,7.435,0.000,0.000,0.000,0.000,0.000,1.351,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.472,0.000,2.033,0.000,0.197,0.000,0.000,0.000,0.000,22.747,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.235,17.063,3.490,0.000,16.911
Colo_rep8_Dep6_Tu10,0.000,0.000,2.635,0.000,0.000,0.000,0.000,0.000,6.267,10.150,0.349,0.000,17.152,0.000,0.000,0.000,0.000,0.000,6.872,0.000,6.684,0.000,6.191,0.000,0.000,0.000,0.000,4.336,0.000,0.000,0.194,0.000,0.000,0.000,0.000,0.000,2.506,36.663,0.000,0.000
Colo_rep4_Dep6_Tu30,0.000,5.024,8.218,0.000,0.000,0.000,0.000,0.000,0.943,3.819,15.577,2.972,0.000,0.000,28.346,0.000,0.000,0.000,1.520,0.346,0.000,0.000,0.520,0.000,0.000,0.000,0.000,28.967,0.000,0.807,0.121,0.000,0.000,0.000,0.000,2.818,0.000,0.000,0.000,0.000
Colo_rep2_Dep6_Tu2,0.000,13.003,0.999,0.000,0.000,0.000,0.000,0.000,1.048,9.344,17.827,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.944,0.000,0.899,0.000,8.518,0.000,0.000,0.000,0.000,1.054,0.000,0.000,0.056,0.000,0.000,0.000,0.000,0.000,2.755,42.551,0.000,0.000
Colo_rep1_Dep6_Tu5,0.000,0.000,11.056,0.000,0.000,0.000,0.000,0.000,1.284,8.084,27.807,0.000,0.281,0.000,0.000,0.000,0.000,0.000,0.000,8.595,0.000,0.000,5.616,0.000,0.000,0.000,0.000,20.647,0.000,0.000,0.309,0.000,0.000,0.000,0.000,0.000,0.000,15.844,0.000,0.474
Colo_rep8_Dep6_Tu50,0.000,0.000,1.389,0.000,0.000,0.000,0.210,0.000,4.564,0.000,0.000,0.000,0.000,0.000,44.457,0.000,0.087,0.000,3.622,0.000,2.039,0.000,0.000,0.000,6.549,0.000,0.016,16.499,0.000,0.013,0.096,0.000,0.000,1.977,0.000,0.000,0.000,0.000,0.000,18.481
Colo_rep5_Dep6_Tu5,0.000,0.000,7.224,0.000,0.000,0.000,0.070,0.000,5.630,5.318,0.000,0.000,1.157,0.000,2.533,0.000,0.000,0.000,2.985,0.000,5.817,0.000,7.338,0.000,0.000,0.000,0.000,5.221,0.000,0.000,0.002,0.000,0.000,0.000,0.000,9.104,1.109,37.038,0.000,9.452
Colo_rep6_Dep6_Tu50,0.000,0.000,4.007,0.000,0.000,0.000,0.947,0.000,4.195,0.000,0.000,0.000,0.000,0.000,42.570,0.000,7.203,0.000,2.967,0.000,1.198,0.000,1.929,0.000,0.000,0.000,0.000,11.129,0.000,0.000,0.065,0.000,0.000,0.000,0.000,0.000,0.000,11.872,0.000,11.917
Colo_rep5_Dep6_Tu0.5,0.000,0.000,10.906,0.000,0.000,0.000,0.000,0.000,1.925,9.556,0.000,1.859,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.399,0.000,1.914,1.312,0.000,0.000,0.000,43.464,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.520,9.891,13.698,0.000,4.553
Colo_rep4_Dep6_Tu20,0.000,0.529,4.526,0.000,0.000,0.000,0.047,0.000,10.740,1.746,0.000,0.000,0.000,0.000,20.608,0.000,0.000,0.000,0.053,0.000,5.596,0.000,2.811,0.000,0.000,0.000,0.000,13.589,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.000,28.230,0.000,11.506
Colo_rep8_Dep6_Tu40,0.053,4.705,3.241,0.000,0.000,0.000,0.000,0.000,4.611,0.968,0.000,11.546,0.000,7.045,35.480,0.000,2.005,0.000,0.000,0.099,0.000,0.000,1.092,0.000,0.000,0.000,0.186,28.684,0.000,0.035,0.010,0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep7_Dep6_Tu0.3,0.000,0.000,20.039,0.000,0.000,0.000,0.000,0.000,2.668,11.289,6.637,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.177,0.000,1.209,0.000,0.000,0.000,0.008,22.807,0.000,0.106,0.000,0.000,0.000,0.000,0.000,1.773,11.830,21.334,0.000,0.121
Colo_rep7_Dep6_Tu30,0.000,6.785,4.926,0.000,0.000,0.000,0.056,0.000,8.256,0.329,8.702,5.892,13.759,0.000,30.748,0.000,0.080,0.000,0.000,0.000,0.313,0.187,0.000,1.315,0.013,0.000,0.000,14.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.617,0.000,0.000
Colo_rep10_Dep6_Tu20,0.000,0.000,3.103,0.000,0.000,0.000,0.000,0.000,3.098,7.802,6.407,0.000,16.797,0.000,18.398,0.000,0.000,0.000,7.102,0.000,4.621,0.000,3.881,0.107,0.000,0.000,0.000,0.444,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,28.205,0.000,0.000
Colo_rep9_Dep6_Tu10,5.556,0.000,9.220,0.000,0.000,0.000,0.000,0.000,4.144,0.223,0.000,0.000,0.923,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.298,0.000,5.597,0.000,0.000,0.000,0.000,17.919,0.000,0.000,0.502,0.000,0.000,0.000,0.000,17.698,0.107,21.137,0.000,13.675
