Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,0.025,4.413,1.519,0.001,5.907,1.994,2.039,3.589,3.043,0.077,3.746,2.803,5.695,2.539,7.488,8.260,0.778,14.371,9.841,0.007,9.795,3.323,8.749
Colo_rep2_Dep6_Tu50,1.413,2.891,0.765,0.429,11.220,25.200,3.882,3.890,1.254,8.372,6.205,3.536,1.571,5.084,0.857,3.084,0.901,0.087,3.297,2.597,2.632,2.173,8.659
Colo_rep6_Dep6_Tu1,0.059,0.729,0.896,0.003,9.287,1.819,2.779,1.644,2.771,2.857,6.036,3.530,11.390,4.553,2.308,0.988,5.249,5.639,13.634,2.098,3.357,8.902,9.471
Colo_rep3_Dep6_Tu2,0.004,2.971,0.547,0.005,8.549,2.052,3.038,3.903,0.497,3.430,5.104,3.455,7.845,1.699,8.007,3.119,1.503,2.591,24.318,1.464,3.974,9.016,2.909
Colo_rep7_Dep6_Tu2,0.148,1.057,0.727,0.004,7.115,4.141,3.556,0.605,2.488,3.884,4.752,3.102,6.434,8.326,7.679,0.716,4.493,7.183,18.739,0.419,3.780,5.097,5.555
Colo_rep8_Dep6_Tu0.1,0.002,3.261,0.361,0.000,10.119,1.908,3.228,2.493,4.024,2.266,7.974,1.040,15.564,0.699,7.458,10.607,3.431,0.120,15.243,1.195,5.263,0.337,3.407
Colo_rep10_Dep6_Tu2,0.008,4.879,0.897,0.005,1.684,4.529,2.631,0.556,3.293,4.708,4.286,3.251,15.710,1.231,7.760,2.792,4.241,16.027,2.410,1.296,5.614,5.077,7.116
Colo_rep6_Dep6_Tu3,0.018,1.369,1.254,0.002,0.201,3.465,5.540,4.112,3.179,3.443,3.662,2.172,9.654,4.994,5.669,4.797,5.812,3.308,12.513,2.183,6.504,3.977,12.172
Colo_rep9_Dep6_Tu30,0.624,3.570,0.825,0.078,9.116,13.559,5.240,1.735,2.297,4.751,6.204,3.934,10.818,4.259,4.598,8.913,0.233,5.059,2.108,2.205,2.863,4.608,2.407
Colo_rep9_Dep6_Tu0.5,0.043,6.388,0.363,0.002,2.467,1.599,1.614,3.867,2.761,2.006,5.375,3.359,13.646,9.477,2.751,6.096,4.495,7.667,12.825,1.346,4.750,2.970,4.133
Colo_rep6_Dep6_Tu20,0.288,3.262,0.944,0.018,1.188,12.352,1.169,4.833,3.344,6.089,7.591,3.895,11.962,1.991,3.728,7.988,0.315,0.710,9.619,3.665,10.522,2.358,2.170
Colo_rep8_Dep6_Tu30,2.450,4.294,1.467,0.417,7.482,12.309,4.985,1.124,1.804,6.753,3.736,4.642,7.989,7.693,2.117,1.388,6.400,11.993,3.291,0.915,1.700,5.000,0.050
Colo_rep3_Dep6_Tu5,0.169,0.616,0.732,0.004,3.922,2.220,3.844,3.496,2.151,5.894,7.883,2.869,12.555,6.318,2.057,7.600,7.546,0.580,8.466,2.067,1.638,7.495,9.880
Colo_rep4_Dep6_Tu3,0.135,1.943,0.828,0.035,10.669,3.133,3.135,3.655,3.346,2.346,5.301,0.548,14.547,9.079,10.475,5.803,2.355,7.993,3.176,0.848,4.293,2.277,4.079
Colo_rep2_Dep6_Tu10,0.055,4.670,0.421,0.262,9.819,3.396,4.010,1.583,0.826,3.273,7.562,5.432,5.544,3.728,7.509,2.178,5.237,9.462,6.958,0.851,1.610,4.341,11.276
Colo_rep3_Dep6_Tu40,0.705,1.877,0.934,0.236,3.442,26.368,3.830,3.933,2.782,4.618,5.304,4.802,11.692,0.969,4.655,4.918,3.504,0.525,2.477,1.661,0.412,1.815,8.540
Colo_rep3_Dep6_Tu30,2.740,2.318,0.053,0.127,8.278,16.445,3.378,2.244,4.555,1.836,6.601,3.736,2.640,2.867,1.926,4.364,3.844,7.716,5.896,1.029,9.304,3.365,4.738
Colo_rep6_Dep6_Tu30,0.450,5.313,0.647,0.099,8.433,17.028,1.025,2.422,7.283,2.979,6.782,4.537,6.515,4.647,3.963,3.684,4.346,5.821,1.969,3.230,2.455,2.826,3.548
Colo_rep4_Dep6_Tu50,1.138,4.419,0.846,0.007,0.683,28.093,3.166,5.789,7.520,5.873,2.588,1.889,7.107,0.806,3.994,5.346,3.808,0.898,2.736,4.020,1.663,6.048,1.564
Colo_rep5_Dep6_Tu50,1.082,1.757,1.147,0.087,6.409,30.322,2.755,3.368,3.860,5.951,8.953,3.910,4.787,4.002,0.888,1.418,4.389,3.334,0.556,4.012,0.224,1.724,5.064
