Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,0.000,0.241,0.000,0.000,0.000,63.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.053,0.000,0.000,20.655,0.000,0.000,3.439,3.008
Colo_rep2_Dep6_Tu50,0.033,0.630,0.000,0.000,0.122,28.629,4.706,0.000,0.000,12.162,0.000,38.673,0.000,0.000,0.000,3.118,0.000,0.000,11.925,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu1,0.000,0.075,0.000,0.000,0.000,58.245,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.549,6.010,0.000,12.080,0.000,0.000,0.000,13.039
Colo_rep3_Dep6_Tu2,0.000,0.128,0.000,0.000,0.000,50.971,0.000,0.000,0.000,0.000,0.000,0.000,1.069,0.000,0.000,8.314,0.755,0.000,0.473,0.000,0.000,0.000,38.288
Colo_rep7_Dep6_Tu2,0.000,0.138,0.000,0.000,0.000,53.835,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.094,0.649,0.000,4.017,0.000,0.000,36.598,3.667
Colo_rep8_Dep6_Tu0.1,0.000,0.198,0.000,0.000,0.000,57.942,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.948,18.839,0.000,1.567,0.000,0.000,0.000,15.504
Colo_rep10_Dep6_Tu2,0.000,0.549,0.000,0.000,0.000,53.380,11.635,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.963,0.000,0.000,17.963,0.000,0.000,1.896,3.612
Colo_rep6_Dep6_Tu3,0.000,0.394,0.000,0.000,0.000,48.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.991,0.421,0.000,2.566,0.000,0.000,37.846,1.342
Colo_rep9_Dep6_Tu30,0.000,2.317,0.000,0.000,0.000,33.679,0.000,0.000,0.000,0.000,0.000,25.276,12.046,0.000,0.000,14.764,5.436,0.000,6.480,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu0.5,0.000,0.939,0.000,0.000,0.000,58.572,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.638,0.000,0.000,14.057,0.000,0.000,12.430,4.363
Colo_rep6_Dep6_Tu20,0.000,0.000,0.000,0.000,0.206,46.234,0.000,0.000,0.000,9.671,0.000,19.333,0.000,0.000,0.000,7.133,0.000,0.000,17.422,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu30,0.000,3.883,0.000,0.000,0.000,43.250,0.000,0.000,0.000,6.805,0.000,25.670,0.000,0.000,0.000,7.224,0.000,0.000,13.167,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu5,0.000,2.269,0.000,0.000,0.000,59.783,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.611,2.077,0.000,12.405,0.000,0.000,14.853,0.000
Colo_rep4_Dep6_Tu3,0.000,6.337,0.000,0.000,0.000,56.730,12.325,0.000,0.000,6.027,0.000,0.000,0.000,0.000,0.000,4.211,8.336,0.350,2.768,0.000,0.000,2.915,0.000
