Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Colo_rep2_Dep6_Tu0.5,0.000,0.000,0.181,0.000,62.580,0.000,0.000,0.000,0.000,18.012,14.394,0.000,0.000,4.832
Colo_rep2_Dep6_Tu50,0.025,0.000,3.133,0.000,24.602,40.842,0.000,0.000,0.000,13.065,6.611,0.000,0.068,11.653
Colo_rep6_Dep6_Tu1,0.000,0.000,0.056,0.000,55.331,0.000,2.610,0.000,0.000,11.482,14.571,0.000,0.000,15.951
Colo_rep3_Dep6_Tu2,0.000,0.000,0.121,0.000,51.434,0.000,0.172,0.000,0.000,0.584,19.283,0.000,0.000,28.405
Colo_rep7_Dep6_Tu2,0.000,0.000,0.095,0.000,53.256,0.000,0.148,0.000,0.000,12.349,3.219,0.000,0.000,30.934
Colo_rep8_Dep6_Tu0.1,0.000,0.000,0.168,0.000,57.118,0.000,8.667,0.000,0.000,1.400,4.019,0.000,0.000,28.628
Colo_rep10_Dep6_Tu2,0.000,0.000,1.012,0.000,59.307,0.000,0.000,0.000,0.000,17.859,12.639,0.000,0.000,9.182
Colo_rep6_Dep6_Tu3,0.000,0.000,0.328,0.000,50.046,0.000,0.194,0.000,0.000,9.001,13.309,0.000,0.000,27.121
Colo_rep9_Dep6_Tu30,0.000,0.000,2.555,0.000,36.031,30.160,7.004,0.000,0.000,3.420,9.644,0.000,0.000,11.185
Colo_rep9_Dep6_Tu0.5,0.000,0.000,0.521,0.000,58.839,0.000,0.000,0.000,0.000,16.824,13.335,0.000,0.000,10.481
Colo_rep6_Dep6_Tu20,0.000,0.000,0.000,0.000,37.672,20.570,0.000,0.000,0.000,13.174,8.004,0.000,0.129,20.451
Colo_rep8_Dep6_Tu30,0.000,0.000,2.605,0.000,39.208,24.896,0.000,0.000,0.000,15.402,12.184,0.000,0.000,5.705
Colo_rep3_Dep6_Tu5,0.000,0.000,0.955,0.000,58.945,0.000,0.941,0.000,0.000,13.400,12.203,0.000,0.000,13.556
Colo_rep4_Dep6_Tu3,0.000,0.000,4.721,0.000,58.340,0.000,10.045,0.000,0.000,11.292,1.979,4.561,0.000,9.062
Colo_rep2_Dep6_Tu10,0.000,0.000,0.062,0.000,53.122,8.497,0.000,0.000,0.000,17.471,10.561,0.000,0.000,10.287
Colo_rep3_Dep6_Tu40,0.000,0.000,13.351,0.000,26.729,36.241,0.000,0.000,0.000,0.364,11.332,0.000,0.000,11.984
Colo_rep3_Dep6_Tu30,0.852,0.000,0.000,0.000,38.975,25.240,0.000,0.000,0.000,13.184,13.785,0.000,0.000,7.964
Colo_rep6_Dep6_Tu30,0.000,0.000,9.201,0.000,29.576,28.893,0.000,0.000,0.000,0.197,3.075,0.000,0.000,29.057
Colo_rep4_Dep6_Tu50,0.744,0.000,0.000,0.000,20.703,44.418,0.000,0.000,0.000,3.792,3.371,0.000,0.000,26.972
Colo_rep5_Dep6_Tu50,0.154,0.000,0.327,0.000,20.965,47.391,0.000,0.000,0.000,10.562,9.360,0.000,0.000,11.241
Colo_rep6_Dep6_Tu2,0.000,0.000,0.000,0.000,53.903,0.000,0.000,0.000,0.000,0.478,4.424,0.000,0.000,41.194
Colo_rep10_Dep6_Tu50,0.000,0.000,3.609,0.000,17.424,48.913,0.000,0.000,0.000,3.488,4.648,0.000,0.000,21.917
Colo_rep7_Dep6_Tu50,0.456,0.000,0.000,0.000,21.598,43.379,0.000,0.000,0.000,9.084,3.376,0.000,0.000,22.106
Colo_rep9_Dep6_Tu40,0.376,0.000,11.133,0.000,25.639,32.031,0.000,0.000,0.000,6.456,8.343,0.000,0.000,16.021
Colo_rep8_Dep6_Tu5,0.000,0.000,2.654,0.000,53.159,0.000,0.000,0.000,0.000,0.957,4.302,1.025,0.000,37.903
Colo_rep1_Dep6_Tu20,0.000,0.000,2.746,0.000,39.022,24.102,0.000,0.000,0.000,0.274,3.453,0.000,0.000,30.403
Colo_rep9_Dep6_Tu2,0.000,0.000,1.658,0.000,57.540,0.000,0.000,0.000,0.000,16.571,14.287,0.000,0.000,9.944
Colo_rep5_Dep6_Tu30,0.000,0.000,1.295,0.000,30.364,24.133,1.411,0.000,0.000,9.657,1.350,0.000,0.000,31.789
Colo_rep4_Dep6_Tu0.1,0.000,0.000,0.050,0.000,55.983,0.000,0.013,0.000,0.000,5.570,9.217,0.000,0.000,29.166
Colo_rep5_Dep6_Tu0.1,0.000,0.000,0.373,0.000,57.761,0.000,12.100,0.000,0.000,15.648,13.024,0.000,0.000,1.093
Colo_rep9_Dep6_Tu3,0.000,0.000,1.909,0.000,55.676,0.000,0.000,0.000,0.000,4.611,9.784,14.354,0.000,13.666
Colo_rep2_Dep6_Tu0.1,0.000,0.000,0.145,0.000,55.920,0.000,0.000,0.000,0.000,9.741,6.094,14.049,0.000,14.051
Colo_rep8_Dep6_Tu10,0.000,0.000,0.148,0.000,49.388,5.144,13.318,0.000,0.000,1.064,5.267,0.000,0.000,25.669
Colo_rep4_Dep6_Tu30,0.000,0.000,0.026,0.000,40.099,24.782,0.000,0.000,0.000,18.715,7.438,0.000,0.017,8.923
Colo_rep2_Dep6_Tu2,0.000,0.000,0.201,0.000,51.301,0.000,0.000,0.000,0.000,10.631,4.561,0.000,0.000,33.305
Colo_rep1_Dep6_Tu5,0.000,0.000,0.102,0.000,48.831,0.978,0.098,0.000,0.000,15.626,7.708,0.000,0.000,26.657
Colo_rep8_Dep6_Tu50,0.037,0.000,9.439,0.000,16.946,45.916,0.000,0.000,0.000,0.444,4.445,0.000,0.000,22.773
Colo_rep5_Dep6_Tu5,0.000,0.000,0.405,0.000,55.817,0.000,0.000,0.000,0.000,0.861,4.562,0.000,0.000,38.354
Colo_rep6_Dep6_Tu50,0.000,0.000,10.419,0.000,17.640,42.244,0.000,0.000,0.000,0.438,6.331,0.000,0.000,22.928
Colo_rep5_Dep6_Tu0.5,0.000,0.000,0.654,0.000,63.095,0.000,0.000,0.000,0.000,12.155,17.838,0.000,0.000,6.257
Colo_rep4_Dep6_Tu20,0.000,0.000,5.836,0.000,37.536,24.269,0.000,0.000,0.000,1.834,7.338,0.000,0.000,23.186
Colo_rep8_Dep6_Tu40,0.505,0.000,1.678,0.000,26.040,36.396,0.000,0.000,0.000,11.759,7.873,0.000,0.000,15.749
Colo_rep7_Dep6_Tu0.3,0.000,0.000,0.410,0.000,59.870,0.000,0.000,0.000,0.000,14.680,14.691,0.000,0.000,10.348
Colo_rep7_Dep6_Tu30,0.186,0.000,4.171,0.000,32.843,30.749,0.000,0.000,0.000,12.615,3.561,0.000,0.000,15.875
Colo_rep10_Dep6_Tu20,0.053,0.000,0.246,0.003,42.025,19.698,10.342,0.000,0.000,1.258,2.161,0.000,0.000,24.214
Colo_rep9_Dep6_Tu10,0.000,0.000,8.787,0.000,52.978,6.113,9.941,0.000,0.000,3.918,11.568,0.000,0.000,6.694
Colo_rep9_Dep6_Tu0.1,0.000,0.000,0.287,0.000,51.358,0.000,13.520,0.000,0.000,1.315,4.561,1.185,0.000,27.774
Colo_rep10_Dep6_Tu0.3,0.000,0.000,0.000,0.000,54.869,0.000,0.000,0.000,0.000,0.493,4.313,0.000,0.000,40.324
Colo_rep8_Dep6_Tu20,0.000,0.000,7.347,0.000,39.713,22.984,0.000,0.000,0.000,5.851,4.562,0.000,0.000,19.542
Colo_rep3_Dep6_Tu3,0.000,0.000,0.000,0.013,58.321,0.000,0.000,0.000,0.000,15.433,10.851,0.000,0.058,15.324
Colo_rep4_Dep6_Tu2,0.000,0.000,0.338,0.000,58.401,0.000,7.074,0.000,0.000,4.835,12.358,7.664,0.000,9.330
Colo_rep10_Dep6_Tu0.1,0.000,0.000,0.188,0.000,54.645,0.000,15.670,0.000,0.000,0.549,7.159,0.192,0.000,21.597
Colo_rep4_Dep6_Tu0.3,0.000,0.000,0.070,0.000,59.210,0.000,0.000,0.000,0.000,10.614,15.334,0.000,0.000,14.770
Colo_rep9_Dep6_Tu0.3,0.000,0.000,0.113,0.000,63.053,0.000,0.000,0.000,0.000,16.972,15.936,0.000,0.000,3.925
Colo_rep1_Dep6_Tu10,0.000,0.000,0.330,0.000,43.191,10.796,11.706,0.000,0.000,0.981,7.001,0.005,0.000,25.990
Colo_rep6_Dep6_Tu0.3,0.000,0.000,0.060,0.000,46.932,0.000,0.000,0.000,0.000,4.742,12.300,29.124,0.000,6.842
Colo_rep6_Dep6_Tu0.5,0.000,0.000,0.262,0.000,52.518,0.000,20.168,0.000,0.000,2.962,4.170,0.000,0.000,19.920
Colo_rep10_Dep6_Tu10,0.000,0.000,0.602,0.011,52.211,0.000,2.736,0.000,0.000,4.030,4.125,0.000,0.000,36.284
Colo_rep10_Dep6_Tu1,0.000,0.000,0.351,0.000,50.867,0.000,11.642,0.000,0.000,2.368,2.914,4.767,0.000,27.091
Colo_rep10_Dep6_Tu5,0.000,0.000,5.912,0.012,57.403,0.000,0.000,0.000,0.000,10.697,6.525,0.000,0.000,19.451
