Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,0.706,0.033,4.307,3.539,6.493,2.122,9.612,6.798,1.702,0.293,2.965,4.907,0.455,1.000,0.739,0.804,1.645,0.452,2.379,1.740,0.640,1.347,0.274,0.058,0.459,0.116,0.243,0.035,0.034,0.000,0.048,0.219,3.372,3.620,3.754,0.976,0.166,0.564,2.908,2.034,5.137,0.756,3.482,0.589,3.906,0.380,3.808,0.570,3.721,4.092
Colo_rep2_Dep6_Tu50,2.972,1.977,0.792,1.061,1.298,1.558,1.683,2.219,0.602,0.824,3.730,0.322,0.187,0.605,0.242,1.106,1.487,0.654,2.778,1.902,1.334,1.382,0.272,0.374,1.429,0.956,0.985,0.352,0.907,0.114,13.481,20.979,2.560,2.406,0.269,0.473,0.919,0.635,0.656,1.123,1.804,2.870,2.340,2.142,4.153,1.747,0.374,0.972,1.970,2.019
Colo_rep6_Dep6_Tu1,0.370,2.285,6.283,7.469,11.738,2.872,0.002,5.396,1.002,2.950,2.720,1.690,1.196,1.389,2.088,0.466,1.278,0.035,0.108,0.064,1.275,0.285,1.275,0.106,0.484,0.053,0.217,0.010,0.002,0.000,0.007,0.163,3.994,2.728,2.759,0.997,0.031,1.273,3.724,3.193,6.830,5.826,4.513,0.863,1.468,0.475,1.703,1.812,0.229,2.302
Colo_rep3_Dep6_Tu2,1.679,2.411,3.593,5.497,5.623,3.377,6.714,4.585,4.307,0.629,3.368,2.956,1.153,1.792,0.735,2.106,0.371,1.536,0.543,1.921,0.093,1.165,0.859,0.012,0.556,0.231,0.387,0.047,0.010,0.004,0.475,0.175,1.616,2.230,3.828,0.814,0.172,1.514,2.294,1.108,0.060,4.356,1.380,0.287,7.804,0.572,4.185,0.319,3.882,4.670
Colo_rep7_Dep6_Tu2,2.329,1.987,1.315,7.055,3.639,6.708,3.193,7.261,4.614,2.464,0.629,2.985,0.571,1.083,1.281,1.381,1.718,0.836,1.567,1.454,0.918,0.200,1.049,0.032,0.725,0.233,0.145,0.032,0.091,0.001,0.065,0.442,0.898,4.273,2.634,0.892,0.207,0.832,2.221,1.588,4.575,5.353,0.471,0.876,1.478,1.226,2.871,1.206,4.169,6.225
Colo_rep8_Dep6_Tu0.1,0.552,1.748,7.505,7.224,0.311,5.767,8.909,3.957,5.254,2.363,1.924,3.014,1.493,0.770,1.949,0.727,1.600,0.022,0.383,1.573,0.826,0.968,1.349,0.038,0.115,0.347,0.500,0.022,0.050,0.004,0.029,0.111,5.058,3.809,4.279,0.102,0.158,0.444,1.772,2.147,4.356,2.899,4.808,1.031,0.905,0.033,2.880,0.675,2.428,0.813
Colo_rep10_Dep6_Tu2,0.415,1.306,8.191,7.801,1.429,1.617,5.332,9.566,1.493,0.451,3.822,0.701,1.443,0.510,1.549,1.544,0.142,1.611,2.067,0.004,1.265,1.358,1.041,0.028,0.464,0.454,0.365,0.069,0.078,0.002,0.218,0.253,3.789,3.738,5.033,1.412,0.058,1.094,2.570,1.141,0.048,2.283,2.596,0.033,8.035,1.043,3.822,1.590,4.689,0.434
Colo_rep6_Dep6_Tu3,0.940,2.741,8.765,5.775,5.171,0.280,1.319,6.362,6.689,2.957,2.308,1.907,0.696,0.553,1.474,0.175,0.643,1.693,0.141,2.780,2.258,0.950,0.483,0.104,0.564,0.641,0.579,0.062,0.006,0.005,0.461,0.068,4.087,0.985,3.158,0.344,0.341,1.507,0.472,4.018,6.092,2.162,1.234,0.953,1.953,0.856,4.246,1.549,2.149,4.343
Colo_rep9_Dep6_Tu30,2.576,0.905,0.570,2.846,5.339,1.725,0.243,3.013,3.787,0.968,2.491,3.161,1.758,0.384,0.529,0.871,1.170,2.858,1.346,1.776,0.421,0.429,1.182,0.255,0.907,1.239,1.091,0.284,0.049,0.018,2.766,18.353,1.844,0.196,2.473,1.582,0.297,1.305,1.066,2.189,0.070,0.148,5.890,1.337,2.080,2.277,2.118,5.322,4.147,0.350
Colo_rep9_Dep6_Tu0.5,1.292,1.533,8.518,5.800,8.433,3.472,0.632,3.160,5.846,2.931,2.626,1.498,1.736,0.721,1.566,0.397,0.791,0.089,1.036,1.064,0.005,0.345,1.905,0.020,0.342,0.373,0.382,0.045,0.016,0.001,0.075,0.037,4.461,1.068,4.674,0.799,0.035,2.198,0.420,2.305,3.093,5.616,5.250,1.224,4.759,0.364,0.135,3.370,2.573,0.970
Colo_rep6_Dep6_Tu20,0.859,1.121,4.800,0.078,4.607,4.434,3.854,3.682,2.116,1.632,2.032,2.917,0.889,0.978,2.236,0.326,1.812,1.893,1.033,2.751,1.284,0.465,0.037,0.271,0.777,1.022,0.482,0.090,0.118,0.035,0.360,14.324,0.611,3.691,2.849,0.257,0.434,0.811,1.081,1.360,5.282,8.628,0.267,1.502,3.440,0.282,2.042,1.405,0.585,2.160
Colo_rep8_Dep6_Tu30,1.345,2.947,3.010,1.396,2.300,3.203,3.495,1.509,2.058,3.433,0.961,1.094,1.720,1.316,1.127,0.286,2.443,1.195,0.108,2.494,0.349,2.194,0.091,0.363,0.933,0.249,1.095,0.403,0.300,0.050,3.964,16.480,1.391,1.972,2.245,0.637,0.203,1.037,0.885,2.150,0.425,5.339,5.616,1.394,2.525,1.464,1.483,3.386,1.302,2.637
Colo_rep3_Dep6_Tu5,1.670,3.148,1.980,0.556,4.067,7.415,0.529,9.866,8.648,0.318,1.467,0.984,1.277,0.388,1.618,0.932,1.064,2.822,1.011,1.527,1.025,0.292,0.589,0.106,0.858,0.614,0.347,0.025,0.066,0.003,0.607,2.127,3.871,2.316,0.892,1.453,0.252,0.242,1.571,4.358,7.326,3.702,0.616,0.553,2.459,0.825,5.026,2.313,1.530,2.747
Colo_rep4_Dep6_Tu3,0.889,0.016,3.061,4.117,4.153,5.738,6.634,1.654,6.787,2.982,3.113,2.376,0.853,0.472,0.143,1.177,2.461,1.761,0.590,2.037,1.114,1.416,0.119,0.132,0.823,0.429,0.260,0.050,0.017,0.005,0.138,1.265,4.517,2.571,3.610,1.342,0.163,1.832,0.211,1.269,5.414,2.230,8.623,0.910,1.184,0.707,4.688,1.135,2.540,0.273
Colo_rep2_Dep6_Tu10,0.001,0.436,0.506,5.726,4.910,4.068,6.614,2.216,6.099,0.239,1.593,2.799,1.442,1.770,0.742,1.130,1.465,1.519,1.174,1.397,1.746,1.040,0.374,0.042,0.569,0.087,0.871,0.153,0.126,0.002,1.415,5.454,2.001,4.917,3.147,0.770,0.264,1.681,3.267,1.820,3.586,7.497,3.583,1.073,2.076,1.731,1.078,0.920,1.939,0.925
Colo_rep3_Dep6_Tu40,0.848,1.938,0.934,3.730,1.721,3.202,3.463,0.396,1.323,2.086,2.111,1.871,0.157,1.071,2.015,1.171,1.583,0.166,1.849,0.916,1.466,0.769,0.799,0.508,1.780,0.703,0.504,0.300,0.108,0.052,6.979,21.593,1.764,3.426,2.132,0.650,0.478,1.295,1.291,1.309,0.863,5.235,2.478,0.121,1.138,3.372,1.933,1.728,2.120,0.552
Colo_rep3_Dep6_Tu30,1.230,1.915,1.821,0.109,4.194,3.690,0.535,2.996,3.294,1.986,2.956,0.503,1.206,1.138,0.819,1.974,1.583,2.259,0.373,0.615,0.469,1.953,0.131,0.301,1.600,0.979,1.502,0.081,0.386,0.048,16.555,1.766,2.188,3.703,1.816,1.017,0.414,0.492,2.047,1.384,1.792,8.393,2.924,2.914,0.432,0.483,3.481,3.881,1.516,0.158
Colo_rep6_Dep6_Tu30,0.755,4.023,4.519,4.393,0.093,2.973,2.199,3.378,0.786,2.771,2.720,0.203,0.551,0.171,0.507,2.897,2.563,0.882,1.735,1.484,0.105,1.593,1.171,0.329,0.576,0.217,1.473,0.011,0.324,0.029,8.488,12.213,1.234,2.127,4.221,1.706,0.080,1.716,0.408,0.833,1.475,5.073,1.529,0.618,2.982,2.022,0.423,2.837,2.799,1.782
Colo_rep4_Dep6_Tu50,0.811,0.922,3.648,1.619,1.184,2.416,0.456,0.227,0.349,2.030,0.822,1.485,0.779,1.432,1.763,2.105,0.429,1.871,1.308,0.812,1.680,1.489,0.685,0.468,1.112,1.428,0.599,0.022,1.128,0.119,7.008,28.921,1.428,1.164,1.284,0.959,0.425,1.752,2.053,0.817,0.198,5.956,1.710,2.310,0.390,0.198,2.671,2.659,1.574,1.321
Colo_rep5_Dep6_Tu50,2.413,1.082,2.608,1.898,2.246,1.130,1.647,0.275,1.130,1.935,0.861,1.893,2.180,0.178,1.465,2.589,0.187,0.207,1.489,2.812,1.094,0.690,2.307,0.477,1.232,1.116,0.461,0.144,0.820,0.092,10.659,25.329,0.223,2.649,0.537,0.995,0.416,0.974,0.054,2.099,1.031,0.023,4.298,0.746,3.265,0.983,2.097,0.727,2.444,1.796
