Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Colo_rep2_Dep6_Tu0.5,3.231,0.894,0.263,8.592,11.670,2.584,13.840,8.328,0.044,4.100,0.175,3.152,0.919,1.686,1.589,0.952,0.971,0.208,2.284,0.672,0.220,0.590,0.471,0.043,0.210,0.402,0.328,0.052,0.034,0.001,0.023,0.165,9.058,13.818,1.739,0.985,0.380,2.628,2.062,0.575,0.059
Colo_rep2_Dep6_Tu50,2.233,2.624,5.053,0.748,0.943,5.740,0.810,0.944,3.351,1.681,0.942,3.634,2.205,0.268,0.244,0.656,0.184,2.159,1.635,0.472,1.485,0.450,2.167,0.702,1.091,0.478,1.526,0.059,0.137,0.265,9.450,26.632,1.587,2.790,4.468,2.618,0.563,2.007,3.855,0.030,1.115
Colo_rep6_Dep6_Tu1,0.660,0.212,7.318,4.378,8.017,3.422,7.823,3.320,9.362,2.949,3.385,3.937,1.420,0.456,1.871,1.086,0.859,2.033,0.286,1.884,0.447,0.316,0.695,0.216,0.707,0.097,0.093,0.112,0.065,0.001,0.242,0.092,6.015,10.651,4.946,1.190,0.068,1.639,1.539,6.149,0.040
Colo_rep3_Dep6_Tu2,1.250,2.475,7.192,4.429,10.534,5.966,7.602,6.281,3.472,0.907,3.906,4.861,0.254,0.230,0.985,1.418,0.655,1.800,1.441,1.191,0.788,0.842,0.681,0.186,0.457,0.039,0.650,0.096,0.129,0.002,0.292,0.900,4.090,0.434,13.897,1.721,0.280,2.599,1.014,3.986,0.070
Colo_rep7_Dep6_Tu2,2.678,1.522,9.959,2.751,5.874,2.923,13.534,1.509,12.041,0.045,4.318,1.534,1.211,0.611,0.799,1.840,2.071,0.447,0.307,0.869,1.196,0.851,1.164,0.001,0.847,0.531,0.068,0.023,0.123,0.004,0.450,0.709,1.541,5.751,9.619,2.132,0.280,0.483,1.745,5.415,0.227
Colo_rep8_Dep6_Tu0.1,3.542,1.247,8.234,0.442,8.750,3.418,2.894,15.451,6.695,0.782,4.665,2.390,0.738,0.805,0.647,3.504,0.166,0.136,0.599,0.529,1.470,0.697,0.690,0.061,0.820,0.003,0.229,0.066,0.112,0.003,0.051,0.116,0.916,8.806,6.675,0.344,0.248,2.218,3.221,7.619,0.003
Colo_rep10_Dep6_Tu2,1.392,0.941,8.956,6.712,8.432,1.212,6.077,5.205,8.125,2.859,2.198,3.995,1.325,0.562,0.877,1.438,1.927,1.084,0.467,1.288,0.518,1.090,1.308,0.155,0.389,0.422,0.405,0.056,0.041,0.000,0.379,0.727,6.538,7.501,3.777,3.045,0.076,0.275,0.250,7.897,0.080
Colo_rep6_Dep6_Tu3,1.110,1.267,9.465,3.394,9.506,6.857,4.250,2.641,8.977,1.491,3.169,3.726,1.626,1.392,0.304,2.023,0.180,0.214,1.915,0.846,1.467,1.838,0.640,0.212,0.708,0.101,0.010,0.177,0.032,0.013,0.346,1.059,1.131,6.417,13.115,0.133,0.542,1.449,0.621,5.428,0.210
Colo_rep9_Dep6_Tu30,0.042,1.353,7.845,5.219,0.907,3.938,0.446,7.666,0.628,3.600,2.447,2.351,2.376,0.595,2.136,2.828,0.007,1.509,0.127,1.507,1.005,2.175,0.495,0.666,0.194,0.861,0.497,0.381,0.169,0.016,3.123,18.638,1.017,7.427,6.436,1.912,0.689,0.348,2.311,3.644,0.471
Colo_rep9_Dep6_Tu0.5,0.970,1.316,10.791,5.824,11.005,1.787,8.153,2.065,6.076,1.459,3.588,2.398,0.872,0.599,0.597,2.104,1.419,2.454,0.403,0.829,0.437,0.784,0.535,0.049,0.200,0.431,0.488,0.025,0.043,0.000,0.105,0.136,1.474,12.261,2.532,1.918,0.167,0.503,4.012,9.041,0.153
Colo_rep6_Dep6_Tu20,1.856,2.855,6.097,5.146,5.287,6.264,6.253,2.400,6.187,3.646,0.286,3.031,1.212,2.050,0.256,0.634,0.037,0.944,0.258,1.783,1.695,1.615,0.783,0.352,0.032,0.956,0.145,0.137,0.199,0.000,5.774,8.735,0.475,7.384,3.119,0.549,0.564,4.425,4.721,1.628,0.231
Colo_rep8_Dep6_Tu30,0.783,1.861,5.832,5.363,4.647,4.914,1.010,6.154,0.863,3.212,1.267,3.762,0.171,0.397,1.741,0.963,1.739,1.709,1.252,0.805,1.820,0.537,1.316,0.256,0.734,1.372,0.933,0.265,0.426,0.023,2.695,18.793,0.774,2.568,8.357,1.269,0.776,3.302,2.577,1.860,0.903
Colo_rep3_Dep6_Tu5,1.781,1.519,3.360,0.964,4.634,10.930,7.330,6.316,7.866,3.057,3.313,2.405,0.391,1.604,1.744,0.938,0.914,0.321,1.322,0.627,1.292,0.330,1.326,0.064,0.518,0.609,0.748,0.018,0.175,0.005,1.500,1.137,2.101,16.486,1.314,0.568,0.130,4.334,2.594,3.207,0.211
Colo_rep4_Dep6_Tu3,2.434,1.511,7.982,5.368,7.936,7.458,8.188,4.458,6.160,0.857,1.270,1.587,0.465,0.018,1.223,1.030,0.945,2.086,0.603,2.032,1.959,0.487,0.405,0.237,0.774,0.269,0.399,0.123,0.228,0.000,0.418,1.094,2.330,8.069,6.009,1.827,0.106,1.283,6.859,3.449,0.061
Colo_rep2_Dep6_Tu10,1.405,2.292,4.309,1.955,7.673,5.783,4.284,8.326,6.386,2.931,2.894,3.489,1.589,1.092,0.423,1.309,0.138,1.570,1.320,1.645,0.134,0.076,1.279,0.078,0.624,0.089,1.008,0.163,0.304,0.006,4.223,2.115,6.389,10.995,0.758,1.104,0.521,2.706,4.172,2.205,0.237
Colo_rep3_Dep6_Tu40,0.460,0.346,2.757,5.732,0.511,4.355,2.328,1.229,5.276,3.172,0.972,3.620,1.582,1.232,1.774,1.913,1.810,0.021,1.709,0.873,1.018,0.933,1.460,0.256,0.748,0.529,1.821,0.154,0.669,0.000,4.479,24.984,6.211,4.044,2.982,2.669,0.832,0.959,2.299,0.585,0.699
Colo_rep3_Dep6_Tu30,1.109,1.283,5.716,1.286,2.871,4.016,8.730,4.723,1.566,1.485,1.637,4.946,1.028,0.866,1.587,1.636,0.991,0.290,1.690,1.926,1.477,0.802,0.469,0.500,0.516,0.824,1.269,0.155,0.500,0.023,2.514,20.073,3.648,4.232,2.031,1.048,0.412,3.510,4.490,0.974,1.148
Colo_rep6_Dep6_Tu30,2.075,2.730,3.333,1.523,6.449,3.049,4.665,2.108,7.168,3.005,3.123,1.958,0.396,0.846,1.317,1.640,2.480,1.455,1.376,1.528,0.710,0.523,0.632,0.399,0.266,1.037,0.513,0.236,0.022,0.059,6.491,15.593,3.495,6.040,2.627,1.003,0.614,1.246,3.658,2.193,0.421
Colo_rep4_Dep6_Tu50,2.052,2.377,3.329,1.690,4.290,1.404,1.996,3.308,3.344,1.214,3.313,1.450,0.420,1.307,1.333,0.212,2.315,1.059,0.437,0.898,1.622,1.424,1.813,0.685,0.830,0.559,0.742,0.271,1.018,0.175,7.246,29.624,3.812,2.468,3.231,1.478,0.939,2.899,0.128,0.672,0.617
Colo_rep5_Dep6_Tu50,1.558,2.729,1.819,0.095,1.301,1.268,3.576,1.300,5.723,0.427,1.944,3.658,0.579,0.932,0.399,1.846,0.784,1.934,2.063,1.729,2.446,0.187,0.609,0.069,1.080,1.227,1.123,0.160,0.955,0.064,4.762,31.553,5.747,0.931,3.869,0.806,0.699,2.610,1.414,3.027,1.000
