Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,0.000,0.000,0.459,0.000,0.000,18.571,32.047,2.831,0.000,7.963,0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.237,0.586,0.000,0.000,0.000,6.389,0.000,0.000,0.000,30.744
Colo_rep2_Dep6_Tu50,0.000,0.000,0.000,0.427,0.000,11.748,9.987,0.166,0.000,0.000,0.347,8.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.279,0.066,50.031,0.000,0.235,0.527,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.550,0.000,15.057,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu1,0.000,0.000,8.274,0.000,0.000,5.359,44.265,2.243,0.000,4.105,0.000,0.537,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.593,1.333,0.000,13.294,0.000,19.994,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu2,0.000,0.000,26.558,0.000,0.490,2.880,32.955,1.754,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.924,1.146,0.000,0.000,0.000,15.649,17.623,0.000,0.000,0.000
Colo_rep7_Dep6_Tu2,0.000,0.000,34.222,0.000,0.000,4.642,11.643,3.952,0.000,9.883,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.890,0.000,0.000,0.000,3.325,0.000,0.000,0.000,31.439
Colo_rep8_Dep6_Tu0.1,0.000,0.000,18.430,0.000,0.000,12.220,19.325,4.904,0.000,4.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.782,0.000,0.000,34.589,5.009,0.301,0.000,0.000,0.000
Colo_rep10_Dep6_Tu2,0.000,0.000,0.089,0.000,0.000,22.461,25.533,10.710,0.000,0.000,0.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.976,15.473,0.000,0.000,0.000
Colo_rep6_Dep6_Tu3,0.000,0.000,29.449,0.000,0.000,4.148,30.767,2.651,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.829,0.000,0.043,0.000,30.165,0.000,0.000,1.944,0.000
Colo_rep9_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,3.942,16.745,12.667,0.000,0.000,2.867,0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.044,32.054,0.000,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.807,0.000,8.606,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,16.747,40.333,2.607,0.339,1.453,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.309,0.000,0.000,0.000,11.177,0.000,0.000,0.000,26.765
Colo_rep6_Dep6_Tu20,0.000,0.000,21.554,0.000,0.041,7.387,18.042,2.147,0.000,0.000,0.000,6.846,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.043,22.794,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.137,0.000,0.000,0.000,15.651,0.000,0.000,5.355,0.000
Colo_rep8_Dep6_Tu30,0.000,0.000,0.000,0.275,0.000,0.716,31.872,7.871,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.070,32.401,0.000,0.000,0.241,0.000,0.000,0.000,0.000,0.000,0.000,1.509,0.000,0.634,0.000,20.655,3.317,0.000,0.419,0.000
Colo_rep3_Dep6_Tu5,0.000,0.000,7.671,0.000,0.409,6.794,29.068,3.309,1.536,10.759,0.570,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.597,0.000,13.872,0.000,0.000,0.000,17.408
