Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,0.393,0.896,1.005,0.009,4.508,0.836,2.237,4.684,3.093,2.481,6.368,3.267,11.615,5.377,8.951,9.152,1.695,1.534,1.407,7.663,7.162,11.676,3.991
Colo_rep2_Dep6_Tu50,0.342,1.723,2.643,0.691,1.446,37.224,3.372,3.479,6.523,2.105,4.163,1.616,3.556,3.021,0.861,1.125,1.734,0.940,3.415,5.578,4.328,3.516,6.597
Colo_rep6_Dep6_Tu1,0.059,1.723,1.028,0.016,6.915,0.433,3.850,4.933,0.376,5.055,3.577,2.560,12.449,8.449,4.707,6.848,1.798,10.423,8.100,0.121,0.724,8.293,7.564
Colo_rep3_Dep6_Tu2,0.622,2.651,1.096,0.018,5.699,1.009,2.924,4.969,3.813,3.599,6.113,1.226,3.239,5.495,5.353,4.759,5.896,13.383,2.501,11.225,2.075,4.122,8.214
Colo_rep7_Dep6_Tu2,0.309,0.938,1.066,0.040,7.123,1.636,0.899,2.826,5.994,2.884,4.643,2.894,14.329,5.566,8.834,1.037,2.042,12.961,3.468,0.760,5.142,13.277,1.335
Colo_rep8_Dep6_Tu0.1,0.163,2.312,0.619,0.032,7.307,0.224,0.350,3.613,3.713,5.210,5.672,3.419,11.311,11.771,7.806,5.065,3.893,7.598,4.415,4.590,0.488,4.200,6.228
Colo_rep10_Dep6_Tu2,0.239,2.049,1.009,0.028,9.332,0.538,2.123,5.285,1.628,6.694,3.425,1.306,5.619,3.519,7.945,5.382,6.257,0.733,8.528,3.055,6.638,9.398,9.271
Colo_rep6_Dep6_Tu3,0.668,2.309,0.718,0.062,9.603,1.322,1.452,4.732,4.793,1.105,6.678,2.095,3.333,8.168,4.277,7.782,2.903,12.411,0.452,1.689,3.729,8.564,11.156
Colo_rep9_Dep6_Tu30,1.543,1.059,1.049,0.195,7.689,21.523,4.279,3.366,4.914,1.426,5.409,1.571,4.372,11.724,5.655,2.031,4.913,0.155,3.890,4.086,2.648,2.194,4.307
Colo_rep9_Dep6_Tu0.5,0.492,2.138,0.298,0.033,3.977,0.950,2.308,5.743,3.492,0.636,6.769,2.926,9.464,4.723,7.410,8.083,4.556,6.258,6.838,6.142,10.502,1.415,4.846
Colo_rep6_Dep6_Tu20,0.900,5.400,0.121,0.112,2.989,15.164,0.423,0.236,3.376,2.666,6.961,6.970,4.802,5.074,3.175,5.480,4.817,8.387,2.384,2.663,3.625,5.972,8.303
