Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Colo_rep2_Dep6_Tu0.5,0.050,23.781,6.269,0.000,14.401,0.779,1.447,3.785,4.471,1.962,11.479,4.090,15.546,11.940
Colo_rep2_Dep6_Tu50,0.524,2.050,3.491,0.804,12.122,36.690,4.001,5.094,5.703,4.843,7.460,3.858,0.014,13.345
Colo_rep6_Dep6_Tu1,0.738,28.880,3.415,0.001,10.978,0.963,2.149,3.902,0.792,3.704,8.194,4.355,28.934,2.994
Colo_rep3_Dep6_Tu2,0.217,16.259,3.566,0.003,23.538,1.057,2.477,2.843,4.549,6.560,10.879,2.917,14.472,10.662
Colo_rep7_Dep6_Tu2,0.378,7.421,6.690,0.036,22.227,1.578,2.468,0.734,5.775,7.876,7.498,1.052,33.143,3.124
Colo_rep8_Dep6_Tu0.1,0.298,12.601,2.691,0.006,22.472,0.331,2.587,2.299,5.650,6.531,9.738,2.380,23.171,9.245
Colo_rep10_Dep6_Tu2,1.199,5.310,3.012,0.018,22.930,1.600,1.534,0.454,7.115,1.571,9.561,5.733,28.699,11.262
Colo_rep6_Dep6_Tu3,0.717,16.038,1.335,0.052,23.338,2.006,1.278,3.203,7.293,1.680,9.467,3.872,21.813,7.908
Colo_rep9_Dep6_Tu30,0.797,11.630,5.929,0.079,4.484,22.077,6.278,0.110,4.986,6.197,7.365,6.176,9.310,14.583
Colo_rep9_Dep6_Tu0.5,0.546,22.975,0.385,0.026,22.972,0.271,2.180,1.525,3.066,8.829,3.839,3.510,23.033,6.843
Colo_rep6_Dep6_Tu20,0.118,20.112,6.347,0.017,4.690,15.339,2.351,3.683,5.400,5.174,9.351,4.347,9.834,13.237
Colo_rep8_Dep6_Tu30,1.906,6.999,4.304,0.275,15.677,20.982,4.870,1.727,0.829,8.243,6.327,5.372,13.538,8.951
Colo_rep3_Dep6_Tu5,0.336,18.903,5.012,0.061,24.851,2.914,0.258,5.173,0.836,8.381,6.511,3.922,17.454,5.388
Colo_rep4_Dep6_Tu3,0.408,28.838,8.634,0.032,2.441,2.846,1.661,3.755,1.372,5.493,11.560,2.513,26.877,3.570
Colo_rep2_Dep6_Tu10,0.862,18.182,4.742,0.051,21.417,6.656,4.170,3.790,1.576,8.650,3.005,3.910,13.565,9.423
Colo_rep3_Dep6_Tu40,1.403,12.940,3.388,0.354,0.253,30.631,5.305,5.427,0.243,4.260,9.256,4.628,12.041,9.869
Colo_rep3_Dep6_Tu30,2.055,4.005,2.624,0.166,16.115,22.214,2.904,5.954,4.095,5.938,5.153,4.137,9.023,15.616
Colo_rep6_Dep6_Tu30,1.392,3.919,3.930,0.198,20.044,21.943,3.463,1.736,6.350,7.789,6.663,2.871,14.441,5.260
Colo_rep4_Dep6_Tu50,2.167,0.203,6.642,0.462,12.702,36.684,0.413,8.237,0.892,8.450,5.606,4.874,1.642,11.029
Colo_rep5_Dep6_Tu50,1.511,2.429,3.790,0.582,9.208,37.166,5.791,0.654,6.570,4.262,7.341,4.529,7.853,8.314
