Sample ID	Log-likelihood ratio	Predicted tumor burden	Predicted sample class
Breast-GC1002975	1.06501202544223E-4	0.1	colorectal cancer
Breast-GC1002976	2.251331825569674E-4	0.21	colorectal cancer
Breast-GC1002977	2.611868098543865E-5	0.01	colorectal cancer
Breast-GC1002978	1.2938615382766236E-4	0.28	breast cancer
Breast-GC1002979	1.070037603826568E-4	0.21	breast cancer
Breast-GC1002980	7.128020263939578E-5	0.17	ovarian cancer
Breast-GC1002981	8.549762808920727E-5	0.21	ovarian cancer
Breast-GC1003967	6.309333642680159E-5	0.28	ovarian cancer
Breast-GC1003968	1.1790008029891648E-4	0.16	colorectal cancer
Breast-GC1003970	4.529250511467175E-5	0.21	ovarian cancer
Breast-GC1003971	1.0075717405878798E-4	0.28	ovarian cancer
Breast-GC1003972	8.639902795151506E-5	0.15	colorectal cancer
Breast-GC1003974	6.537517594758409E-5	0.22	ovarian cancer
Breast-GC1002311	8.633459651604617E-5	0.08	colorectal cancer
Breast-GC1004006	4.572606176793166E-5	0.23	ovarian cancer
Breast-GC1004007	9.61609853258382E-5	0.16	colorectal cancer
Breast-GC1004008	5.698681272147503E-5	0.17	ovarian cancer
Breast-GC1004009	6.569993175503982E-5	0.28	ovarian cancer
Breast-GC110693	8.942603962077732E-5	0.15	colorectal cancer
Breast-GC110694	7.775250790618073E-5	0.23	ovarian cancer
Breast-GC110695	1.436381165159915E-4	0.21	colorectal cancer
Breast-GC110696	7.518637133153043E-5	0.23	ovarian cancer
Breast-GC116960	9.723917098037635E-5	0.11	colorectal cancer
Breast-GC116963	4.3082560537460684E-5	0.11	ovarian cancer
Breast-GC116964	2.02511513845087E-4	0.21	colorectal cancer
Breast-GC116965	1.2788579804348966E-4	0.15	colorectal cancer
Breast-GC116966	9.050018894262377E-5	0.22	ovarian cancer
Breast-GC116967	1.5418315285219513E-4	0.16	colorectal cancer
Breast-GC116968	7.605458886992354E-5	0.21	ovarian cancer
Breast-GC116969	6.666764784133184E-5	0.17	ovarian cancer
Breast-GC116970	1.0604842766663352E-4	0.1	colorectal cancer
Breast-GC116971	9.520449384558032E-5	0.22	ovarian cancer
Breast-GC110676	7.85858954103508E-5	0.23	ovarian cancer
Breast-GC110678	1.293798784967247E-4	0.11	colorectal cancer
Breast-GC110679	2.194147485627088E-4	0.41	breast cancer
