Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Breast-GC1002975,0.958,2.229,6.342,4.075,9.392,3.720,4.592,3.197,4.995,3.542,5.682,1.022,1.769,0.566,0.623,0.826,0.557,1.529,1.373,0.956,0.562,0.636,0.375,0.020,0.050,0.153,0.180,0.016,0.003,0.000,0.145,0.407,2.719,0.126,1.441,7.877,4.655,0.001,0.633,22.057
Breast-GC1002976,1.387,1.114,12.637,6.741,2.545,3.570,4.044,5.022,2.512,0.574,2.761,0.398,0.423,2.695,0.087,0.805,1.117,0.782,1.826,1.229,2.923,0.154,0.928,0.013,0.030,0.612,0.298,0.013,0.005,0.000,0.868,1.317,6.405,0.407,0.710,0.017,27.597,0.001,2.797,2.641
Breast-GC1002977,0.069,0.191,0.709,12.385,12.856,12.401,5.718,7.260,2.881,2.969,4.709,0.667,7.442,5.885,0.101,0.571,0.156,0.306,0.239,0.258,2.140,4.582,0.993,0.000,0.000,0.001,0.011,0.000,0.000,0.000,0.001,0.001,0.317,0.015,0.025,13.589,0.000,0.000,0.181,0.372
Breast-GC1002978,0.663,1.140,4.860,2.817,3.008,5.817,2.858,6.891,1.313,7.490,3.920,4.049,1.097,1.056,0.659,1.760,0.359,0.009,1.373,0.431,0.348,0.589,0.578,0.199,2.046,0.033,0.880,0.030,0.002,0.000,0.295,0.660,6.125,0.357,0.847,7.269,0.184,0.807,0.727,26.454
Breast-GC1002979,2.223,0.533,1.738,9.002,4.586,6.521,11.838,10.940,2.663,4.515,4.639,1.647,0.936,0.778,0.511,0.346,1.413,1.160,2.276,1.588,0.531,0.670,0.614,0.658,0.146,0.748,1.105,1.572,0.212,0.370,0.250,0.176,2.657,0.326,1.228,10.789,0.743,0.066,5.209,2.079
Breast-GC1002980,0.093,2.756,1.441,5.450,5.146,2.463,5.273,4.771,7.240,0.673,5.521,2.814,0.212,1.088,2.467,2.071,1.171,0.190,1.157,2.334,0.559,0.378,0.267,0.001,0.025,0.003,0.023,0.000,0.000,0.000,0.006,0.016,1.489,0.287,1.215,5.319,0.263,0.156,1.571,34.088
Breast-GC1002981,3.832,0.437,13.374,4.143,6.836,2.707,10.270,0.789,0.175,4.524,5.169,3.665,0.499,1.290,1.262,0.186,1.111,1.426,0.374,0.638,0.606,0.011,0.794,0.051,0.056,0.108,0.149,0.031,0.002,0.000,0.481,0.343,2.645,0.979,0.462,4.927,4.405,0.349,0.280,20.616
Breast-GC1003967,3.550,0.411,1.838,0.728,7.443,7.876,4.681,0.342,5.511,3.413,2.801,5.274,2.154,0.002,0.841,1.375,1.340,1.787,0.729,0.196,0.990,0.426,0.117,0.054,0.002,0.078,0.199,0.003,0.027,0.000,0.168,0.562,2.999,0.891,1.420,11.113,2.450,0.076,2.906,23.228
Breast-GC1003968,2.006,3.054,10.390,3.110,1.605,3.628,2.695,8.565,1.508,1.665,0.552,3.955,1.083,1.824,1.241,0.016,0.846,1.369,1.350,0.382,1.262,0.467,0.192,0.087,0.096,0.371,0.513,0.100,0.442,0.054,0.407,0.998,3.406,0.810,1.625,5.339,11.525,0.204,9.614,11.644
Breast-GC1003970,1.039,2.282,8.827,1.448,6.888,3.908,6.024,1.993,1.489,9.894,16.599,2.546,1.254,1.953,1.553,0.611,0.229,1.148,1.079,0.700,0.064,0.223,2.050,0.039,0.075,0.110,1.195,0.069,0.034,0.000,0.389,0.896,2.711,0.430,1.718,9.048,1.342,0.409,2.052,5.684
Breast-GC1003971,3.972,0.560,5.203,3.239,2.264,1.167,4.916,1.318,1.500,6.347,4.296,5.074,2.557,3.736,0.491,2.070,1.927,1.710,0.947,0.586,0.297,0.994,0.269,0.400,0.076,0.197,0.136,0.176,0.376,0.039,0.661,0.971,3.588,0.739,1.369,6.975,2.786,0.533,4.324,21.214
Breast-GC1003972,0.704,3.111,8.622,2.726,1.307,0.022,2.692,4.830,2.190,1.531,8.202,5.709,1.918,0.725,0.381,1.334,0.034,1.090,0.954,2.092,0.530,0.316,0.100,0.270,0.049,0.169,0.257,0.026,0.005,0.376,0.265,0.264,4.228,0.260,0.937,8.925,6.177,0.036,19.254,7.381
Breast-GC1003974,0.454,1.300,9.109,6.069,10.187,6.397,6.723,1.824,8.953,4.320,3.555,2.807,0.447,2.267,0.181,0.577,0.223,0.110,0.009,0.629,0.505,0.352,0.675,0.147,0.032,0.122,0.206,0.218,0.475,0.492,0.530,0.485,1.517,0.625,1.169,9.912,0.445,0.543,9.618,5.792
Breast-GC1002311,2.309,2.873,2.649,5.700,5.099,4.561,3.012,3.024,5.403,7.888,2.114,3.154,1.114,0.459,0.975,0.279,0.488,2.230,0.936,1.739,0.372,0.168,0.524,0.009,0.023,0.116,0.234,0.004,0.002,0.000,0.220,0.321,1.900,0.124,1.543,5.385,1.761,0.049,1.702,29.539
Breast-GC1004006,0.451,3.296,2.925,4.012,4.283,5.371,7.932,0.043,8.914,5.973,1.966,5.621,2.232,1.441,1.441,1.016,0.490,0.970,0.702,1.429,0.545,1.130,1.105,0.005,0.129,0.073,0.086,0.009,0.012,0.000,0.252,0.537,2.746,0.466,2.174,12.259,0.680,0.037,7.222,10.023
Breast-GC1004007,2.647,2.625,2.519,0.676,4.574,3.732,2.777,4.604,4.265,3.876,1.654,2.850,2.039,1.037,0.842,1.007,0.926,0.844,0.659,0.710,0.320,0.754,0.768,0.017,0.015,0.147,0.241,0.007,0.003,0.000,0.118,0.734,4.593,0.249,0.999,7.991,9.285,0.018,15.925,12.952
Breast-GC1004008,2.200,1.281,7.375,10.037,4.560,2.709,0.300,12.712,8.565,0.471,4.153,2.918,1.565,0.035,1.366,0.962,0.432,0.974,0.470,1.017,0.201,1.567,0.225,0.020,0.006,0.044,0.055,0.013,0.058,0.058,0.424,0.054,1.895,0.020,1.799,7.950,0.048,0.186,11.133,10.145
Breast-GC1004009,0.954,0.446,8.561,7.451,6.794,6.439,8.636,3.121,8.069,2.809,5.312,0.522,0.244,0.614,0.249,0.672,0.789,0.479,0.777,0.112,0.461,0.427,0.354,0.093,0.129,0.129,0.287,0.021,0.038,0.000,0.528,0.711,2.327,0.459,2.816,4.787,13.435,0.043,3.732,6.167
Breast-GC110693,0.882,1.051,10.756,7.847,10.194,2.445,3.678,7.771,4.005,2.102,4.167,3.347,2.539,0.655,0.142,0.206,0.409,0.223,1.518,0.231,1.170,1.067,0.469,0.124,0.022,0.293,0.025,0.034,0.158,0.025,0.300,1.265,6.460,2.009,0.259,16.754,3.091,0.128,0.597,1.580
Breast-GC110694,2.205,1.866,5.646,3.979,2.693,5.280,7.939,6.947,2.258,0.529,7.453,4.087,1.752,1.548,1.000,0.989,0.024,0.008,0.432,1.722,0.384,0.887,0.454,0.070,0.124,0.021,0.271,0.031,0.005,0.000,0.107,0.715,1.704,0.668,1.523,5.969,4.856,0.123,8.222,15.509
Breast-GC110695,0.381,2.266,2.664,0.539,4.540,4.109,5.819,3.631,3.895,2.708,2.058,3.894,2.563,2.638,0.917,0.649,0.740,0.886,0.634,0.511,1.304,0.912,0.873,0.025,0.012,0.322,0.489,0.022,0.002,0.000,1.557,0.234,3.833,0.881,2.834,16.887,5.486,0.000,7.784,10.499
Breast-GC110696,2.434,1.571,3.050,6.228,1.367,3.470,5.771,1.498,8.643,5.230,3.489,2.849,0.263,3.321,1.225,1.461,0.626,0.234,0.047,1.797,0.872,1.048,2.043,0.001,0.005,0.013,0.040,0.002,0.001,0.000,0.284,0.190,2.613,0.802,0.954,12.685,0.177,0.029,18.686,4.979
Breast-GC116960,1.923,0.754,3.791,4.217,5.043,3.186,6.815,1.025,6.099,13.438,0.887,2.863,1.945,1.853,1.414,1.122,1.335,1.320,1.960,0.888,1.761,0.542,1.723,0.044,0.270,0.221,0.239,0.027,0.213,0.062,0.161,1.059,3.440,0.345,1.806,12.351,2.175,0.052,2.753,8.885
Breast-GC116963,0.164,0.500,15.261,8.428,9.212,0.822,14.064,14.008,2.789,1.267,1.966,1.032,0.694,0.132,0.904,0.865,0.783,0.819,0.282,0.403,0.317,0.075,0.406,0.001,0.014,0.009,0.012,0.003,0.025,0.007,0.039,0.074,1.400,0.701,0.765,4.825,0.828,0.485,3.527,12.093
Breast-GC116964,1.675,2.729,4.201,3.260,5.226,2.810,0.532,3.673,2.924,2.377,4.299,9.229,2.165,4.213,0.086,0.120,0.153,0.143,0.067,0.077,1.838,0.739,1.460,0.007,0.002,0.118,0.955,0.001,0.004,0.000,0.661,2.629,1.902,2.271,4.103,26.594,0.042,0.015,1.772,4.926
Breast-GC116965,1.894,3.879,2.864,2.948,0.803,2.563,3.261,0.885,4.144,2.436,0.861,5.074,0.648,2.058,0.311,0.253,2.019,3.010,1.019,1.036,0.133,0.293,0.402,0.009,0.007,0.152,0.235,0.002,0.001,0.000,0.017,0.362,5.216,0.446,0.327,9.890,3.319,0.008,20.267,16.947
Breast-GC116966,2.638,2.689,4.056,2.444,2.206,3.232,0.643,2.856,4.823,0.695,7.521,2.637,1.985,0.478,0.893,1.129,1.424,2.124,1.008,1.140,0.578,0.205,0.631,0.000,0.006,0.025,0.129,0.001,0.000,0.000,0.035,0.100,0.978,0.299,1.299,7.588,0.178,0.015,5.370,35.939
Breast-GC116967,2.351,0.301,3.455,4.364,3.834,3.464,1.708,4.984,4.824,7.124,0.554,6.233,5.019,0.442,0.605,1.063,0.311,1.313,0.541,0.266,0.848,1.223,0.502,0.056,0.008,0.105,0.341,0.032,0.010,0.000,0.541,1.174,2.970,2.258,1.659,17.069,4.664,0.014,1.995,11.773
Breast-GC116968,1.158,1.224,1.159,1.769,11.073,5.852,15.119,10.165,4.188,1.363,2.266,1.365,0.848,0.609,0.005,1.628,0.251,1.334,0.532,0.225,0.316,0.186,0.641,0.003,0.025,0.122,0.195,0.003,0.038,0.004,0.019,0.433,2.417,0.480,0.558,6.034,5.669,0.064,5.265,15.393
Breast-GC116969,1.701,0.649,9.622,5.524,4.289,8.423,17.693,3.837,5.885,1.574,3.136,2.144,1.047,0.441,0.791,0.042,1.467,0.222,1.475,1.003,0.439,0.488,0.670,0.009,0.011,0.077,0.048,0.009,0.001,0.000,0.152,0.115,1.800,0.509,1.381,11.294,0.570,0.020,1.222,10.221
Breast-GC116970,1.805,1.746,6.108,3.991,4.285,0.439,8.893,12.897,4.268,4.868,1.840,3.713,1.235,0.666,0.813,0.897,1.784,0.727,1.810,0.577,0.407,0.460,0.958,0.068,0.032,0.133,0.107,0.006,0.131,0.029,0.535,0.189,3.859,0.574,0.884,7.684,6.882,0.015,3.618,10.070
Breast-GC116971,3.087,1.192,3.706,6.565,2.036,7.961,1.110,3.165,1.971,1.442,3.171,5.110,0.768,1.958,0.482,2.721,1.576,1.360,1.382,2.539,0.603,1.630,0.519,0.091,0.009,0.003,0.075,0.017,0.036,0.005,0.032,0.023,3.260,0.396,0.212,6.508,3.916,0.160,19.958,9.245
Breast-GC110676,1.072,1.863,5.233,4.937,2.075,0.756,3.342,10.543,7.600,1.703,4.671,1.717,2.388,0.351,0.790,0.471,1.163,0.213,0.336,1.664,0.918,0.675,1.369,0.011,0.050,0.067,0.209,0.040,0.093,0.319,0.094,0.363,2.775,0.247,1.983,11.135,2.277,0.011,0.494,23.984
Breast-GC110678,4.651,1.820,4.433,6.101,4.350,5.879,1.821,3.247,0.760,3.008,15.803,1.562,1.859,1.183,0.155,0.754,3.166,0.424,2.737,1.742,1.056,1.026,0.034,0.033,0.328,0.417,0.163,0.198,1.069,0.331,0.837,0.359,2.289,0.826,1.797,8.446,3.509,0.156,0.153,11.521
Breast-GC110679,2.002,0.771,5.981,3.596,3.593,1.432,4.148,4.622,2.282,1.335,3.018,4.874,1.259,0.653,0.909,0.987,0.674,1.506,1.718,0.686,1.083,0.283,0.835,3.982,1.563,2.883,1.853,2.172,0.502,0.569,0.836,0.167,4.966,0.649,0.637,9.019,4.259,0.667,4.210,12.815
Breast-GC110680,1.555,2.639,10.298,1.467,7.030,5.808,6.011,2.118,5.784,3.819,1.954,3.371,0.855,0.624,0.013,0.940,1.201,0.490,0.291,0.840,0.991,0.031,0.500,0.014,0.024,0.043,0.099,0.000,0.002,0.000,0.057,0.810,4.998,1.043,0.714,12.110,4.613,0.063,3.356,13.422
