Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Breast-GC1002975,0.892,0.891,2.164,0.005,5.928,2.063,2.126,5.292,8.984,4.322,13.973,2.783,16.916,33.661
Breast-GC1002976,3.652,8.267,2.698,0.036,8.623,5.055,4.102,2.092,5.570,6.516,3.915,3.732,21.100,24.642
Breast-GC1002977,0.182,0.454,0.754,0.000,0.988,0.841,8.747,0.696,1.601,0.185,8.738,14.599,41.641,20.576
Breast-GC1002978,2.250,3.653,2.301,0.005,7.023,2.119,2.125,1.771,9.505,4.224,19.823,2.804,10.033,32.365
Breast-GC1002979,5.046,10.552,1.010,0.515,3.114,0.874,2.178,2.883,1.700,2.857,11.899,3.383,34.905,19.084
Breast-GC1002980,0.021,6.865,0.961,0.002,3.736,0.394,1.756,12.678,4.854,5.786,11.789,2.554,12.340,36.263
Breast-GC1002981,0.336,9.060,1.330,0.000,4.182,1.707,1.730,5.824,3.710,4.739,14.986,2.574,23.044,26.780
Breast-GC1003967,0.411,6.993,1.972,0.026,6.119,1.772,2.117,2.875,7.779,8.427,13.881,2.919,9.149,35.561
Breast-GC1003968,2.272,9.877,2.622,0.459,6.481,2.934,2.327,3.919,5.098,8.326,6.922,3.913,15.251,29.599
Breast-GC1003970,1.663,4.636,1.692,0.007,4.792,2.055,2.569,3.780,2.698,4.345,30.326,4.062,18.930,18.445
Breast-GC1003971,1.182,8.528,1.878,0.458,5.548,2.424,2.045,5.643,6.835,7.386,17.819,7.188,2.691,30.373
Breast-GC1003972,1.704,11.308,1.726,0.729,5.671,1.870,1.659,6.164,3.176,7.229,17.893,4.251,2.743,33.877
Breast-GC1003974,1.044,4.315,2.272,1.067,3.686,1.837,2.147,2.841,1.192,3.217,12.763,3.987,35.139,24.492
Breast-GC1002311,0.389,3.871,1.343,0.001,4.569,1.533,1.604,10.651,4.310,7.529,16.444,2.648,10.969,34.139
Breast-GC1004006,0.405,5.385,1.934,0.000,5.783,1.844,3.395,5.653,3.056,6.962,15.049,4.949,17.402,28.182
Breast-GC1004007,1.306,9.234,2.110,0.033,6.647,2.640,2.701,4.748,6.571,9.976,10.119,3.937,2.970,37.008
Breast-GC1004008,0.200,8.849,1.103,0.164,3.687,1.209,2.486,4.015,5.021,3.758,9.780,2.321,32.197,25.209
Breast-GC1004009,1.873,8.537,1.869,0.130,6.561,2.506,1.224,2.095,3.933,3.056,9.477,1.337,34.018,23.382
Breast-GC110693,1.338,1.069,4.047,0.001,8.769,3.954,3.439,1.073,3.239,1.100,10.967,4.349,31.003,25.652
Breast-GC110694,1.121,3.550,1.844,0.013,5.062,1.916,2.317,8.227,3.515,6.337,14.057,4.206,17.728,30.108
Breast-GC110695,1.969,2.545,3.474,0.001,9.246,4.019,4.169,5.443,0.755,8.677,10.748,7.343,3.743,37.869
Breast-GC110696,0.178,2.680,2.047,0.001,5.602,1.933,5.003,6.257,6.428,7.191,14.076,4.408,10.718,33.477
Breast-GC116960,1.199,4.620,2.667,0.142,6.006,2.639,4.639,5.438,6.429,0.567,19.845,4.883,13.823,27.105
Breast-GC116963,0.018,7.891,0.749,0.042,2.275,0.173,1.127,3.718,3.468,2.299,4.032,1.294,52.846,20.068
Breast-GC116964,1.225,0.442,4.516,0.000,11.456,5.582,4.851,0.314,0.652,6.629,16.192,8.311,2.631,37.199
Breast-GC116965,1.018,9.500,1.441,0.001,6.226,1.940,1.881,5.082,8.621,12.515,8.342,3.928,0.164,39.340
Breast-GC116966,0.147,2.255,1.884,0.002,4.247,1.083,2.467,8.748,7.740,11.442,14.363,3.763,0.821,41.038
Breast-GC116967,1.368,1.259,3.422,0.015,9.253,3.728,3.448,0.764,6.150,5.715,16.510,6.403,6.420,35.546
Breast-GC116968,0.660,9.667,1.139,0.073,3.401,1.175,1.403,4.248,4.562,4.332,6.787,2.130,32.293,28.130
Breast-GC116969,0.253,5.320,1.526,0.000,4.213,1.091,2.080,5.641,2.025,0.818,9.152,2.941,39.344,25.594
Breast-GC116970,0.935,5.770,1.755,0.310,5.380,1.947,2.212,5.994,4.258,6.035,11.322,2.834,24.751,26.497
Breast-GC116971,0.761,12.805,1.346,0.145,3.527,0.897,3.580,8.673,4.612,7.501,11.598,4.226,10.243,30.085
Breast-GC110676,0.496,4.538,1.990,0.494,6.056,1.462,3.560,2.577,7.763,6.366,10.970,3.358,14.435,35.933
Breast-GC110678,1.248,9.480,2.290,0.950,4.418,2.034,2.451,3.752,4.450,7.190,21.776,4.427,14.240,21.294
Breast-GC110679,13.660,6.376,2.645,1.360,5.466,2.145,2.901,5.272,2.232,5.830,10.899,3.528,10.381,27.304
Breast-GC110680,0.427,4.029,2.237,0.004,7.923,2.603,2.210,2.709,6.178,6.253,10.721,2.091,19.713,32.899
Breast-GC110681,9.454,0.034,6.608,0.000,22.206,14.313,1.102,0.025,0.084,2.658,0.070,4.184,3.777,35.485
Breast-GC110682,1.396,1.558,3.584,0.001,10.101,4.565,5.225,2.707,1.610,3.842,12.650,6.478,18.545,27.737
