Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Breast-GC1002975,0.000,0.000,0.000,0.000,0.000,0.000,0.216,0.000,0.000,7.123,11.379,1.429,36.535,25.415,2.403,0.000,6.608,2.312,3.467,3.110,0.000,0.000,0.000
Breast-GC1002976,1.682,0.000,0.000,0.145,0.000,1.834,1.624,0.000,0.000,5.744,2.464,0.377,33.726,24.002,8.366,0.172,5.454,0.000,3.208,6.387,0.000,0.000,4.817
Breast-GC1002977,0.000,0.000,0.000,0.000,0.000,0.000,10.330,0.000,0.000,1.100,9.920,15.333,51.976,11.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breast-GC1002978,0.810,0.000,0.000,0.000,0.705,0.000,0.000,0.000,0.000,5.800,17.760,1.396,27.407,25.524,5.699,0.000,3.891,5.878,4.048,0.000,0.000,1.082,0.000
Breast-GC1002979,8.234,0.000,0.000,0.000,0.000,0.000,0.665,0.000,0.000,4.134,9.992,1.286,45.833,13.869,1.790,0.000,5.580,4.695,1.082,0.000,0.000,2.839,0.000
Breast-GC1002980,0.000,0.000,0.000,0.000,0.193,0.000,0.556,0.000,0.000,10.604,9.748,1.641,32.637,33.309,2.840,0.000,5.337,0.000,1.503,0.000,0.000,1.417,0.212
Breast-GC1002981,0.000,0.000,0.000,0.000,0.000,0.000,0.169,0.000,0.000,7.919,13.232,0.894,38.052,18.349,1.839,6.283,6.760,2.723,3.780,0.000,0.000,0.000,0.000
Breast-GC1003967,0.000,0.000,0.000,0.000,0.000,0.000,0.090,0.000,0.000,9.645,12.557,1.131,28.206,26.043,1.338,0.171,2.633,5.619,0.077,0.000,0.000,12.488,0.000
Breast-GC1003968,0.409,0.000,0.000,0.000,0.079,0.000,0.000,0.000,0.000,10.580,5.103,0.959,31.128,26.084,2.709,0.749,4.460,0.485,8.619,0.000,0.000,0.000,8.635
Breast-GC1003970,0.094,0.000,0.000,0.000,0.000,0.000,0.717,0.000,0.000,3.117,32.128,1.016,29.000,14.199,0.000,0.000,5.375,2.224,4.839,7.291,0.000,0.000,0.000
Breast-GC1003971,0.000,0.000,0.000,0.000,0.000,0.000,0.059,0.000,0.000,10.814,16.248,4.863,17.526,27.060,0.000,0.000,9.938,8.477,4.559,0.454,0.000,0.000,0.000
Breast-GC1003972,0.178,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.968,15.318,1.292,21.522,26.465,3.096,0.000,8.405,6.244,8.513,0.000,0.000,0.000,0.000
Breast-GC1003974,0.000,0.000,0.000,0.554,0.000,0.000,0.336,0.000,0.000,4.237,12.713,1.272,50.344,19.164,3.870,2.347,1.529,0.832,0.000,2.800,0.000,0.000,0.000
Breast-GC1002311,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.000,0.000,11.155,14.191,1.046,29.770,21.497,1.921,0.000,13.373,5.366,1.660,0.000,0.000,0.000,0.000
Breast-GC1004006,0.000,0.000,0.000,0.000,0.000,0.000,0.803,0.000,0.000,9.125,11.655,1.612,32.254,23.918,0.218,0.000,11.815,3.286,5.313,0.000,0.000,0.000,0.000
Breast-GC1004007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.656,8.740,1.352,21.656,30.124,5.120,6.321,1.967,7.232,0.000,4.830,0.000,0.000,0.000
Breast-GC1004008,0.000,0.000,0.000,0.000,0.000,0.000,0.658,0.000,0.000,7.692,7.417,0.629,47.647,17.316,0.411,0.000,5.166,8.760,0.000,2.716,0.000,1.587,0.000
Breast-GC1004009,0.345,0.000,0.000,0.000,0.421,0.457,0.000,0.000,0.000,1.991,5.864,0.000,48.161,20.935,6.272,7.273,6.329,0.000,0.000,0.000,0.000,0.000,1.953
Breast-GC110693,0.000,0.000,0.000,0.000,0.000,0.000,0.574,0.000,0.000,3.282,11.612,0.603,48.274,15.006,0.000,4.356,10.749,3.103,2.441,0.000,0.000,0.000,0.000
