Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Breast-GC1002975,2.899,3.157,2.648,3.879,5.621,6.968,0.413,3.684,0.574,1.291,5.085,0.424,0.792,3.484,0.076,3.026,1.285,0.722,0.094,0.515,2.687,0.308,2.186,0.052,0.202,0.751,0.361,0.082,0.155,0.001,0.165,1.631,3.129,3.569,0.544,0.957,1.747,2.311,1.202,0.392,2.108,4.224,0.378,1.150,3.970,1.798,4.576,5.202,3.245,4.281
Breast-GC1002976,2.014,1.177,2.364,0.543,4.125,3.864,5.609,0.788,7.011,1.281,1.731,1.204,1.751,2.904,1.565,0.582,0.861,2.534,3.078,2.874,0.713,1.988,1.380,0.015,1.802,1.331,2.041,0.298,0.557,0.004,1.144,2.766,0.935,3.044,2.563,1.505,0.544,1.087,0.821,1.925,4.460,2.686,0.106,0.976,0.307,6.236,2.214,4.322,4.207,0.161
Breast-GC1002977,0.042,0.223,5.928,1.068,2.314,5.324,1.807,1.169,6.194,1.179,0.775,2.895,3.551,5.087,2.485,3.919,1.854,0.916,2.449,1.187,1.654,2.446,0.177,0.001,0.183,0.042,0.016,0.001,0.013,0.000,0.109,0.441,0.001,0.232,0.460,0.247,0.218,0.302,0.045,0.050,6.157,0.144,0.562,0.326,31.374,1.413,0.043,0.430,0.009,2.538
Breast-GC1002978,0.276,0.532,3.189,2.421,3.033,1.670,3.087,2.948,1.546,7.928,0.670,5.718,1.669,2.017,0.372,1.946,1.296,2.015,1.167,0.999,1.217,2.664,1.845,0.275,0.016,0.907,1.383,0.071,0.292,0.212,0.710,0.444,0.521,2.861,3.102,0.855,1.923,2.023,1.324,3.141,1.055,0.482,5.001,4.397,0.538,2.499,0.597,6.678,5.134,3.334
Breast-GC1002979,1.997,0.176,8.301,2.978,3.337,6.362,8.338,2.078,3.509,3.801,2.785,3.684,1.444,1.457,0.191,2.078,1.662,1.004,0.311,1.483,1.090,0.752,1.327,1.535,0.750,2.323,1.704,2.033,0.477,0.088,0.400,0.527,0.376,1.143,0.746,1.039,1.954,1.713,0.477,1.048,3.232,2.194,2.510,2.137,1.843,2.061,1.563,2.022,1.939,2.021
Breast-GC1002980,2.486,0.075,4.239,0.396,0.123,0.855,2.237,0.063,2.816,1.615,2.971,0.171,0.871,1.743,0.607,0.210,1.849,2.901,0.318,1.996,3.683,1.254,0.061,0.031,0.114,0.308,0.128,0.048,0.002,0.026,0.445,0.583,0.971,3.073,7.601,2.602,0.247,3.132,0.824,0.202,0.484,4.311,9.323,6.764,1.551,5.589,3.287,0.319,5.875,8.619
Breast-GC1002981,0.625,0.630,4.658,5.382,5.312,1.392,1.950,1.154,7.083,5.581,2.486,3.336,0.607,2.309,0.382,2.441,1.928,0.302,1.559,1.021,0.452,1.036,2.399,0.084,0.930,0.457,0.245,0.005,0.059,0.002,0.449,1.267,1.275,2.548,1.582,2.103,2.835,0.486,1.692,1.568,4.681,3.233,2.576,5.708,1.849,1.584,0.677,5.051,2.182,0.851
Breast-GC1003967,3.911,3.294,1.983,1.676,0.550,2.293,0.561,0.883,1.290,3.483,0.658,3.389,1.492,2.363,1.380,0.746,0.593,1.441,0.344,1.574,1.187,0.918,2.221,0.208,0.045,0.649,0.569,0.065,0.286,0.017,0.659,0.634,3.484,3.977,3.141,1.346,2.564,1.343,2.108,1.280,7.545,5.230,2.176,5.317,2.493,2.991,3.242,1.797,0.849,7.756
Breast-GC1003968,2.023,3.800,3.696,0.725,2.507,1.572,3.654,2.345,1.739,2.583,0.710,3.676,1.813,3.237,1.377,0.091,1.872,0.569,3.351,0.702,1.369,1.265,1.505,0.776,0.814,0.036,0.634,0.190,1.157,0.158,0.977,3.772,2.792,2.340,2.098,2.872,2.512,0.041,0.115,1.366,4.984,3.687,3.683,0.736,1.556,5.757,2.824,0.800,2.759,4.382
Breast-GC1003970,1.415,1.797,4.971,0.621,1.279,0.113,1.157,6.031,6.129,9.918,9.659,12.610,1.320,1.131,0.318,0.452,1.444,0.062,0.947,1.306,0.586,0.261,1.072,0.078,0.271,0.505,0.787,0.220,0.321,0.008,0.138,0.622,0.318,1.051,2.491,2.016,1.692,1.997,0.804,2.530,1.247,2.458,1.062,3.000,3.282,2.758,0.953,1.010,2.563,1.216
