Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Breast-GC1002975,1.787,12.581,0.000,2.476,26.519,0.287,3.828,0.000,0.000,7.447,7.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.070,0.000,0.274,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.733,0.000,0.000,0.000
Breast-GC1002976,0.000,9.047,11.717,21.310,0.000,0.000,3.236,0.187,2.035,0.040,1.764,0.550,0.000,0.798,0.000,0.000,0.000,0.000,0.262,1.979,0.000,0.000,0.000,0.000,0.000,11.810,1.997,0.000,0.000,0.000,1.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.265,24.600,0.000,0.000,0.000
Breast-GC1002977,0.000,0.000,0.000,12.556,0.000,35.859,0.000,4.341,0.000,0.000,10.489,0.000,0.000,0.000,0.000,19.501,8.860,0.000,0.000,0.000,0.000,0.000,8.390,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breast-GC1002978,0.000,9.815,0.000,0.000,0.000,0.000,0.000,0.000,24.170,4.237,20.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.556,0.000,0.000,0.223,0.000,0.000,0.000,0.000,5.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.809,34.766,0.000,0.000,0.000
Breast-GC1002979,0.000,6.825,0.602,44.982,0.000,0.000,1.801,0.000,0.000,0.000,10.331,4.138,0.000,1.935,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.329,0.000,0.198,4.080,3.719,0.000,0.000,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.934,0.000,0.000,0.000
Breast-GC1002980,2.173,19.696,15.517,7.768,0.000,0.000,5.256,0.000,0.000,0.000,12.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.839,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.963,0.971,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.211,0.000,0.000,0.000
Breast-GC1002981,0.000,16.183,0.000,6.385,0.000,16.559,0.000,0.000,13.121,10.956,2.662,4.846,0.000,0.000,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.000,4.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.199,0.000,11.912,0.000,0.000,0.000
Breast-GC1003967,0.000,20.444,0.000,0.000,0.000,15.727,2.284,0.000,0.000,0.000,8.186,11.895,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.857,0.000,0.000,1.132,1.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.033,0.000,0.000,0.000
Breast-GC1003968,0.000,17.909,15.240,0.000,0.000,12.604,2.107,0.000,0.000,0.000,8.469,5.437,0.000,6.594,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.393,0.204,0.000,1.023,0.000,0.000,0.000,0.000,1.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.881,0.000,0.000,0.000
Breast-GC1003970,0.000,9.169,7.264,0.000,0.000,0.000,0.000,2.678,14.448,9.748,18.895,19.116,0.000,5.364,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,0.599,0.000,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.260,0.000,8.471,0.000,0.000,0.000
