Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Breast-GC1002975,0.291,4.850,3.766,0.000,3.911,0.408,3.202,0.898,1.993,6.239,11.350,3.770,22.186,37.136
Breast-GC1002976,0.968,16.240,0.000,0.000,6.117,1.687,2.101,1.231,6.063,3.023,3.699,3.813,25.635,29.423
Breast-GC1002977,0.000,0.000,0.000,0.000,0.166,0.444,6.042,8.664,0.751,0.000,10.262,13.601,46.058,14.012
Breast-GC1002978,1.230,0.007,12.498,0.544,6.554,0.226,3.060,0.644,1.877,0.667,18.412,2.931,11.741,39.608
Breast-GC1002979,8.173,4.193,0.457,0.054,1.890,1.679,1.059,0.853,2.424,3.292,14.962,3.815,35.047,22.100
Breast-GC1002980,0.000,2.285,7.549,0.006,6.951,0.001,3.196,2.435,1.858,1.753,10.195,0.710,0.773,62.287
Breast-GC1002981,0.001,7.771,2.907,0.000,4.454,0.015,1.737,1.475,0.566,4.124,14.636,3.262,26.651,32.401
Breast-GC1003967,0.180,3.201,5.418,0.324,9.226,0.435,2.246,1.404,0.593,7.954,14.672,2.878,2.530,48.939
Breast-GC1003968,1.854,2.269,0.187,0.862,9.126,3.865,0.933,0.138,3.106,11.956,12.965,5.415,14.454,32.870
Breast-GC1003970,0.535,9.134,2.690,0.001,1.752,0.021,0.400,0.438,0.741,3.470,36.791,2.739,17.192,24.097
Breast-GC1003971,0.410,0.946,8.819,0.845,7.683,0.799,2.095,1.069,4.029,9.465,17.227,5.689,0.136,40.788
Breast-GC1003972,0.656,13.077,0.280,1.101,6.183,0.362,0.485,0.016,4.612,5.646,22.752,4.086,0.324,40.421
Breast-GC1003974,0.612,0.061,1.366,1.510,7.877,0.001,2.437,1.221,1.602,4.242,12.226,1.403,33.491,31.950
Breast-GC1002311,0.000,4.498,5.680,0.001,2.722,0.260,1.480,4.189,0.731,6.089,18.473,3.646,12.061,40.172
Breast-GC1004006,0.003,8.884,0.802,0.000,0.925,0.983,4.011,5.031,1.385,6.017,12.138,2.397,28.710,28.715
Breast-GC1004007,0.001,6.340,5.335,0.000,3.460,1.540,4.269,2.404,1.592,4.588,10.251,7.274,0.570,52.376
Breast-GC1004008,0.204,4.724,5.370,0.335,0.539,0.263,3.487,1.162,2.920,3.342,8.703,4.534,30.894,33.523
Breast-GC1004009,0.141,10.008,0.024,0.170,11.057,1.977,0.845,0.002,0.176,4.452,8.416,0.794,37.987,23.952
Breast-GC110693,1.016,2.441,0.000,0.000,1.494,0.004,6.995,0.510,4.713,3.510,10.515,5.411,34.173,29.218
Breast-GC110694,0.045,8.504,0.709,0.063,4.782,0.508,3.159,1.352,1.117,9.835,14.485,2.786,22.513,30.142
Breast-GC110695,0.013,14.215,2.079,0.000,11.947,1.247,0.772,1.915,0.774,3.707,9.915,6.622,1.444,45.350
Breast-GC110696,0.000,3.741,3.727,0.000,4.753,0.000,6.246,4.220,0.454,4.471,14.350,6.669,9.205,42.166
Breast-GC116960,0.019,8.139,1.728,0.188,7.526,0.386,4.116,3.040,0.713,5.112,20.338,4.574,13.928,30.194
Breast-GC116963,0.000,8.337,2.396,0.000,3.307,0.010,0.075,1.124,0.184,0.419,6.297,2.237,48.907,26.706
Breast-GC116964,0.000,0.752,0.002,0.404,6.721,1.438,5.814,1.577,2.406,6.141,23.612,6.322,3.971,40.840
Breast-GC116965,0.868,7.886,6.313,0.000,6.335,0.210,0.936,3.853,1.457,10.112,9.635,2.309,0.103,49.983
Breast-GC116966,0.000,1.333,14.322,0.000,1.715,0.079,1.502,1.456,2.231,5.529,13.516,4.103,0.038,54.176
Breast-GC116967,0.245,7.572,0.285,0.645,8.216,0.978,1.342,3.269,1.293,5.046,16.337,7.001,14.578,33.193
Breast-GC116968,0.185,9.702,1.148,0.172,2.762,1.690,0.761,1.516,1.023,3.234,6.620,1.860,32.043,37.284
Breast-GC116969,0.000,1.056,13.134,0.000,2.246,1.203,0.170,0.266,3.354,6.243,6.325,1.939,38.657,25.406
Breast-GC116970,0.002,10.589,0.017,0.201,4.457,1.574,1.528,1.160,1.139,9.660,15.196,3.065,27.607,23.806
Breast-GC116971,0.056,9.847,8.722,0.000,2.995,0.133,3.130,0.868,0.288,9.251,13.356,4.510,8.212,38.634
Breast-GC110676,0.000,0.107,2.716,1.018,2.690,2.332,3.299,1.702,7.348,1.158,9.279,3.616,17.955,46.781
Breast-GC110678,0.001,4.653,12.528,1.342,4.471,0.585,1.728,1.114,3.723,5.725,21.836,4.460,16.436,21.400
Breast-GC110679,16.458,2.502,3.892,1.380,1.672,1.348,4.017,1.324,1.831,3.941,13.172,1.098,13.171,34.195
Breast-GC110680,0.000,7.888,2.318,0.000,3.553,2.412,1.636,1.733,2.698,9.289,7.690,1.401,27.020,32.364
Breast-GC110681,4.022,0.003,0.032,0.000,28.381,5.383,2.294,0.274,0.648,1.713,3.379,4.658,5.487,43.727
Breast-GC110682,0.000,1.545,0.011,0.000,9.837,3.275,6.631,0.704,1.080,4.281,14.046,7.823,26.248,24.519
Breast-GC110683,1.495,1.093,0.172,0.039,6.600,3.429,4.704,2.506,2.199,7.565,18.175,8.111,15.761,28.152
Breast-GC110684,0.404,1.131,2.165,0.804,9.553,2.498,3.831,0.787,0.731,4.214,16.333,2.966,21.863,32.721
Breast-GC110685,0.001,12.042,8.894,0.027,4.446,0.781,5.497,7.789,1.580,2.802,13.698,4.880,7.299,30.263
Ovarian-GC110686,0.000,5.488,11.296,0.865,3.043,0.001,0.318,2.861,0.206,9.645,6.610,2.865,0.011,56.793
Ovarian-GC114179,0.002,8.903,1.070,0.895,0.267,1.164,1.924,2.290,0.378,18.034,15.276,4.579,15.230,29.988
Ovarian-GC114180,0.000,8.598,10.035,0.469,0.117,0.000,4.565,4.772,0.185,8.155,11.371,1.443,0.863,49.429
Ovarian-GC114181,9.331,3.872,12.734,0.000,6.066,0.668,0.013,0.111,0.439,24.113,5.374,3.874,12.773,20.632
Ovarian-GC114182,4.818,0.005,0.001,0.000,54.911,3.791,0.000,0.003,0.223,0.078,5.074,0.582,9.123,21.391
Ovarian-GC116977,0.000,8.896,0.214,0.504,5.717,2.855,1.935,0.906,1.141,12.522,12.977,3.732,7.431,41.171
Ovarian-GC116979,1.466,10.582,7.118,0.170,19.594,0.769,0.233,1.079,0.317,10.374,8.931,1.619,25.811,11.935
Ovarian-GC116982,0.000,14.176,0.262,0.000,18.472,0.093,1.494,3.658,0.094,5.059,8.577,5.735,5.950,36.430
Ovarian-GC116990,0.492,3.685,0.955,0.000,7.312,3.052,3.284,0.503,2.043,3.491,16.004,4.481,24.669,30.029
Ovarian-GC119363,0.076,18.010,1.930,0.681,11.457,0.139,1.490,1.799,0.529,19.824,3.212,1.270,8.476,31.106
Ovarian-GC119364,0.930,7.565,7.596,0.001,1.430,0.855,3.377,1.631,0.881,3.295,18.281,4.079,24.681,25.399
Ovarian-GC119365,1.035,0.000,0.001,0.000,95.742,0.113,0.010,0.001,0.000,3.076,0.005,0.000,0.000,0.017
Ovarian-GC119366,2.192,25.483,10.736,0.173,0.583,0.142,0.048,1.152,0.216,22.159,11.075,2.018,0.066,23.956
Colorectal-GC121326,0.067,15.838,0.033,0.070,4.698,0.186,0.088,2.710,0.804,14.909,3.733,2.554,29.286,25.024
Colorectal-GC121327,8.458,10.663,15.015,13.421,1.061,0.000,0.210,0.000,0.000,8.678,6.443,0.000,0.018,36.033
Colorectal-GC121328,0.000,0.178,6.897,0.000,11.779,4.340,1.450,2.166,2.963,24.269,8.007,3.843,0.000,34.108
Colorectal-GC121329,0.176,10.715,12.815,0.000,4.794,19.160,6.170,2.758,2.278,22.066,4.155,1.601,1.978,11.334
Colorectal-GC121330,1.626,44.327,0.000,0.000,5.430,1.561,0.000,0.000,0.006,4.631,1.299,0.050,14.546,26.523
