Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Breast-GC1002975,1.701,0.193,0.000,0.000,5.581,2.986,3.669,0.466,2.081,22.741,17.053,6.518,37.011
Breast-GC1002976,9.860,1.654,0.574,0.000,4.613,3.756,3.319,2.004,5.895,16.360,6.893,4.841,40.231
Breast-GC1002977,0.000,0.000,0.000,0.000,0.000,0.000,5.213,14.069,0.000,0.199,14.286,13.381,52.851
Breast-GC1002978,3.588,0.000,0.328,0.000,11.354,0.000,3.201,0.947,0.676,20.946,23.688,6.577,28.696
Breast-GC1002979,9.015,2.048,0.000,0.000,2.891,0.231,0.168,0.037,2.786,11.965,19.486,6.574,44.800
Breast-GC1002980,0.000,1.025,0.000,0.000,15.243,0.000,3.488,0.115,1.982,26.349,16.758,5.693,29.348
Breast-GC1002981,3.603,0.000,0.000,0.000,8.546,0.098,3.045,1.546,0.000,18.913,18.502,5.338,40.409
Breast-GC1003967,0.000,1.361,0.000,0.000,12.276,2.549,1.535,1.547,0.202,28.371,21.401,7.176,23.581
Breast-GC1003968,6.073,0.000,0.000,0.559,6.349,3.133,2.776,0.946,0.209,24.651,16.044,7.846,31.414
Breast-GC1003970,1.900,0.000,3.070,0.691,3.345,0.000,1.717,0.000,1.716,12.518,41.069,6.002,27.973
Breast-GC1003971,2.231,2.930,0.321,0.272,6.037,1.565,1.401,6.013,1.694,28.212,22.738,10.729,15.857
Breast-GC1003972,4.372,1.877,0.000,0.296,5.274,0.000,0.000,0.000,5.692,29.899,29.419,4.498,18.673
Breast-GC1003974,0.436,0.000,2.268,0.000,13.676,0.000,0.000,0.000,0.000,20.767,15.772,2.604,44.477
Breast-GC1002311,2.407,0.000,0.000,0.000,3.299,1.909,2.086,4.197,0.980,23.679,24.909,6.619,29.916
Breast-GC1004006,5.794,1.058,0.000,0.000,1.167,3.199,4.705,7.295,0.563,19.937,18.457,4.671,33.155
Breast-GC1004007,0.980,0.000,0.000,0.000,6.161,4.521,4.424,2.386,0.000,30.876,20.959,8.741,20.952
Breast-GC1004008,0.517,1.436,0.000,0.984,6.625,1.571,3.101,1.686,0.733,16.002,16.473,8.160,42.712
Breast-GC1004009,1.995,0.000,1.854,0.000,3.826,4.771,0.000,0.000,0.000,20.195,12.039,2.888,52.432
Breast-GC110693,0.000,0.000,0.000,0.000,0.000,0.000,7.134,0.000,3.096,17.875,14.666,6.817,50.413
Breast-GC110694,1.333,2.601,0.000,0.939,6.603,0.000,2.422,1.991,1.416,20.601,19.992,4.925,37.176
Breast-GC110695,0.725,0.000,0.580,0.000,13.522,1.746,0.000,1.438,0.000,32.872,16.589,9.999,22.530
Breast-GC110696,0.000,1.558,0.000,0.000,10.833,0.000,5.580,4.374,0.000,22.020,20.610,9.276,25.748
Breast-GC116960,3.517,0.000,0.000,0.000,7.540,0.000,4.281,3.250,0.000,20.800,25.006,7.424,28.182
Breast-GC116963,2.879,1.965,0.000,0.000,8.082,0.000,0.037,1.195,0.000,12.426,10.171,4.202,59.044
Breast-GC116964,1.765,3.058,0.000,0.000,0.000,0.000,5.093,3.615,0.000,24.607,29.755,8.257,23.851
Breast-GC116965,4.622,4.476,0.000,0.000,4.450,0.279,0.150,2.478,0.000,37.381,19.429,7.388,19.347
Breast-GC116966,0.000,1.221,0.000,0.954,6.746,0.770,0.632,1.966,2.730,31.379,23.772,8.140,21.690
Breast-GC116967,3.231,0.000,0.000,0.000,5.842,0.000,1.094,2.958,0.000,26.765,22.653,8.223,29.234
Breast-GC116968,1.014,0.000,0.000,0.000,11.307,4.266,0.841,0.436,1.568,19.150,11.442,4.813,45.163
Breast-GC116969,0.000,3.689,1.169,0.000,3.915,2.032,1.758,0.000,2.137,17.114,11.385,5.270,51.531
Breast-GC116970,3.440,0.807,0.201,0.000,4.431,3.227,2.640,1.481,2.622,19.738,17.822,5.614,37.977
Breast-GC116971,3.602,1.495,0.000,0.000,8.562,0.000,5.315,0.961,0.000,25.702,19.288,9.268,25.807
Breast-GC110676,1.965,0.000,0.000,0.000,6.389,1.190,3.063,0.000,6.452,23.195,13.466,7.182,37.097
Breast-GC110678,0.784,1.838,2.371,1.966,8.132,0.016,2.949,2.506,3.588,17.499,24.288,6.478,27.585
Breast-GC110679,18.424,0.444,1.068,0.000,7.596,2.800,3.713,0.000,2.058,16.669,15.957,3.066,28.205
Breast-GC110680,1.233,0.000,0.571,0.000,3.176,2.914,1.755,2.895,3.817,22.674,13.471,3.946,43.549
Breast-GC110681,9.391,0.000,0.000,0.000,12.796,13.388,0.998,0.000,0.000,24.786,11.235,2.874,24.531
Breast-GC110682,3.728,0.000,0.000,0.000,2.700,2.506,8.104,0.000,0.000,19.296,20.552,9.704,33.410
Breast-GC110683,7.316,0.000,0.000,0.000,0.000,2.581,4.224,4.579,0.000,22.241,22.926,7.813,28.320
Breast-GC110684,0.000,3.218,0.054,0.000,7.151,0.000,5.089,0.000,0.000,20.490,22.718,2.598,38.681
Breast-GC110685,2.391,4.059,0.805,1.320,5.376,3.577,5.642,8.950,0.000,18.142,18.831,9.807,21.102
Ovarian-GC110686,0.000,0.000,0.000,0.000,22.214,0.000,0.000,2.274,0.076,32.699,13.907,9.683,19.146
Ovarian-GC114179,1.198,4.827,0.000,0.000,5.475,2.116,3.906,1.602,0.000,26.106,18.538,8.878,27.354
Ovarian-GC114180,0.000,0.732,1.243,0.983,12.103,0.000,6.689,3.044,1.417,28.049,16.830,6.783,22.125
Ovarian-GC114181,4.710,5.525,0.000,0.000,14.693,1.813,1.052,0.550,3.388,26.299,10.463,8.200,23.308
Ovarian-GC114182,10.604,0.000,0.000,0.000,27.796,9.220,0.000,0.000,0.796,13.964,11.217,2.459,23.944
Ovarian-GC116977,0.000,2.673,0.000,0.000,8.907,7.425,1.837,0.000,1.173,27.536,19.719,7.179,23.549
Ovarian-GC116979,4.551,2.224,0.000,0.000,20.428,2.468,1.040,1.495,1.368,17.456,13.589,4.258,31.123
Ovarian-GC116982,2.912,0.372,0.000,0.000,22.794,3.258,4.051,2.083,0.000,18.342,13.874,9.983,22.331
Ovarian-GC116990,2.523,0.763,1.915,0.154,5.216,2.639,2.132,1.220,0.728,15.371,22.627,6.671,38.041
Ovarian-GC119363,5.449,0.000,0.000,0.000,19.717,2.482,1.714,1.387,1.592,32.279,9.889,5.140,20.352
Ovarian-GC119364,1.862,0.326,1.361,0.000,6.441,3.647,5.753,4.020,0.000,12.542,20.743,8.282,35.022
Ovarian-GC119365,7.730,0.000,0.000,0.000,59.542,7.327,3.496,0.000,0.000,12.095,7.289,0.000,2.522
Ovarian-GC119366,11.040,1.671,0.000,0.610,8.367,5.710,1.732,4.392,1.954,31.987,16.237,5.459,10.841
Colorectal-GC121326,5.363,0.786,0.582,0.000,2.066,1.669,0.000,3.567,1.910,26.790,11.579,5.357,40.332
Colorectal-GC121327,5.829,2.713,0.000,9.535,11.873,2.969,4.552,0.000,0.000,28.707,14.424,3.812,15.586
Colorectal-GC121328,0.000,0.000,0.000,0.000,12.316,8.619,0.066,2.230,4.022,40.395,15.026,8.677,8.650
Colorectal-GC121329,3.994,0.000,0.000,0.000,9.355,23.768,6.488,3.494,4.499,22.114,12.368,4.750,9.170
