Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Breast-GC1002975,0.340,0.000,0.000,0.000,7.137,4.588,3.651,0.000,3.067,20.668,17.265,6.620,36.664
Breast-GC1002976,8.454,0.000,0.000,0.000,7.408,6.220,3.385,1.389,7.328,13.614,7.604,5.065,39.534
Breast-GC1002977,0.000,0.000,0.000,0.000,0.000,0.000,5.592,11.097,2.311,0.000,14.951,13.674,52.375
Breast-GC1002978,2.334,0.000,0.000,0.000,12.961,1.359,3.226,0.451,1.739,18.854,23.748,6.722,28.607
Breast-GC1002979,8.691,1.483,0.000,0.000,3.565,0.828,0.207,0.000,3.098,11.344,19.568,6.615,44.600
Breast-GC1002980,0.000,0.000,0.000,0.000,16.373,0.665,3.553,0.000,2.644,24.678,16.957,5.832,29.299
Breast-GC1002981,2.649,0.000,0.000,0.000,9.527,1.204,3.109,1.534,0.000,17.619,18.598,5.636,40.125
Breast-GC1003967,0.000,0.000,0.000,0.000,14.114,4.833,1.594,0.605,1.886,24.511,21.620,7.288,23.549
Breast-GC1003968,4.653,0.000,0.000,0.000,7.924,5.027,2.797,0.444,1.308,22.423,16.315,7.930,31.179
Breast-GC1003970,1.613,0.000,2.546,0.580,4.440,0.283,1.797,0.000,2.144,11.548,40.903,6.123,28.022
Breast-GC1003971,1.229,0.853,0.000,0.000,8.790,4.177,1.561,5.303,3.278,25.146,22.971,10.771,15.922
Breast-GC1003972,2.713,0.000,0.000,0.000,8.837,2.264,0.000,0.000,7.152,25.830,29.429,4.906,18.871
Breast-GC1003974,0.000,0.000,0.016,0.000,16.803,2.346,0.000,0.000,0.000,17.271,16.179,3.759,43.626
Breast-GC1002311,1.276,0.000,0.000,0.000,4.510,3.152,2.095,3.759,1.756,22.050,24.928,6.701,29.773
Breast-GC1004006,5.514,0.536,0.000,0.000,1.819,3.748,4.716,7.126,0.925,19.309,18.537,4.725,33.045
Breast-GC1004007,0.000,0.000,0.000,0.000,7.364,5.828,4.391,1.966,0.745,28.833,21.063,8.828,20.981
Breast-GC1004008,0.338,0.985,0.000,0.740,7.214,2.218,3.134,1.557,1.105,15.404,16.580,8.189,42.536
Breast-GC1004009,0.902,0.000,0.441,0.000,6.187,6.894,0.123,0.000,0.426,17.690,12.428,3.376,51.533
Breast-GC110693,0.000,0.000,0.000,0.000,2.116,0.000,7.468,0.000,4.787,12.639,15.433,7.422,50.135
Breast-GC110694,1.078,1.475,0.000,0.961,8.305,0.000,2.600,1.694,2.256,19.167,20.144,5.207,37.113
Breast-GC110695,0.000,0.000,0.000,0.000,15.967,5.005,0.000,1.081,0.207,27.466,17.032,10.694,22.548
