Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Breast-GC1002975,1.902,0.701,5.112,7.734,9.932,1.154,3.146,1.574,7.923,4.202,5.505,1.947,1.153,1.107,0.821,0.346,0.675,0.980,0.695,0.836,0.499,0.079,0.295,0.000,0.009,0.000,0.080,0.000,0.000,0.000,0.010,0.050,21.338,0.229,1.814,6.685,4.802,0.021,0.759,5.885
Breast-GC1002976,0.353,2.254,2.623,7.355,5.789,4.453,5.329,3.305,4.574,1.260,1.465,0.827,0.918,1.873,0.384,0.002,0.320,0.246,1.553,0.731,0.989,1.804,0.006,0.000,0.005,0.279,0.027,0.000,0.001,0.000,0.072,0.988,6.764,12.357,0.104,1.527,29.415,0.001,0.005,0.043
Breast-GC1002977,0.001,0.003,11.794,23.848,3.515,3.906,3.101,6.588,0.348,3.089,6.009,0.245,3.189,9.183,0.010,0.069,0.005,0.005,0.111,0.032,3.265,0.122,1.691,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.798,0.052,0.000,0.002,0.000,0.003,0.002,0.012
Breast-GC1002978,1.067,0.365,0.701,6.589,9.526,3.002,3.452,0.116,4.062,0.018,9.053,8.765,0.698,0.866,0.522,0.174,1.589,1.215,0.158,0.068,0.436,0.227,0.631,0.087,2.907,0.005,0.559,0.003,0.000,0.000,0.051,0.315,24.510,1.596,0.441,8.830,0.132,0.002,5.172,2.088
Breast-GC1002979,0.886,1.379,4.589,15.332,6.999,1.414,6.133,0.578,10.303,3.495,3.153,4.644,0.633,1.685,0.246,0.088,0.185,1.095,0.020,0.871,0.719,0.463,0.377,0.958,0.007,1.058,0.598,1.069,0.176,0.014,0.177,0.193,8.870,4.294,0.765,1.705,1.498,2.106,5.264,5.960
Breast-GC1002980,0.311,1.922,2.061,4.078,3.236,6.074,10.937,3.211,3.640,9.436,0.951,0.232,0.942,0.107,1.581,0.440,0.902,2.419,0.704,0.356,0.311,0.054,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.971,0.043,1.469,11.530,0.126,0.003,1.265,18.527
Breast-GC1002981,0.673,2.316,9.150,5.803,4.293,1.559,7.066,4.366,6.167,2.609,9.137,2.433,1.122,0.427,0.746,0.814,0.510,1.004,0.306,0.625,0.085,0.566,0.671,0.000,0.006,0.014,0.098,0.000,0.000,0.000,0.016,0.397,10.532,2.509,1.625,11.015,5.933,0.008,3.247,2.153
Breast-GC1003967,1.106,2.148,3.202,5.412,6.110,2.870,1.014,4.673,4.835,7.255,3.101,2.935,0.634,1.445,0.247,0.179,1.424,0.615,0.550,0.593,0.161,0.054,0.093,0.004,0.000,0.009,0.263,0.000,0.044,0.000,0.086,0.107,16.240,0.560,3.611,14.215,3.811,0.016,0.396,9.983
Breast-GC1003968,1.536,1.909,2.007,7.303,4.371,4.726,7.953,0.826,3.742,2.543,0.005,5.244,0.972,1.002,0.691,0.404,0.800,0.811,1.145,2.685,0.075,0.799,0.041,0.079,0.036,0.590,0.139,0.041,0.337,0.153,0.342,1.052,11.478,6.457,1.821,9.367,12.913,0.566,0.833,2.203
Breast-GC1003970,1.712,1.693,6.049,8.323,1.672,1.050,4.901,6.418,1.455,17.304,10.390,1.675,2.267,0.717,0.437,0.141,0.193,0.573,0.242,0.678,0.477,1.329,0.126,0.000,0.152,0.636,0.331,0.000,0.007,0.000,0.065,1.240,3.264,5.194,1.990,8.022,2.089,0.057,2.252,4.878
Breast-GC1003971,2.485,3.814,0.614,2.708,2.146,3.213,1.690,4.818,3.687,14.641,1.472,0.951,3.325,2.536,1.570,1.615,1.518,0.469,0.161,0.280,0.198,0.172,0.240,0.071,0.000,0.001,0.130,0.025,0.219,0.264,0.045,0.898,12.228,6.338,0.547,10.600,1.990,0.616,8.227,3.473
Breast-GC1003972,2.725,0.558,6.897,2.961,1.607,0.459,5.514,0.863,3.697,7.128,3.957,6.260,1.161,1.702,0.934,0.160,0.838,0.013,0.696,1.470,0.862,0.346,0.027,0.062,0.108,0.049,0.039,0.002,0.074,0.551,0.048,0.012,12.915,3.470,2.073,12.823,9.685,0.166,4.497,2.590
Breast-GC1003974,0.819,0.274,17.086,2.627,7.540,6.796,4.754,6.299,3.213,5.657,2.703,4.130,1.185,0.946,0.345,0.333,0.204,0.177,0.339,0.205,0.545,0.337,0.074,0.017,0.006,0.190,0.168,0.402,0.400,0.656,0.834,0.201,11.572,2.470,1.515,10.720,0.304,0.828,1.213,1.918
Breast-GC1002311,1.581,2.012,2.905,3.089,1.786,3.700,7.286,8.367,3.660,1.593,7.043,6.227,0.536,0.416,0.283,0.247,3.237,1.480,0.004,0.979,0.059,0.028,0.099,0.000,0.000,0.005,0.002,0.000,0.000,0.000,0.000,0.000,27.787,0.016,0.176,1.941,2.625,0.000,2.289,8.540
Breast-GC1004006,1.297,1.908,2.978,4.674,2.121,3.626,1.733,7.444,9.677,3.176,6.267,5.447,2.799,0.437,0.343,1.910,0.837,1.244,0.715,0.632,0.632,1.561,1.121,0.000,0.220,0.019,0.012,0.000,0.000,0.000,0.002,0.810,14.751,4.194,0.553,12.649,0.846,0.006,1.712,1.648
Breast-GC1004007,0.486,2.200,4.276,1.066,1.266,6.277,1.326,6.470,1.993,4.746,2.321,2.850,0.298,2.247,0.077,1.964,1.083,0.346,1.774,0.695,0.428,0.451,0.530,0.001,0.002,0.052,0.006,0.000,0.000,0.000,0.056,0.159,20.501,3.649,0.488,7.286,11.962,0.040,3.476,7.150
Breast-GC1004008,1.011,0.784,14.714,13.197,1.000,2.655,4.075,9.116,1.622,5.359,2.329,0.282,1.381,0.460,1.055,0.661,0.687,0.530,0.106,1.130,0.305,1.047,0.900,0.000,0.003,0.003,0.032,0.000,0.002,0.063,0.117,0.728,4.382,2.334,2.137,13.386,0.909,0.283,2.310,8.904
