Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Breast-GC1002975,3.771,2.682,6.100,2.328,1.142,0.014,3.172,3.049,5.213,3.143,3.696,3.721,4.048,0.298,1.456,1.357,1.689,0.054,0.572,2.841,2.886,0.266,0.021,0.465,0.501,0.509,1.550,0.223,0.176,0.027,0.651,0.362,0.354,2.973,3.017,3.022,0.749,0.517,2.904,1.803,4.234,1.332,4.320,3.587,0.032,1.623,3.416,0.528,3.330,4.275
Breast-GC1002976,2.558,0.843,2.471,1.616,4.481,3.912,2.918,3.295,2.821,0.239,1.937,0.607,2.747,1.855,1.012,3.290,0.078,1.616,1.452,2.620,1.831,1.360,2.188,1.266,2.204,0.259,2.213,0.483,0.321,0.129,2.217,2.774,0.346,1.914,3.133,2.244,0.098,0.155,3.526,1.622,0.033,1.649,4.284,1.621,2.586,1.207,4.056,4.309,0.322,7.281
Breast-GC1002977,1.134,1.028,3.138,6.687,3.537,6.044,7.003,5.843,1.165,0.859,1.690,2.407,5.596,3.875,0.955,2.268,1.123,0.939,1.388,1.051,1.600,0.957,2.786,0.069,0.314,0.033,0.103,0.096,0.074,0.000,0.067,0.331,0.556,0.446,0.981,0.490,0.922,0.153,0.255,0.544,0.649,0.664,13.951,5.220,0.023,0.395,0.051,1.159,9.274,0.106
Breast-GC1002978,0.728,3.589,2.775,3.499,3.969,3.287,2.603,0.779,2.653,3.019,0.423,7.279,1.869,2.230,2.535,1.071,0.837,2.390,2.883,2.629,0.698,0.622,1.166,0.454,2.436,0.274,1.925,0.153,0.371,0.041,0.663,1.021,0.239,1.377,4.421,0.583,0.473,2.796,1.459,4.022,0.275,1.217,2.371,1.598,0.268,10.320,4.556,0.158,1.726,1.270
Breast-GC1002979,1.004,0.398,4.402,4.739,6.721,7.273,2.974,5.774,3.794,3.226,1.577,3.578,0.758,2.156,1.859,1.370,1.311,2.226,1.123,2.397,1.316,2.006,0.372,0.147,0.175,2.197,1.112,2.150,0.661,0.358,0.532,0.677,0.260,1.337,2.626,0.656,2.316,0.777,3.044,0.169,0.390,2.475,2.147,1.457,2.115,2.533,1.949,0.210,0.799,4.376
Breast-GC1002980,3.432,2.076,1.302,6.086,4.029,1.684,1.881,1.289,1.417,3.629,0.354,4.361,2.325,1.518,1.961,2.064,0.831,4.066,0.140,2.376,1.881,1.685,0.764,0.341,0.250,0.205,0.743,0.093,0.125,0.016,0.102,0.110,2.315,3.286,1.444,2.712,1.674,1.475,2.906,3.341,2.400,5.169,1.272,6.476,2.674,0.141,2.887,1.833,3.270,1.593
Breast-GC1002981,2.142,2.889,4.173,6.756,1.790,5.313,1.578,4.853,3.785,3.818,3.428,3.957,1.068,2.054,1.904,1.597,2.021,0.345,0.404,1.620,1.975,0.833,2.258,0.065,0.004,0.944,1.462,0.361,0.033,0.016,0.439,0.980,3.099,0.080,1.174,2.259,2.095,1.545,0.601,1.957,5.453,2.252,0.657,1.448,3.642,1.581,4.480,1.700,0.665,0.447
Breast-GC1003967,3.398,2.662,2.206,3.168,0.478,3.614,1.457,4.195,0.796,2.869,4.516,1.231,1.469,1.176,2.959,2.804,2.830,2.819,1.453,0.168,0.246,1.479,2.370,0.565,0.842,1.008,1.798,0.222,0.379,0.053,1.252,0.336,4.108,1.832,2.735,2.384,0.300,0.757,0.388,0.402,4.488,6.981,1.153,2.002,2.772,0.452,4.183,3.280,2.718,2.245
Breast-GC1003968,3.726,4.096,1.217,2.173,2.224,4.712,2.408,0.492,4.931,0.523,0.992,2.904,1.318,1.909,2.646,1.612,2.665,0.558,0.514,2.351,0.031,1.670,2.412,0.969,0.648,2.811,1.119,0.874,0.218,0.404,0.830,2.241,1.282,2.882,2.144,0.777,2.158,3.191,2.063,0.942,5.164,0.798,3.102,1.640,2.980,1.994,1.950,0.400,4.904,3.432
Breast-GC1003970,2.431,1.647,0.610,4.087,3.626,4.964,3.991,1.197,2.589,5.535,6.176,8.808,0.830,0.351,2.316,1.313,0.986,0.193,3.512,2.869,0.039,2.692,2.237,0.273,1.654,0.205,1.451,0.224,0.316,0.012,0.487,0.599,0.799,1.789,2.412,0.720,0.973,0.324,1.824,2.909,2.755,2.160,1.935,3.644,1.512,2.353,1.585,0.758,1.666,1.665
Breast-GC1003971,2.732,3.035,2.184,1.749,1.660,2.078,1.668,2.451,1.510,5.782,3.139,1.595,1.871,3.892,1.244,1.545,3.784,0.704,3.109,3.311,1.635,2.003,1.957,0.694,0.930,1.027,1.128,0.229,0.782,0.097,0.670,1.422,0.857,2.793,3.464,2.125,0.832,2.761,2.610,2.588,0.272,3.247,0.627,1.547,2.398,3.757,3.128,1.078,1.806,2.494
Breast-GC1003972,0.348,0.553,2.155,1.752,2.166,1.734,2.806,1.927,1.263,2.578,3.501,0.914,2.308,3.645,3.037,0.620,2.818,2.069,1.691,2.457,1.705,2.628,3.239,1.367,1.764,0.852,0.299,0.521,0.323,0.264,1.296,0.540,2.856,1.526,0.209,1.397,0.727,1.215,4.754,3.931,5.772,2.363,0.823,1.633,0.287,0.366,5.444,3.344,3.938,4.274
Breast-GC1003974,2.315,0.433,5.835,3.478,9.008,3.610,3.074,8.167,3.635,4.055,2.377,0.913,1.648,0.882,0.509,2.178,0.262,1.168,2.188,0.949,1.374,0.372,0.652,0.629,0.925,0.239,1.143,0.610,1.270,0.014,0.804,0.512,1.601,0.601,1.943,1.344,1.937,0.869,0.313,2.152,2.540,1.965,3.094,2.144,3.143,1.832,3.094,2.839,1.223,2.140
Breast-GC1002311,3.544,3.628,4.189,2.030,1.282,0.945,3.654,4.922,2.340,2.923,2.764,3.028,1.802,1.941,3.931,0.331,1.594,1.996,2.362,2.112,1.281,0.600,1.963,0.046,0.448,1.087,1.438,0.241,0.094,0.019,0.249,0.515,1.016,2.296,0.693,1.044,1.661,2.861,2.011,1.661,5.933,0.327,1.850,0.263,3.449,6.997,4.928,2.440,0.463,0.810
Breast-GC1004006,2.962,1.968,4.994,1.058,6.256,2.429,1.540,1.009,5.314,3.808,3.530,2.973,0.993,3.352,2.002,2.789,2.474,2.318,1.505,0.167,3.350,1.910,0.362,0.385,0.417,0.182,0.188,0.458,0.287,0.017,0.394,1.291,2.332,0.657,3.993,1.334,2.874,0.629,0.918,1.219,3.179,5.368,3.460,0.954,2.848,1.102,0.370,1.541,2.210,2.330
Breast-GC1004007,2.605,4.472,1.709,4.325,0.488,1.402,0.597,0.596,0.373,1.674,3.732,1.172,3.294,0.198,1.182,2.291,3.243,0.908,3.217,3.494,1.636,1.663,2.003,0.120,1.122,1.436,1.494,0.330,0.099,0.138,1.239,1.354,1.038,2.771,2.150,3.852,1.937,1.324,0.218,3.915,0.461,2.722,0.006,5.432,2.142,1.824,0.339,4.303,4.665,7.295
Breast-GC1004008,2.981,2.187,7.107,4.493,0.880,1.268,5.958,3.566,10.416,2.740,2.453,2.510,1.044,1.816,1.662,0.985,1.936,0.924,1.234,1.876,0.040,3.066,0.402,0.470,1.241,0.301,0.408,0.163,0.218,0.216,0.084,0.944,0.821,1.928,0.260,2.342,1.022,1.479,1.988,1.277,3.406,1.319,1.029,1.918,2.671,3.158,1.049,1.693,2.863,4.190
