Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Breast-GC1002975,1.983,0.000,0.000,0.850,3.567,0.000,2.648,2.313,3.631,25.826,15.820,4.202,39.161
Breast-GC1002976,7.042,0.360,0.000,2.971,3.299,0.035,4.203,2.627,7.381,25.490,6.042,2.458,38.092
Breast-GC1002977,0.000,0.000,0.000,0.000,0.000,0.000,10.304,3.083,4.720,0.000,13.444,15.277,53.170
Breast-GC1002978,2.097,0.000,0.000,0.806,6.994,0.000,3.115,5.505,0.159,24.352,22.099,4.655,30.216
Breast-GC1002979,4.983,1.213,0.000,1.063,2.941,0.044,3.985,0.189,3.196,16.436,14.469,4.263,47.217
Breast-GC1002980,0.000,0.000,0.000,0.000,4.441,0.000,3.148,7.690,0.000,30.885,14.245,3.785,35.805
Breast-GC1002981,2.234,0.000,0.000,1.525,3.132,0.000,2.893,3.754,0.159,24.122,17.266,3.553,41.363
Breast-GC1003967,0.820,0.000,0.000,0.609,3.338,0.000,1.214,4.937,0.000,33.635,18.824,4.558,32.064
Breast-GC1003968,4.401,0.000,0.000,2.303,4.744,0.015,2.212,2.342,7.239,28.619,10.886,2.289,34.949
Breast-GC1003970,0.420,0.174,0.000,1.990,2.968,0.000,2.980,0.000,3.981,19.097,32.020,3.007,33.363
Breast-GC1003971,1.282,1.098,0.000,0.960,4.005,0.021,1.766,9.496,1.979,29.039,21.839,7.870,20.645
Breast-GC1003972,3.159,0.646,0.000,1.062,4.430,0.073,3.137,0.074,5.421,30.936,22.166,3.624,25.272
Breast-GC1003974,0.854,0.641,0.161,0.000,3.472,0.730,1.349,1.595,1.420,18.752,16.729,2.763,51.535
Breast-GC1002311,0.918,0.000,0.000,0.994,3.572,0.000,2.385,4.701,0.775,30.322,19.197,4.069,33.066
Breast-GC1004006,0.359,0.000,0.000,0.166,2.799,0.000,5.534,6.343,0.000,27.733,17.431,4.168,35.467
Breast-GC1004007,1.766,0.750,0.000,1.705,3.799,0.000,3.851,5.592,0.000,34.517,15.036,6.268,26.715
Breast-GC1004008,0.176,0.281,0.000,1.560,4.098,0.004,4.141,1.879,0.000,22.479,11.331,3.927,50.124
Breast-GC1004009,3.328,0.000,0.000,1.355,5.335,0.000,1.785,0.000,0.479,24.030,11.378,1.996,50.315
Breast-GC110693,0.171,0.000,0.000,0.479,3.425,0.113,2.477,0.000,8.093,16.395,16.033,2.485,50.329
Breast-GC110694,0.780,0.528,0.000,0.316,3.774,0.000,3.782,2.769,3.221,28.438,15.509,2.915,37.967
Breast-GC110695,2.195,0.535,0.000,0.279,5.616,0.000,3.264,9.381,0.000,28.734,16.310,6.114,27.572
Breast-GC110696,0.044,0.530,0.000,0.350,3.488,0.000,6.131,7.393,0.000,28.361,16.349,4.756,32.597
Breast-GC116960,1.642,0.896,0.000,1.377,3.276,0.069,6.308,6.037,1.173,19.691,21.915,5.535,32.079
Breast-GC116963,0.043,0.827,0.000,0.000,2.716,0.000,1.384,3.928,0.000,16.228,6.714,2.239,65.921
