Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Breast-GC1002975,0.000,0.000,0.000,0.000,0.000,0.000,0.360,0.000,0.000,7.663,12.795,2.103,37.759,39.319
Breast-GC1002976,4.775,0.000,0.000,0.487,0.000,0.600,1.461,0.000,0.000,11.099,3.156,0.905,36.114,41.404
Breast-GC1002977,0.000,0.000,0.000,0.000,0.000,0.000,10.290,0.000,2.953,0.000,11.872,15.953,51.653,7.279
Breast-GC1002978,1.148,0.000,0.000,0.000,1.988,0.000,0.714,0.000,0.000,6.037,19.459,1.902,28.273,40.480
Breast-GC1002979,7.037,0.051,0.000,0.000,0.000,0.425,1.847,0.000,0.000,3.985,12.008,1.919,45.905,26.824
Breast-GC1002980,0.000,0.000,0.000,0.000,0.858,0.000,0.897,0.000,0.000,9.916,11.351,1.967,34.012,40.999
Breast-GC1002981,0.252,0.000,0.000,0.000,0.346,0.000,0.673,0.000,0.000,8.502,14.754,0.881,39.642,34.951
Breast-GC1003967,0.000,0.000,0.000,0.000,0.326,0.000,0.000,0.000,0.000,10.692,15.663,1.751,29.401,42.166
Breast-GC1003968,2.918,0.000,0.000,0.000,0.824,0.171,0.000,0.000,0.000,13.416,7.692,1.080,33.249,40.649
Breast-GC1003970,0.065,0.000,0.000,0.004,0.225,0.002,0.496,0.000,0.000,7.271,31.858,0.802,30.807,28.469
Breast-GC1003971,0.128,0.008,0.000,0.000,0.000,0.301,0.215,0.945,0.000,13.113,19.419,5.814,18.303,41.753
Breast-GC1003972,1.345,0.000,0.000,0.000,0.000,0.169,0.724,0.000,0.000,10.551,19.318,1.616,22.891,43.385
Breast-GC1003974,0.000,0.000,0.000,0.000,0.165,0.993,0.000,0.000,0.000,3.685,14.004,1.006,50.317,29.829
Breast-GC1002311,0.000,0.000,0.000,0.000,0.257,0.000,0.000,0.000,0.000,12.776,16.686,1.388,30.780,38.112
Breast-GC1004006,0.000,0.000,0.000,0.000,0.000,0.000,1.891,0.000,0.000,11.472,14.854,2.179,33.139,36.464
Breast-GC1004007,0.292,0.000,0.000,0.000,0.206,0.004,0.000,0.000,0.000,10.085,10.939,2.765,24.052,51.656
Breast-GC1004008,0.000,0.000,0.000,0.000,0.000,0.014,1.146,0.000,0.000,5.684,8.104,0.937,49.325,34.788
Breast-GC1004009,0.619,0.000,0.000,0.000,2.024,0.000,0.000,0.000,0.000,6.288,7.736,0.000,49.568,33.764
Breast-GC110693,0.000,0.000,0.000,0.000,0.645,0.077,0.918,0.000,0.202,7.389,13.756,2.003,49.074,25.935
Breast-GC110694,0.000,0.000,0.000,0.000,0.407,0.000,1.580,0.000,0.000,11.541,13.187,1.545,36.057,35.682
Breast-GC110695,0.412,0.000,0.000,0.000,1.111,0.000,0.565,0.000,0.000,10.738,13.020,3.715,25.408,45.031
Breast-GC110696,0.000,0.000,0.000,0.000,0.000,0.000,3.390,0.000,0.000,10.678,13.964,2.743,30.474,38.750
Breast-GC116960,0.525,0.000,0.000,0.000,0.000,0.291,4.595,0.000,0.000,8.019,19.608,3.617,30.027,33.317
Breast-GC116963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.840,4.478,0.920,65.605,26.157
Breast-GC116964,0.000,0.000,0.000,0.000,0.000,0.000,2.096,0.000,0.000,12.806,24.032,4.427,22.825,33.813
Breast-GC116965,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.885,10.768,2.067,19.051,52.229
Breast-GC116966,0.000,0.000,0.000,0.000,0.000,0.000,0.551,0.000,0.000,11.510,13.874,2.640,22.663,48.762
Breast-GC116967,0.783,0.000,0.000,0.000,1.036,0.221,0.167,0.000,0.000,9.549,19.133,3.067,27.388,38.655
Breast-GC116968,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.779,6.247,0.213,50.690,36.070
Breast-GC116969,0.000,0.000,0.000,0.000,0.000,0.000,0.527,0.000,0.000,5.606,7.892,1.304,56.460,28.210
Breast-GC116970,0.000,0.000,0.000,0.000,1.189,0.881,0.267,0.000,0.000,8.772,10.999,1.537,40.618,35.735
Breast-GC116971,1.695,0.000,0.000,0.000,0.000,0.000,3.199,0.000,0.000,13.494,9.557,2.689,28.565,40.800
Breast-GC110676,0.000,0.000,0.000,0.000,0.141,0.000,1.446,0.000,0.000,6.009,10.596,1.930,36.197,43.680
Breast-GC110678,1.630,0.000,0.000,0.000,0.492,1.598,0.637,0.000,0.000,9.151,22.637,2.940,26.737,34.177
Breast-GC110679,17.444,0.000,0.000,0.000,0.405,0.537,0.751,0.000,0.000,7.262,11.164,1.139,27.258,34.039
Breast-GC110680,0.000,0.000,0.000,0.000,0.186,0.000,0.488,0.000,0.000,11.893,13.088,0.000,40.524,33.820
Breast-GC110681,5.433,0.000,0.000,7.097,4.130,0.000,0.000,0.000,0.000,13.777,0.685,0.000,26.036,42.842
Breast-GC110682,0.000,0.000,0.000,0.000,1.686,0.002,2.416,0.000,0.000,8.634,13.817,1.616,34.486,37.343
Breast-GC110683,0.439,0.000,0.000,0.000,0.402,0.261,1.894,0.000,0.000,10.296,11.981,2.806,30.191,41.729
Breast-GC110684,0.000,0.000,0.000,0.000,1.481,0.090,3.309,0.000,0.000,9.600,16.587,1.811,40.740,26.382
Breast-GC110685,1.713,0.000,0.000,0.000,0.950,0.130,3.041,2.523,0.000,9.094,16.849,5.367,18.988,41.346
Ovarian-GC110686,0.000,0.000,0.000,0.000,0.876,0.000,0.643,0.000,0.000,23.182,6.699,2.496,22.656,43.447
Ovarian-GC114179,0.000,0.000,0.000,0.000,0.729,0.000,0.000,0.000,0.000,15.438,12.841,1.677,25.808,43.507
Ovarian-GC114180,0.000,0.000,0.000,0.000,0.194,0.085,1.258,0.000,0.000,8.550,14.846,3.008,22.328,49.729
