Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Breast-GC1002975,2.198,3.978,2.178,4.694,1.557,0.132,4.664,1.150,0.653,3.228,2.476,2.626,0.131,1.787,1.364,4.543,1.038,4.385,1.746,2.944,2.567,2.403,1.125,0.941,0.112,1.132,0.728,0.466,0.233,0.018,0.295,1.342,1.488,4.071,1.226,1.864,0.573,3.072,0.294,3.277,5.925,5.023,0.035,4.035,4.118,3.733,0.162,1.395,0.418,0.457
Breast-GC1002976,3.847,1.749,3.883,0.347,0.850,2.755,3.481,2.521,1.309,3.159,1.810,1.921,0.885,1.845,2.869,0.363,2.167,3.322,0.254,1.402,2.471,2.321,0.912,1.980,2.605,3.045,1.478,0.116,2.400,0.123,2.256,1.760,0.594,2.831,2.131,0.264,3.779,1.363,0.741,1.070,0.208,2.233,2.406,0.577,6.757,0.703,1.613,0.685,7.426,2.412
Breast-GC1002977,0.296,0.797,1.438,5.201,1.312,3.443,3.473,7.923,4.596,4.898,4.639,4.297,5.989,2.037,3.087,0.451,2.810,0.903,3.656,0.454,1.114,2.476,4.135,0.008,0.698,0.550,0.847,0.125,0.344,0.001,0.153,0.314,1.075,0.252,1.753,0.096,1.157,0.671,1.518,0.231,3.952,2.501,0.855,3.955,0.705,5.339,0.262,0.179,0.005,3.031
Breast-GC1002978,2.052,2.141,1.374,0.113,1.232,3.540,3.449,4.637,2.861,2.580,4.184,4.357,1.368,3.424,3.853,1.095,1.630,0.420,1.352,3.217,0.305,3.557,0.706,0.323,3.075,1.019,2.089,0.625,1.018,0.046,0.786,1.195,0.321,0.651,3.990,2.935,0.880,2.570,2.802,1.358,3.986,3.030,1.238,3.576,1.542,0.747,0.954,0.763,2.258,2.778
Breast-GC1002979,2.930,3.773,2.549,5.988,0.588,1.134,8.282,6.546,1.562,3.260,5.317,1.331,0.325,0.259,1.522,2.761,1.821,0.738,3.204,0.918,0.136,1.253,2.800,0.616,2.234,1.815,0.973,1.618,1.292,0.456,0.450,0.026,1.341,1.559,2.620,1.496,1.478,0.819,3.455,1.636,3.332,3.016,0.720,1.498,2.058,1.842,1.956,0.835,0.525,1.337
Breast-GC1002980,3.723,1.812,1.441,4.603,3.550,3.573,0.429,0.795,3.193,0.706,4.088,4.253,2.035,1.322,4.115,3.315,4.337,0.053,3.128,3.222,2.021,2.531,0.466,0.652,0.088,0.509,0.971,0.414,0.238,0.092,0.138,0.610,2.105,2.745,1.392,1.626,1.916,1.138,2.530,0.793,2.197,3.597,1.314,1.152,3.156,3.094,1.040,4.474,0.016,3.291
Breast-GC1002981,1.582,1.566,1.431,1.619,4.393,7.304,2.387,6.471,3.452,1.813,2.646,0.231,0.427,1.440,1.925,0.366,2.032,5.009,2.111,4.565,0.407,2.476,1.957,0.933,2.052,1.042,0.802,0.213,0.181,0.082,0.914,0.272,1.433,0.664,3.143,0.964,1.539,1.713,2.635,2.585,0.238,4.307,1.904,3.232,0.621,1.447,0.753,1.388,3.947,3.384
Breast-GC1003967,4.797,3.166,1.638,4.702,2.227,3.748,0.530,2.063,0.989,1.333,3.899,2.054,3.668,1.001,1.416,2.855,3.850,2.215,1.404,0.140,0.508,0.199,2.317,0.848,1.658,0.790,0.376,0.791,0.819,0.093,1.194,0.240,3.251,2.815,3.305,2.245,2.268,2.021,0.744,1.307,1.955,0.430,3.794,0.047,0.305,6.633,3.853,3.009,2.765,1.726
Breast-GC1003968,1.965,2.922,0.467,3.246,1.355,2.116,3.852,0.823,3.240,2.026,1.377,0.317,0.103,2.681,3.153,3.090,3.088,1.527,1.046,2.014,2.871,0.735,2.980,1.532,1.817,0.483,1.443,1.471,1.510,0.404,1.094,1.878,1.249,0.114,2.585,0.082,3.566,1.678,2.563,3.677,2.911,1.657,2.146,2.193,1.881,4.596,0.033,1.849,5.544,3.051
Breast-GC1003970,0.484,2.927,0.950,0.138,2.229,3.845,4.442,5.192,0.487,5.006,6.546,5.744,0.691,1.033,2.111,2.448,4.581,4.147,1.357,0.486,1.810,2.787,2.407,0.118,0.318,1.489,1.499,0.950,0.448,0.162,0.337,0.754,1.926,2.531,2.429,0.414,2.821,0.513,3.431,0.963,1.436,1.899,1.025,0.202,0.658,4.817,1.617,1.508,2.927,0.961
Breast-GC1003971,1.896,3.777,3.778,0.853,3.432,2.446,1.389,0.855,0.109,2.768,2.595,0.423,3.108,3.416,4.026,4.190,2.597,2.531,1.596,3.324,1.215,1.198,2.608,1.211,0.106,1.855,2.203,0.135,0.524,0.398,0.962,1.407,3.435,1.112,1.781,3.098,0.693,1.246,1.486,2.393,1.293,2.035,1.862,2.126,0.667,1.510,4.280,0.297,3.359,4.398
Breast-GC1003972,4.765,0.938,0.759,1.023,4.327,0.984,4.153,1.417,1.207,1.641,1.434,3.986,0.040,3.829,0.343,3.389,0.922,3.085,2.111,0.309,2.357,2.737,2.302,0.256,1.378,2.099,1.514,1.095,1.091,0.498,0.845,0.566,3.262,2.014,2.380,0.562,1.462,2.348,2.386,4.354,0.236,1.928,4.021,5.257,2.415,1.974,1.025,0.454,5.296,1.231
Breast-GC1003974,3.314,1.354,6.974,2.357,1.668,5.638,0.523,0.270,8.213,4.237,5.068,1.476,0.934,3.382,0.637,0.234,0.563,0.035,4.020,1.048,2.046,1.933,2.298,0.826,0.783,0.954,0.954,0.825,0.208,0.652,0.021,0.659,2.480,1.582,1.921,1.171,0.451,2.063,3.225,2.594,3.299,1.548,2.755,2.713,1.622,3.638,1.689,0.419,0.723,2.003
Breast-GC1002311,1.565,1.539,0.286,0.007,3.761,2.254,3.178,3.901,0.468,4.045,0.408,5.707,3.459,1.576,0.529,4.786,3.863,3.302,1.708,2.878,2.038,2.922,1.168,1.061,1.423,0.387,1.050,0.077,0.805,0.085,0.416,0.567,3.467,4.631,0.295,0.550,0.561,0.779,0.576,2.244,2.021,4.611,1.241,4.848,2.249,0.103,4.001,1.444,0.184,4.977
Breast-GC1004006,1.622,2.451,3.903,2.912,4.353,0.659,3.336,3.664,0.468,4.300,3.661,3.361,3.421,0.753,1.873,1.622,3.712,2.907,2.361,1.040,0.230,3.382,0.407,0.916,0.009,0.876,0.186,0.975,0.737,0.040,0.499,1.290,3.471,1.721,1.490,2.505,0.504,1.073,2.330,3.670,0.710,0.213,2.213,0.240,5.666,0.149,1.836,3.988,4.960,1.336
Breast-GC1004007,3.069,1.519,2.693,0.255,1.423,2.471,0.959,1.282,2.926,0.627,3.475,2.562,3.708,0.392,0.487,1.696,0.710,3.128,4.071,1.901,3.349,1.126,0.909,1.254,1.580,1.411,2.049,0.708,1.117,0.169,1.174,1.098,3.013,2.861,3.042,1.641,0.848,3.164,4.195,0.498,2.285,2.096,4.169,4.549,0.463,3.080,1.456,2.753,1.860,2.730
Breast-GC1004008,3.251,2.597,4.528,2.362,0.419,4.901,3.823,7.488,1.681,2.817,3.550,1.384,2.558,1.424,2.497,3.071,0.147,2.396,2.489,2.251,0.258,1.786,2.741,0.599,0.858,1.106,0.169,0.431,0.445,0.136,0.244,0.838,2.296,2.385,2.039,1.958,1.454,2.024,1.023,2.183,3.812,1.700,0.699,0.950,0.101,4.676,1.792,4.162,1.119,0.384
Breast-GC1004009,2.766,0.570,3.328,2.228,4.462,3.750,4.630,0.129,4.882,3.215,4.001,1.311,0.728,1.532,1.497,1.689,2.462,1.867,1.072,2.418,0.255,2.557,1.055,0.848,1.539,0.238,1.153,1.316,0.865,0.286,1.351,0.525,1.998,2.902,2.892,0.726,0.510,2.464,1.893,2.525,2.551,2.322,0.526,3.832,3.010,1.547,4.488,0.551,4.645,0.095
Breast-GC110693,2.735,2.801,4.346,1.031,2.989,0.087,3.954,2.947,3.511,0.430,4.027,1.063,2.530,0.796,2.292,2.154,2.524,2.293,2.832,1.588,1.128,0.809,1.367,0.927,1.322,1.135,1.317,0.622,1.257,0.174,1.027,1.939,1.608,3.755,1.198,3.004,1.583,1.902,0.471,1.796,0.433,4.120,2.648,2.185,1.072,4.978,1.945,2.426,3.720,1.203
