Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Breast-GC1002975,2.598,3.833,10.292,6.934,11.092,2.030,0.000,5.463,0.000,8.392,2.420,0.000,0.000,1.826,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.663,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.497,0.000,0.000,0.000,0.000,0.000,33.701,9.375,0.881,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breast-GC1002976,1.959,4.464,11.848,7.595,2.174,6.025,0.000,3.742,0.000,3.351,0.000,0.000,0.655,0.380,0.000,0.000,0.000,0.000,0.000,0.000,2.711,0.000,0.105,0.000,0.000,1.469,2.230,0.000,2.422,0.000,0.901,0.721,0.000,0.000,0.599,0.000,0.000,0.000,0.000,0.000,36.342,10.306,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breast-GC1002977,0.000,1.820,9.599,17.436,0.000,23.246,0.000,2.978,0.000,4.313,6.105,0.000,11.080,5.535,0.000,0.000,0.000,0.000,0.000,0.000,10.053,0.000,0.651,0.000,0.000,0.000,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breast-GC1002978,1.402,3.499,9.731,6.169,5.051,6.049,0.000,0.000,0.000,6.844,9.108,0.000,0.000,1.916,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.406,0.420,3.661,0.000,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.387,0.677,0.000,0.000,0.000,0.000,0.000,32.824,8.864,0.545,0.000,0.000,0.000,0.000,2.397,0.000,0.000
Breast-GC1002979,3.755,0.747,19.211,16.045,2.084,0.000,0.000,5.696,0.000,4.993,3.029,0.000,0.000,1.238,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.747,0.468,0.000,0.000,1.168,3.145,0.818,0.043,0.000,0.000,0.000,0.385,0.044,0.000,0.000,0.000,0.000,0.215,16.111,6.393,0.000,0.000,0.000,0.000,0.000,13.663,0.000,0.000
Breast-GC1002980,4.704,3.584,15.458,3.669,2.450,9.142,0.000,0.456,0.000,7.279,1.739,0.000,0.000,2.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.794,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.349,0.000,0.000,0.000,0.000,0.000,38.357,9.853,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breast-GC1002981,2.898,3.390,9.758,13.088,1.748,7.536,0.000,5.209,0.000,7.413,5.042,0.000,0.000,0.902,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.317,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.226,0.000,0.000,0.000,0.000,0.000,28.682,8.976,0.593,0.000,0.000,3.668,0.000,0.000,0.551,0.000
Breast-GC1003967,3.343,6.707,2.569,12.299,3.519,8.356,0.000,0.000,0.514,10.242,1.446,0.000,0.000,2.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.355,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.498,0.000,0.000,0.000,0.000,0.000,40.567,7.551,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breast-GC1003968,4.179,5.348,11.303,8.660,5.995,1.574,0.000,2.342,0.000,1.506,4.794,0.000,0.000,1.844,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.096,0.000,0.000,0.000,1.649,0.000,0.000,0.665,0.000,0.000,0.000,0.000,1.155,0.000,0.000,0.000,0.000,0.000,41.043,6.843,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breast-GC1003970,2.650,0.000,7.858,10.471,0.000,1.265,0.355,4.329,0.000,11.870,6.321,6.666,0.000,0.979,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.408,0.000,0.000,0.000,0.219,0.039,0.000,0.024,0.000,0.000,0.000,0.000,0.179,0.000,0.000,0.000,0.083,0.000,13.520,3.537,0.000,0.000,0.000,0.000,25.981,2.245,0.000,0.000
