Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Breast-GC1002975,1.925,4.339,13.916,4.805,10.250,2.405,0.000,4.665,0.000,7.429,3.593,0.000,0.000,1.806,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.474,0.000,0.000,0.000,0.187,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.191,0.000,0.000,0.000,0.000,0.000,44.011
Breast-GC1002976,2.646,3.953,14.283,9.409,3.074,3.610,0.000,2.411,0.000,2.944,0.281,0.000,0.000,1.227,0.000,0.000,0.000,0.000,0.000,0.000,3.072,0.000,0.000,0.000,0.000,1.009,1.874,0.000,2.105,0.000,1.242,0.880,0.000,0.000,0.723,0.000,0.000,0.000,0.019,0.000,45.235
Breast-GC1002977,0.000,0.306,20.602,13.667,0.000,17.466,0.000,1.055,0.000,3.609,5.811,0.000,15.043,3.141,0.000,0.000,0.000,0.000,0.000,0.000,7.614,2.002,0.000,0.000,0.000,0.000,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.570
Breast-GC1002978,3.068,1.736,12.511,2.747,8.449,3.884,0.000,0.000,0.000,5.037,11.568,0.000,0.000,1.822,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.326,0.196,2.772,0.000,0.413,0.000,0.000,0.000,0.000,0.000,0.000,0.225,1.023,0.000,0.000,0.000,0.000,0.000,44.221
Breast-GC1002979,3.131,1.743,18.136,20.807,0.955,0.000,0.000,4.945,0.000,4.736,4.560,0.000,0.000,1.616,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.864,0.023,0.000,0.000,1.460,5.533,1.080,0.000,0.000,0.000,0.000,0.328,0.000,0.000,0.000,0.000,0.000,0.481,29.600
Breast-GC1002980,3.195,5.365,18.001,1.305,1.498,8.787,0.000,2.058,0.000,5.292,3.590,0.000,0.000,1.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.746,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.544,0.000,0.000,0.000,0.000,0.000,47.800
Breast-GC1002981,4.301,3.022,13.364,10.864,4.072,6.759,0.000,2.838,0.000,6.197,6.781,0.000,0.000,1.164,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.429,0.000,0.000,0.000,0.110,0.000,0.000,0.000,0.298,0.000,0.000,0.000,0.265,0.000,0.000,0.000,0.000,0.000,39.533
Breast-GC1003967,3.344,5.085,13.886,0.000,4.599,6.475,0.000,0.573,1.386,9.857,3.364,0.000,0.000,2.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.251,0.000,0.000,0.000,0.000,0.000,48.996
Breast-GC1003968,4.036,5.832,13.092,6.995,6.458,0.000,0.000,3.300,0.000,0.000,6.546,0.000,0.000,1.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.792,0.000,0.000,0.000,0.955,0.000,0.000,0.426,0.367,0.661,0.000,0.575,0.520,0.000,0.000,0.000,0.000,0.000,47.773
Breast-GC1003970,4.655,0.129,6.840,7.894,3.394,3.971,0.000,6.922,0.000,9.431,14.016,8.278,0.320,1.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.567,0.000,0.000,0.000,0.988,0.000,0.000,0.000,0.336,0.000,0.000,0.235,0.003,0.000,0.000,0.000,0.042,0.000,29.815
Breast-GC1003971,6.748,4.431,13.450,0.000,0.013,2.194,0.000,0.074,1.654,11.092,4.785,0.000,2.986,2.663,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.676,0.000,0.000,0.000,0.216,0.000,0.224,0.211,0.868,0.000,0.000,0.000,0.265,0.000,0.000,0.000,0.032,0.000,47.414
Breast-GC1003972,4.305,5.011,13.540,0.552,0.000,6.700,0.000,0.000,0.511,5.284,10.854,0.000,0.000,2.245,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.582,0.000,0.000,0.379,1.213,0.000,0.000,0.000,0.238,0.000,0.000,0.000,0.438,0.000,48.082
Breast-GC1003974,3.387,0.383,20.081,13.228,2.690,10.981,0.000,2.411,0.346,6.849,4.522,0.000,0.000,1.597,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.809,0.000,0.000,0.000,0.000,0.000,0.000,0.703,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.665,0.000,31.345
Breast-GC1002311,1.456,8.665,11.703,4.712,7.799,0.000,0.000,4.918,0.000,5.358,8.414,0.000,0.000,1.530,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.431,0.000,0.000,0.000,0.251,0.000,0.000,0.000,0.162,0.000,0.000,0.000,0.519,0.000,0.000,0.000,0.000,0.000,44.079
Breast-GC1004006,1.814,6.369,2.843,12.802,0.000,2.707,0.000,15.817,0.000,5.767,4.463,0.000,0.000,2.619,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.492,1.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.000,0.000,0.000,0.090,0.000,42.785
Breast-GC1004007,3.670,9.338,6.407,4.280,5.807,4.936,0.000,0.000,0.089,8.578,0.000,0.000,0.000,2.095,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.171,0.000,0.000,0.000,0.914,0.000,0.000,0.042,0.000,0.558,0.000,0.000,0.694,0.000,0.000,0.000,0.000,0.000,52.417
Breast-GC1004008,2.447,4.118,17.076,13.343,0.000,3.343,0.000,13.018,0.000,2.574,5.052,0.000,0.000,0.812,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.739,0.507,0.000,0.000,0.000,0.000,0.000,0.000,0.075,0.000,0.000,0.000,0.000,0.635,0.000,0.000,0.000,0.000,0.000,36.260
Breast-GC1004009,2.053,0.000,18.417,12.713,6.603,7.919,0.015,1.980,0.000,7.186,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.198,0.000,0.000,0.089,1.214,0.346,0.000,0.000,1.849,0.000,0.000,0.000,0.441,0.000,37.976
Breast-GC110693,2.877,0.000,22.633,12.259,3.427,2.609,0.000,6.326,0.000,4.180,6.471,0.000,1.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.484,0.000,0.000,0.000,0.000,0.000,0.168,0.000,0.000,0.000,0.000,0.778,0.000,0.000,0.000,0.000,0.000,0.000,35.486
Breast-GC110694,5.820,1.813,11.635,8.940,3.827,2.248,0.000,7.351,0.000,7.796,3.282,0.000,0.000,2.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.144,0.000,0.000,0.000,0.165,0.000,0.000,0.000,0.000,0.057,0.000,0.000,0.337,0.000,0.000,0.000,0.000,0.000,43.381
Breast-GC110695,10.304,0.000,9.221,6.999,0.000,4.541,0.000,3.119,0.000,0.000,11.720,0.000,0.000,3.274,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.295,0.090,0.000,0.000,0.210,0.117,0.000,0.000,0.157,0.047,0.000,0.000,1.221,0.000,0.000,0.000,0.000,0.000,47.683
Breast-GC110696,3.690,5.729,18.248,4.548,0.000,0.000,0.000,2.810,2.732,2.879,8.525,0.000,0.000,3.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,3.674,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,43.831
Breast-GC116960,5.084,1.175,13.498,7.541,0.000,4.256,0.000,1.150,1.660,8.291,10.233,0.000,0.712,2.498,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.085,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.000,0.000,0.000,0.000,0.488,0.000,0.000,0.000,0.559,0.000,39.169
Breast-GC116963,1.784,0.000,19.324,19.483,13.460,1.812,0.000,10.378,0.000,1.037,2.971,0.000,0.000,0.580,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.311,0.000,0.000,0.000,0.000,0.000,0.000,28.710
Breast-GC116964,6.810,3.673,12.761,0.856,1.923,0.000,0.000,5.664,0.000,15.226,6.665,0.000,0.000,3.662,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.207,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.212,0.332,0.000,0.000,0.000,0.000,0.000,40.008
Breast-GC116965,6.048,7.457,11.076,0.000,0.144,4.690,0.000,0.000,0.000,5.177,2.654,0.000,0.000,2.806,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.565,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.322,0.000,0.000,0.000,0.000,0.000,59.058
Breast-GC116966,5.676,4.761,12.893,0.000,0.438,4.610,0.000,2.016,0.000,3.465,8.516,0.000,0.000,2.947,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.852,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,53.825
Breast-GC116967,5.022,2.616,12.004,0.752,0.000,9.266,0.000,3.249,0.000,7.728,10.122,0.000,0.000,3.329,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.831,0.000,0.000,0.000,0.000,0.000,0.000,0.297,0.000,0.102,0.000,0.000,1.037,0.000,0.000,0.000,0.210,0.167,43.267
Breast-GC116968,5.559,0.000,20.446,6.219,4.527,10.481,0.000,6.755,0.000,2.181,1.820,0.000,0.000,0.680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,41.330
Breast-GC116969,3.178,1.234,13.353,17.616,5.843,7.101,0.000,10.947,0.000,7.118,0.000,0.000,0.000,1.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.180,0.000,0.000,0.000,0.000,0.000,31.188
Breast-GC116970,1.633,5.934,18.390,0.000,2.971,9.017,0.000,8.504,0.000,5.828,3.310,0.000,0.000,1.213,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.707,0.000,0.000,0.000,0.490,0.000,0.000,0.900,0.486,0.000,0.000,0.000,1.031,0.000,0.000,0.000,0.000,0.060,39.524
Breast-GC116971,8.929,1.650,13.326,4.341,0.408,5.991,0.000,0.532,1.244,4.866,3.386,0.000,0.000,2.942,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.576,0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.054,0.000,0.000,0.000,0.623,0.000,49.039
Breast-GC110676,5.737,0.805,15.272,2.665,11.209,0.540,0.000,4.976,0.000,1.703,6.948,0.000,0.000,2.641,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.773,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.301,0.000,0.000,0.000,0.000,0.000,45.426
Breast-GC110678,3.495,5.688,13.025,8.400,0.619,1.692,0.000,0.000,1.979,8.477,11.626,0.000,0.095,2.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.927,0.000,0.000,0.000,0.137,0.000,1.724,0.434,0.273,0.000,0.000,0.000,0.569,0.000,0.000,0.000,1.118,0.264,36.857
Breast-GC110679,3.735,2.446,11.573,6.131,0.000,2.452,0.000,3.584,0.749,3.031,4.750,0.213,0.000,1.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.392,9.847,0.548,0.681,3.175,2.054,1.282,0.265,0.000,0.000,0.000,0.000,0.320,0.000,0.000,0.000,0.185,0.382,41.193
Breast-GC110680,2.373,6.040,18.324,5.532,0.000,7.345,0.000,7.141,0.000,7.556,1.758,0.000,0.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.427,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.607,0.000,0.000,0.894,0.000,0.000,0.000,0.000,0.000,41.795
Breast-GC110681,0.895,6.019,12.955,6.936,0.000,1.414,0.000,1.551,0.000,0.000,0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.352,5.561,1.687,0.000,0.000,0.000,10.109,0.093,0.000,2.571,0.445,0.075,0.000,0.000,0.000,0.000,34.176
Breast-GC110682,3.729,2.090,11.475,6.400,9.373,0.000,0.000,6.220,0.000,1.540,10.961,0.000,0.000,2.555,0.000,0.000,0.000,0.000,0.000,0.000,2.721,0.222,0.985,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.225,0.000,0.000,0.000,0.755,0.000,0.000,0.000,1.166,0.000,39.569
Breast-GC110683,6.580,2.416,9.738,0.000,4.007,8.395,0.000,6.330,0.000,10.713,1.114,0.000,0.000,3.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.512,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.174,0.000,0.131,0.000,0.000,0.971,0.000,0.000,0.000,0.819,0.000,43.617
Breast-GC110684,7.562,0.000,16.930,3.262,2.791,8.017,0.000,7.692,0.000,6.767,8.524,0.000,0.090,1.588,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.812,0.000,0.000,0.000,0.000,0.000,0.000,0.148,0.000,0.000,0.000,0.000,0.753,0.000,0.000,0.000,0.236,0.000,32.825
Breast-GC110685,2.416,5.964,6.555,2.185,0.000,2.843,0.000,4.033,1.664,5.420,9.926,0.000,5.138,1.417,0.000,0.000,0.000,0.000,0.000,0.000,1.571,1.200,0.116,0.000,0.000,0.000,0.459,0.000,1.348,0.000,0.360,0.445,0.000,0.615,0.000,0.000,0.000,0.000,0.291,0.000,46.033
Ovarian-GC110686,5.552,12.081,18.660,0.000,0.000,0.796,0.000,1.321,0.000,0.000,4.501,0.000,0.000,2.946,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.882,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.268,0.000,0.000,0.000,0.000,0.000,52.989
Ovarian-GC114179,3.127,10.141,18.599,0.000,2.137,0.000,0.000,1.380,0.000,12.277,0.000,0.000,0.000,1.950,0.000,0.000,0.000,0.000,0.000,0.000,0.411,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.487,0.000,0.000,2.728,0.000,0.000,0.000,0.000,0.000,46.762
Ovarian-GC114180,7.546,4.174,13.141,3.150,0.700,4.279,0.000,0.248,0.000,6.549,4.333,0.000,0.000,3.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.412,0.136,0.000,0.000,0.000,0.000,0.000,0.378,0.000,0.000,0.000,0.000,0.138,0.000,0.000,0.000,0.000,0.000,49.369
