Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Breast-GC1002975,6.657,11.571,16.146,7.666,11.153,3.003,0.000,1.854,0.000,10.471,6.113,0.000,0.355,4.917,0.000,0.000,0.318,4.774,0.000,0.413,0.000,0.000,3.487,0.000,0.000,0.000,1.833,0.000,0.000,0.000,0.000,1.580,0.000,0.170,2.404,0.000,0.361,0.000,3.088,1.669
Breast-GC1002976,5.528,9.047,15.938,10.440,8.539,1.250,0.000,1.760,0.000,3.744,5.229,0.000,0.040,3.742,0.239,2.533,0.000,0.000,3.715,1.745,3.835,0.337,0.531,0.000,0.689,2.160,2.862,0.000,2.379,0.000,1.659,2.710,0.000,0.000,3.162,0.560,0.486,0.078,4.162,0.903
Breast-GC1002977,0.000,6.378,22.798,13.288,0.356,16.104,0.000,0.805,0.000,7.832,4.781,0.000,13.455,3.529,0.000,0.000,0.000,0.000,0.000,0.000,7.180,2.128,0.000,0.000,0.000,0.000,0.606,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.761,0.000
Breast-GC1002978,8.123,9.456,14.387,7.739,7.018,0.851,0.000,0.626,1.249,9.557,12.922,0.000,1.758,3.698,0.000,1.166,0.000,2.480,0.000,1.135,0.000,0.000,3.515,0.400,2.510,0.000,1.969,0.000,0.000,0.000,0.242,1.578,0.000,1.216,2.349,0.000,0.553,0.000,1.466,2.037
Breast-GC1002979,5.228,7.150,22.141,18.128,3.176,0.000,0.479,3.309,0.741,7.327,6.815,0.000,2.628,1.474,0.000,0.000,0.000,2.098,0.000,1.772,0.000,0.000,3.231,0.493,0.078,0.771,2.775,0.811,1.012,0.000,0.790,0.429,0.000,0.935,1.189,0.102,0.282,0.000,1.276,3.359
Breast-GC1002980,9.889,13.998,20.323,4.343,5.223,4.879,0.000,1.062,0.504,7.462,8.448,0.000,0.000,5.516,0.000,0.000,0.000,5.121,0.000,0.883,0.000,0.000,3.755,0.000,0.000,0.000,0.963,0.000,0.000,0.000,0.000,0.956,0.000,0.228,2.809,0.000,0.000,0.139,1.987,1.514
Breast-GC1002981,7.635,9.710,16.275,13.369,5.759,4.087,0.000,1.045,1.039,9.286,9.091,0.000,0.000,4.284,0.000,0.529,0.000,3.936,0.000,0.000,0.000,0.000,3.234,0.000,0.000,0.000,1.821,0.000,0.000,0.000,0.824,1.249,0.000,0.099,2.499,0.000,0.965,0.000,1.860,1.406
Breast-GC1003967,8.651,14.102,12.428,1.548,5.813,4.299,1.585,0.000,6.357,8.732,10.964,0.000,0.000,4.956,0.000,0.772,0.000,2.324,0.000,2.758,0.000,0.000,3.426,0.405,0.000,0.000,0.895,0.000,0.000,0.000,0.905,0.897,0.000,0.889,2.140,0.000,0.000,0.296,1.576,3.283
Breast-GC1003968,7.278,13.811,13.089,11.362,6.971,1.571,1.310,0.247,0.000,1.167,10.952,0.359,0.000,4.447,0.000,0.000,0.000,3.025,0.000,4.936,0.382,0.000,3.601,0.002,0.852,0.041,2.738,0.000,0.272,0.563,1.233,1.269,0.000,1.636,2.479,1.014,0.000,0.000,0.340,3.053
Breast-GC1003970,3.925,7.678,8.925,10.437,5.741,0.000,1.035,6.803,0.167,9.654,18.535,3.455,4.639,0.000,4.383,0.000,0.000,0.000,0.000,1.076,0.000,0.000,3.486,0.000,0.000,0.000,2.434,0.047,0.000,0.000,1.225,0.539,0.000,0.826,1.417,0.000,0.530,0.000,1.177,1.868
