Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Breast-GC1002975,0.273,37.868,3.375,0.001,3.541,1.073,1.753,1.033,3.519,5.605,13.180,3.623,25.155
Breast-GC1002976,2.586,29.350,7.373,0.004,6.431,5.193,3.830,4.080,1.473,3.130,5.631,4.432,26.487
Breast-GC1002977,0.055,20.148,1.068,0.000,1.466,0.343,7.993,0.127,0.344,0.372,4.082,15.135,48.868
Breast-GC1002978,1.884,37.681,3.318,0.001,5.874,1.453,1.747,3.295,2.204,2.769,19.123,3.423,17.226
Breast-GC1002979,4.355,24.868,2.711,0.625,3.499,0.741,1.974,3.548,4.954,3.354,8.678,2.029,38.665
Breast-GC1002980,0.012,42.615,1.395,0.000,2.543,0.038,1.240,5.244,7.197,5.075,12.588,1.972,20.080
Breast-GC1002981,0.193,32.998,3.167,0.000,3.128,1.195,1.468,2.186,3.795,5.823,15.279,2.225,28.542
Breast-GC1003967,0.141,41.593,3.506,0.011,4.581,1.485,1.650,1.662,3.402,7.570,14.917,3.353,16.128
Breast-GC1003968,1.501,36.299,5.550,0.318,5.582,3.004,2.162,3.708,4.322,5.545,8.176,3.215,20.619
Breast-GC1003970,1.317,21.154,3.103,0.003,3.793,1.881,2.377,1.876,3.075,4.906,29.648,3.365,23.501
Breast-GC1003971,0.605,36.322,4.012,0.341,4.245,2.173,1.878,7.378,0.041,7.836,18.278,7.869,9.021
Breast-GC1003972,1.153,42.233,3.952,0.776,4.361,1.569,1.337,5.475,0.527,6.043,18.860,4.438,9.275
Breast-GC1003974,0.487,28.570,3.465,0.963,3.219,1.676,2.026,1.377,1.996,1.169,11.324,3.392,40.336
Breast-GC1002311,0.107,41.072,1.964,0.000,2.853,0.701,1.219,4.740,3.336,7.543,15.846,2.383,18.236
Breast-GC1004006,0.039,33.912,4.064,0.000,4.131,1.171,3.001,2.345,3.398,5.825,13.303,4.478,24.333
Breast-GC1004007,0.840,45.965,4.445,0.013,4.830,2.050,2.096,0.908,6.124,8.537,12.117,3.390,8.686
Breast-GC1004008,0.083,31.525,2.483,0.172,2.942,0.642,2.836,0.340,8.111,5.899,5.523,0.531,38.913
Breast-GC1004009,1.198,27.922,4.793,0.043,5.814,2.507,1.283,2.993,0.967,1.052,9.927,1.524,39.978
Breast-GC110693,0.444,26.040,6.563,0.029,6.733,3.546,3.129,0.104,1.791,1.941,7.813,3.712,38.155
Breast-GC110694,0.411,36.416,2.929,0.001,3.602,1.279,2.091,0.301,7.565,4.892,14.130,2.759,23.624
Breast-GC110695,0.931,43.261,5.880,0.000,6.876,3.540,3.075,1.691,1.347,5.477,9.308,5.968,12.647
Breast-GC110696,0.059,38.039,3.002,0.000,3.961,1.069,4.607,1.021,6.919,7.267,11.508,3.982,18.564
Breast-GC116960,0.527,30.293,4.227,0.177,4.493,2.018,4.025,3.282,4.099,3.986,18.469,4.528,19.877
Breast-GC116963,0.007,25.290,1.933,0.034,2.239,0.147,1.001,4.103,0.693,1.129,6.368,1.548,55.509
Breast-GC116964,0.275,39.242,7.459,0.000,8.984,5.081,3.452,0.025,0.090,4.087,14.188,6.775,10.342
Breast-GC116965,0.398,51.751,3.122,0.000,4.923,1.253,1.181,4.395,6.544,9.575,9.160,3.705,3.993
Breast-GC116966,0.044,51.205,1.996,0.000,2.660,0.108,1.703,2.676,6.327,7.783,18.264,3.669,3.564
Breast-GC116967,0.389,39.193,6.053,0.000,6.611,3.396,2.432,1.258,2.496,2.477,14.673,5.830,15.191
Breast-GC116968,0.390,34.889,3.020,0.041,2.756,0.793,1.168,3.637,1.921,4.468,6.534,2.168,38.215
Breast-GC116969,0.064,28.933,2.694,0.000,3.267,0.492,1.762,2.927,0.905,4.034,7.829,2.639,44.454
Breast-GC116970,0.366,31.817,3.913,0.187,4.132,1.764,1.820,4.201,3.672,3.353,12.456,2.489,29.830
Breast-GC116971,0.373,38.657,3.302,0.093,3.207,0.657,3.204,5.077,7.715,6.483,12.274,3.331,15.627
Breast-GC110676,0.087,41.218,3.499,0.312,4.184,1.058,2.874,2.273,2.307,5.156,10.029,3.846,23.157
Breast-GC110678,1.050,27.503,4.760,0.900,4.727,2.443,2.533,7.267,3.194,0.081,23.239,4.479,17.825
Breast-GC110679,12.633,32.247,4.854,1.145,4.680,1.875,2.434,2.618,3.272,4.527,10.154,2.898,16.664
Breast-GC110680,0.079,36.841,4.420,0.000,5.402,2.125,1.689,0.621,2.986,6.398,9.495,1.999,27.945
Breast-GC110681,7.863,30.295,11.338,0.000,19.815,14.113,0.266,0.001,0.018,1.246,0.493,2.402,12.150
