Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Breast-GC1002975,0.000,0.000,0.000,0.000,0.000,0.000,0.714,0.000,0.000,7.786,13.454,2.123,37.646,38.277
Breast-GC1002976,2.418,0.000,0.000,2.064,0.144,0.255,2.420,0.000,0.000,8.119,4.550,1.405,34.723,43.903
Breast-GC1002977,0.000,0.000,0.000,0.000,0.000,0.000,9.477,0.000,0.000,0.000,9.813,16.512,53.404,10.794
Breast-GC1002978,1.208,0.000,0.000,0.000,1.524,0.000,0.519,0.000,0.000,6.715,20.248,2.222,29.119,38.445
Breast-GC1002979,5.670,0.106,0.000,0.000,0.137,0.407,1.029,0.000,0.000,5.659,11.460,1.633,46.669,27.229
Breast-GC1002980,0.000,0.000,0.000,0.000,0.223,0.000,0.892,0.000,0.000,11.137,12.111,1.976,33.717,39.944
Breast-GC1002981,0.000,0.000,0.000,0.000,0.000,0.000,0.688,0.000,0.000,9.335,15.289,1.360,39.370,33.958
Breast-GC1003967,0.000,0.000,0.000,0.000,0.000,0.000,0.256,0.000,0.000,9.874,15.986,2.240,28.382,43.261
Breast-GC1003968,0.902,0.000,0.000,0.603,0.752,0.246,0.849,0.000,0.000,11.005,8.629,1.745,31.640,43.630
Breast-GC1003970,0.336,0.000,0.000,0.115,0.038,0.000,1.629,0.000,0.000,5.708,30.893,1.568,31.605,28.108
Breast-GC1003971,0.000,0.000,0.000,0.428,0.000,0.236,0.790,0.000,0.000,12.776,17.945,5.988,19.249,42.587
Breast-GC1003972,0.599,0.000,0.000,0.000,0.234,0.167,0.199,0.000,0.000,10.854,18.416,2.385,22.971,44.175
Breast-GC1003974,0.000,0.334,0.000,0.000,0.000,0.667,0.943,0.000,0.000,4.711,13.560,1.757,50.748,27.279
Breast-GC1002311,0.000,0.000,0.000,0.015,0.192,0.000,0.426,0.000,0.000,12.688,16.309,1.682,30.809,37.878
Breast-GC1004006,0.000,0.000,0.000,0.000,0.039,0.000,1.933,0.000,0.000,9.314,12.550,2.796,34.065,39.303
Breast-GC1004007,0.258,0.000,0.000,0.000,0.343,0.000,0.304,0.000,0.000,14.784,10.943,2.303,23.608,47.456
Breast-GC1004008,0.000,0.000,0.000,0.000,0.403,0.000,1.610,0.000,0.000,8.545,8.855,1.038,48.127,31.421
Breast-GC1004009,0.594,0.000,0.000,0.769,1.288,0.000,0.000,0.000,0.000,3.137,8.227,0.000,49.427,36.558
Breast-GC110693,0.000,0.000,0.000,0.000,0.384,0.000,1.608,0.000,0.000,4.289,12.128,1.346,48.716,31.530
Breast-GC110694,0.000,0.000,0.000,0.000,0.000,0.000,1.370,0.000,0.000,9.185,13.443,2.474,35.411,38.116
Breast-GC110695,0.091,0.000,0.000,0.000,0.804,0.000,1.428,0.000,0.000,11.995,13.522,3.452,25.772,42.936
