Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Breast-GC1002975,3.770,1.735,2.112,0.000,5.095,4.049,4.423,0.000,0.000,17.145,15.145,6.845,39.682
Breast-GC1002976,7.727,1.843,3.629,0.000,6.168,7.927,6.271,0.000,0.000,14.153,7.144,6.943,38.193
Breast-GC1002977,2.477,0.000,1.461,0.000,1.884,2.627,9.713,0.000,0.000,3.237,8.408,16.607,53.586
Breast-GC1002978,5.404,0.634,2.606,0.000,6.339,4.338,4.369,0.000,0.000,16.331,21.158,6.872,31.947
Breast-GC1002979,6.351,3.348,1.294,0.000,3.350,2.688,3.983,0.000,0.000,12.375,13.750,5.069,47.793
Breast-GC1002980,2.001,2.288,1.104,0.000,4.698,2.279,4.485,0.000,0.000,24.256,15.411,7.128,36.350
Breast-GC1002981,3.311,1.437,2.067,0.000,4.389,3.682,3.927,0.000,0.000,16.821,17.590,5.514,41.264
Breast-GC1003967,3.684,1.109,2.444,0.000,6.023,4.833,4.436,0.000,0.000,21.456,17.706,6.858,31.451
Breast-GC1003968,5.899,0.017,3.404,0.000,7.057,5.706,5.210,0.000,0.000,20.327,11.053,6.634,34.692
Breast-GC1003970,4.193,1.486,1.619,0.000,4.008,3.460,4.384,0.000,0.000,11.974,30.655,5.680,32.541
Breast-GC1003971,3.767,2.672,2.133,0.000,5.215,5.124,4.708,0.000,0.000,19.587,22.237,11.400,23.156
Breast-GC1003972,5.111,1.819,2.505,0.000,5.597,5.360,3.901,0.000,0.000,20.651,20.698,8.374,25.984
Breast-GC1003974,3.297,0.947,2.819,0.000,3.992,4.076,4.020,0.000,0.000,10.622,12.529,5.965,51.731
Breast-GC1002311,3.237,2.250,1.247,0.000,4.774,3.441,4.106,0.000,0.000,21.512,19.265,6.255,33.913
Breast-GC1004006,3.342,2.013,2.582,0.000,5.119,4.225,5.694,0.000,0.000,16.923,15.554,7.571,36.976
Breast-GC1004007,5.957,0.542,2.675,0.000,6.452,5.817,5.488,0.000,0.000,23.776,14.209,7.622,27.462
Breast-GC1004008,1.652,1.725,1.702,0.000,4.922,3.138,4.957,0.000,0.000,16.052,11.919,4.742,49.190
Breast-GC1004009,4.764,3.395,1.825,0.000,6.406,5.047,2.854,0.000,0.000,9.352,12.442,3.144,50.769
Breast-GC110693,4.243,0.000,4.342,0.000,7.065,6.229,5.389,0.000,0.000,6.637,11.398,5.417,49.280
Breast-GC110694,4.071,2.676,1.401,0.000,4.383,3.819,4.851,0.000,0.000,17.456,15.442,7.385,38.515
Breast-GC110695,6.209,0.000,3.951,0.000,7.978,6.934,6.191,0.000,0.000,18.441,13.132,8.354,28.810
Breast-GC110696,3.048,0.858,2.407,0.000,5.264,4.262,7.710,0.000,0.000,20.178,16.260,8.063,31.951
Breast-GC116960,3.681,1.208,2.636,0.000,5.193,4.225,6.718,0.000,0.000,14.822,22.057,8.068,31.391
Breast-GC116963,0.888,3.250,0.930,0.000,3.331,1.938,2.908,0.000,0.000,9.811,7.711,3.495,65.737
Breast-GC116964,6.299,0.000,4.603,0.000,8.867,9.003,6.346,0.000,0.000,11.757,17.600,8.585,26.940
Breast-GC116965,5.345,1.119,1.928,0.000,6.777,4.989,4.501,0.000,0.000,28.861,14.389,9.083,23.008
Breast-GC116966,3.619,1.072,2.043,0.000,4.684,3.448,5.501,0.000,0.000,26.602,18.539,8.775,25.717
Breast-GC116967,4.900,0.000,3.600,0.000,7.503,6.652,5.131,0.000,0.000,15.725,17.829,8.507,30.152
Breast-GC116968,3.310,2.197,1.577,0.000,3.970,3.377,3.558,0.000,0.000,16.980,8.898,4.911,51.221
Breast-GC116969,2.535,0.322,2.041,0.000,4.040,2.954,4.325,0.000,0.000,12.304,10.442,4.723,56.316
Breast-GC116970,3.566,3.184,1.546,0.000,4.712,3.833,4.755,0.000,0.000,16.699,13.697,5.513,42.495
Breast-GC116971,3.534,4.253,1.304,0.000,4.138,3.001,6.445,0.000,1.175,21.933,14.932,8.110,31.175
Breast-GC110676,4.295,0.000,2.427,0.000,6.187,4.156,6.013,0.000,0.000,19.125,12.191,7.234,38.372
Breast-GC110678,3.601,2.517,2.744,0.049,4.596,4.233,4.612,0.000,0.000,17.022,24.454,7.266,28.906
Breast-GC110679,15.892,1.551,2.710,0.000,5.574,4.683,4.378,0.000,0.000,17.155,12.627,5.762,29.667
Breast-GC110680,4.173,0.000,2.678,0.000,6.373,5.426,4.124,0.000,0.000,17.030,12.725,5.240,42.230
Breast-GC110681,16.508,0.000,8.010,0.000,13.412,17.812,2.370,0.000,0.000,7.151,0.000,4.494,30.244
Breast-GC110682,4.653,0.000,3.971,0.000,7.610,6.855,6.836,0.000,0.000,11.608,13.864,7.474,37.129
Breast-GC110683,7.180,0.000,4.942,0.000,8.947,9.151,5.637,0.000,0.000,12.790,9.644,8.512,33.198
Breast-GC110684,3.172,0.000,3.594,0.000,6.040,5.305,5.973,0.000,0.000,12.889,15.911,5.964,41.151
Breast-GC110685,3.834,3.294,2.353,0.000,4.690,4.052,6.390,1.692,4.417,17.497,20.465,9.755,21.561
Ovarian-GC110686,2.404,3.347,0.000,0.000,3.947,1.384,6.340,2.276,0.169,31.507,13.310,8.976,26.341
Ovarian-GC114179,2.271,3.858,1.094,0.000,5.581,2.913,4.581,2.085,1.073,24.084,18.720,6.799,26.940
Ovarian-GC114180,1.927,4.027,0.134,0.000,2.947,1.473,5.121,6.105,0.668,25.133,18.280,7.725,26.461
Ovarian-GC114181,5.960,5.495,2.485,0.000,5.361,3.234,3.461,5.279,0.098,25.432,12.638,6.356,24.201
Ovarian-GC114182,10.355,0.000,6.228,0.000,22.007,13.384,0.965,0.000,0.000,12.961,5.500,1.900,26.700
Ovarian-GC116977,4.271,0.196,2.768,0.000,6.950,5.530,4.839,0.000,0.000,20.731,16.723,7.933,30.059
Ovarian-GC116979,3.361,2.768,1.180,0.000,15.576,2.319,3.540,5.132,0.282,14.578,14.022,4.228,33.015
Ovarian-GC116982,3.958,2.136,1.984,0.001,11.813,4.241,3.865,3.925,1.223,19.037,12.426,9.784,25.607
Ovarian-GC116990,3.750,2.438,2.693,0.000,5.174,4.584,4.657,0.000,0.000,10.043,19.467,6.971,40.224
Ovarian-GC119363,4.257,1.820,0.965,0.000,11.134,3.466,4.496,5.699,0.000,25.881,10.420,6.923,24.939
Ovarian-GC119364,2.535,2.480,1.855,0.000,4.250,2.915,5.945,2.674,0.000,12.810,21.078,7.380,36.077
Ovarian-GC119365,5.552,0.000,3.503,2.086,53.413,8.857,2.715,0.000,0.000,15.438,2.462,0.429,5.546
Ovarian-GC119366,6.185,5.724,0.112,1.018,4.756,3.546,3.439,10.844,1.299,29.786,14.390,5.032,13.869
Colorectal-GC121326,3.754,1.538,2.312,0.000,5.001,4.639,3.492,0.000,0.000,26.114,7.588,4.597,40.964
Colorectal-GC121327,1.703,6.930,0.638,9.810,2.202,1.200,2.499,12.005,0.000,22.004,16.334,5.134,19.540
Colorectal-GC121328,4.463,0.000,2.974,0.000,5.766,6.102,5.073,0.000,0.000,45.446,9.257,7.148,13.772
Colorectal-GC121329,1.382,2.659,2.499,1.677,4.720,22.890,2.564,7.405,10.785,21.702,13.508,1.220,6.989
Colorectal-GC121330,13.913,6.505,1.477,1.282,6.653,10.114,2.893,0.000,0.000,17.710,8.914,4.362,26.176
Colorectal-GC1003994,1.760,4.184,0.541,0.000,4.698,2.220,3.887,4.423,0.000,26.677,15.433,6.170,30.006
Colorectal-GC1003995,2.413,4.177,2.787,18.667,4.417,15.088,5.907,0.000,1.346,11.280,9.683,3.181,21.054
Colorectal-GC1003996,2.581,3.012,2.140,0.704,3.924,3.806,5.268,0.000,0.000,15.943,12.416,6.442,43.764
Colorectal-GC1003997,2.516,3.261,0.527,0.000,2.706,1.556,3.857,2.287,0.000,25.467,15.688,7.077,35.058
Colorectal-GC1003998,3.364,3.296,2.207,0.666,5.067,4.922,5.148,0.000,0.000,20.929,13.359,9.858,31.183
Colorectal-GC1003999,10.999,7.490,0.594,0.000,5.537,7.731,3.198,4.632,0.000,23.499,8.702,5.825,21.793
Colorectal-GC1004000,4.821,1.656,3.715,6.987,7.336,36.532,1.316,0.000,0.000,7.606,6.260,3.755,20.015
Colorectal-GC1004001,1.981,2.770,1.590,0.000,3.438,2.202,3.782,0.000,0.000,20.790,13.448,7.180,42.819
Colorectal-GC1004002,2.518,1.120,2.326,0.000,3.607,3.760,5.242,0.000,0.000,28.483,10.098,7.928,34.917
Colorectal-GC1004003,5.400,1.600,2.324,0.000,7.191,6.073,4.681,0.000,0.000,24.823,17.255,7.808,22.846
Colorectal-GC137538,7.120,0.000,6.695,0.000,6.565,7.298,8.683,0.000,0.000,11.177,17.163,11.296,24.003
Colorectal-GC137539,3.711,3.053,1.592,0.000,4.341,4.083,4.796,3.628,1.156,14.249,21.746,5.106,32.540
Colorectal-GC137540,2.284,2.463,1.115,0.000,4.627,2.771,4.121,0.000,0.000,29.252,14.884,7.621,30.862
Colorectal-GC137541,4.221,0.629,3.241,0.000,6.192,5.326,4.069,0.000,0.000,18.980,15.893,7.712,33.736
Colorectal-GC137542,2.300,2.256,1.358,0.000,4.000,2.531,4.614,0.977,0.000,27.424,12.170,8.342,34.027
Colorectal-GC137543,3.452,2.062,2.853,0.000,5.460,8.488,5.425,0.000,0.000,24.001,13.630,7.535,27.094
Colorectal-GC137544,2.460,1.560,1.465,0.000,5.286,3.120,6.056,0.000,0.000,23.388,13.798,7.205,35.663
Colorectal-GC137545,3.294,2.099,1.397,0.000,4.801,3.134,5.502,0.000,2.042,31.005,18.242,6.675,21.809
Colorectal-GC137546,2.295,2.813,1.220,0.000,3.735,2.780,4.624,3.091,1.585,18.207,13.278,6.620,39.751
Colorectal-GC137547,3.777,3.017,1.774,0.000,5.285,3.673,4.698,0.000,0.000,19.289,23.170,7.557,27.760
Colorectal-GC137548,1.450,0.394,2.384,0.000,4.525,3.502,4.083,0.000,0.000,10.566,6.434,9.003,57.659
Colorectal-GC137549,1.797,2.899,1.703,0.255,5.045,17.923,5.822,0.935,0.000,16.746,10.448,7.152,29.275
Colorectal-GC137550,4.662,0.171,2.864,0.000,4.687,5.081,9.711,0.000,0.000,13.471,10.979,11.988,36.387
Colorectal-GC137551,3.273,0.000,3.657,0.000,6.070,5.227,5.480,0.000,0.000,7.178,16.915,5.136,47.064
Colorectal-GC137552,3.994,0.000,3.364,0.000,7.998,5.401,5.667,0.000,0.000,19.995,11.838,7.639,34.106
Colorectal-GC137553,5.823,0.000,6.074,0.000,7.313,8.878,19.319,0.000,0.000,12.976,12.576,9.280,17.761
Colorectal-GC137554,6.781,1.260,3.966,0.000,6.790,8.856,5.821,0.000,0.000,19.040,13.702,6.667,27.118
Colorectal-GC137555,2.312,0.302,2.431,0.000,5.481,3.703,5.272,0.000,0.000,20.647,16.417,8.154,35.282
Colorectal-GC137556,3.939,0.000,3.152,0.000,5.294,4.569,4.988,0.000,0.000,19.156,12.635,8.223,38.044
Colorectal-GC137557,2.159,3.434,1.162,0.000,4.321,2.831,3.175,0.000,0.000,12.457,13.710,4.311,52.439
Cervical-GC1002983,5.174,0.000,4.908,0.000,6.928,7.297,4.406,0.000,0.000,8.770,14.134,4.324,44.058
Cervical-GC1002984,2.544,2.411,2.269,0.000,6.216,3.597,4.461,0.000,0.000,18.859,26.663,6.232,26.748
Cervical-GC114187,5.692,0.000,4.006,0.000,9.688,7.024,6.980,0.000,0.000,15.914,14.940,9.102,26.654
Cervical-GC114188,4.084,3.531,2.137,0.000,8.602,3.584,4.806,0.451,0.000,17.663,19.129,6.644,29.367
Control-GC1003986,3.459,1.352,2.346,0.000,5.129,4.069,4.512,0.000,0.000,7.273,12.058,5.497,54.306
Control-GC1003988,3.168,0.000,2.291,0.000,5.503,4.205,4.551,0.000,0.000,20.179,13.863,7.062,39.178
Control-GC110675,1.192,0.835,1.964,0.000,3.349,2.348,3.061,0.000,0.000,9.742,9.335,3.797,64.378
Control-GC112864,4.051,0.136,3.641,0.000,6.688,5.075,5.422,0.000,0.000,12.985,13.953,6.465,41.583
Control-GC112894,10.678,0.000,5.259,0.000,10.465,10.759,6.396,0.000,0.000,10.527,10.491,6.800,28.625
Control-GC112895,6.192,0.000,3.773,0.000,6.879,7.761,9.651,0.000,0.000,14.526,12.611,5.873,32.733
Control-GC112897,6.393,0.000,3.941,0.000,6.962,7.240,5.748,0.000,0.000,12.278,8.101,6.692,42.645
Control-GC119350,3.436,0.000,2.446,0.000,6.730,4.708,6.073,0.000,0.000,20.446,13.157,7.876,35.129
Control-GC119351,2.993,0.000,2.185,0.000,5.188,4.017,5.324,0.000,0.000,15.223,9.803,5.834,49.434
Control-GC119352,3.061,2.512,1.322,0.000,5.316,3.458,4.388,0.000,0.000,23.641,16.972,6.944,32.386
Control-GC119353,6.788,0.539,3.429,0.000,7.447,6.801,5.832,0.000,0.000,18.052,18.669,8.496,23.946
Control-GC119354,4.283,0.314,2.358,0.000,6.337,4.422,6.727,0.000,0.000,22.612,18.215,8.082,26.650
Control-GC119356,2.813,1.118,1.737,0.000,5.377,3.312,4.411,0.000,0.000,13.784,12.849,6.205,48.395
Control-GRP-GC114128,3.250,0.000,2.575,0.000,6.250,3.998,5.903,0.000,0.000,27.024,16.119,7.240,27.642
Control-GRP-GC114130,1.841,5.007,0.000,0.000,2.223,1.221,3.399,9.258,0.970,24.173,16.564,6.130,29.215
Control-GRP-GC114131,2.765,0.000,2.914,0.000,5.783,4.115,4.740,0.000,0.000,22.366,11.896,7.464,37.957
Control-GRP-GC114132,1.883,5.160,0.000,0.338,2.372,1.481,3.315,10.457,3.790,18.225,18.903,6.154,27.922
Control-GRP-GC114133,3.934,0.000,3.058,0.000,5.766,5.623,7.748,0.000,0.000,18.613,21.331,7.062,26.865
Control-GRP-GC114134,2.091,2.897,0.899,0.000,2.819,2.157,4.757,3.518,0.000,24.299,20.727,7.518,28.317
Control-GRP-GC114136,2.279,2.267,1.604,0.000,3.694,3.010,3.809,0.000,0.000,17.361,14.376,6.814,44.787
Control-GRP-GC114137,0.826,4.095,0.403,0.000,1.484,1.178,4.532,5.225,1.230,21.403,13.878,5.751,39.995
Control-GRP-GC114139,3.344,0.000,3.406,0.000,5.118,4.468,5.829,0.000,0.000,20.915,13.217,7.561,36.143
Control-GRP-GC114140,4.599,0.000,3.787,0.000,6.833,6.445,4.688,0.000,0.000,5.711,9.735,4.363,53.837
Control-GRP-GC114141,4.278,3.551,1.314,0.208,4.598,3.720,3.734,4.200,1.140,15.183,14.109,5.363,38.602
Control-GRP-GC114142,1.833,2.890,1.553,0.000,4.134,2.907,4.264,0.650,0.000,16.646,15.534,5.829,43.759
Control-GRP-GC114183,1.038,3.333,0.643,0.000,1.943,1.092,3.899,6.780,0.000,17.632,12.278,5.530,45.833
Control-GRP-GC114185,3.283,0.000,2.662,0.000,5.273,4.632,4.080,0.000,0.000,10.275,15.027,6.078,48.690
Control-GRP-GC114186,2.755,0.383,2.137,0.000,4.692,3.433,4.640,0.000,0.000,20.164,13.491,6.040,42.267
Control-GRP-GC118464,4.165,3.847,1.803,0.000,4.535,4.125,3.044,3.278,0.000,15.546,15.852,7.145,36.661
