Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Breast-GC1002975,0.937,3.480,0.237,2.870,7.810,2.115,8.035,5.258,2.405,3.981,1.622,1.786,1.524,0.383,0.150,0.008,0.016,0.060,0.094,0.236,1.107,0.162,0.029,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.161,0.741,10.083,2.050,9.978,1.732,30.467,0.055,0.424
Breast-GC1002976,3.985,0.289,18.572,2.872,1.099,1.135,0.336,2.031,4.202,0.252,0.656,3.001,0.380,2.262,1.033,0.892,0.385,1.162,1.355,3.654,1.890,0.077,0.319,0.000,0.274,4.945,0.099,0.000,0.000,0.000,0.127,1.312,0.350,3.098,7.378,23.752,0.003,6.738,0.003,0.084
Breast-GC1002977,0.000,0.000,12.795,2.093,0.489,11.794,0.072,4.124,0.199,0.306,0.216,3.056,6.084,1.612,0.172,2.811,0.260,0.247,0.172,0.007,0.023,0.149,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,53.249,0.000,0.000,0.000,0.000,0.000,0.000
Breast-GC1002978,0.219,0.396,1.010,4.419,2.694,2.937,0.107,1.928,5.373,12.009,3.019,0.256,0.641,0.176,0.000,0.064,0.032,0.028,0.201,0.028,0.144,0.161,0.340,0.000,0.611,0.003,0.852,0.000,0.000,0.404,0.000,0.001,0.018,13.002,3.475,6.775,5.206,31.560,1.875,0.030
Breast-GC1002979,2.078,0.192,21.518,6.219,1.207,3.081,3.680,2.069,1.303,0.902,4.086,8.045,0.837,2.029,0.043,0.083,0.030,0.042,0.610,0.284,0.148,0.116,0.328,1.740,0.000,0.122,2.761,1.843,0.005,0.000,1.289,0.017,0.063,4.229,3.161,3.922,0.941,17.743,0.002,3.234
Breast-GC1002980,2.891,2.522,16.190,2.625,2.294,0.733,0.057,1.449,0.506,4.237,3.515,1.320,0.040,0.505,0.028,0.085,2.042,0.319,0.258,0.166,0.276,0.295,0.510,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.064,6.786,2.177,3.425,24.856,18.885,0.244,0.696
Breast-GC1002981,0.465,0.904,6.065,4.225,4.275,5.145,0.777,1.088,12.156,2.476,4.520,3.307,0.873,1.135,0.046,0.191,0.056,0.299,0.122,0.098,0.264,0.165,0.139,0.000,0.032,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.798,3.951,6.532,4.961,8.664,25.922,0.033,0.315
Breast-GC1003967,7.577,1.263,1.414,1.051,1.831,7.732,2.087,0.337,2.442,2.019,6.390,4.177,0.158,1.541,0.003,0.126,0.054,0.013,0.039,0.007,0.024,0.057,0.021,0.504,0.000,0.004,0.405,0.002,0.117,0.000,0.041,3.429,0.524,12.367,1.727,6.729,16.760,16.267,0.024,0.738
Breast-GC1003968,4.007,5.599,14.582,0.162,0.120,4.478,2.510,0.293,0.007,0.484,3.050,4.969,0.051,2.851,0.007,0.001,0.016,0.012,0.473,2.632,0.122,0.022,0.094,0.000,0.000,0.004,0.058,1.121,1.131,0.198,0.001,1.314,0.273,5.410,8.975,20.003,2.504,12.415,0.002,0.047
Breast-GC1003970,0.618,3.319,2.137,0.896,6.274,1.325,6.918,3.041,0.216,4.830,13.446,19.199,0.031,0.236,0.519,0.011,0.277,0.665,0.160,1.114,0.003,0.001,0.042,0.000,0.000,1.432,1.012,0.000,0.000,0.000,0.000,0.020,0.092,7.409,0.137,12.775,1.221,4.781,0.132,5.710
