Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Breast-GC1002975,14.336,8.060,0.000,10.722,21.854,0.000,5.731,0.000,2.429,15.329,4.227,0.000,6.326,0.000,0.000,0.000,0.000,0.000,0.000,2.964,0.000,0.733,0.000,0.406,0.000,0.000,2.500,0.000,0.000,0.000,1.272,0.182,0.000,0.000,2.927,0.000,0.000,0.000,0.000,0.000
Breast-GC1002976,14.603,0.000,12.564,20.520,0.000,0.000,4.057,0.000,4.919,3.103,2.798,0.000,2.300,0.000,0.000,0.541,9.324,0.000,8.084,0.000,0.000,0.065,1.571,0.000,0.018,8.260,2.702,0.000,0.000,0.146,0.588,2.253,0.000,0.098,1.483,0.000,0.000,0.000,0.000,0.000
Breast-GC1002977,0.000,0.000,11.818,3.866,0.000,9.175,4.115,32.060,0.000,0.000,8.295,0.000,2.198,0.000,0.000,0.000,0.000,17.705,0.000,5.218,0.000,0.000,0.000,5.472,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003
Breast-GC1002978,20.545,0.000,0.000,4.968,0.000,0.000,0.000,0.000,26.138,0.000,26.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.482,0.000,0.000,0.000,6.877,0.000,0.000,3.669,0.000,0.000,0.000,0.761,0.062,0.000,0.000,5.998,0.000,0.000,0.000,0.000,0.842
Breast-GC1002979,11.144,0.000,15.234,28.654,0.000,0.000,4.295,0.000,0.000,0.000,7.462,11.738,5.566,0.000,0.000,0.000,0.000,0.000,0.000,1.848,0.000,1.068,0.000,0.000,0.000,0.000,3.507,5.782,0.000,2.736,0.331,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.633
Breast-GC1002980,33.356,0.000,21.169,0.000,0.000,1.196,6.815,0.000,5.101,10.789,6.146,0.000,3.607,0.000,0.000,4.254,0.000,0.000,0.000,3.001,0.000,0.499,0.000,0.000,0.000,0.000,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.192,0.000,0.000,0.000,0.000,1.810
Breast-GC1002981,19.903,0.000,1.354,9.255,0.000,12.709,0.000,0.000,19.531,13.044,4.822,2.270,5.511,0.000,0.000,2.984,0.000,0.000,0.000,2.117,0.000,1.683,0.000,0.000,0.000,0.000,2.243,0.000,0.000,0.000,0.453,0.000,0.000,0.000,2.118,0.000,0.000,0.000,0.000,0.000
Breast-GC1003967,31.352,0.000,11.274,0.000,0.000,10.347,5.702,0.000,2.454,0.000,22.336,0.026,8.309,0.000,0.000,0.000,0.000,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.199,0.177,0.000,0.000,1.493,1.918,0.000,0.000,3.520,0.000,0.609,0.000,0.000,0.000
Breast-GC1003968,25.354,0.000,23.247,0.000,0.000,5.852,3.678,0.000,0.000,0.000,15.589,1.497,6.697,0.728,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.717,0.866,0.000,0.000,0.000,4.392,0.000,0.000,9.382,0.000,0.000,0.000,0.000,0.000
Breast-GC1003970,10.780,0.000,0.000,7.160,14.761,0.000,3.323,4.560,0.000,0.000,34.209,12.680,2.681,0.041,0.000,0.000,0.000,0.000,0.000,0.120,0.000,0.000,0.000,0.000,0.000,0.200,2.631,0.245,0.000,1.925,0.367,0.225,0.000,0.000,0.000,0.000,0.000,4.090,0.000,0.000
Breast-GC1003971,17.924,5.810,0.000,10.226,0.000,0.000,0.000,0.000,8.342,8.336,14.142,0.000,0.000,0.268,0.000,0.386,0.000,0.000,19.621,1.077,0.000,1.355,0.000,6.570,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.031,0.000,0.000,2.580,0.000,1.331,0.000
Breast-GC1003972,25.793,0.000,7.722,0.000,0.000,11.700,0.564,0.000,0.000,0.000,27.475,0.000,0.000,0.451,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.009,0.000,4.217,18.820,0.000,0.231,0.056,0.843,0.257,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.861,0.000
Breast-GC1003974,10.717,9.103,30.966,22.560,0.000,0.000,0.000,0.000,0.000,16.972,0.000,0.000,0.422,0.678,0.000,1.479,0.000,0.000,0.000,0.000,0.000,0.000,0.542,3.335,0.000,0.000,0.103,0.051,0.000,0.000,0.000,0.011,0.024,0.000,2.586,0.000,0.326,0.000,0.122,0.000
Breast-GC1002311,29.132,0.000,0.000,15.382,0.000,0.000,0.248,0.000,14.964,2.777,23.622,0.000,6.277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.330,0.000,0.000,0.000,0.000,3.057,0.000,0.000,0.000,1.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breast-GC1004006,21.197,0.000,0.000,30.498,0.000,0.000,2.117,0.000,12.814,0.000,17.504,0.000,0.000,0.000,0.000,0.000,0.000,5.980,0.222,2.155,0.000,0.000,1.177,1.242,0.659,0.000,0.000,0.000,0.000,0.000,0.020,3.525,0.000,0.000,0.000,0.000,0.032,0.000,0.855,0.000
Breast-GC1004007,34.795,0.000,0.000,9.829,0.000,0.000,9.951,0.000,10.949,16.696,0.000,0.000,7.485,0.000,0.000,0.000,0.000,0.000,0.000,1.527,0.000,2.165,2.145,0.000,0.000,0.000,2.029,0.000,0.000,0.000,1.294,0.000,0.000,0.000,1.123,0.000,0.010,0.000,0.000,0.000
Breast-GC1004008,21.963,0.000,34.961,5.990,0.000,4.658,0.702,0.000,0.000,0.000,11.082,3.000,3.551,0.000,0.000,0.000,0.000,0.000,0.000,0.716,0.000,7.605,0.000,0.000,0.000,0.000,1.820,0.000,0.000,2.854,1.092,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000
Breast-GC1004009,0.112,13.631,8.832,14.724,17.972,0.000,0.000,0.000,5.172,0.000,1.966,18.419,3.987,0.000,0.000,0.000,0.000,0.000,0.000,2.117,0.000,0.624,0.000,0.000,0.000,0.000,5.459,0.000,0.000,0.000,1.905,0.174,0.000,0.000,4.401,0.000,0.000,0.000,0.502,0.000
Breast-GC110693,5.927,6.446,0.000,38.923,0.000,0.000,10.099,0.000,2.265,17.213,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.146,0.000,0.000,0.155,8.705,0.000,0.374,0.000,0.000,0.000,3.310,0.015,1.178,0.000,0.000,0.241,0.000,0.000,0.000,0.000,0.000
Breast-GC110694,17.652,6.626,0.000,2.824,27.029,0.000,2.464,0.000,6.139,18.006,0.000,0.000,0.000,0.000,1.409,0.000,0.000,0.000,0.000,0.000,3.644,6.330,0.000,5.310,0.040,0.000,0.333,0.005,0.118,0.000,0.000,0.027,0.000,1.162,0.000,0.000,0.000,0.000,0.000,0.879
Breast-GC110695,33.137,0.000,8.053,0.000,0.000,12.270,0.000,0.000,5.417,0.000,19.169,0.000,9.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.956,0.000,1.465,4.781,0.000,0.000,0.195,0.427,0.000,0.000,4.062,0.000,0.000,0.000,0.000,0.000
Breast-GC110696,18.583,7.564,23.014,0.469,0.000,0.000,0.000,0.000,5.032,15.089,3.649,0.000,8.980,0.000,0.000,1.432,0.000,0.000,0.000,8.621,0.000,0.587,0.000,0.000,0.000,0.000,0.184,0.053,0.000,0.807,0.032,0.016,0.000,5.888,0.000,0.000,0.000,0.000,0.000,0.000
Breast-GC116960,15.579,0.000,0.000,24.411,0.000,0.000,0.000,0.000,6.058,7.995,17.763,0.000,0.000,0.139,0.000,6.567,0.000,0.000,0.000,5.147,0.000,0.476,0.000,6.817,0.000,0.000,2.385,0.000,0.000,0.000,0.000,0.065,0.023,1.919,1.722,0.000,0.000,0.000,2.931,0.000
Breast-GC116963,12.596,0.000,15.906,12.988,7.588,0.000,0.000,12.812,12.829,0.000,12.127,0.000,5.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.017,0.000,0.000,0.000,0.000,0.994,0.000,0.000,0.000,0.521,0.000,0.000,5.287,0.000,0.000,0.000,0.000,0.000,0.000
Breast-GC116964,4.099,21.413,0.129,0.000,0.000,0.000,1.091,22.333,0.000,22.652,8.044,1.583,6.540,0.328,0.819,2.393,0.000,0.000,0.000,5.492,0.000,0.000,0.000,0.000,0.000,0.000,1.629,0.000,0.000,0.000,0.435,0.000,0.000,1.020,0.000,0.000,0.000,0.000,0.000,0.000
Breast-GC116965,39.715,0.000,10.496,8.038,0.000,0.000,1.303,0.000,0.000,0.000,19.220,0.000,4.773,0.234,0.000,2.628,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.039,0.000,0.000,0.000,0.113,0.472,0.000,0.000,3.289,0.000,0.000,0.000,0.000,1.679
Breast-GC116966,34.762,0.000,0.000,4.498,0.000,0.000,0.182,0.000,18.252,0.000,26.126,0.000,6.115,0.211,0.000,0.000,0.000,0.000,0.000,2.905,0.000,0.000,0.000,0.712,0.000,0.000,0.265,0.000,0.000,0.000,0.265,0.516,0.000,0.000,3.423,0.000,0.000,0.000,1.768,0.000
