Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Breast-GC1002975,7.280,8.842,0.000,2.315,22.028,0.000,7.474,0.000,0.000,0.000,13.086,0.000,0.000,2.187,0.000,0.000,0.000,0.000,0.000,26.437,0.000,0.000,0.000,0.000,0.000,0.000,1.787,0.000,0.000,0.000,1.532,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.029,0.000,0.000
Breast-GC1002976,10.587,0.000,14.038,1.662,0.000,0.000,4.040,0.000,1.287,0.000,1.051,0.000,0.000,1.405,0.000,0.000,0.000,0.000,0.000,28.763,0.000,0.000,0.000,0.000,0.000,17.229,0.580,0.000,0.000,0.000,0.930,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.426,0.000,0.000
Breast-GC1002977,0.000,0.000,16.027,8.524,0.000,11.888,4.379,15.911,0.000,0.000,0.000,0.000,0.000,1.881,0.000,0.000,0.000,21.565,5.594,0.000,0.000,0.000,9.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.755,0.003,0.000
Breast-GC1002978,15.810,0.000,0.000,24.538,0.000,0.000,0.000,0.000,21.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.581,27.977,0.000,0.000,0.000,0.455,0.000,0.000,2.167,0.000,0.000,0.080,0.429,0.000,0.000,0.000,2.203,0.000,0.092,0.000,4.639,0.000,0.000
Breast-GC1002979,8.381,0.000,13.534,4.860,0.000,0.000,3.681,0.000,0.000,10.769,0.000,0.000,0.000,2.687,0.000,0.000,0.000,0.000,0.000,20.091,0.000,0.000,0.000,0.000,0.000,0.000,2.666,5.724,0.000,0.000,0.187,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.418,0.000,0.000
Breast-GC1002980,27.210,0.000,22.012,6.150,0.000,0.214,6.012,0.000,0.000,0.000,7.734,0.000,0.000,0.152,0.000,0.000,0.000,0.000,0.000,30.514,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breast-GC1002981,16.110,0.000,0.447,0.344,0.000,12.591,0.000,0.000,17.229,4.041,13.772,0.372,0.000,3.372,0.000,0.000,0.000,0.000,0.000,19.887,0.000,0.000,0.000,0.316,0.000,0.000,3.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.171,0.000,0.000,0.000,7.345,0.000,0.000
Breast-GC1003967,24.691,0.000,7.341,14.656,0.000,11.660,3.808,0.000,0.000,7.625,0.000,0.000,0.000,4.713,0.000,0.000,0.000,0.000,0.000,22.337,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.178,0.000,0.000,1.900,0.000,0.000,0.000,0.806,0.000,0.283,0.000,0.000,0.000,0.000
Breast-GC1003968,19.784,0.000,20.077,9.411,0.000,7.893,3.107,0.000,0.000,2.893,0.000,0.000,0.000,5.310,0.000,0.000,0.000,0.000,0.000,21.378,0.000,0.000,0.000,0.000,0.000,0.000,1.223,0.740,0.000,0.698,0.000,0.000,0.000,0.000,7.484,0.000,0.000,0.000,0.000,0.000,0.000
Breast-GC1003970,10.570,0.000,0.000,32.176,12.779,0.000,2.538,7.723,0.000,15.797,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.505,0.000,0.000,0.000,0.000,0.000,0.000,2.030,0.626,0.000,0.083,0.171,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
