Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Breast-GC1002975,9.754,9.380,17.802,9.732,5.056,1.918,0.000,3.958,0.730,12.865,2.441,0.000,3.616,2.152,0.000,0.000,0.000,3.916,0.000,1.064,0.000,0.000,4.345,0.000,0.000,0.000,2.483,0.000,0.000,0.000,0.000,1.509,0.000,0.364,3.863,0.000,0.000,0.000,1.487,1.566
Breast-GC1002976,12.590,5.591,17.405,11.559,7.898,0.000,0.000,0.866,0.000,1.619,5.496,0.000,0.950,2.163,3.184,0.000,0.000,0.203,1.833,3.743,2.919,1.809,0.132,0.000,0.710,2.776,2.693,0.000,1.420,0.000,0.872,2.833,0.000,0.000,4.703,0.000,0.000,0.000,4.032,0.000
Breast-GC1002977,0.000,0.000,17.191,18.145,0.000,15.502,3.201,0.000,0.000,5.655,7.415,0.000,17.173,0.000,0.000,3.244,0.000,0.000,1.725,0.000,10.181,0.000,0.025,0.000,0.000,0.000,0.544,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breast-GC1002978,13.287,5.024,14.011,11.450,0.000,3.646,0.269,0.000,1.792,7.997,13.015,0.000,5.056,0.000,0.000,0.000,0.000,3.193,1.517,0.000,0.000,0.000,4.643,0.303,2.559,0.000,3.396,0.000,0.000,0.000,0.000,1.712,0.000,1.848,4.087,0.000,0.000,0.000,0.000,1.196
Breast-GC1002979,10.533,1.369,20.991,20.800,0.000,0.000,1.118,4.845,0.000,8.876,4.300,0.000,0.000,4.452,0.000,0.000,0.000,2.582,0.000,0.681,0.000,0.000,4.339,0.000,0.000,1.171,3.057,1.342,0.269,0.000,0.460,1.179,0.974,0.592,1.644,0.168,0.000,0.000,0.000,4.257
Breast-GC1002980,15.354,8.485,25.099,0.605,0.000,6.420,0.000,2.174,1.207,5.125,9.040,0.000,4.841,1.022,0.000,0.000,0.000,6.321,0.000,0.000,0.000,0.000,4.780,0.000,0.000,0.000,1.303,0.000,0.000,0.000,0.000,1.109,0.000,1.151,3.882,0.000,0.000,0.000,0.910,1.170
Breast-GC1002981,12.540,5.703,21.049,18.295,0.000,0.000,0.000,0.623,1.534,9.465,7.427,0.000,3.108,1.388,0.000,0.000,0.000,2.457,0.000,0.000,0.000,0.000,4.498,0.000,0.000,0.000,2.910,0.000,0.000,0.000,0.593,1.670,0.000,0.000,4.248,0.000,0.481,0.000,0.180,1.832
Breast-GC1003967,12.665,10.094,21.841,0.000,0.000,0.000,1.477,0.000,8.769,12.935,5.659,0.000,0.000,5.477,0.000,0.000,0.000,4.007,0.000,1.152,0.000,0.000,3.718,0.000,0.000,0.000,3.637,0.000,0.000,0.000,0.540,1.800,0.467,0.000,4.001,0.000,0.000,0.000,0.334,1.428
Breast-GC1003968,16.763,3.783,8.351,17.532,0.000,1.921,1.433,2.435,1.766,4.099,6.942,0.359,1.406,1.948,0.000,0.000,0.000,0.787,0.330,8.665,0.000,0.000,3.797,1.723,0.244,0.000,2.829,0.797,0.000,0.308,0.129,2.486,0.000,5.675,2.586,0.624,0.000,0.129,0.000,0.155
Breast-GC1003970,10.828,2.544,12.090,12.401,0.000,0.000,0.674,7.890,0.008,10.523,17.281,3.421,5.314,0.000,1.421,0.000,0.000,0.000,0.000,0.045,3.783,0.000,0.491,0.000,0.000,0.007,2.036,0.242,0.000,0.000,0.999,1.332,0.000,0.266,3.924,0.000,0.000,0.000,0.000,2.480
Breast-GC1003971,13.243,6.756,18.349,0.000,0.000,0.000,0.000,0.000,3.856,18.206,4.346,0.000,9.884,0.000,0.988,0.000,0.000,7.055,0.000,0.000,0.000,0.000,3.838,0.000,0.000,0.000,2.393,0.000,0.000,0.000,0.000,1.757,0.142,0.000,3.088,0.000,0.000,0.000,4.320,1.780
Breast-GC1003972,22.319,1.997,16.656,4.732,0.000,0.473,1.635,0.000,2.203,7.889,11.654,1.631,6.991,0.000,0.259,0.082,0.000,0.291,0.000,2.321,0.000,0.000,4.704,0.000,0.486,0.000,3.013,0.000,0.000,0.000,0.273,1.675,0.000,1.923,0.832,0.000,0.000,0.000,4.090,1.871
Breast-GC1003974,10.346,6.250,25.347,13.201,0.000,12.306,0.000,0.000,0.000,13.065,0.000,0.000,0.000,3.872,0.000,0.000,0.000,0.916,0.000,2.582,0.000,0.000,2.491,0.000,0.000,0.000,0.873,0.000,0.000,0.607,0.000,0.000,0.000,0.994,2.435,0.596,0.087,0.000,2.989,1.043
