Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Breast-GC1002975,0.086,7.130,0.155,0.000,6.555,1.214,2.332,2.344,5.778,3.034,11.315,3.874,20.905,35.278
Breast-GC1002976,1.575,0.799,0.578,0.093,18.993,3.520,3.531,1.908,4.847,6.868,2.598,3.567,20.261,30.863
Breast-GC1002977,0.001,0.003,0.004,0.000,0.707,1.256,8.219,0.197,0.232,0.047,6.577,15.962,46.400,20.396
Breast-GC1002978,1.847,6.170,0.616,0.000,8.313,1.330,2.649,2.295,4.363,3.248,17.560,3.313,13.175,35.121
Breast-GC1002979,5.029,3.817,1.096,0.646,3.635,1.091,2.917,4.847,0.622,4.068,10.388,3.410,34.867,23.568
Breast-GC1002980,0.002,7.740,0.342,0.000,2.607,0.032,1.862,8.826,4.160,8.107,9.556,2.620,17.019,37.128
Breast-GC1002981,0.051,7.178,0.245,0.000,6.319,1.105,1.789,5.097,4.139,1.797,13.396,2.305,24.454,32.126
Breast-GC1003967,0.147,6.252,0.583,0.152,7.134,1.447,1.385,5.503,0.856,8.927,13.823,3.985,11.778,38.027
Breast-GC1003968,1.586,2.665,1.521,0.519,11.435,2.882,2.046,4.074,5.620,7.294,7.374,2.917,16.348,33.720
Breast-GC1003970,0.471,5.354,0.381,0.000,5.669,1.569,2.873,1.770,0.474,6.636,29.558,3.816,21.236,20.192
Breast-GC1003971,0.415,2.581,1.217,0.569,8.753,2.001,1.854,6.268,2.923,10.767,17.817,7.852,5.567,31.416
Breast-GC1003972,1.182,7.332,0.653,1.169,8.078,0.630,2.269,2.999,3.539,8.018,16.376,4.224,5.975,37.554
Breast-GC1003974,0.162,3.587,1.107,1.165,4.648,2.014,2.343,0.918,3.162,2.253,11.286,3.391,37.879,26.084
Breast-GC1002311,0.007,6.943,0.158,0.000,3.693,0.841,1.477,4.035,5.508,9.206,12.995,1.971,13.331,39.836
Breast-GC1004006,0.016,4.826,0.181,0.000,6.096,1.301,4.388,4.292,3.498,5.062,13.161,5.375,20.562,31.240
Breast-GC1004007,0.181,9.905,0.570,0.000,8.975,2.015,3.664,1.109,7.213,8.793,8.245,3.837,7.256,38.235
Breast-GC1004008,0.030,5.417,0.494,0.279,3.874,1.120,3.648,3.671,2.977,5.698,6.733,2.575,35.078,28.404
Breast-GC1004009,0.787,0.839,0.913,0.340,12.975,1.771,0.549,1.382,3.014,3.282,8.198,1.369,33.991,30.591
Breast-GC110693,0.647,0.233,0.066,0.386,11.809,3.228,3.247,0.194,1.569,3.192,8.181,5.285,32.534,29.428
Breast-GC110694,0.124,6.649,0.443,0.000,6.582,1.077,3.184,4.201,1.903,9.012,11.695,3.638,21.009,30.484
Breast-GC110695,0.591,2.863,0.776,0.000,14.639,3.131,2.466,3.029,2.903,4.701,9.637,6.382,5.603,43.279
Breast-GC110696,0.013,5.488,0.280,0.000,6.192,1.189,4.902,4.526,2.373,8.783,13.029,5.516,14.447,33.262
Breast-GC116960,0.561,1.428,0.964,0.438,7.424,1.985,5.055,5.330,3.814,4.623,18.315,5.022,15.655,29.386
Breast-GC116963,0.007,3.883,0.366,0.052,4.209,0.088,0.890,2.866,3.666,1.314,4.059,1.568,52.313,24.719
Breast-GC116964,0.005,0.329,0.158,0.000,12.989,5.161,4.534,0.049,1.138,3.644,18.911,8.034,4.485,40.565
Breast-GC116965,0.204,9.963,0.256,0.000,8.420,0.915,1.000,2.500,8.093,12.854,8.393,3.727,0.939,42.737
Breast-GC116966,0.000,12.527,0.187,0.000,2.713,0.123,2.302,4.698,4.644,9.560,13.530,4.254,3.868,41.595
Breast-GC116967,0.439,2.757,0.860,0.006,13.989,2.941,2.474,2.429,1.631,3.920,15.613,6.239,10.218,36.485
Breast-GC116968,0.400,5.032,0.515,0.135,5.890,0.663,1.243,3.663,4.591,5.355,4.497,1.593,34.895,31.528
Breast-GC116969,0.012,2.719,0.656,0.000,4.998,0.836,2.005,1.026,4.892,5.530,6.915,2.490,40.905,27.016
Breast-GC116970,0.241,3.600,0.303,0.551,8.749,1.237,1.800,0.365,6.306,7.996,10.287,2.385,25.085,31.094
Breast-GC116971,0.496,11.676,0.604,0.057,4.466,0.418,3.677,2.880,7.613,9.540,10.404,3.330,14.096,30.744
Breast-GC110676,0.012,2.574,0.665,0.669,7.357,1.401,2.739,4.636,4.738,5.258,8.731,3.890,18.987,38.345
Breast-GC110678,0.615,5.919,1.061,1.095,7.020,1.865,2.467,4.885,3.627,6.302,21.464,4.321,15.205,24.154
Breast-GC110679,13.118,1.711,1.756,1.489,8.499,1.146,3.366,2.140,5.200,6.393,9.074,2.226,12.822,31.061
