Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Breast-GC1002975,0.225,4.525,1.295,1.423,8.264,4.473,3.789,7.403,6.652,4.561,4.070,2.500,2.022,0.445,0.394,2.482,1.903,2.253,3.060,0.100,0.425,0.521,0.880,0.022,0.320,0.124,0.498,0.013,0.004,0.000,0.120,0.182,4.022,1.082,0.772,1.737,0.123,0.184,1.056,6.307,19.768
Breast-GC1002976,1.025,3.633,8.563,2.045,1.917,5.588,6.202,5.457,2.956,1.775,1.512,0.711,1.932,1.153,2.619,1.497,2.168,2.563,1.362,0.719,2.170,1.133,0.910,0.112,0.165,1.724,0.595,0.017,0.033,0.000,1.417,1.783,0.267,1.999,3.815,8.404,0.000,0.000,1.412,0.310,18.332
Breast-GC1002977,0.171,0.078,8.486,10.584,0.429,13.086,0.611,13.527,3.228,6.144,2.032,0.262,12.251,1.644,0.542,0.792,0.387,0.400,0.388,0.559,4.499,2.851,0.971,0.001,0.005,0.017,0.039,0.001,0.000,0.000,0.001,0.004,0.102,0.305,0.044,0.000,0.000,1.173,0.002,0.079,14.303
Breast-GC1002978,1.978,0.902,1.050,2.018,9.097,7.318,3.952,0.748,0.525,4.696,4.773,7.992,0.465,1.823,0.365,2.467,0.867,2.548,1.110,1.816,0.575,0.217,1.042,0.342,2.628,0.204,0.079,0.068,0.001,0.000,0.178,0.691,3.589,0.089,3.021,0.000,0.009,2.806,0.511,8.372,19.069
Breast-GC1002979,2.743,0.054,12.044,4.328,7.471,4.468,6.005,1.054,7.862,4.137,3.439,3.527,1.231,0.674,2.369,0.083,2.079,2.408,2.223,0.429,0.378,0.834,0.727,1.064,0.096,1.028,0.847,1.510,0.660,0.049,0.245,0.161,0.356,2.164,1.510,0.043,0.963,0.726,1.046,3.586,13.380
Breast-GC1002980,1.200,3.110,5.380,1.512,2.814,8.066,8.466,1.245,2.211,2.231,4.244,3.513,0.331,1.122,1.259,0.664,3.422,2.894,2.264,0.524,0.680,0.034,0.500,0.001,0.030,0.005,0.005,0.000,0.000,0.000,0.000,0.001,3.013,0.364,0.212,0.001,0.062,0.377,0.693,22.182,15.367
Breast-GC1002981,2.838,2.706,2.328,3.429,6.223,1.573,6.360,10.156,6.216,3.577,5.073,5.282,1.080,0.680,1.284,0.709,0.877,2.499,1.182,1.867,0.768,0.313,0.577,0.037,0.108,0.012,0.403,0.004,0.003,0.000,0.353,0.185,2.619,0.797,1.283,1.656,0.030,0.475,3.135,4.892,16.408
Breast-GC1003967,3.033,3.679,2.691,1.420,5.603,0.024,7.099,6.373,2.286,7.557,1.783,2.381,1.023,1.162,2.005,1.728,1.443,1.908,0.936,2.595,0.408,0.717,0.698,0.056,0.075,0.053,0.276,0.001,0.060,0.002,0.056,0.268,5.167,1.814,0.331,1.359,0.292,0.482,1.422,8.087,21.645
Breast-GC1003968,4.378,2.806,2.669,3.516,4.351,0.962,5.797,5.726,5.733,1.402,2.861,1.484,0.556,2.568,2.809,0.041,2.307,1.530,0.641,2.729,0.931,0.216,1.112,0.046,0.272,0.605,0.728,0.077,0.484,0.177,1.133,0.083,2.395,1.289,2.616,3.206,0.317,0.419,8.817,0.089,20.119
Breast-GC1003970,1.100,2.344,1.658,6.660,3.822,2.431,5.894,2.628,4.662,8.837,12.685,8.599,2.250,1.372,1.483,1.431,0.963,1.461,0.634,1.117,1.004,1.320,0.318,0.048,0.135,0.049,1.306,0.170,0.072,0.000,0.221,1.046,1.396,1.584,2.101,0.756,0.138,1.563,0.904,1.148,12.686
Breast-GC1003971,2.215,3.658,4.135,1.240,2.456,3.667,3.739,1.172,0.678,6.803,9.186,0.054,1.772,4.664,2.118,0.385,2.417,2.971,1.183,1.944,0.784,0.084,0.944,0.275,0.187,0.333,0.018,0.052,0.314,0.064,0.735,0.652,0.116,1.455,3.537,2.093,0.314,0.222,6.602,7.304,17.459
Breast-GC1003972,4.187,1.991,4.339,2.980,2.864,1.950,0.279,2.648,3.388,9.353,0.686,5.803,1.122,1.798,2.517,2.176,1.822,1.063,0.012,2.967,0.759,0.394,0.368,0.414,0.413,0.387,0.110,0.105,0.182,0.507,0.089,0.567,1.919,1.297,2.338,2.679,0.101,0.305,4.274,8.405,20.442
Breast-GC1003974,1.746,0.887,10.527,1.941,7.591,5.093,5.893,6.792,9.152,0.528,6.656,4.831,0.882,2.019,0.470,0.409,0.823,0.606,0.372,0.623,0.337,0.871,0.761,0.151,0.037,0.273,0.138,0.247,0.613,0.538,0.342,0.363,1.875,1.524,0.864,0.032,0.106,2.472,2.590,2.682,15.344
Breast-GC1002311,0.626,5.319,3.499,1.352,2.120,1.641,1.122,10.381,6.764,0.437,7.083,7.589,0.817,0.793,2.027,1.481,0.326,2.916,1.672,2.686,0.109,0.571,0.270,0.026,0.084,0.122,0.073,0.009,0.000,0.000,0.011,0.087,6.905,0.110,0.049,0.101,0.016,0.478,0.095,12.609,17.623
Breast-GC1004006,2.520,4.290,2.958,4.022,5.303,6.395,3.918,3.876,3.787,7.262,5.492,0.905,0.149,3.470,2.834,1.447,0.667,1.031,2.799,0.010,0.594,0.339,1.864,0.017,0.166,0.193,0.205,0.008,0.009,0.000,0.181,0.363,3.869,0.547,1.970,0.060,0.085,2.156,2.086,4.304,17.848
Breast-GC1004007,0.061,4.467,3.129,3.166,2.823,1.882,6.968,1.382,0.364,6.420,0.199,2.792,1.522,0.982,3.098,3.070,0.729,1.444,3.410,0.318,0.303,1.019,0.904,0.030,0.109,0.396,0.388,0.014,0.014,0.001,0.131,0.668,4.429,0.682,1.629,2.847,0.042,0.097,10.928,4.328,22.816
Breast-GC1004008,2.065,2.628,5.156,5.953,9.487,2.081,10.261,3.586,8.946,1.541,5.514,0.956,0.825,1.050,0.731,1.976,0.280,1.303,0.016,2.782,0.298,1.142,0.941,0.013,0.057,0.045,0.129,0.023,0.020,0.214,0.221,0.175,3.185,0.718,0.768,0.112,0.189,1.164,2.287,6.591,14.575
Breast-GC1004009,2.418,1.025,7.444,9.090,8.784,3.060,4.577,2.930,8.739,3.879,1.064,4.395,0.449,0.390,1.588,1.245,2.375,0.229,0.600,1.346,0.007,0.427,1.113,0.245,0.723,0.088,0.869,0.027,0.069,0.058,0.634,0.477,0.878,1.660,3.279,3.980,0.233,0.000,1.709,0.992,16.904
Breast-GC110693,1.003,1.689,5.486,11.585,3.966,6.439,3.791,4.421,6.754,4.980,1.325,3.838,0.765,2.275,0.392,0.463,0.511,0.650,1.997,0.053,2.239,0.167,0.914,0.056,0.127,0.567,0.264,0.017,0.094,0.043,1.052,0.909,1.289,3.567,2.827,3.121,0.013,2.068,0.167,0.311,17.807
Breast-GC110694,1.339,1.630,4.919,3.254,5.159,1.852,1.507,8.024,7.135,5.189,4.442,2.751,3.140,0.364,3.129,1.946,0.712,4.346,0.380,1.784,0.512,0.638,0.629,0.074,0.395,0.114,0.298,0.005,0.012,0.000,0.104,0.300,4.880,0.697,0.347,1.153,0.034,0.751,5.965,0.780,19.311
Breast-GC110695,1.921,4.482,0.723,3.984,3.352,3.258,3.538,3.659,1.773,3.904,1.698,4.032,3.045,2.572,1.424,2.136,0.393,0.513,0.868,2.499,0.339,0.639,2.613,0.085,0.094,0.254,0.795,0.054,0.001,0.000,0.275,1.380,7.818,1.630,0.797,3.880,0.177,0.390,1.067,2.806,25.132
Breast-GC110696,4.229,2.605,4.520,1.586,2.943,3.301,4.910,4.619,4.936,4.150,5.239,2.343,0.802,2.962,2.543,2.048,2.499,0.035,2.023,0.487,0.863,1.672,2.037,0.001,0.055,0.023,0.061,0.001,0.002,0.000,0.151,0.147,3.173,1.904,0.535,0.024,0.008,2.149,4.018,4.528,19.867
Breast-GC116960,0.271,2.147,4.948,1.307,4.756,4.724,3.945,3.694,2.525,6.829,5.167,6.308,1.640,2.295,1.246,0.034,3.813,1.508,2.294,2.406,0.342,1.422,2.467,0.035,0.389,0.501,0.150,0.107,0.084,0.096,0.443,0.748,3.166,1.500,1.508,0.334,0.047,2.772,1.746,2.838,17.448
Breast-GC116963,0.775,0.556,8.584,1.819,20.275,4.823,11.311,1.436,14.132,1.477,1.797,1.477,0.448,0.500,0.588,0.991,1.788,0.785,0.496,1.731,0.284,0.589,0.083,0.006,0.011,0.021,0.010,0.003,0.030,0.033,0.016,0.017,0.424,1.978,0.409,0.094,0.024,1.365,0.018,7.250,11.546
Breast-GC116964,2.500,3.249,0.725,4.230,0.450,3.614,3.187,2.139,3.878,6.386,6.741,2.524,2.755,4.031,0.036,0.132,0.349,0.245,0.137,0.281,3.081,0.293,1.056,0.003,0.003,0.945,0.715,0.003,0.000,0.000,0.349,2.853,4.654,0.963,4.500,0.068,0.003,6.081,0.088,0.209,26.542
Breast-GC116965,8.723,0.584,1.634,0.366,3.275,0.503,2.063,2.575,3.340,1.991,2.662,3.842,2.010,0.776,1.126,2.845,2.761,0.534,2.008,2.912,0.916,0.113,0.306,0.030,0.085,0.520,0.089,0.009,0.001,0.000,0.054,0.217,3.619,0.780,1.825,0.554,0.015,0.714,9.613,10.354,23.656
Breast-GC116966,2.489,3.312,1.244,2.257,3.328,0.780,6.553,2.938,1.257,1.189,5.627,5.326,0.918,1.693,2.802,0.352,2.626,1.982,1.622,0.143,0.034,0.673,0.773,0.002,0.007,0.002,0.052,0.001,0.000,0.000,0.002,0.003,3.912,0.192,0.099,0.000,0.068,0.601,2.633,24.102,18.405
Breast-GC116967,1.972,2.879,3.906,1.463,3.301,6.120,2.844,4.094,0.822,5.697,6.543,1.565,1.687,3.522,1.633,1.786,1.163,0.269,1.299,1.939,0.381,1.106,1.647,0.028,0.043,0.303,0.522,0.025,0.026,0.000,0.860,0.748,2.933,4.196,1.626,3.987,0.091,0.815,0.444,2.045,23.671
Breast-GC116968,0.669,3.004,3.276,5.189,7.469,4.692,10.315,4.678,10.435,0.663,1.002,3.467,0.982,0.546,2.174,1.369,1.215,1.342,0.201,2.281,0.682,0.174,0.507,0.036,0.104,0.197,0.205,0.015,0.019,0.017,0.059,0.209,0.982,1.582,1.148,0.129,0.781,0.389,6.464,3.506,17.825
Breast-GC116969,2.351,1.180,9.727,11.970,8.073,7.498,8.159,0.281,6.237,2.184,3.497,0.755,0.916,0.807,0.960,1.713,1.299,1.923,0.780,0.458,1.005,0.048,0.916,0.003,0.057,0.125,0.011,0.014,0.002,0.000,0.020,0.082,0.727,1.370,1.541,0.107,0.002,1.924,1.058,4.896,15.324
Breast-GC116970,4.497,0.285,0.741,4.301,4.551,9.654,8.710,2.370,7.083,3.626,4.867,2.267,1.302,0.793,3.370,0.018,2.857,0.199,0.560,2.969,1.523,0.084,0.537,0.081,0.150,0.054,0.385,0.026,0.132,0.126,0.474,0.195,3.314,1.322,1.072,2.446,0.160,0.051,4.163,0.922,17.760
Breast-GC116971,4.707,1.659,1.764,1.858,2.148,5.395,7.385,1.150,5.452,7.087,1.319,1.385,0.330,2.579,4.192,2.109,1.398,1.538,2.789,1.977,0.320,2.002,1.011,0.151,0.175,0.218,0.158,0.075,0.053,0.089,0.088,0.056,3.971,0.397,0.719,1.661,0.168,0.376,1.934,10.705,17.452
Breast-GC110676,2.772,2.892,5.681,5.594,0.860,2.407,8.294,7.055,1.567,2.875,3.135,3.686,0.802,2.210,2.693,1.754,0.866,0.893,1.364,1.360,0.567,0.588,2.038,0.022,0.097,0.064,0.251,0.007,0.037,0.276,0.035,0.099,5.442,0.993,0.760,0.088,0.848,0.673,3.642,1.850,22.863
Breast-GC110678,3.721,3.083,2.058,7.846,3.300,2.383,0.605,2.423,5.172,2.747,11.019,7.616,2.426,1.385,2.379,1.340,1.489,1.992,0.825,0.746,1.012,1.264,0.003,0.090,0.480,0.370,0.317,0.139,1.009,0.289,0.602,0.451,2.349,1.433,1.005,1.001,0.188,1.683,3.828,4.697,13.233
Breast-GC110679,3.070,1.255,2.399,0.185,3.445,4.457,0.876,4.681,6.126,1.250,4.033,3.646,0.857,1.561,2.453,1.385,2.444,2.573,0.587,0.647,0.674,0.949,1.125,3.326,2.210,2.855,2.333,2.502,0.366,0.597,0.935,0.136,0.181,1.745,3.389,0.445,2.061,0.414,6.714,0.026,19.093
Breast-GC110680,0.996,5.348,5.406,6.426,4.398,2.182,3.007,8.751,4.448,2.675,3.905,2.412,0.895,0.605,0.433,1.290,1.202,1.388,1.197,2.546,0.569,0.602,0.947,0.012,0.144,0.258,0.071,0.001,0.002,0.001,0.041,0.909,0.473,3.274,2.965,1.531,0.170,1.205,3.168,2.508,21.638
Breast-GC110681,0.722,0.624,5.141,3.318,0.593,3.336,0.680,2.713,1.933,0.056,0.053,0.148,0.409,2.021,0.004,0.009,0.010,0.000,0.054,0.010,0.521,0.097,0.117,0.009,3.235,5.508,3.352,0.027,0.000,0.000,3.841,7.344,0.251,18.188,1.291,0.005,0.000,10.275,0.012,0.070,24.022
Breast-GC110682,1.843,2.041,5.498,8.622,6.264,0.085,4.730,4.316,1.613,1.336,5.008,5.534,3.969,1.050,0.813,1.019,0.183,0.705,1.512,0.828,2.224,1.377,1.512,0.033,0.014,0.260,1.054,0.010,0.019,0.000,0.379,2.305,2.360,1.644,4.977,2.321,0.121,2.172,0.256,0.227,19.768
Breast-GC110683,3.434,1.886,1.714,7.852,7.555,2.640,1.877,3.155,0.144,1.663,3.086,4.060,0.133,5.625,0.609,0.260,0.111,0.045,0.920,1.109,4.116,0.189,0.413,0.041,0.045,1.033,0.599,0.091,0.004,0.000,0.840,2.553,5.276,3.658,1.606,5.469,0.001,1.027,0.395,0.913,23.855
Breast-GC110684,2.449,2.151,10.276,0.151,4.341,7.061,5.758,5.557,3.613,6.000,4.109,2.882,0.306,3.187,0.623,1.243,0.234,2.294,0.736,0.088,1.565,1.159,1.077,0.025,0.105,0.292,0.192,0.022,0.306,0.021,0.395,1.351,0.729,4.166,1.495,1.372,0.243,2.593,0.700,1.505,17.627
Breast-GC110685,3.693,2.939,3.267,1.471,1.676,1.580,2.538,3.044,3.013,2.954,7.872,5.427,3.777,2.721,2.132,0.649,5.088,1.609,3.293,3.094,2.346,0.862,0.990,0.067,0.379,0.291,0.666,0.026,0.101,0.000,0.556,0.895,1.830,1.982,1.555,0.625,1.087,0.076,4.285,5.922,13.619
Ovarian-GC110686,1.606,4.126,1.008,0.899,1.326,4.153,2.298,4.594,6.243,3.284,2.375,0.896,1.457,0.102,2.651,2.374,1.282,2.878,2.208,0.442,0.135,0.187,0.567,0.000,0.004,0.004,0.004,0.000,0.001,0.002,0.000,0.000,0.199,0.370,0.190,0.000,0.000,0.002,1.691,43.020,7.422
Ovarian-GC114179,1.644,5.692,0.706,4.817,2.114,1.365,6.820,6.740,0.805,10.076,1.715,2.560,1.505,0.820,2.598,2.710,1.885,1.543,0.456,1.445,0.538,0.393,0.321,0.002,0.204,0.065,0.043,0.002,0.045,0.140,0.007,0.035,2.155,0.483,1.285,0.000,0.033,0.102,13.631,9.890,12.609
Ovarian-GC114180,0.703,2.841,2.532,2.176,2.427,0.924,4.195,4.575,3.971,8.913,3.493,1.198,1.304,1.561,0.145,2.928,2.591,7.164,1.108,0.998,0.369,0.297,1.111,0.032,0.046,0.015,0.006,0.004,0.018,0.401,0.000,0.000,1.243,0.023,0.025,0.001,0.049,0.002,4.477,27.637,8.495
Ovarian-GC114181,8.066,2.054,2.577,1.861,2.302,3.328,5.102,3.701,1.497,2.647,1.194,3.634,0.809,0.248,2.659,2.388,0.422,2.036,1.528,1.019,0.319,0.414,0.192,0.974,1.465,0.170,0.825,0.922,0.052,0.417,0.586,0.112,0.123,0.316,2.545,0.238,0.683,0.344,21.708,10.748,7.773
Ovarian-GC114182,0.197,1.043,4.289,5.440,0.444,3.367,0.772,3.012,2.772,0.205,0.688,0.713,0.137,0.099,0.001,0.004,0.002,0.002,0.029,0.009,0.029,0.077,0.000,0.005,0.172,5.014,0.174,0.009,1.334,0.000,0.886,5.852,0.000,0.000,48.646,1.847,0.145,0.303,0.016,0.031,12.232
Ovarian-GC116977,1.715,5.327,2.291,0.049,4.872,5.928,3.857,2.672,2.698,1.599,2.617,8.772,1.778,2.363,1.460,0.285,2.590,1.537,0.964,2.717,1.172,0.899,0.331,0.048,0.162,0.064,0.226,0.047,0.092,0.034,0.019,0.791,5.945,1.465,0.984,0.163,0.955,0.821,5.667,0.629,23.394
Ovarian-GC116979,1.683,0.478,1.521,3.474,0.647,2.719,7.833,8.408,6.421,4.061,2.924,2.850,0.208,0.638,0.204,3.874,2.904,0.092,1.569,2.628,0.581,0.288,0.851,0.170,1.066,0.431,0.171,0.114,0.125,0.260,0.031,0.101,0.926,1.180,14.218,0.015,0.711,0.126,10.661,3.747,9.089
Ovarian-GC116982,2.248,4.669,2.984,1.152,0.547,3.821,6.247,1.481,5.143,0.082,5.972,1.854,1.463,4.882,2.224,0.926,4.336,0.066,2.010,2.739,0.496,0.596,0.466,0.066,0.551,0.149,0.251,0.022,0.012,0.000,0.348,0.790,1.333,0.471,14.999,1.066,0.010,0.374,9.911,1.263,11.984
Ovarian-GC116990,1.210,0.457,8.321,1.791,1.970,2.210,6.883,5.862,7.967,8.816,0.941,4.981,0.990,2.662,2.375,1.137,1.742,1.349,1.149,1.607,1.096,1.142,0.603,0.160,0.373,0.665,0.226,0.013,0.174,0.021,0.828,0.618,0.084,3.014,3.030,0.483,2.160,0.018,3.109,0.238,17.524
Ovarian-GC119363,2.298,4.683,2.537,2.721,0.459,5.716,2.416,4.355,0.877,0.772,2.301,2.020,0.397,1.230,3.027,3.253,0.976,2.681,0.794,3.900,0.581,0.258,0.599,0.217,0.312,0.293,0.270,0.099,0.010,0.188,0.322,0.089,4.254,7.292,0.514,0.774,0.029,0.000,8.146,19.067,9.274
Ovarian-GC119364,0.582,1.568,3.683,1.081,5.913,7.496,5.988,5.379,2.203,9.669,2.367,3.826,2.008,1.630,1.815,1.892,2.629,3.607,2.137,1.193,0.517,0.241,2.720,0.056,0.268,0.185,0.050,0.003,0.096,0.024,0.105,0.325,0.068,1.883,1.388,1.168,0.078,1.208,3.425,5.035,14.491
Ovarian-GC119365,0.173,0.290,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.007,0.014,0.010,0.011,0.021,0.162,0.026,0.165,0.035,0.166,0.063,0.007,0.222,0.125,0.002,0.616,0.022,0.029,0.001,0.008,0.000,0.354,0.199,0.001,97.155,0.063,0.001,0.001,0.004,0.024,0.023,0.000
Ovarian-GC119366,3.982,4.429,0.578,1.039,0.977,0.443,2.722,1.483,1.220,2.576,2.686,1.793,0.257,0.401,6.166,0.228,5.179,2.703,0.395,2.151,0.152,0.308,0.067,0.490,0.240,0.059,0.319,0.159,0.227,0.132,0.060,0.093,0.346,0.252,0.458,0.056,0.004,0.000,41.357,4.828,8.984
Colorectal-GC121326,8.533,6.599,4.482,7.001,8.378,3.009,4.331,1.512,6.730,0.076,2.867,1.042,0.774,0.239,0.378,1.047,1.960,3.968,0.310,1.307,0.500,0.588,0.525,0.053,0.085,0.626,0.081,0.019,0.049,0.004,0.792,0.327,6.481,1.038,0.039,0.877,0.176,0.786,6.005,0.938,15.469
Colorectal-GC121327,0.844,0.344,2.005,0.370,0.348,1.215,7.391,1.252,2.295,2.615,4.702,4.862,0.065,0.627,3.315,2.836,1.576,5.726,2.864,1.083,0.072,0.356,0.506,1.316,0.065,0.004,0.000,0.552,1.447,9.949,0.000,0.000,0.230,0.009,0.270,0.000,3.461,0.000,8.314,20.567,6.546
Colorectal-GC121328,8.458,30.636,1.785,0.307,1.194,1.430,0.995,0.171,0.908,3.509,3.599,0.926,0.554,2.764,0.627,0.134,0.672,0.220,1.375,0.451,0.391,0.498,0.990,0.001,0.044,0.352,0.721,0.042,0.068,0.000,0.522,1.086,4.711,0.536,0.465,0.177,0.252,1.595,3.660,5.454,17.717
Colorectal-GC121329,7.854,7.038,0.050,0.488,0.056,0.430,0.694,0.453,0.498,2.206,3.261,1.604,0.257,0.092,3.912,6.634,4.461,3.326,3.843,0.863,0.341,0.635,0.759,0.062,1.199,0.013,0.027,0.018,0.050,0.070,7.566,14.652,1.794,1.933,2.491,0.172,0.010,2.738,3.719,5.958,7.775
Colorectal-GC121330,2.071,0.238,5.204,2.810,3.053,1.474,0.451,0.116,4.793,0.486,1.457,1.182,0.059,0.264,1.088,1.187,3.570,2.196,0.721,1.847,0.118,0.260,0.152,0.384,0.103,0.615,3.010,0.046,0.066,0.009,2.365,1.521,0.086,0.060,3.506,10.427,0.000,0.000,28.236,0.011,14.758
Colorectal-GC1003994,1.916,5.104,3.162,1.985,3.131,5.601,3.990,7.222,0.362,2.550,4.228,2.293,0.400,0.763,2.789,3.178,3.870,0.920,0.804,2.581,0.113,0.326,0.522,0.004,0.035,0.017,0.007,0.001,0.004,0.077,0.004,0.000,0.388,0.697,1.656,0.001,0.001,0.082,9.617,17.961,11.639
Colorectal-GC1003995,0.464,0.866,2.654,1.103,1.152,3.810,4.028,1.437,4.449,1.645,3.124,0.410,0.432,0.646,2.927,1.185,0.208,2.770,0.708,2.761,1.234,1.368,1.384,0.024,0.665,0.186,0.061,0.328,7.872,12.732,10.646,1.044,3.590,0.478,1.146,0.417,3.883,0.069,2.420,0.893,12.780
Colorectal-GC1003996,2.603,0.753,0.805,8.021,6.606,12.266,3.073,0.649,6.780,2.452,3.059,3.713,1.428,0.892,0.131,0.789,1.749,2.409,2.095,2.141,0.491,1.656,0.654,0.249,0.532,0.121,0.098,0.104,0.135,1.325,0.181,0.304,1.967,0.751,1.234,0.168,0.440,1.713,8.310,1.743,15.413
Colorectal-GC1003997,2.610,1.664,1.526,3.720,3.726,1.725,9.527,6.563,2.367,0.490,6.255,2.829,0.051,1.740,0.616,0.883,3.677,2.906,1.248,2.599,0.213,0.345,0.347,0.049,0.072,0.020,0.019,0.029,0.008,0.020,0.000,0.000,0.804,0.128,0.070,0.004,0.084,0.022,2.143,29.374,9.527
Colorectal-GC1003998,4.979,1.285,0.280,2.853,4.066,3.699,5.925,2.750,3.844,4.112,4.366,2.202,2.847,1.825,2.856,0.144,2.184,1.410,1.618,0.585,1.147,0.140,1.430,0.030,0.188,0.398,0.204,0.009,1.991,0.511,1.045,0.400,1.895,1.491,1.489,0.672,0.205,0.798,3.716,14.257,14.154
Colorectal-GC1003999,3.872,0.339,2.096,0.878,0.260,2.610,2.476,2.879,2.160,0.485,1.101,0.907,0.592,0.090,0.343,1.652,4.581,3.860,0.190,2.055,0.060,0.004,0.172,0.171,0.047,0.370,1.922,0.003,0.001,0.000,0.324,1.325,0.070,0.486,1.572,5.111,0.000,0.000,39.432,0.124,15.377
Colorectal-GC1004000,0.320,0.135,1.683,3.144,0.305,3.930,1.525,1.578,1.329,0.589,1.264,1.330,0.680,1.112,0.929,1.008,1.090,0.344,0.349,2.067,0.350,0.420,0.495,0.758,0.173,0.110,0.259,0.299,2.834,1.132,8.260,28.630,0.381,1.735,6.314,8.958,0.000,0.000,0.286,0.271,13.624
Colorectal-GC1004001,1.185,2.741,5.851,1.574,1.717,7.752,8.982,10.498,1.485,8.628,0.611,0.152,1.104,1.075,1.163,0.044,1.666,2.590,1.991,1.403,0.162,0.315,0.955,0.029,0.042,0.105,0.041,0.020,0.259,0.025,0.085,0.038,1.905,0.387,0.597,0.017,0.043,1.566,0.651,17.819,12.727
Colorectal-GC1004002,5.681,3.880,0.971,4.419,6.030,6.238,3.918,1.413,5.812,0.575,1.530,1.934,1.748,0.833,1.294,1.550,0.243,2.503,0.561,1.846,0.894,0.716,0.697,0.028,0.175,0.136,0.096,0.125,0.453,0.236,0.522,0.317,2.587,0.146,0.478,0.000,0.056,1.551,4.821,21.300,11.684
Colorectal-GC1004003,6.168,4.680,4.890,1.099,1.282,2.467,0.085,5.539,1.609,1.739,6.140,5.857,0.616,1.126,0.147,1.337,2.698,3.279,1.219,2.217,0.238,1.190,0.254,0.519,0.579,0.821,0.427,0.008,0.276,0.020,0.993,0.927,3.387,1.526,1.629,2.707,0.088,0.005,6.569,6.972,16.669
Colorectal-GC137538,2.694,2.288,3.557,5.678,3.542,2.881,0.150,1.760,0.260,9.843,1.498,3.140,0.507,7.192,0.570,1.626,0.704,2.446,0.608,1.238,3.383,1.689,1.624,0.126,0.118,1.686,0.831,0.013,0.104,0.000,2.192,1.183,1.841,0.777,5.358,1.329,0.023,5.840,0.057,0.543,19.102
