Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Breast-GC1002975,3.381,3.914,4.138,0.403,5.054,1.427,2.571,0.011,1.223,11.616,4.842,4.082,9.418,3.661,9.756,5.032,3.681,7.081,1.757,1.615,4.250,7.695,3.390
Breast-GC1002976,6.644,2.681,4.259,2.944,0.611,4.916,7.364,1.715,1.728,5.081,4.151,5.578,3.628,8.259,0.421,6.551,5.231,3.619,5.286,10.396,3.052,4.167,1.721
Breast-GC1002977,1.755,1.766,0.396,0.180,2.775,0.753,7.645,5.944,2.582,2.555,5.469,7.951,16.295,1.245,0.417,2.003,1.340,10.630,1.677,0.458,5.142,13.123,7.897
Breast-GC1002978,5.158,7.268,1.567,1.039,5.125,2.112,4.210,7.476,2.721,0.490,8.630,3.582,7.926,3.110,2.848,0.098,2.959,5.457,2.472,7.606,15.607,0.852,1.688
Breast-GC1002979,4.897,6.009,1.974,1.333,4.569,0.590,3.353,5.133,1.567,7.335,0.951,5.080,5.181,7.325,6.640,6.953,5.880,3.309,1.928,2.323,2.704,14.081,0.883
Breast-GC1002980,2.132,7.508,1.636,1.101,3.249,0.130,3.023,8.052,1.956,8.640,9.894,0.265,2.760,6.826,5.680,1.393,0.127,6.175,6.305,9.087,5.620,1.439,7.003
Breast-GC1002981,2.552,5.439,2.563,1.035,4.653,1.586,3.792,2.877,2.637,7.988,10.574,2.300,3.221,7.978,3.991,4.012,3.269,4.493,6.650,0.142,5.894,7.794,4.560
Breast-GC1003967,3.024,4.904,3.274,0.581,6.996,3.031,2.747,0.219,6.336,1.606,10.002,6.384,3.672,9.371,5.572,3.354,1.633,5.932,8.285,6.165,2.348,3.572,0.990
Breast-GC1003968,3.751,6.330,4.132,2.176,2.921,3.751,4.818,3.412,5.710,5.635,0.429,5.500,6.304,1.238,0.261,10.638,7.967,0.389,2.573,4.335,6.804,0.196,10.729
Breast-GC1003970,2.311,5.955,2.243,1.121,4.715,0.826,2.023,5.380,8.251,7.199,5.292,5.964,12.447,1.324,5.618,5.008,4.614,2.479,0.855,4.938,5.282,1.818,4.336
Breast-GC1003971,1.996,10.416,0.105,1.497,5.425,3.386,4.647,1.980,0.649,9.836,10.123,9.212,3.809,6.008,4.439,2.020,4.774,1.766,3.105,3.576,4.640,1.027,5.564
Breast-GC1003972,5.619,2.788,1.751,2.662,0.112,3.220,4.402,7.907,2.317,6.874,7.344,4.551,1.979,5.698,3.311,5.896,5.995,1.106,6.024,7.371,6.457,0.739,5.879
Breast-GC1003974,3.027,4.279,2.747,2.214,3.121,0.882,2.884,4.179,3.898,3.984,5.429,4.084,8.467,2.717,3.502,0.987,8.731,0.982,1.855,2.067,1.440,11.321,17.203
Breast-GC1002311,2.881,6.906,2.675,0.662,2.912,1.391,2.952,9.336,0.179,9.548,5.544,2.276,7.011,1.028,1.966,1.314,6.318,6.425,7.574,5.664,1.135,7.369,6.933
Breast-GC1004006,0.778,5.715,4.521,0.774,2.841,2.890,5.047,6.172,2.490,4.978,8.438,6.096,5.307,6.459,4.748,1.440,2.493,3.560,5.869,4.423,2.164,6.110,6.686
Breast-GC1004007,4.167,2.016,5.231,1.984,3.683,3.383,1.418,7.049,1.755,5.106,7.495,6.784,0.902,1.378,6.110,8.747,1.728,0.914,6.023,9.441,5.837,8.000,0.850
Breast-GC1004008,0.855,5.606,3.043,1.011,4.430,1.375,2.319,6.426,4.922,5.396,6.216,1.940,6.117,9.615,5.351,2.448,0.915,8.829,6.194,4.478,0.145,4.328,8.041
Breast-GC1004009,3.981,6.038,1.520,1.561,4.838,2.121,2.465,6.198,3.360,2.774,3.678,3.853,0.953,7.896,1.940,8.310,5.036,6.004,5.429,6.412,4.281,2.392,8.962
Breast-GC110693,3.065,3.333,3.999,1.582,5.078,3.669,2.856,3.825,3.790,2.098,5.996,4.335,10.957,7.478,2.988,2.088,8.128,0.120,2.432,5.408,8.640,0.369,7.765
Breast-GC110694,3.236,1.444,3.523,1.315,2.646,1.366,4.159,4.669,5.186,8.291,7.501,3.557,6.625,5.060,6.866,1.839,1.759,6.807,0.687,7.882,5.563,5.025,4.993
Breast-GC110695,6.237,6.921,3.955,2.822,2.115,2.920,6.257,2.995,1.750,2.535,0.854,6.494,4.797,1.104,11.174,4.010,2.398,2.211,1.961,14.199,5.622,1.115,5.550
Breast-GC110696,3.107,5.188,3.767,0.543,5.251,1.847,7.234,1.799,0.515,8.143,9.659,3.997,8.052,3.344,0.319,4.449,3.825,1.023,7.404,2.962,3.648,4.867,9.056
Breast-GC116960,3.184,0.536,2.856,1.388,6.372,2.921,6.524,8.415,1.724,1.030,10.977,7.112,5.925,3.386,1.640,8.392,6.641,0.951,0.840,2.009,7.888,1.809,7.479
Breast-GC116963,0.003,7.422,1.680,0.672,2.984,0.480,1.354,2.792,0.232,3.138,7.124,3.879,30.122,1.133,4.358,4.498,2.982,5.711,0.124,2.218,3.243,6.070,7.783
Breast-GC116964,5.649,3.046,0.007,1.737,11.216,6.062,4.778,0.691,4.179,2.437,2.736,6.011,1.104,0.583,9.639,0.578,5.012,2.200,1.422,10.164,5.896,8.626,6.226
Breast-GC116965,4.561,4.756,3.549,0.535,3.641,3.747,4.883,6.946,4.182,4.669,3.653,4.957,1.745,4.902,8.188,5.238,2.797,2.070,5.296,9.657,4.122,3.678,2.226
Breast-GC116966,1.461,5.438,3.197,0.416,3.058,2.255,4.712,7.111,3.692,8.712,2.073,5.933,2.440,6.027,10.411,5.659,6.628,3.202,4.535,2.504,9.218,0.851,0.467
Breast-GC116967,3.842,8.072,2.843,1.499,3.716,4.459,0.556,5.558,5.459,0.174,4.180,7.646,3.409,1.095,0.349,6.359,10.118,5.574,1.496,13.408,2.230,1.628,6.331
Breast-GC116968,2.215,4.758,3.622,0.867,2.120,1.745,3.229,4.437,6.544,2.544,5.648,2.521,4.662,15.725,6.410,0.378,9.423,4.631,1.502,2.426,6.332,7.784,0.477
Breast-GC116969,0.288,6.749,2.318,0.795,4.485,1.092,0.356,4.059,5.265,2.223,4.591,4.179,16.648,13.473,0.278,4.650,0.676,1.318,8.573,3.675,6.616,6.651,1.042
Breast-GC116970,3.571,8.377,1.163,0.580,2.695,3.205,2.588,7.322,2.169,6.385,6.847,3.420,7.135,0.581,0.068,8.113,0.594,8.311,7.129,1.280,2.632,6.598,9.236
Breast-GC116971,2.796,0.291,4.291,1.188,4.034,1.855,5.958,7.782,4.665,4.161,8.238,6.614,4.685,2.229,1.939,5.025,5.507,4.857,6.689,6.435,5.006,2.893,2.861
Breast-GC110676,3.318,7.646,1.852,0.910,3.678,2.876,2.421,5.401,5.508,4.057,4.210,3.401,4.074,3.843,8.846,0.453,7.414,1.473,5.931,2.909,7.165,4.002,8.612
Breast-GC110678,3.643,6.448,1.646,2.469,3.341,2.104,3.138,2.357,7.943,7.772,11.575,6.430,0.060,7.369,1.380,1.868,7.448,4.642,3.761,3.368,2.747,2.565,5.925
Breast-GC110679,13.358,3.142,3.601,3.165,5.833,2.146,4.024,3.244,2.883,6.404,7.743,3.486,1.166,8.425,6.465,2.591,1.922,0.780,0.464,10.558,0.183,1.638,6.780
Breast-GC110680,2.859,2.252,3.761,1.544,6.716,3.512,3.052,4.298,4.405,1.392,5.657,4.222,6.186,6.494,3.858,4.353,6.907,5.354,7.687,2.454,3.260,4.503,5.275
Breast-GC110681,13.467,0.377,7.644,0.191,12.255,17.349,0.625,0.542,1.997,0.735,0.932,3.082,3.171,5.907,1.239,0.543,2.100,0.282,6.771,10.269,5.987,2.667,1.871
Breast-GC110682,2.959,7.077,3.837,1.186,7.224,4.592,0.667,5.270,3.793,6.589,0.503,5.310,7.536,8.069,0.263,0.940,10.193,6.415,3.903,5.086,6.981,1.476,0.132
Breast-GC110683,4.303,2.232,7.968,1.172,4.857,7.845,6.298,2.035,0.251,8.087,1.467,5.992,5.641,5.285,0.968,4.043,11.177,3.634,3.394,0.588,3.428,5.480,3.858
Breast-GC110684,2.984,3.702,4.226,1.283,6.763,2.593,3.550,1.248,6.006,0.074,7.250,5.707,11.950,3.132,1.362,3.876,0.673,2.581,4.873,6.769,7.363,9.958,2.079
Breast-GC110685,4.550,5.011,0.826,0.694,1.113,2.695,6.855,8.514,5.694,11.196,5.673,8.451,5.357,2.344,0.453,1.465,5.164,3.341,4.486,7.417,4.065,3.488,1.148
Ovarian-GC110686,0.298,7.436,2.596,1.008,3.594,0.203,5.599,1.351,6.507,13.348,0.456,5.189,3.830,1.258,2.447,7.650,0.940,6.114,9.599,5.820,2.648,7.223,4.885
Ovarian-GC114179,2.744,0.199,3.454,1.685,4.037,0.830,4.929,9.075,0.390,9.835,11.705,5.911,4.852,4.449,4.588,7.476,3.597,7.675,2.302,5.108,2.995,0.629,1.534
Ovarian-GC114180,0.528,6.868,1.855,1.399,3.250,0.346,4.759,10.192,7.946,6.650,9.803,6.512,0.047,8.187,0.965,7.059,5.255,2.137,2.208,4.319,3.117,1.368,5.228
Ovarian-GC114181,6.151,6.691,4.646,2.465,4.205,1.875,4.090,13.510,1.276,6.819,5.619,5.478,0.662,4.865,1.138,1.251,5.282,4.255,3.544,3.415,3.939,3.651,5.172
Ovarian-GC114182,8.135,3.135,11.773,1.539,17.244,13.644,1.920,0.882,1.945,5.003,1.727,0.734,4.495,6.429,6.170,6.387,0.601,1.307,0.370,0.386,3.336,1.764,1.077
Ovarian-GC116977,5.227,0.250,4.370,1.151,7.675,0.102,4.368,4.248,7.083,6.637,4.222,2.644,2.176,1.532,8.944,1.872,2.408,5.445,0.611,14.478,0.321,6.693,7.543
Ovarian-GC116979,3.079,8.324,4.552,3.413,7.395,0.153,3.156,8.150,7.666,4.607,0.596,3.868,5.545,6.316,2.944,3.085,3.081,5.157,3.215,1.201,7.638,1.311,5.550
Ovarian-GC116982,2.133,5.593,3.910,1.494,10.746,3.549,1.448,8.883,8.737,9.415,5.891,1.883,3.831,1.911,5.910,0.526,0.856,0.990,5.835,1.452,7.015,2.522,5.471
Ovarian-GC116990,2.711,5.341,3.869,1.756,2.994,1.689,4.881,2.457,7.021,5.890,4.250,4.533,5.866,7.918,2.294,0.340,4.832,8.320,0.553,7.759,3.254,6.927,4.546
Ovarian-GC119363,3.596,4.808,3.976,1.704,9.950,2.221,5.133,1.652,14.023,2.509,5.267,4.181,2.102,1.984,2.266,2.808,3.993,5.630,6.042,1.686,6.410,2.393,5.667
Ovarian-GC119364,1.852,1.255,4.335,1.875,3.011,0.390,5.628,10.821,6.665,3.054,3.198,4.780,7.604,3.517,6.660,3.125,10.208,8.648,3.176,0.913,4.069,4.974,0.244
Ovarian-GC119365,6.448,2.059,4.155,1.276,60.538,8.563,2.347,1.420,0.464,1.038,0.155,0.836,0.356,0.204,0.612,0.913,0.943,0.429,0.922,1.185,2.533,0.637,1.967
Ovarian-GC119366,2.511,8.964,3.991,2.649,4.807,2.460,4.824,10.279,9.248,6.237,6.184,5.215,2.519,1.408,1.778,4.017,5.139,2.035,6.429,1.542,3.329,3.504,0.929
