Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Breast-GC1002975,2.192,3.160,0.435,0.000,2.562,1.455,3.050,5.033,1.040,20.376,15.649,5.308,39.739
Breast-GC1002976,6.007,4.237,0.905,0.708,3.673,4.578,4.871,1.576,6.833,16.132,7.969,3.998,38.512
Breast-GC1002977,0.409,0.723,0.000,0.000,0.000,0.000,8.963,0.000,1.557,9.425,14.278,14.079,50.566
Breast-GC1002978,3.828,2.559,1.169,0.000,3.836,2.135,3.380,4.366,0.108,19.810,21.582,5.666,31.561
Breast-GC1002979,6.268,3.406,0.605,0.000,2.130,1.420,3.112,1.243,3.485,13.185,13.332,3.812,48.000
Breast-GC1002980,0.927,2.600,0.326,0.000,2.698,0.689,3.736,4.941,0.703,26.951,14.451,5.708,36.269
Breast-GC1002981,2.226,3.010,0.612,0.000,2.514,1.824,3.067,4.246,0.000,18.798,17.536,4.682,41.485
Breast-GC1003967,1.164,4.214,0.000,0.000,2.753,0.961,2.876,1.601,5.629,25.844,18.091,4.625,32.241
Breast-GC1003968,4.258,2.327,1.656,0.241,3.470,2.780,3.563,4.823,2.199,22.345,11.129,6.110,35.099
Breast-GC1003970,3.034,2.968,1.000,0.000,2.932,1.751,3.358,4.905,1.444,10.413,32.725,4.821,30.648
Breast-GC1003971,2.333,4.597,0.131,0.000,2.924,2.196,3.205,6.435,0.000,22.236,22.829,9.958,23.157
Breast-GC1003972,3.717,3.899,0.468,0.000,3.393,2.381,3.016,2.475,1.918,25.096,21.388,6.244,26.006
Breast-GC1003974,1.318,3.828,0.180,0.249,1.871,0.673,3.210,0.000,0.000,15.486,15.801,5.083,52.300
Breast-GC1002311,2.185,2.978,0.350,0.000,2.888,1.718,3.159,5.194,0.000,23.295,19.076,5.333,33.823
Breast-GC1004006,1.684,3.447,0.720,0.000,2.358,1.150,3.893,4.924,0.714,20.941,18.701,6.298,35.171
Breast-GC1004007,3.527,3.252,0.131,0.000,3.594,2.219,4.073,5.716,0.000,27.693,16.937,6.350,26.508
Breast-GC1004008,1.123,3.289,0.318,0.000,2.916,1.200,3.657,3.949,0.257,18.510,10.837,4.210,49.734
Breast-GC1004009,4.853,4.535,0.943,0.000,3.735,3.099,2.703,0.000,2.732,12.972,11.943,2.166,50.319
Breast-GC110693,1.036,3.712,1.216,0.000,3.305,1.163,3.216,0.343,6.142,12.543,15.543,3.290,48.491
Breast-GC110694,2.828,3.472,0.465,0.000,2.568,1.695,3.252,4.156,0.109,20.057,16.280,6.352,38.767
Breast-GC110695,2.171,3.238,0.922,0.000,3.225,1.582,4.396,6.847,0.000,25.776,17.379,7.527,26.938
Breast-GC110696,0.419,3.684,0.507,0.000,2.133,1.035,6.254,2.229,4.127,23.487,16.338,6.002,33.786
Breast-GC116960,1.863,3.345,0.937,0.000,2.612,1.507,5.595,6.438,0.000,17.412,21.856,6.572,31.862
Breast-GC116963,0.710,2.880,0.510,0.000,2.512,0.910,2.030,1.985,0.000,12.065,7.089,3.177,66.133
Breast-GC116964,1.890,3.482,0.392,0.000,2.804,1.398,4.673,4.245,0.000,22.764,25.595,7.717,25.040
Breast-GC116965,3.465,3.508,0.235,0.000,3.071,1.785,3.613,6.412,0.000,33.408,14.647,7.446,22.409
Breast-GC116966,1.632,3.167,0.184,0.000,1.671,0.650,3.980,4.565,0.000,32.261,18.259,7.539,26.092
Breast-GC116967,1.786,3.844,0.661,0.000,3.646,1.742,3.930,5.447,0.288,20.934,20.233,7.345,30.145
Breast-GC116968,1.805,2.872,0.283,0.000,1.912,1.434,2.804,3.659,0.788,19.941,9.226,3.962,51.316
Breast-GC116969,0.775,3.259,0.118,0.000,1.641,0.409,3.090,2.277,2.419,15.183,10.472,3.078,57.281
Breast-GC116970,2.667,3.377,0.567,0.000,3.053,2.062,3.887,4.849,0.587,17.985,14.189,4.216,42.563
Breast-GC116971,2.599,3.586,0.489,0.000,2.595,1.410,5.375,5.380,1.827,24.059,14.495,6.867,31.317
Breast-GC110676,2.293,2.673,0.528,0.000,2.993,0.673,4.213,3.733,1.530,23.804,14.159,5.952,37.450
Breast-GC110678,2.554,3.367,1.365,0.370,2.818,2.337,3.528,3.407,3.180,17.683,24.434,5.638,29.320
Breast-GC110679,15.177,3.002,1.534,0.223,3.040,2.423,3.508,4.615,0.691,18.239,13.351,4.748,29.451
Breast-GC110680,2.126,2.255,0.553,0.000,3.588,1.780,3.228,0.014,3.633,21.972,14.789,4.174,41.888
Breast-GC110681,13.204,0.000,4.378,0.000,8.132,11.683,2.445,0.000,0.000,18.842,5.464,4.532,31.320
Breast-GC110682,1.937,3.935,0.975,0.000,3.116,2.247,4.701,6.470,1.026,15.299,17.328,5.839,37.125
