Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Breast-GC1002975,2.039,3.108,6.051,3.440,7.916,2.652,7.354,6.377,0.254,4.988,1.754,4.602,1.214,1.741,1.114,0.044,0.806,1.238,0.849,2.025,0.938,0.411,0.206,0.003,0.053,0.244,0.164,0.001,0.001,0.000,0.218,0.217,7.465,0.029,3.971,1.584,1.119,0.499,1.181,0.732,21.395
Breast-GC1002976,1.466,3.040,7.286,9.467,4.403,1.838,0.664,3.021,6.231,1.585,0.520,0.894,1.366,1.359,0.078,0.965,0.148,0.088,1.439,1.300,2.257,0.258,0.673,0.001,0.007,0.293,0.106,0.000,0.004,0.000,0.240,1.350,0.840,1.533,1.894,0.048,0.002,26.144,0.123,0.198,16.872
Breast-GC1002977,0.010,0.005,27.237,1.298,2.664,11.784,1.229,5.912,0.481,9.203,0.076,0.297,13.633,1.165,0.050,0.118,0.080,0.156,0.588,0.156,8.320,0.233,0.248,0.000,0.000,0.026,0.009,0.000,0.000,0.000,0.494,0.051,0.000,0.974,0.024,0.017,0.003,0.000,0.001,0.000,13.455
Breast-GC1002978,0.783,0.375,0.097,5.808,2.437,5.658,1.441,5.072,4.881,8.979,3.415,4.888,0.478,1.627,0.370,1.375,1.191,1.244,0.839,1.242,0.471,0.521,1.055,0.010,2.141,0.039,0.514,0.001,0.000,0.000,0.027,0.542,5.161,0.317,5.080,7.393,0.010,0.005,1.258,1.896,21.360
Breast-GC1002979,1.372,1.453,12.457,10.844,5.098,0.217,3.607,7.811,3.880,1.404,5.560,4.341,2.230,0.130,1.788,0.975,0.544,0.807,1.547,0.451,1.075,1.083,0.068,1.035,0.035,0.729,0.658,1.199,0.341,0.017,0.397,0.140,5.288,1.435,1.041,0.290,3.834,0.194,0.115,0.829,13.683
Breast-GC1002980,1.172,2.701,2.268,3.762,0.723,4.826,16.974,0.963,1.868,2.662,4.706,2.619,0.945,0.449,0.707,2.526,1.671,3.704,0.270,3.939,0.445,0.474,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.891,0.001,1.974,3.089,0.009,0.005,2.602,0.624,24.409
Breast-GC1002981,2.762,2.245,7.990,0.114,2.499,7.731,5.374,9.025,3.566,1.111,5.522,7.407,0.736,0.997,0.658,0.024,1.245,1.615,1.110,0.561,0.361,0.549,0.500,0.000,0.004,0.123,0.180,0.000,0.000,0.000,0.020,0.431,9.057,0.029,1.764,0.770,0.616,2.364,0.563,2.460,17.918
Breast-GC1003967,2.168,5.160,2.580,4.949,0.964,2.782,5.711,0.703,7.701,3.579,4.434,5.190,1.659,1.033,1.397,1.989,1.542,0.196,0.791,0.424,0.583,0.246,0.061,0.008,0.000,0.000,0.417,0.000,0.045,0.001,0.194,0.161,7.519,2.048,2.246,1.852,1.396,0.352,1.402,1.780,24.735
Breast-GC1003968,1.868,2.704,4.106,4.164,5.149,4.085,4.899,3.711,3.258,2.643,1.077,3.328,0.212,1.478,0.498,2.279,0.727,0.780,2.704,2.679,0.543,0.530,0.451,0.063,0.039,0.714,0.302,0.182,0.697,0.158,0.082,1.761,1.534,1.228,4.941,2.508,0.070,10.603,0.186,1.285,19.775
Breast-GC1003970,1.649,3.010,5.386,5.209,4.553,3.062,4.813,4.168,1.086,10.048,8.649,11.581,3.062,0.301,0.249,0.004,0.370,1.097,0.466,0.657,0.449,0.928,0.454,0.000,0.116,0.256,0.655,0.020,0.021,0.000,0.079,1.093,0.595,0.574,5.050,2.777,0.166,0.520,3.794,1.365,11.667
Breast-GC1003971,0.538,2.579,2.725,0.991,0.769,2.154,1.235,3.529,5.572,3.732,7.227,7.628,2.991,2.763,0.647,1.939,2.005,1.196,2.464,1.526,0.570,0.383,0.088,0.016,0.000,0.011,0.197,0.007,0.083,0.264,0.366,1.132,4.275,2.056,1.762,3.885,0.142,3.671,0.798,8.475,17.609
Breast-GC1003972,2.828,2.022,2.786,3.098,1.139,2.221,1.642,4.428,4.314,4.606,7.524,4.425,1.742,1.369,1.336,1.145,0.733,0.238,1.376,1.289,0.253,0.292,1.064,0.135,0.396,0.101,0.104,0.005,0.205,0.537,0.135,0.045,2.165,2.311,2.294,2.945,0.126,6.448,2.645,5.588,21.947
Breast-GC1003974,0.105,1.683,17.036,3.410,6.758,2.783,8.869,1.066,8.373,4.772,4.782,3.341,2.076,0.412,0.482,0.246,0.212,0.084,0.454,0.674,0.921,0.347,0.316,0.034,0.068,0.429,0.056,0.401,0.436,0.737,0.712,0.426,2.209,2.466,0.865,4.362,0.067,0.214,1.498,0.406,15.411
Breast-GC1002311,0.781,4.200,6.016,2.575,1.331,0.815,5.466,7.368,4.877,5.340,8.424,0.037,0.796,0.631,3.790,0.086,0.593,1.869,0.054,2.666,0.076,0.010,0.493,0.000,0.000,0.001,0.003,0.000,0.000,0.000,0.000,0.000,15.767,0.009,0.504,4.212,0.001,0.002,0.056,0.075,21.076
Breast-GC1004006,1.913,3.144,1.223,7.947,5.233,7.566,1.740,0.046,6.587,4.494,5.615,4.951,1.702,2.169,1.328,0.129,1.802,2.283,0.256,0.870,1.553,1.229,0.946,0.000,0.165,0.000,0.126,0.000,0.004,0.000,0.057,0.663,7.225,0.545,2.470,3.908,0.029,0.243,0.462,1.519,17.857
Breast-GC1004007,1.960,2.502,2.850,4.205,4.383,3.246,4.013,1.870,0.092,3.342,3.259,3.366,2.334,1.018,0.869,1.188,1.810,1.708,2.048,0.604,0.142,0.809,1.296,0.000,0.001,0.067,0.097,0.000,0.000,0.000,0.070,0.772,6.378,0.251,3.407,2.394,0.081,9.115,2.418,2.466,23.569
Breast-GC1004008,0.523,4.063,10.406,5.690,0.038,6.292,13.307,7.676,3.199,1.727,4.355,1.392,1.998,0.330,0.120,0.177,1.442,0.457,0.570,1.710,1.309,0.221,1.359,0.000,0.011,0.012,0.063,0.000,0.014,0.041,0.350,0.623,1.686,0.182,3.962,0.051,2.055,0.471,2.161,3.017,16.938
Breast-GC1004009,1.280,1.471,5.971,2.214,14.210,5.974,3.310,3.654,8.902,1.764,1.822,4.885,0.428,0.211,0.008,0.373,0.786,0.356,0.298,0.479,0.057,0.625,0.159,0.050,0.017,0.070,0.136,0.001,0.094,0.052,0.459,0.237,0.192,2.132,4.697,0.744,0.105,13.088,0.850,0.260,17.576
