Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Breast-GC1002975,3.001,2.821,13.511,5.298,5.395,7.953,0.000,4.907,0.179,5.900,4.531,0.000,0.000,2.183,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.000,0.000,0.000,0.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.249,0.000,0.000,0.000,0.000,0.000,43.748
Breast-GC1002976,6.853,0.450,16.145,6.337,4.562,1.714,0.000,6.562,0.000,0.000,2.377,0.000,0.000,0.982,0.000,0.000,0.000,0.000,0.000,0.000,1.558,0.000,0.000,0.000,0.000,8.590,1.775,0.000,2.030,0.000,0.440,0.079,0.000,0.000,0.971,0.000,0.000,0.000,0.000,0.000,38.573
Breast-GC1002977,0.000,0.000,9.293,15.884,0.438,26.737,0.286,0.000,0.000,0.590,10.418,0.000,13.823,1.736,0.000,3.586,0.000,0.000,0.000,0.000,11.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.758
Breast-GC1002978,3.202,0.000,12.856,3.766,0.686,9.452,0.000,0.244,0.000,6.257,8.502,3.000,1.575,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.390,0.199,3.002,0.000,0.729,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.729,0.000,0.000,0.000,0.000,0.000,44.409
Breast-GC1002979,3.136,0.000,18.424,15.945,0.000,1.035,1.175,10.262,0.000,0.112,9.599,0.000,0.000,1.773,0.000,0.000,0.000,0.000,0.000,0.000,0.568,0.000,0.673,0.318,0.000,0.869,0.193,9.426,0.637,0.000,0.079,0.000,0.008,0.000,0.110,0.000,0.000,0.000,0.000,0.400,25.258
Breast-GC1002980,4.797,1.646,15.429,0.000,0.000,13.456,0.000,3.315,0.009,3.847,5.404,0.000,0.393,1.070,0.000,0.000,0.000,0.000,0.000,0.000,0.677,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.062,0.000,0.000,0.000,0.000,0.000,48.893
Breast-GC1002981,6.481,0.000,15.208,14.009,0.000,6.132,0.000,4.341,0.000,5.435,6.388,1.446,0.276,0.567,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.421,0.000,0.000,0.000,1.006,0.000,0.000,0.000,0.067,0.000,0.000,0.000,0.681,0.000,0.000,0.000,0.000,0.000,37.540
Breast-GC1003967,1.896,7.231,16.545,0.000,0.000,5.739,0.000,4.551,0.637,5.060,8.241,0.313,0.000,1.483,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.709,0.000,0.000,0.000,0.000,0.000,47.531
Breast-GC1003968,11.247,0.000,9.255,10.604,3.300,5.042,0.738,3.353,0.000,3.269,1.584,1.055,0.000,0.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.441,0.000,0.000,0.747,0.445,0.017,0.281,0.000,0.000,0.000,0.491,1.772,0.000,0.000,0.000,0.000,0.000,45.538
Breast-GC1003970,5.311,0.000,13.973,7.365,0.000,0.000,1.982,6.105,0.000,17.155,6.326,8.916,1.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.283,0.000,0.000,0.000,0.000,0.214,0.038,0.000,0.011,0.090,0.000,0.000,0.000,0.610,0.000,0.000,0.000,0.000,0.000,30.350
