Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Breast-GC1002975,1.703,5.956,2.444,0.236,7.248,1.708,1.918,4.676,1.821,6.536,1.725,4.727,9.086,0.792,11.003,9.315,4.724,9.424,4.317,5.081,2.030,2.982,0.546
Breast-GC1002976,0.425,9.214,2.683,0.759,10.323,6.153,3.122,3.470,3.942,0.664,2.309,4.936,11.729,8.684,0.006,7.179,9.237,7.145,1.973,0.738,1.173,0.733,3.402
Breast-GC1002977,0.601,0.861,1.391,0.001,3.238,0.615,4.111,2.476,2.513,0.664,3.763,11.188,9.586,7.309,0.079,3.881,12.720,0.030,2.784,20.729,0.202,2.172,9.089
Breast-GC1002978,2.567,8.358,3.198,0.246,7.572,1.961,5.715,5.702,1.570,2.560,6.072,2.934,6.068,8.878,6.516,7.537,1.299,9.439,0.892,0.129,0.980,7.070,2.738
Breast-GC1002979,3.722,3.931,4.177,1.097,5.564,1.483,3.280,0.609,8.257,0.173,7.540,1.553,12.498,8.397,3.587,4.797,7.033,0.281,5.125,9.885,1.891,4.734,0.385
Breast-GC1002980,0.614,7.907,2.881,0.114,7.620,0.910,4.379,3.918,1.357,4.870,6.966,5.481,7.786,2.689,14.005,4.262,3.136,4.052,2.876,7.611,4.877,0.421,1.270
Breast-GC1002981,1.539,4.188,3.632,0.097,6.462,1.804,2.403,3.005,5.585,3.749,9.284,1.465,8.373,9.269,2.086,6.995,6.129,6.597,9.120,3.062,0.656,2.571,1.926
Breast-GC1003967,2.742,6.050,1.383,0.265,3.753,3.526,4.050,6.027,5.822,1.755,7.597,5.288,3.074,4.362,4.217,2.897,4.296,5.363,4.990,4.407,4.681,7.015,6.438
Breast-GC1003968,4.744,5.739,4.871,0.799,0.869,4.535,3.929,5.380,4.497,8.577,3.181,1.022,1.620,5.595,8.367,8.914,1.254,1.616,6.515,3.957,0.532,9.638,3.846
Breast-GC1003970,1.517,2.073,2.646,0.164,7.065,2.067,5.256,6.124,1.672,1.885,22.122,3.258,1.558,7.109,0.676,0.439,2.558,2.945,7.743,8.349,2.900,2.495,7.379
Breast-GC1003971,2.794,6.670,7.419,0.660,1.106,3.142,6.702,4.679,3.272,2.160,11.440,8.769,2.744,1.808,0.879,8.099,2.062,8.456,1.609,1.300,6.854,4.543,2.831
Breast-GC1003972,0.766,4.101,5.292,1.246,6.741,2.895,2.639,4.922,5.103,7.212,8.490,5.858,3.442,4.292,8.192,4.713,2.580,2.421,2.127,0.658,2.378,4.868,9.065
Breast-GC1003974,1.757,3.567,4.286,1.448,0.709,2.040,1.745,3.044,3.932,1.734,2.725,2.816,13.323,1.573,6.371,13.894,7.878,3.255,1.833,5.454,0.625,9.550,6.442
Breast-GC1002311,1.961,8.111,2.964,0.113,3.373,1.805,3.792,1.414,2.213,6.981,7.994,5.551,5.640,5.676,5.935,7.044,5.023,7.991,4.544,3.427,4.074,0.474,3.900
Breast-GC1004006,1.848,7.033,4.109,0.097,1.586,2.858,4.895,7.834,2.987,3.930,10.172,1.889,6.386,7.554,7.200,7.514,3.582,1.025,4.864,7.395,1.935,2.001,1.307
Breast-GC1004007,3.084,10.828,2.234,0.307,5.294,4.128,4.741,8.285,1.579,3.922,1.793,7.257,3.804,4.965,2.897,2.239,2.539,7.278,4.631,5.449,1.664,3.793,7.289
Breast-GC1004008,0.387,1.656,3.192,0.578,7.496,1.481,5.257,5.440,3.324,1.265,0.210,3.808,14.654,3.723,7.570,3.003,0.754,2.998,5.103,9.749,3.978,5.055,9.318
