Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Breast-GC1002975,3.376,0.000,0.000,0.000,6.045,3.922,4.518,1.391,0.000,18.602,15.157,7.433,39.556
Breast-GC1002976,7.428,0.741,0.000,0.000,6.783,7.876,6.421,0.000,0.769,15.580,7.876,7.443,39.081
Breast-GC1002977,0.592,0.000,0.000,0.000,1.971,3.278,10.672,0.000,0.000,0.000,15.068,17.691,50.728
Breast-GC1002978,5.922,0.000,0.000,0.000,8.075,3.912,4.925,1.275,0.000,17.255,20.858,6.538,31.239
Breast-GC1002979,6.203,2.973,0.137,0.000,4.329,2.643,4.631,0.000,1.327,12.124,12.670,5.265,47.697
Breast-GC1002980,1.013,0.430,0.000,0.000,7.037,2.121,4.884,4.013,0.000,25.373,13.373,6.118,35.640
Breast-GC1002981,3.442,1.072,0.000,0.000,4.277,3.540,4.968,1.570,0.000,17.191,16.852,5.464,41.624
Breast-GC1003967,4.203,0.077,0.000,0.000,4.776,4.341,4.558,0.135,0.196,22.875,17.992,8.246,32.601
Breast-GC1003968,7.063,0.000,0.000,0.000,8.979,5.494,3.427,0.194,4.992,17.832,10.814,5.938,35.267
Breast-GC1003970,3.774,0.252,0.483,0.000,7.019,2.675,3.623,0.000,0.439,12.841,32.375,5.939,30.580
Breast-GC1003971,3.687,2.133,0.000,0.000,4.970,4.700,4.006,2.983,0.000,21.213,22.708,10.399,23.201
Breast-GC1003972,5.606,2.714,0.000,0.000,4.541,4.750,4.262,0.000,2.038,20.276,21.181,8.062,26.570
Breast-GC1003974,2.754,0.000,0.000,0.480,6.850,4.011,3.314,0.000,0.000,10.143,15.649,5.350,51.451
Breast-GC1002311,3.001,0.000,0.000,0.000,5.599,3.174,4.476,2.436,0.000,23.687,18.328,5.816,33.483
Breast-GC1004006,3.724,0.000,0.000,0.000,5.691,4.006,6.117,2.414,0.000,17.396,18.895,6.690,35.067
Breast-GC1004007,5.810,1.383,0.000,0.000,7.220,5.100,5.783,0.592,0.000,22.347,16.641,7.933,27.191
Breast-GC1004008,1.189,0.409,0.928,0.000,5.373,2.649,5.787,0.000,0.000,18.406,9.613,5.709,49.937
Breast-GC1004009,5.644,0.000,0.000,0.000,7.781,4.853,2.314,0.000,0.000,15.705,11.092,2.938,49.673
Breast-GC110693,2.867,0.000,0.000,0.000,8.112,6.874,2.830,0.000,0.000,7.290,16.291,7.625,48.111
Breast-GC110694,3.267,2.057,0.000,0.000,5.277,3.445,5.240,0.000,1.920,19.129,15.738,5.618,38.309
Breast-GC110695,4.995,0.000,0.000,0.000,8.782,6.701,6.106,0.000,0.000,18.210,17.493,9.657,28.055
Breast-GC110696,0.851,1.861,0.027,0.000,6.265,4.263,7.778,1.453,0.000,19.720,16.353,7.784,33.644
Breast-GC116960,3.818,1.112,0.367,0.000,5.165,3.455,7.305,0.000,0.000,16.229,21.574,9.182,31.794
Breast-GC116963,1.093,1.522,0.000,0.000,4.008,1.629,2.590,0.000,0.000,13.375,6.176,3.945,65.663
Breast-GC116964,4.083,0.000,0.000,0.000,6.792,9.281,6.578,0.000,0.000,9.105,25.975,11.025,27.160
Breast-GC116965,4.875,0.481,0.000,0.000,6.246,4.575,4.340,2.271,0.000,31.044,14.211,8.769,23.187
Breast-GC116966,2.860,0.560,0.000,0.000,4.756,3.167,6.231,3.123,0.000,26.925,17.840,8.837,25.701
Breast-GC116967,4.218,0.000,0.000,0.000,7.310,6.543,5.629,0.000,0.000,16.031,20.136,9.333,30.801
Breast-GC116968,2.834,0.593,0.000,0.000,5.534,2.912,4.497,1.624,0.246,17.603,8.907,4.490,50.759
Breast-GC116969,2.556,0.000,0.359,0.000,4.345,2.954,4.570,0.000,0.919,12.130,10.472,4.930,56.766
Breast-GC116970,3.034,1.167,0.000,0.000,6.102,4.078,4.474,0.962,0.000,18.505,13.774,5.920,41.985
Breast-GC116971,4.541,1.787,0.000,0.000,2.841,2.809,6.662,3.093,0.000,25.220,13.931,7.942,31.175
Breast-GC110676,3.812,0.000,0.000,0.000,8.829,3.803,5.600,1.523,0.000,17.816,13.656,7.773,37.189
Breast-GC110678,3.795,1.641,0.602,0.000,4.612,4.141,4.485,0.907,3.395,15.976,24.411,6.816,29.219
Breast-GC110679,17.297,0.000,1.503,0.000,6.748,3.927,5.180,0.338,2.105,14.403,13.008,5.468,30.023
Breast-GC110680,3.533,0.000,0.000,0.000,7.422,4.961,4.563,0.000,1.773,15.727,14.701,5.253,42.067
Breast-GC110681,13.720,0.000,0.368,0.000,11.135,20.267,3.458,0.000,0.000,2.489,7.094,8.186,33.283
Breast-GC110682,4.497,0.127,0.000,0.000,7.789,7.560,6.066,0.000,0.000,11.525,17.556,7.439,37.441
Breast-GC110683,5.571,0.000,0.000,0.000,6.843,9.607,6.640,0.000,0.000,11.206,16.306,9.826,34.002
Breast-GC110684,2.301,0.000,0.638,0.000,5.549,5.467,6.774,0.000,0.000,11.805,18.430,6.480,42.554
Breast-GC110685,3.653,2.322,0.000,0.000,6.421,3.929,7.632,8.412,0.000,15.867,19.006,10.770,21.988
Ovarian-GC110686,2.074,0.000,0.000,0.000,7.673,0.993,4.931,5.126,4.898,32.006,9.529,6.509,26.261
Ovarian-GC114179,1.876,2.541,0.234,0.000,8.048,1.530,4.209,2.255,1.341,29.719,14.986,6.076,27.185
Ovarian-GC114180,2.290,1.876,0.000,0.000,4.816,0.798,5.769,9.957,0.000,25.592,17.099,7.054,24.748
Ovarian-GC114181,8.809,4.876,1.120,0.000,5.153,2.446,3.404,5.412,0.224,29.437,9.822,5.386,23.910
Ovarian-GC114182,10.303,0.000,1.110,0.000,20.354,13.501,0.000,0.000,0.000,11.264,12.193,2.742,28.534
Ovarian-GC116977,3.734,0.000,0.055,0.000,6.961,5.273,5.312,0.000,0.000,21.418,18.319,8.395,30.532
Ovarian-GC116979,5.277,0.504,1.478,0.000,16.022,1.243,3.645,5.242,0.792,17.670,12.040,3.361,32.725
Ovarian-GC116982,5.060,0.000,0.000,0.000,13.574,3.616,4.376,5.575,1.254,21.149,10.344,9.472,25.579
Ovarian-GC116990,3.566,0.000,1.376,0.000,7.997,4.418,5.409,0.076,0.154,10.246,19.334,7.209,40.216
Ovarian-GC119363,4.655,0.000,0.730,0.000,12.159,2.867,3.894,8.309,1.612,27.690,7.972,5.774,24.339
Ovarian-GC119364,1.479,2.560,0.325,0.000,7.082,2.407,6.883,4.287,0.000,13.860,18.703,6.147,36.267
Ovarian-GC119365,9.188,0.000,0.094,0.000,49.541,9.645,3.141,0.000,0.000,14.731,4.759,1.416,7.484
Ovarian-GC119366,8.208,1.350,0.932,0.959,6.391,1.511,3.357,11.753,1.450,36.061,9.890,4.481,13.657
Colorectal-GC121326,3.940,0.000,0.481,0.000,4.971,4.680,4.634,1.664,0.000,28.202,6.716,3.350,41.361
Colorectal-GC121327,2.641,7.149,0.000,11.046,2.529,0.000,3.302,8.427,1.647,26.168,14.235,4.142,18.713
Colorectal-GC121328,2.766,0.000,0.000,0.000,6.384,5.935,5.465,0.000,0.000,43.280,14.417,8.283,13.469
Colorectal-GC121329,2.871,0.511,0.000,0.000,8.616,21.647,3.176,8.291,8.744,32.536,8.399,0.000,5.209
Colorectal-GC121330,17.250,3.167,0.000,0.238,6.210,9.498,1.855,0.000,0.000,22.670,7.527,4.791,26.795
Colorectal-GC1003994,2.877,0.000,0.000,0.000,7.911,1.460,5.057,5.230,1.672,28.542,10.407,6.269,30.576
Colorectal-GC1003995,4.099,5.658,2.406,19.886,3.096,13.417,5.625,0.099,1.448,11.280,8.218,2.595,22.170
Colorectal-GC1003996,3.435,2.777,0.000,0.973,4.646,3.183,4.989,1.409,0.000,17.139,11.239,6.336,43.874
Colorectal-GC1003997,2.239,1.599,0.000,0.000,4.560,0.585,4.784,4.466,0.000,28.811,12.028,7.169,33.759
Colorectal-GC1003998,2.858,0.000,0.510,0.999,7.491,4.128,6.932,0.025,0.000,25.580,12.847,9.294,29.337
Colorectal-GC1003999,12.274,1.829,0.000,0.000,8.327,6.434,1.898,6.243,0.000,29.834,6.385,5.400,21.375
Colorectal-GC1004000,5.131,2.263,0.443,5.201,6.558,38.977,0.000,0.000,0.000,9.093,7.950,4.124,20.259
Colorectal-GC1004001,1.269,1.558,0.370,0.000,4.085,2.216,4.632,2.126,0.000,20.231,13.803,6.968,42.742
Colorectal-GC1004002,2.797,1.536,0.027,0.000,3.732,3.658,6.020,4.443,1.487,26.651,7.939,6.529,35.182
Colorectal-GC1004003,6.841,1.073,0.000,0.000,6.464,5.519,4.649,0.881,0.000,26.956,16.562,6.442,24.612
Colorectal-GC137538,5.551,0.000,1.362,0.000,11.433,6.993,6.891,3.349,0.000,8.762,20.443,9.614,25.602
Colorectal-GC137539,3.435,0.000,0.283,0.000,8.175,3.196,4.250,3.646,0.788,18.477,18.378,5.727,33.645
Colorectal-GC137540,2.830,0.153,0.000,0.000,3.401,2.619,4.295,3.989,2.988,30.608,12.404,6.288,30.426
Colorectal-GC137541,4.415,1.035,0.094,0.000,6.119,4.677,3.903,0.000,0.000,23.474,16.038,6.776,33.469
Colorectal-GC137542,0.985,1.392,1.465,0.000,1.233,1.998,3.525,4.582,0.179,33.565,9.600,6.883,34.591
Colorectal-GC137543,3.125,0.000,0.000,0.000,6.975,9.289,5.686,0.000,5.097,22.566,12.446,6.943,27.873
Colorectal-GC137544,2.025,0.000,0.000,0.000,6.151,3.141,6.490,1.009,1.689,25.503,12.152,6.299,35.541
Colorectal-GC137545,1.627,0.000,0.115,0.000,5.696,3.324,5.486,9.515,3.440,27.909,14.854,5.187,22.848
Colorectal-GC137546,1.954,0.929,0.000,0.000,4.823,2.339,4.688,3.493,1.688,22.274,11.091,7.501,39.221
Colorectal-GC137547,3.749,0.000,0.000,0.000,6.668,2.986,4.997,1.938,1.923,21.821,21.319,7.064,27.536
Colorectal-GC137548,1.888,0.260,0.000,0.000,4.682,3.034,4.696,0.185,0.329,11.072,5.955,8.377,59.522
Colorectal-GC137549,2.481,0.345,0.000,0.000,6.269,18.881,4.258,1.039,1.177,19.990,9.735,6.195,29.628
Colorectal-GC137550,4.907,0.032,0.000,0.000,5.280,4.373,9.590,0.000,0.911,14.332,11.845,12.032,36.699
Colorectal-GC137551,1.908,0.000,0.000,0.000,7.259,5.542,6.279,0.000,0.000,4.430,20.588,6.605,47.389
Colorectal-GC137552,4.163,0.000,0.000,0.000,7.106,5.193,5.916,0.000,0.000,19.072,14.354,9.002,35.193
Colorectal-GC137553,4.211,0.000,0.926,0.000,6.181,9.347,21.983,0.000,0.000,9.895,17.144,11.021,19.293
Colorectal-GC137554,5.059,4.318,0.242,0.000,5.353,9.448,5.975,0.000,0.000,17.654,18.167,7.167,26.617
Colorectal-GC137555,2.125,0.000,0.000,0.000,7.111,3.036,5.553,1.387,1.021,20.930,15.524,8.190,35.122
